inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Nepal,0.1,SP Khakurel,Tanwir Afzal,3,{},{}
1st innings,Nepal,0.2,Sagar Pun,Tanwir Afzal,0,{},{}
1st innings,Nepal,0.3,Sagar Pun,Tanwir Afzal,1,{},{}
1st innings,Nepal,0.4,SP Khakurel,Tanwir Afzal,0,{},{}
1st innings,Nepal,0.5,SP Khakurel,Tanwir Afzal,4,{},{}
1st innings,Nepal,0.6,SP Khakurel,Tanwir Afzal,0,{},{}
1st innings,Nepal,1.1,Sagar Pun,Haseeb Amjad,0,{},{}
1st innings,Nepal,1.2,Sagar Pun,Haseeb Amjad,1,{},{}
1st innings,Nepal,1.3,SP Khakurel,Haseeb Amjad,0,{},{}
1st innings,Nepal,1.4,SP Khakurel,Haseeb Amjad,0,{},{}
1st innings,Nepal,1.5,SP Khakurel,Haseeb Amjad,0,{},{}
1st innings,Nepal,1.6,SP Khakurel,Haseeb Amjad,4,{},{}
1st innings,Nepal,2.1,Sagar Pun,Tanwir Afzal,0,{},{}
1st innings,Nepal,2.2,Sagar Pun,Tanwir Afzal,1,{},{}
1st innings,Nepal,2.3,SP Khakurel,Tanwir Afzal,1,{},{}
1st innings,Nepal,2.4,Sagar Pun,Tanwir Afzal,1,{},{}
1st innings,Nepal,2.5,SP Khakurel,Tanwir Afzal,4,{},{}
1st innings,Nepal,2.6,SP Khakurel,Tanwir Afzal,0,{},{}
1st innings,Nepal,3.1,Sagar Pun,Najeeb Amar,4,{},{}
1st innings,Nepal,3.2,Sagar Pun,Najeeb Amar,1,{},{}
1st innings,Nepal,3.3,SP Khakurel,Najeeb Amar,1,{},{}
1st innings,Nepal,3.4,Sagar Pun,Najeeb Amar,4,{},{}
1st innings,Nepal,3.5,Sagar Pun,Najeeb Amar,0,{},{}
1st innings,Nepal,3.6,Sagar Pun,Najeeb Amar,0,{},{}
1st innings,Nepal,4.1,SP Khakurel,Haseeb Amjad,4,{},{}
1st innings,Nepal,4.2,SP Khakurel,Haseeb Amjad,0,{},{}
1st innings,Nepal,4.3,SP Khakurel,Haseeb Amjad,1,{'wides': 1},{}
1st innings,Nepal,4.4,SP Khakurel,Haseeb Amjad,1,{},{}
1st innings,Nepal,4.5,Sagar Pun,Haseeb Amjad,0,{},"{'fielders': ['Waqas Barkat'], 'kind': 'caught', 'player_out': 'Sagar Pun'}"
1st innings,Nepal,4.6,G Malla,Haseeb Amjad,0,{},{}
1st innings,Nepal,4.7,G Malla,Haseeb Amjad,0,{},{}
1st innings,Nepal,5.1,SP Khakurel,Nadeem Ahmed,0,{},"{'fielders': ['Aizaz Khan'], 'kind': 'caught', 'player_out': 'SP Khakurel'}"
1st innings,Nepal,5.2,P Khadka,Nadeem Ahmed,0,{},{}
1st innings,Nepal,5.3,P Khadka,Nadeem Ahmed,1,{'wides': 1},{}
1st innings,Nepal,5.4,P Khadka,Nadeem Ahmed,4,{},{}
1st innings,Nepal,5.5,P Khadka,Nadeem Ahmed,0,{},{}
1st innings,Nepal,5.6,P Khadka,Nadeem Ahmed,3,{},{}
1st innings,Nepal,5.7,G Malla,Nadeem Ahmed,0,{},{}
1st innings,Nepal,6.1,P Khadka,Irfan Ahmed,1,{},{}
1st innings,Nepal,6.2,G Malla,Irfan Ahmed,0,{},{}
1st innings,Nepal,6.3,G Malla,Irfan Ahmed,0,{},{}
1st innings,Nepal,6.4,G Malla,Irfan Ahmed,1,{},{}
1st innings,Nepal,6.5,P Khadka,Irfan Ahmed,0,{},{}
1st innings,Nepal,6.6,P Khadka,Irfan Ahmed,1,{'wides': 1},{}
1st innings,Nepal,6.7,P Khadka,Irfan Ahmed,1,{},{}
1st innings,Nepal,7.1,P Khadka,Aizaz Khan,1,{'wides': 1},{}
1st innings,Nepal,7.2,P Khadka,Aizaz Khan,1,{},{}
1st innings,Nepal,7.3,G Malla,Aizaz Khan,1,{},{}
1st innings,Nepal,7.4,P Khadka,Aizaz Khan,0,{},{}
1st innings,Nepal,7.5,P Khadka,Aizaz Khan,0,{},{}
1st innings,Nepal,7.6,P Khadka,Aizaz Khan,0,{},{}
1st innings,Nepal,7.7,P Khadka,Aizaz Khan,0,{},{}
1st innings,Nepal,8.1,G Malla,Irfan Ahmed,0,{},{}
1st innings,Nepal,8.2,G Malla,Irfan Ahmed,1,{},{}
1st innings,Nepal,8.3,P Khadka,Irfan Ahmed,0,{},{}
1st innings,Nepal,8.4,P Khadka,Irfan Ahmed,0,{},{}
1st innings,Nepal,8.5,P Khadka,Irfan Ahmed,1,{'wides': 1},{}
1st innings,Nepal,8.6,P Khadka,Irfan Ahmed,1,{'wides': 1},{}
