inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Zimbabwe,0.1,H Masakadza,PR Stirling,1,{},{}
1st innings,Zimbabwe,0.2,Sikandar Raza,PR Stirling,0,{},{}
1st innings,Zimbabwe,0.3,Sikandar Raza,PR Stirling,0,{},{}
1st innings,Zimbabwe,0.4,Sikandar Raza,PR Stirling,1,{'byes': 1},{}
1st innings,Zimbabwe,0.5,H Masakadza,PR Stirling,0,{},{}
1st innings,Zimbabwe,0.6,H Masakadza,PR Stirling,2,{},{}
1st innings,Zimbabwe,1.1,Sikandar Raza,AR Cusack,4,{},{}
1st innings,Zimbabwe,1.2,Sikandar Raza,AR Cusack,4,{},{}
1st innings,Zimbabwe,1.3,Sikandar Raza,AR Cusack,2,{},{}
1st innings,Zimbabwe,1.4,Sikandar Raza,AR Cusack,0,{},{}
1st innings,Zimbabwe,1.5,Sikandar Raza,AR Cusack,0,{},"{'fielders': ['MC Sorensen'], 'kind': 'caught', 'player_out': 'Sikandar Raza'}"
1st innings,Zimbabwe,1.6,BRM Taylor,AR Cusack,2,{},{}
1st innings,Zimbabwe,2.1,H Masakadza,PR Stirling,0,{},{}
1st innings,Zimbabwe,2.2,H Masakadza,PR Stirling,0,{},{}
1st innings,Zimbabwe,2.3,H Masakadza,PR Stirling,1,{},{}
1st innings,Zimbabwe,2.4,BRM Taylor,PR Stirling,4,{},{}
1st innings,Zimbabwe,2.5,BRM Taylor,PR Stirling,1,{'legbyes': 1},{}
1st innings,Zimbabwe,2.6,H Masakadza,PR Stirling,1,{},{}
1st innings,Zimbabwe,3.1,H Masakadza,MC Sorensen,0,{},{}
1st innings,Zimbabwe,3.2,H Masakadza,MC Sorensen,4,{},{}
1st innings,Zimbabwe,3.3,H Masakadza,MC Sorensen,4,{},{}
1st innings,Zimbabwe,3.4,H Masakadza,MC Sorensen,1,{'legbyes': 1},{}
1st innings,Zimbabwe,3.5,BRM Taylor,MC Sorensen,1,{},{}
1st innings,Zimbabwe,3.6,H Masakadza,MC Sorensen,2,{},{}
1st innings,Zimbabwe,4.1,BRM Taylor,GH Dockrell,0,{},{}
1st innings,Zimbabwe,4.2,BRM Taylor,GH Dockrell,0,{},{}
1st innings,Zimbabwe,4.3,BRM Taylor,GH Dockrell,0,{},{}
1st innings,Zimbabwe,4.4,BRM Taylor,GH Dockrell,1,{},{}
1st innings,Zimbabwe,4.5,H Masakadza,GH Dockrell,1,{},{}
1st innings,Zimbabwe,4.6,BRM Taylor,GH Dockrell,4,{},{}
1st innings,Zimbabwe,5.1,H Masakadza,AR Cusack,4,{},{}
1st innings,Zimbabwe,5.2,H Masakadza,AR Cusack,1,{},{}
1st innings,Zimbabwe,5.3,BRM Taylor,AR Cusack,6,{},{}
1st innings,Zimbabwe,5.4,BRM Taylor,AR Cusack,0,{},{}
1st innings,Zimbabwe,5.5,BRM Taylor,AR Cusack,0,{},{}
1st innings,Zimbabwe,5.6,BRM Taylor,AR Cusack,4,{},{}
1st innings,Zimbabwe,6.1,H Masakadza,AR McBrine,0,{},{}
1st innings,Zimbabwe,6.2,H Masakadza,AR McBrine,0,{},"{'fielders': ['WTS Porterfield'], 'kind': 'caught', 'player_out': 'H Masakadza'}"
1st innings,Zimbabwe,6.3,SC Williams,AR McBrine,2,{},{}
1st innings,Zimbabwe,6.4,SC Williams,AR McBrine,6,{},{}
1st innings,Zimbabwe,6.5,SC Williams,AR McBrine,1,{},{}
1st innings,Zimbabwe,6.6,BRM Taylor,AR McBrine,1,{},{}
1st innings,Zimbabwe,7.1,BRM Taylor,GH Dockrell,2,{},{}
1st innings,Zimbabwe,7.2,BRM Taylor,GH Dockrell,1,{},{}
1st innings,Zimbabwe,7.3,SC Williams,GH Dockrell,1,{},{}
1st innings,Zimbabwe,7.4,BRM Taylor,GH Dockrell,0,{},{}
1st innings,Zimbabwe,7.5,BRM Taylor,GH Dockrell,1,{},{}
1st innings,Zimbabwe,7.6,SC Williams,GH Dockrell,1,{},{}
1st innings,Zimbabwe,8.1,SC Williams,AR McBrine,0,{},{}
1st innings,Zimbabwe,8.2,SC Williams,AR McBrine,4,{},{}
1st innings,Zimbabwe,8.3,SC Williams,AR McBrine,1,{},{}
1st innings,Zimbabwe,8.4,BRM Taylor,AR McBrine,1,{},{}
1st innings,Zimbabwe,8.5,SC Williams,AR McBrine,0,{},"{'fielders': ['GC Wilson'], 'kind': 'stumped', 'player_out': 'SC Williams'}"
1st innings,Zimbabwe,8.6,V Sibanda,AR McBrine,1,{},{}
1st innings,Zimbabwe,9.1,V Sibanda,PR Stirling,1,{},{}
1st innings,Zimbabwe,9.2,BRM Taylor,PR Stirling,1,{'wides': 1},{}
1st innings,Zimbabwe,9.3,BRM Taylor,PR Stirling,1,{},{}
1st innings,Zimbabwe,9.4,V Sibanda,PR Stirling,1,{},{}
1st innings,Zimbabwe,9.5,BRM Taylor,PR Stirling,1,{},{}
1st innings,Zimbabwe,9.6,V Sibanda,PR Stirling,1,{},{}
1st innings,Zimbabwe,9.7,BRM Taylor,PR Stirling,0,{},{}
1st innings,Zimbabwe,10.1,V Sibanda,AR McBrine,1,{},{}
1st innings,Zimbabwe,10.2,BRM Taylor,AR McBrine,0,{},{}
1st innings,Zimbabwe,10.3,BRM Taylor,AR McBrine,1,{'legbyes': 1},{}
1st innings,Zimbabwe,10.4,V Sibanda,AR McBrine,1,{},{}
1st innings,Zimbabwe,10.5,BRM Taylor,AR McBrine,1,{},{}
1st innings,Zimbabwe,10.6,V Sibanda,AR McBrine,1,{},{}
1st innings,Zimbabwe,11.1,V Sibanda,PR Stirling,1,{},{}
1st innings,Zimbabwe,11.2,BRM Taylor,PR Stirling,6,{},{}
1st innings,Zimbabwe,11.3,BRM Taylor,PR Stirling,1,{},{}
1st innings,Zimbabwe,11.4,V Sibanda,PR Stirling,1,{},{}
1st innings,Zimbabwe,11.5,BRM Taylor,PR Stirling,0,{},{}
