inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Nepal,0.1,SP Khakurel,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,0.2,SP Khakurel,Mashrafe Mortaza,2,{},{}
1st innings,Nepal,0.3,SP Khakurel,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,0.4,SP Khakurel,Mashrafe Mortaza,1,{'legbyes': 1},{}
1st innings,Nepal,0.5,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,0.6,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,1.1,SP Khakurel,Al-Amin Hossain,0,{},{}
1st innings,Nepal,1.2,SP Khakurel,Al-Amin Hossain,1,{'wides': 1},{}
1st innings,Nepal,1.3,SP Khakurel,Al-Amin Hossain,1,{'wides': 1},{}
1st innings,Nepal,1.4,SP Khakurel,Al-Amin Hossain,1,{},{}
1st innings,Nepal,1.5,Sagar Pun,Al-Amin Hossain,0,{},{}
1st innings,Nepal,1.6,Sagar Pun,Al-Amin Hossain,0,{},{}
1st innings,Nepal,1.7,Sagar Pun,Al-Amin Hossain,4,{},{}
1st innings,Nepal,1.8,Sagar Pun,Al-Amin Hossain,1,{'wides': 1},{}
1st innings,Nepal,1.9,Sagar Pun,Al-Amin Hossain,0,{},{}
1st innings,Nepal,2.1,SP Khakurel,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,2.2,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,2.3,Sagar Pun,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,2.4,SP Khakurel,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,2.5,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,2.6,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,3.1,SP Khakurel,Farhad Reza,2,{},{}
1st innings,Nepal,3.2,SP Khakurel,Farhad Reza,1,{},{}
1st innings,Nepal,3.3,Sagar Pun,Farhad Reza,1,{},{}
1st innings,Nepal,3.4,SP Khakurel,Farhad Reza,1,{'wides': 1},{}
1st innings,Nepal,3.5,SP Khakurel,Farhad Reza,0,{},{}
1st innings,Nepal,3.6,SP Khakurel,Farhad Reza,0,{},{}
1st innings,Nepal,3.7,SP Khakurel,Farhad Reza,0,{},"{'fielders': ['Abdur Razzak'], 'kind': 'caught', 'player_out': 'SP Khakurel'}"
1st innings,Nepal,4.1,G Malla,Mashrafe Mortaza,3,{},{}
1st innings,Nepal,4.2,Sagar Pun,Mashrafe Mortaza,4,{},{}
1st innings,Nepal,4.3,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,4.4,Sagar Pun,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,4.5,G Malla,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,4.6,Sagar Pun,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,5.1,G Malla,Shakib Al Hasan,1,{},{}
1st innings,Nepal,5.2,Sagar Pun,Shakib Al Hasan,0,{},{}
1st innings,Nepal,5.3,Sagar Pun,Shakib Al Hasan,0,{},{}
1st innings,Nepal,5.4,Sagar Pun,Shakib Al Hasan,1,{},{}
1st innings,Nepal,5.5,G Malla,Shakib Al Hasan,4,{},{}
1st innings,Nepal,5.6,G Malla,Shakib Al Hasan,4,{},{}
1st innings,Nepal,6.1,Sagar Pun,Al-Amin Hossain,0,{},"{'fielders': ['Shakib Al Hasan'], 'kind': 'caught', 'player_out': 'Sagar Pun'}"
1st innings,Nepal,6.2,P Khadka,Al-Amin Hossain,1,{},{}
1st innings,Nepal,6.3,G Malla,Al-Amin Hossain,0,{},"{'kind': 'lbw', 'player_out': 'G Malla'}"
1st innings,Nepal,6.4,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,6.5,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,6.6,S Vesawkar,Al-Amin Hossain,1,{},{}
1st innings,Nepal,7.1,S Vesawkar,Farhad Reza,2,{},{}
1st innings,Nepal,7.2,S Vesawkar,Farhad Reza,0,{},{}
1st innings,Nepal,7.3,S Vesawkar,Farhad Reza,0,{},{}
1st innings,Nepal,7.4,S Vesawkar,Farhad Reza,1,{},{}
1st innings,Nepal,7.5,P Khadka,Farhad Reza,4,{},{}
1st innings,Nepal,7.6,P Khadka,Farhad Reza,1,{},{}
1st innings,Nepal,8.1,P Khadka,Al-Amin Hossain,1,{},{}
1st innings,Nepal,8.2,S Vesawkar,Al-Amin Hossain,4,{},{}
1st innings,Nepal,8.3,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,8.4,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,8.5,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,8.6,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,9.1,P Khadka,Nasir Hossain,0,{},{}
1st innings,Nepal,9.2,P Khadka,Nasir Hossain,1,{},{}
1st innings,Nepal,9.3,S Vesawkar,Nasir Hossain,0,{},{}
1st innings,Nepal,9.4,S Vesawkar,Nasir Hossain,0,{},{}
1st innings,Nepal,9.5,S Vesawkar,Nasir Hossain,0,{},{}
1st innings,Nepal,9.6,S Vesawkar,Nasir Hossain,0,{},{}
1st innings,Nepal,10.1,P Khadka,Abdur Razzak,1,{},{}
1st innings,Nepal,10.2,S Vesawkar,Abdur Razzak,1,{},{}
1st innings,Nepal,10.3,P Khadka,Abdur Razzak,1,{},{}
1st innings,Nepal,10.4,S Vesawkar,Abdur Razzak,1,{'wides': 1},{}
1st innings,Nepal,10.5,S Vesawkar,Abdur Razzak,0,{},{}
1st innings,Nepal,10.6,S Vesawkar,Abdur Razzak,1,{},{}
1st innings,Nepal,10.7,P Khadka,Abdur Razzak,0,{},{}
1st innings,Nepal,11.1,S Vesawkar,Shakib Al Hasan,1,{},{}
1st innings,Nepal,11.2,P Khadka,Shakib Al Hasan,1,{},{}
1st innings,Nepal,11.3,S Vesawkar,Shakib Al Hasan,0,{},{}
1st innings,Nepal,11.4,S Vesawkar,Shakib Al Hasan,0,{},{}
1st innings,Nepal,11.5,S Vesawkar,Shakib Al Hasan,1,{},{}
1st innings,Nepal,11.6,P Khadka,Shakib Al Hasan,1,{},{}
1st innings,Nepal,12.1,P Khadka,Nasir Hossain,4,{},{}
1st innings,Nepal,12.2,P Khadka,Nasir Hossain,0,{},{}
1st innings,Nepal,12.3,P Khadka,Nasir Hossain,1,{'wides': 1},{}
1st innings,Nepal,12.4,P Khadka,Nasir Hossain,4,{},{}
1st innings,Nepal,12.5,P Khadka,Nasir Hossain,1,{},{}
1st innings,Nepal,12.6,S Vesawkar,Nasir Hossain,0,{},{}
1st innings,Nepal,12.7,S Vesawkar,Nasir Hossain,1,{},{}
1st innings,Nepal,13.1,S Vesawkar,Shakib Al Hasan,1,{},{}
1st innings,Nepal,13.2,P Khadka,Shakib Al Hasan,0,{},{}
1st innings,Nepal,13.3,P Khadka,Shakib Al Hasan,0,{},{}
1st innings,Nepal,13.4,P Khadka,Shakib Al Hasan,1,{},{}
1st innings,Nepal,13.5,S Vesawkar,Shakib Al Hasan,0,{},{}
1st innings,Nepal,13.6,S Vesawkar,Shakib Al Hasan,0,{},{}
1st innings,Nepal,14.1,P Khadka,Nasir Hossain,2,{},{}
1st innings,Nepal,14.2,P Khadka,Nasir Hossain,1,{'wides': 1},{}
1st innings,Nepal,14.3,P Khadka,Nasir Hossain,0,{},{}
1st innings,Nepal,14.4,P Khadka,Nasir Hossain,1,{},{}
1st innings,Nepal,14.5,S Vesawkar,Nasir Hossain,4,{},{}
1st innings,Nepal,14.6,S Vesawkar,Nasir Hossain,1,{},{}
1st innings,Nepal,14.7,P Khadka,Nasir Hossain,1,{},{}
1st innings,Nepal,15.1,P Khadka,Shakib Al Hasan,1,{'legbyes': 1},{}
1st innings,Nepal,15.2,S Vesawkar,Shakib Al Hasan,1,{},{}
1st innings,Nepal,15.3,P Khadka,Shakib Al Hasan,1,{},{}
1st innings,Nepal,15.4,S Vesawkar,Shakib Al Hasan,2,{},{}
1st innings,Nepal,15.5,S Vesawkar,Shakib Al Hasan,1,{},{}
1st innings,Nepal,15.6,P Khadka,Shakib Al Hasan,1,{},{}
1st innings,Nepal,16.1,P Khadka,Farhad Reza,0,{},{}
1st innings,Nepal,16.2,P Khadka,Farhad Reza,1,{'wides': 1},{}
1st innings,Nepal,16.3,P Khadka,Farhad Reza,4,{},{}
1st innings,Nepal,16.4,P Khadka,Farhad Reza,0,{},{}
1st innings,Nepal,16.5,P Khadka,Farhad Reza,1,{},{}
1st innings,Nepal,16.6,S Vesawkar,Farhad Reza,4,{},{}
1st innings,Nepal,16.7,S Vesawkar,Farhad Reza,4,{},{}
1st innings,Nepal,17.1,P Khadka,Abdur Razzak,4,{},{}
1st innings,Nepal,17.2,P Khadka,Abdur Razzak,0,{},{}
1st innings,Nepal,17.3,P Khadka,Abdur Razzak,1,{},{}
1st innings,Nepal,17.4,S Vesawkar,Abdur Razzak,1,{'legbyes': 1},{}
1st innings,Nepal,17.5,P Khadka,Abdur Razzak,1,{},{}
1st innings,Nepal,17.6,S Vesawkar,Abdur Razzak,1,{},{}
1st innings,Nepal,18.1,S Vesawkar,Mashrafe Mortaza,4,{},{}
1st innings,Nepal,18.2,S Vesawkar,Mashrafe Mortaza,0,{},{}
1st innings,Nepal,18.3,S Vesawkar,Mashrafe Mortaza,2,{},{}
1st innings,Nepal,18.4,S Vesawkar,Mashrafe Mortaza,1,{},{}
1st innings,Nepal,18.5,P Khadka,Mashrafe Mortaza,2,{},{}
1st innings,Nepal,18.6,P Khadka,Mashrafe Mortaza,0,{},"{'kind': 'bowled', 'player_out': 'P Khadka'}"
1st innings,Nepal,19.1,S Vesawkar,Al-Amin Hossain,0,{},{}
1st innings,Nepal,19.2,S Vesawkar,Al-Amin Hossain,1,{},{}
1st innings,Nepal,19.3,B Bhandari,Al-Amin Hossain,1,{'wides': 1},{}
1st innings,Nepal,19.4,B Bhandari,Al-Amin Hossain,0,{},{}
1st innings,Nepal,19.5,B Bhandari,Al-Amin Hossain,0,{},{}
1st innings,Nepal,19.6,B Bhandari,Al-Amin Hossain,0,{},{}
1st innings,Nepal,19.7,B Bhandari,Al-Amin Hossain,0,{},"{'fielders': ['Mushfiqur Rahim'], 'kind': 'run out', 'player_out': 'S Vesawkar'}"
2nd innings,Bangladesh,0.1,Tamim Iqbal,Sompal Kami,0,{},{}
2nd innings,Bangladesh,0.2,Tamim Iqbal,Sompal Kami,2,{},{}
2nd innings,Bangladesh,0.3,Tamim Iqbal,Sompal Kami,1,{},{}
2nd innings,Bangladesh,0.4,Anamul Haque,Sompal Kami,0,{},{}
2nd innings,Bangladesh,0.5,Anamul Haque,Sompal Kami,6,{},{}
2nd innings,Bangladesh,0.6,Anamul Haque,Sompal Kami,4,{},{}
2nd innings,Bangladesh,1.1,Tamim Iqbal,P Khadka,1,{},{}
2nd innings,Bangladesh,1.2,Anamul Haque,P Khadka,0,{},{}
2nd innings,Bangladesh,1.3,Anamul Haque,P Khadka,0,{},{}
2nd innings,Bangladesh,1.4,Anamul Haque,P Khadka,1,{},{}
2nd innings,Bangladesh,1.5,Tamim Iqbal,P Khadka,1,{},{}
2nd innings,Bangladesh,1.6,Anamul Haque,P Khadka,1,{},{}
