inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Tamim Iqbal,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,0.2,Tamim Iqbal,Tanwir Afzal,0,{},"{'kind': 'bowled', 'player_out': 'Tamim Iqbal'}"
1st innings,Bangladesh,0.3,Sabbir Rahman,Tanwir Afzal,1,{'wides': 1},{}
1st innings,Bangladesh,0.4,Sabbir Rahman,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,0.5,Sabbir Rahman,Tanwir Afzal,2,{},{}
1st innings,Bangladesh,0.6,Sabbir Rahman,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,0.7,Sabbir Rahman,Tanwir Afzal,0,{},"{'kind': 'lbw', 'player_out': 'Sabbir Rahman'}"
1st innings,Bangladesh,1.1,Anamul Haque,Haseeb Amjad,0,{},{}
1st innings,Bangladesh,1.2,Anamul Haque,Haseeb Amjad,1,{},{}
1st innings,Bangladesh,1.3,Shakib Al Hasan,Haseeb Amjad,0,{},{}
1st innings,Bangladesh,1.4,Shakib Al Hasan,Haseeb Amjad,1,{},{}
1st innings,Bangladesh,1.5,Anamul Haque,Haseeb Amjad,1,{},{}
1st innings,Bangladesh,1.6,Shakib Al Hasan,Haseeb Amjad,4,{},{}
1st innings,Bangladesh,2.1,Anamul Haque,Tanwir Afzal,6,{},{}
1st innings,Bangladesh,2.2,Anamul Haque,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,2.3,Anamul Haque,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,2.4,Anamul Haque,Tanwir Afzal,2,{},{}
1st innings,Bangladesh,2.5,Anamul Haque,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,2.6,Shakib Al Hasan,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,3.1,Shakib Al Hasan,Haseeb Amjad,4,{},{}
1st innings,Bangladesh,3.2,Shakib Al Hasan,Haseeb Amjad,4,{},{}
1st innings,Bangladesh,3.3,Shakib Al Hasan,Haseeb Amjad,0,{},{}
1st innings,Bangladesh,3.4,Shakib Al Hasan,Haseeb Amjad,1,{},{}
1st innings,Bangladesh,3.5,Anamul Haque,Haseeb Amjad,0,{},{}
1st innings,Bangladesh,3.6,Anamul Haque,Haseeb Amjad,0,{},{}
1st innings,Bangladesh,4.1,Shakib Al Hasan,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,4.2,Shakib Al Hasan,Tanwir Afzal,4,{},{}
1st innings,Bangladesh,4.3,Shakib Al Hasan,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,4.4,Anamul Haque,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,4.5,Shakib Al Hasan,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,4.6,Anamul Haque,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,5.1,Anamul Haque,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,5.2,Shakib Al Hasan,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,5.3,Anamul Haque,Nadeem Ahmed,4,{},{}
1st innings,Bangladesh,5.4,Anamul Haque,Nadeem Ahmed,4,{},{}
1st innings,Bangladesh,5.5,Anamul Haque,Nadeem Ahmed,4,{},{}
1st innings,Bangladesh,5.6,Anamul Haque,Nadeem Ahmed,0,{},"{'kind': 'bowled', 'player_out': 'Anamul Haque'}"
1st innings,Bangladesh,6.1,Shakib Al Hasan,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,6.2,Shakib Al Hasan,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,6.3,Mushfiqur Rahim,Tanwir Afzal,0,{},{}
1st innings,Bangladesh,6.4,Mushfiqur Rahim,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,6.5,Shakib Al Hasan,Tanwir Afzal,1,{'legbyes': 1},{}
1st innings,Bangladesh,6.6,Mushfiqur Rahim,Tanwir Afzal,1,{},{}
1st innings,Bangladesh,7.1,Mushfiqur Rahim,Irfan Ahmed,0,{},{}
1st innings,Bangladesh,7.2,Mushfiqur Rahim,Irfan Ahmed,1,{},{}
1st innings,Bangladesh,7.3,Shakib Al Hasan,Irfan Ahmed,4,{},{}
1st innings,Bangladesh,7.4,Shakib Al Hasan,Irfan Ahmed,0,{},{}
1st innings,Bangladesh,7.5,Shakib Al Hasan,Irfan Ahmed,1,{},{}
1st innings,Bangladesh,7.6,Mushfiqur Rahim,Irfan Ahmed,4,{},{}
1st innings,Bangladesh,8.1,Shakib Al Hasan,Ehsan Nawaz,1,{},{}
1st innings,Bangladesh,8.2,Mushfiqur Rahim,Ehsan Nawaz,0,{},{}
1st innings,Bangladesh,8.3,Mushfiqur Rahim,Ehsan Nawaz,4,{},{}
1st innings,Bangladesh,8.4,Mushfiqur Rahim,Ehsan Nawaz,4,{},{}
1st innings,Bangladesh,8.5,Mushfiqur Rahim,Ehsan Nawaz,1,{},{}
1st innings,Bangladesh,8.6,Shakib Al Hasan,Ehsan Nawaz,0,{},{}
1st innings,Bangladesh,9.1,Mushfiqur Rahim,Nizakat Khan,1,{},{}
1st innings,Bangladesh,9.2,Shakib Al Hasan,Nizakat Khan,0,{},{}
1st innings,Bangladesh,9.3,Shakib Al Hasan,Nizakat Khan,0,{},{}
1st innings,Bangladesh,9.4,Shakib Al Hasan,Nizakat Khan,1,{},{}
1st innings,Bangladesh,9.5,Mushfiqur Rahim,Nizakat Khan,2,{},{}
1st innings,Bangladesh,9.6,Mushfiqur Rahim,Nizakat Khan,1,{},{}
1st innings,Bangladesh,10.1,Mushfiqur Rahim,Irfan Ahmed,1,{},{}
1st innings,Bangladesh,10.2,Shakib Al Hasan,Irfan Ahmed,4,{},{}
1st innings,Bangladesh,10.3,Shakib Al Hasan,Irfan Ahmed,0,{},{}
1st innings,Bangladesh,10.4,Shakib Al Hasan,Irfan Ahmed,0,{},"{'fielders': ['Nizakat Khan'], 'kind': 'caught', 'player_out': 'Shakib Al Hasan'}"
1st innings,Bangladesh,10.5,Nasir Hossain,Irfan Ahmed,1,{},{}
1st innings,Bangladesh,10.6,Mushfiqur Rahim,Irfan Ahmed,1,{},{}
1st innings,Bangladesh,11.1,Mushfiqur Rahim,Nizakat Khan,1,{},{}
1st innings,Bangladesh,11.2,Nasir Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,11.3,Mushfiqur Rahim,Nizakat Khan,0,{},{}
1st innings,Bangladesh,11.4,Mushfiqur Rahim,Nizakat Khan,0,{},"{'fielders': ['Munir Dar'], 'kind': 'caught', 'player_out': 'Mushfiqur Rahim'}"
1st innings,Bangladesh,11.5,Mahmudullah,Nizakat Khan,1,{},{}
1st innings,Bangladesh,11.6,Nasir Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,12.1,Nasir Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,12.2,Nasir Hossain,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,12.3,Mahmudullah,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,12.4,Nasir Hossain,Nadeem Ahmed,2,{},{}
1st innings,Bangladesh,12.5,Nasir Hossain,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,12.6,Mahmudullah,Nadeem Ahmed,0,{},"{'kind': 'bowled', 'player_out': 'Mahmudullah'}"
1st innings,Bangladesh,13.1,Nasir Hossain,Nizakat Khan,0,{},{}
1st innings,Bangladesh,13.2,Nasir Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,13.3,Farhad Reza,Nizakat Khan,0,{},{}
1st innings,Bangladesh,13.4,Farhad Reza,Nizakat Khan,3,{'wides': 3},{}
1st innings,Bangladesh,13.5,Farhad Reza,Nizakat Khan,1,{'wides': 1},{}
1st innings,Bangladesh,13.6,Farhad Reza,Nizakat Khan,0,{},"{'fielders': ['JJ Atkinson'], 'kind': 'caught', 'player_out': 'Farhad Reza'}"
1st innings,Bangladesh,13.7,Abdur Razzak,Nizakat Khan,0,{},"{'fielders': ['JJ Atkinson'], 'kind': 'caught', 'player_out': 'Abdur Razzak'}"
1st innings,Bangladesh,13.8,Rubel Hossain,Nizakat Khan,0,{},{}
1st innings,Bangladesh,14.1,Nasir Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,14.2,Nasir Hossain,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,14.3,Rubel Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,14.4,Rubel Hossain,Nadeem Ahmed,0,{},"{'kind': 'bowled', 'player_out': 'Rubel Hossain'}"
1st innings,Bangladesh,14.5,Al-Amin Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,14.6,Al-Amin Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,15.1,Nasir Hossain,Nizakat Khan,2,{},{}
1st innings,Bangladesh,15.2,Nasir Hossain,Nizakat Khan,0,{},{}
1st innings,Bangladesh,15.3,Nasir Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,15.4,Al-Amin Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,15.5,Nasir Hossain,Nizakat Khan,1,{},{}
1st innings,Bangladesh,15.6,Al-Amin Hossain,Nizakat Khan,0,{},{}
1st innings,Bangladesh,16.1,Nasir Hossain,Nadeem Ahmed,0,{},{}
1st innings,Bangladesh,16.2,Nasir Hossain,Nadeem Ahmed,1,{},{}
1st innings,Bangladesh,16.3,Al-Amin Hossain,Nadeem Ahmed,0,{},"{'fielders': ['Babar Hayat'], 'kind': 'caught', 'player_out': 'Al-Amin Hossain'}"
2nd innings,Hong Kong,0.1,Waqas Barkat,Al-Amin Hossain,2,{'wides': 2},{}
2nd innings,Hong Kong,0.2,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,0.3,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,0.4,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,0.5,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,0.6,Irfan Ahmed,Al-Amin Hossain,2,{},{}
2nd innings,Hong Kong,0.7,Irfan Ahmed,Al-Amin Hossain,6,{},{}
2nd innings,Hong Kong,1.1,Waqas Barkat,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,1.2,Waqas Barkat,Shakib Al Hasan,0,{},"{'fielders': ['Mushfiqur Rahim'], 'kind': 'stumped', 'player_out': 'Waqas Barkat'}"
2nd innings,Hong Kong,1.3,JJ Atkinson,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,1.4,JJ Atkinson,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,1.5,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,1.6,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,2.1,JJ Atkinson,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,2.2,JJ Atkinson,Abdur Razzak,1,{},{}
2nd innings,Hong Kong,2.3,Irfan Ahmed,Abdur Razzak,4,{},{}
2nd innings,Hong Kong,2.4,Irfan Ahmed,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,2.5,Irfan Ahmed,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,2.6,Irfan Ahmed,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,3.1,JJ Atkinson,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,3.2,JJ Atkinson,Shakib Al Hasan,1,{'wides': 1},{}
2nd innings,Hong Kong,3.3,JJ Atkinson,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,3.4,JJ Atkinson,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,3.5,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,3.6,Irfan Ahmed,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,3.7,JJ Atkinson,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,4.1,JJ Atkinson,Abdur Razzak,1,{},{}
2nd innings,Hong Kong,4.2,Irfan Ahmed,Abdur Razzak,6,{},{}
2nd innings,Hong Kong,4.3,Irfan Ahmed,Abdur Razzak,4,{},{}
2nd innings,Hong Kong,4.4,Irfan Ahmed,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,4.5,Irfan Ahmed,Abdur Razzak,4,{},{}
2nd innings,Hong Kong,4.6,Irfan Ahmed,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,5.1,JJ Atkinson,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,5.2,JJ Atkinson,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,5.3,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,5.4,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,5.5,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,5.6,Irfan Ahmed,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,6.1,JJ Atkinson,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,6.2,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,6.3,Irfan Ahmed,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,6.4,Irfan Ahmed,Al-Amin Hossain,6,{},{}
2nd innings,Hong Kong,6.5,Irfan Ahmed,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,6.6,JJ Atkinson,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,7.1,Irfan Ahmed,Shakib Al Hasan,0,{},"{'kind': 'lbw', 'player_out': 'Irfan Ahmed'}"
2nd innings,Hong Kong,7.2,MS Chapman,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,7.3,MS Chapman,Shakib Al Hasan,0,{},{}
2nd innings,Hong Kong,7.4,MS Chapman,Shakib Al Hasan,2,{},{}
2nd innings,Hong Kong,7.5,MS Chapman,Shakib Al Hasan,1,{},{}
2nd innings,Hong Kong,7.6,JJ Atkinson,Shakib Al Hasan,0,{},"{'kind': 'lbw', 'player_out': 'JJ Atkinson'}"
2nd innings,Hong Kong,8.1,MS Chapman,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,8.2,Babar Hayat,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,8.3,Babar Hayat,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,8.4,MS Chapman,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,8.5,Babar Hayat,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,8.6,Babar Hayat,Al-Amin Hossain,0,{},"{'fielders': ['Mushfiqur Rahim'], 'kind': 'caught', 'player_out': 'Babar Hayat'}"
2nd innings,Hong Kong,9.1,MS Chapman,Mahmudullah,0,{},"{'kind': 'bowled', 'player_out': 'MS Chapman'}"
2nd innings,Hong Kong,9.2,Munir Dar,Mahmudullah,0,{},{}
2nd innings,Hong Kong,9.3,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,9.4,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,9.5,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,9.6,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,10.1,Munir Dar,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,10.2,Nizakat Khan,Al-Amin Hossain,2,{},{}
2nd innings,Hong Kong,10.3,Nizakat Khan,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,10.4,Munir Dar,Al-Amin Hossain,1,{},{}
2nd innings,Hong Kong,10.5,Nizakat Khan,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,10.6,Nizakat Khan,Al-Amin Hossain,0,{},{}
2nd innings,Hong Kong,11.1,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,11.2,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,11.3,Nizakat Khan,Mahmudullah,1,{},{}
2nd innings,Hong Kong,11.4,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,11.5,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,11.6,Nizakat Khan,Mahmudullah,1,{},{}
2nd innings,Hong Kong,12.1,Nizakat Khan,Farhad Reza,0,{},{}
2nd innings,Hong Kong,12.2,Nizakat Khan,Farhad Reza,1,{},{}
2nd innings,Hong Kong,12.3,Munir Dar,Farhad Reza,4,{},{}
2nd innings,Hong Kong,12.4,Munir Dar,Farhad Reza,1,{},{}
2nd innings,Hong Kong,12.5,Nizakat Khan,Farhad Reza,1,{},{}
2nd innings,Hong Kong,12.6,Munir Dar,Farhad Reza,1,{},{}
2nd innings,Hong Kong,13.1,Munir Dar,Mahmudullah,0,{},{}
2nd innings,Hong Kong,13.2,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,13.3,Nizakat Khan,Mahmudullah,1,{},{}
2nd innings,Hong Kong,13.4,Munir Dar,Mahmudullah,2,{},{}
2nd innings,Hong Kong,13.5,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,13.6,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,14.1,Munir Dar,Rubel Hossain,2,{},{}
2nd innings,Hong Kong,14.2,Munir Dar,Rubel Hossain,1,{},{}
2nd innings,Hong Kong,14.3,Nizakat Khan,Rubel Hossain,2,{},{}
2nd innings,Hong Kong,14.4,Nizakat Khan,Rubel Hossain,1,{},{}
2nd innings,Hong Kong,14.5,Munir Dar,Rubel Hossain,0,{},{}
2nd innings,Hong Kong,14.6,Munir Dar,Rubel Hossain,1,{},{}
2nd innings,Hong Kong,15.1,Munir Dar,Mahmudullah,0,{},{}
2nd innings,Hong Kong,15.2,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,15.3,Nizakat Khan,Mahmudullah,1,{},{}
2nd innings,Hong Kong,15.4,Munir Dar,Mahmudullah,1,{},{}
2nd innings,Hong Kong,15.5,Nizakat Khan,Mahmudullah,0,{},{}
2nd innings,Hong Kong,15.6,Nizakat Khan,Mahmudullah,0,{},"{'fielders': ['Mominul Haque (sub)'], 'kind': 'caught', 'player_out': 'Nizakat Khan'}"
2nd innings,Hong Kong,16.1,Munir Dar,Farhad Reza,4,{},{}
2nd innings,Hong Kong,16.2,Munir Dar,Farhad Reza,6,{},{}
2nd innings,Hong Kong,16.3,Munir Dar,Farhad Reza,0,{},{}
2nd innings,Hong Kong,16.4,Munir Dar,Farhad Reza,4,{},{}
2nd innings,Hong Kong,16.5,Munir Dar,Farhad Reza,1,{},{}
2nd innings,Hong Kong,16.6,Tanwir Afzal,Farhad Reza,0,{},{}
2nd innings,Hong Kong,17.1,Munir Dar,Abdur Razzak,1,{'legbyes': 1},{}
2nd innings,Hong Kong,17.2,Tanwir Afzal,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,17.3,Tanwir Afzal,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,17.4,Tanwir Afzal,Abdur Razzak,1,{'legbyes': 1},{}
2nd innings,Hong Kong,17.5,Munir Dar,Abdur Razzak,0,{},"{'kind': 'lbw', 'player_out': 'Munir Dar'}"
2nd innings,Hong Kong,17.6,Haseeb Amjad,Abdur Razzak,0,{},{}
2nd innings,Hong Kong,18.1,Tanwir Afzal,Sabbir Rahman,0,{},{}
2nd innings,Hong Kong,18.2,Tanwir Afzal,Sabbir Rahman,0,{},{}
2nd innings,Hong Kong,18.3,Tanwir Afzal,Sabbir Rahman,0,{},"{'kind': 'bowled', 'player_out': 'Tanwir Afzal'}"
2nd innings,Hong Kong,18.4,Nadeem Ahmed,Sabbir Rahman,1,{},{}
2nd innings,Hong Kong,18.5,Haseeb Amjad,Sabbir Rahman,2,{},{}
2nd innings,Hong Kong,18.6,Haseeb Amjad,Sabbir Rahman,0,{},{}
2nd innings,Hong Kong,19.1,Nadeem Ahmed,Abdur Razzak,1,{},{}
2nd innings,Hong Kong,19.2,Haseeb Amjad,Abdur Razzak,2,{},{}
2nd innings,Hong Kong,19.3,Haseeb Amjad,Abdur Razzak,2,{},{}
2nd innings,Hong Kong,19.4,Haseeb Amjad,Abdur Razzak,6,{},{}
