inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,WTS Porterfield,MR Swart,0,{},{}
1st innings,Ireland,0.2,WTS Porterfield,MR Swart,1,{},{}
1st innings,Ireland,0.3,PR Stirling,MR Swart,1,{},{}
1st innings,Ireland,0.4,WTS Porterfield,MR Swart,0,{},{}
1st innings,Ireland,0.5,WTS Porterfield,MR Swart,0,{},{}
1st innings,Ireland,0.6,WTS Porterfield,MR Swart,4,{},{}
1st innings,Ireland,1.1,PR Stirling,T van der Gugten,0,{},{}
1st innings,Ireland,1.2,PR Stirling,T van der Gugten,2,{},{}
1st innings,Ireland,1.3,PR Stirling,T van der Gugten,0,{},{}
1st innings,Ireland,1.4,PR Stirling,T van der Gugten,0,{},{}
1st innings,Ireland,1.5,PR Stirling,T van der Gugten,4,{},{}
1st innings,Ireland,1.6,PR Stirling,T van der Gugten,0,{},{}
1st innings,Ireland,2.1,WTS Porterfield,Ahsan Malik,2,{},{}
1st innings,Ireland,2.2,WTS Porterfield,Ahsan Malik,2,{},{}
1st innings,Ireland,2.3,WTS Porterfield,Ahsan Malik,4,{},{}
1st innings,Ireland,2.4,WTS Porterfield,Ahsan Malik,6,{},{}
1st innings,Ireland,2.5,WTS Porterfield,Ahsan Malik,1,{},{}
1st innings,Ireland,2.6,PR Stirling,Ahsan Malik,0,{},{}
1st innings,Ireland,3.1,WTS Porterfield,T van der Gugten,1,{},{}
1st innings,Ireland,3.2,PR Stirling,T van der Gugten,0,{},"{'fielders': ['PW Borren'], 'kind': 'caught', 'player_out': 'PR Stirling'}"
1st innings,Ireland,3.3,WTS Porterfield,T van der Gugten,4,{},{}
1st innings,Ireland,3.4,WTS Porterfield,T van der Gugten,0,{},{}
1st innings,Ireland,3.5,WTS Porterfield,T van der Gugten,4,{},{}
1st innings,Ireland,3.6,WTS Porterfield,T van der Gugten,0,{},{}
1st innings,Ireland,4.1,EC Joyce,MR Swart,0,{},{}
1st innings,Ireland,4.2,EC Joyce,MR Swart,0,{},{}
1st innings,Ireland,4.3,EC Joyce,MR Swart,1,{},{}
1st innings,Ireland,4.4,WTS Porterfield,MR Swart,6,{},{}
1st innings,Ireland,4.5,WTS Porterfield,MR Swart,0,{},{}
1st innings,Ireland,4.6,WTS Porterfield,MR Swart,0,{},{}
1st innings,Ireland,5.1,EC Joyce,Mudassar Bukhari,0,{},{}
1st innings,Ireland,5.2,EC Joyce,Mudassar Bukhari,0,{},{}
1st innings,Ireland,5.3,EC Joyce,Mudassar Bukhari,1,{},{}
1st innings,Ireland,5.4,WTS Porterfield,Mudassar Bukhari,4,{},{}
1st innings,Ireland,5.5,WTS Porterfield,Mudassar Bukhari,0,{},{}
1st innings,Ireland,5.6,WTS Porterfield,Mudassar Bukhari,0,{},{}
1st innings,Ireland,6.1,EC Joyce,TLW Cooper,1,{},{}
1st innings,Ireland,6.2,WTS Porterfield,TLW Cooper,0,{},{}
1st innings,Ireland,6.3,WTS Porterfield,TLW Cooper,1,{},{}
1st innings,Ireland,6.4,EC Joyce,TLW Cooper,1,{},{}
1st innings,Ireland,6.5,WTS Porterfield,TLW Cooper,1,{},{}
1st innings,Ireland,6.6,EC Joyce,TLW Cooper,4,{},{}
1st innings,Ireland,7.1,WTS Porterfield,PW Borren,1,{},{}
1st innings,Ireland,7.2,EC Joyce,PW Borren,1,{},{}
1st innings,Ireland,7.3,WTS Porterfield,PW Borren,2,{},{}
1st innings,Ireland,7.4,WTS Porterfield,PW Borren,1,{},{}
1st innings,Ireland,7.5,EC Joyce,PW Borren,1,{'legbyes': 1},{}
1st innings,Ireland,7.6,WTS Porterfield,PW Borren,1,{'wides': 1},{}
1st innings,Ireland,7.7,WTS Porterfield,PW Borren,0,{},{}
1st innings,Ireland,8.1,EC Joyce,PM Seelaar,2,{},{}
1st innings,Ireland,8.2,EC Joyce,PM Seelaar,1,{},{}
1st innings,Ireland,8.3,WTS Porterfield,PM Seelaar,1,{},{}
1st innings,Ireland,8.4,EC Joyce,PM Seelaar,1,{},{}
1st innings,Ireland,8.5,WTS Porterfield,PM Seelaar,0,{},{}
1st innings,Ireland,8.6,WTS Porterfield,PM Seelaar,1,{},{}
1st innings,Ireland,9.1,WTS Porterfield,Ahsan Malik,0,{},"{'kind': 'bowled', 'player_out': 'WTS Porterfield'}"
1st innings,Ireland,9.2,AD Poynter,Ahsan Malik,1,{},{}
1st innings,Ireland,9.3,EC Joyce,Ahsan Malik,0,{},{}
1st innings,Ireland,9.4,EC Joyce,Ahsan Malik,1,{},{}
1st innings,Ireland,9.5,AD Poynter,Ahsan Malik,0,{},{}
1st innings,Ireland,9.6,AD Poynter,Ahsan Malik,0,{},{}
1st innings,Ireland,10.1,EC Joyce,PM Seelaar,6,{},{}
1st innings,Ireland,10.2,EC Joyce,PM Seelaar,1,{},{}
1st innings,Ireland,10.3,AD Poynter,PM Seelaar,0,{},{}
1st innings,Ireland,10.4,AD Poynter,PM Seelaar,1,{},{}
1st innings,Ireland,10.5,EC Joyce,PM Seelaar,0,{},{}
1st innings,Ireland,10.6,EC Joyce,PM Seelaar,1,{},{}
1st innings,Ireland,11.1,EC Joyce,MR Swart,1,{},{}
1st innings,Ireland,11.2,AD Poynter,MR Swart,0,{},{}
1st innings,Ireland,11.3,AD Poynter,MR Swart,1,{},{}
1st innings,Ireland,11.4,EC Joyce,MR Swart,1,{},{}
1st innings,Ireland,11.5,AD Poynter,MR Swart,1,{},{}
1st innings,Ireland,11.6,EC Joyce,MR Swart,1,{},{}
1st innings,Ireland,12.1,EC Joyce,Mudassar Bukhari,2,{},{}
1st innings,Ireland,12.2,EC Joyce,Mudassar Bukhari,1,{},{}
1st innings,Ireland,12.3,AD Poynter,Mudassar Bukhari,0,{},"{'fielders': ['W Barresi'], 'kind': 'run out', 'player_out': 'EC Joyce'}"
1st innings,Ireland,12.4,KJ O'Brien,Mudassar Bukhari,1,{},{}
1st innings,Ireland,12.5,AD Poynter,Mudassar Bukhari,1,{'wides': 1},{}
1st innings,Ireland,12.6,AD Poynter,Mudassar Bukhari,2,{},{}
1st innings,Ireland,12.7,AD Poynter,Mudassar Bukhari,1,{},{}
1st innings,Ireland,13.1,AD Poynter,PW Borren,6,{},{}
1st innings,Ireland,13.2,AD Poynter,PW Borren,1,{},{}
1st innings,Ireland,13.3,KJ O'Brien,PW Borren,4,{},{}
1st innings,Ireland,13.4,KJ O'Brien,PW Borren,1,{},{}
1st innings,Ireland,13.5,AD Poynter,PW Borren,0,{},{}
1st innings,Ireland,13.6,AD Poynter,PW Borren,1,{},{}
1st innings,Ireland,14.1,AD Poynter,Mudassar Bukhari,0,{},{}
1st innings,Ireland,14.2,AD Poynter,Mudassar Bukhari,4,{},{}
1st innings,Ireland,14.3,AD Poynter,Mudassar Bukhari,1,{},{}
1st innings,Ireland,14.4,KJ O'Brien,Mudassar Bukhari,6,{},{}
1st innings,Ireland,14.5,KJ O'Brien,Mudassar Bukhari,1,{},{}
1st innings,Ireland,14.6,AD Poynter,Mudassar Bukhari,1,{},{}
1st innings,Ireland,15.1,AD Poynter,MR Swart,1,{},{}
1st innings,Ireland,15.2,KJ O'Brien,MR Swart,1,{},{}
1st innings,Ireland,15.3,AD Poynter,MR Swart,6,{},{}
1st innings,Ireland,15.4,AD Poynter,MR Swart,6,{},{}
1st innings,Ireland,15.5,AD Poynter,MR Swart,6,{},{}
1st innings,Ireland,15.6,AD Poynter,MR Swart,1,{},{}
1st innings,Ireland,16.1,AD Poynter,T van der Gugten,4,{},{}
1st innings,Ireland,16.2,AD Poynter,T van der Gugten,4,{},{}
1st innings,Ireland,16.3,AD Poynter,T van der Gugten,1,{},{}
1st innings,Ireland,16.4,KJ O'Brien,T van der Gugten,0,{},{}
1st innings,Ireland,16.5,KJ O'Brien,T van der Gugten,2,{},{}
1st innings,Ireland,16.6,KJ O'Brien,T van der Gugten,6,{},{}
1st innings,Ireland,17.1,AD Poynter,Ahsan Malik,0,{},{}
1st innings,Ireland,17.2,AD Poynter,Ahsan Malik,1,{},{}
1st innings,Ireland,17.3,KJ O'Brien,Ahsan Malik,1,{},{}
1st innings,Ireland,17.4,AD Poynter,Ahsan Malik,0,{},{}
1st innings,Ireland,17.5,AD Poynter,Ahsan Malik,1,{},{}
