inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,United Arab Emirates,0.1,Shaiman Anwar,P Utseya,0,{},{}
1st innings,United Arab Emirates,0.2,Shaiman Anwar,P Utseya,1,{},{}
1st innings,United Arab Emirates,0.3,Faizan Asif,P Utseya,1,{},{}
1st innings,United Arab Emirates,0.4,Shaiman Anwar,P Utseya,4,{},{}
1st innings,United Arab Emirates,0.5,Shaiman Anwar,P Utseya,1,{},{}
1st innings,United Arab Emirates,0.6,Faizan Asif,P Utseya,0,{},{}
1st innings,United Arab Emirates,1.1,Shaiman Anwar,TL Chatara,0,{},{}
1st innings,United Arab Emirates,1.2,Shaiman Anwar,TL Chatara,0,{},"{'fielders': ['BRM Taylor'], 'kind': 'caught', 'player_out': 'Shaiman Anwar'}"
1st innings,United Arab Emirates,1.3,Khurram Khan,TL Chatara,1,{},{}
1st innings,United Arab Emirates,1.4,Faizan Asif,TL Chatara,0,{},"{'fielders': ['Sikandar Raza'], 'kind': 'run out', 'player_out': 'Faizan Asif'}"
1st innings,United Arab Emirates,1.5,Khurram Khan,TL Chatara,0,{},{}
1st innings,United Arab Emirates,1.6,Khurram Khan,TL Chatara,0,{},{}
1st innings,United Arab Emirates,2.1,SP Patil,P Utseya,1,{},{}
1st innings,United Arab Emirates,2.2,Khurram Khan,P Utseya,1,{},{}
1st innings,United Arab Emirates,2.3,SP Patil,P Utseya,0,{},{}
1st innings,United Arab Emirates,2.4,SP Patil,P Utseya,0,{},{}
1st innings,United Arab Emirates,2.5,SP Patil,P Utseya,1,{},{}
1st innings,United Arab Emirates,2.6,Khurram Khan,P Utseya,0,{},{}
1st innings,United Arab Emirates,3.1,SP Patil,T Panyangara,4,{},{}
1st innings,United Arab Emirates,3.2,SP Patil,T Panyangara,1,{},{}
1st innings,United Arab Emirates,3.3,Khurram Khan,T Panyangara,0,{},{}
1st innings,United Arab Emirates,3.4,Khurram Khan,T Panyangara,0,{},{}
1st innings,United Arab Emirates,3.5,Khurram Khan,T Panyangara,0,{},{}
1st innings,United Arab Emirates,3.6,Khurram Khan,T Panyangara,0,{},{}
1st innings,United Arab Emirates,4.1,SP Patil,TL Chatara,0,{},{}
1st innings,United Arab Emirates,4.2,SP Patil,TL Chatara,0,{},{}
1st innings,United Arab Emirates,4.3,SP Patil,TL Chatara,0,{},{}
1st innings,United Arab Emirates,4.4,SP Patil,TL Chatara,1,{},{}
1st innings,United Arab Emirates,4.5,Khurram Khan,TL Chatara,0,{},{}
1st innings,United Arab Emirates,4.6,Khurram Khan,TL Chatara,0,{},{}
1st innings,United Arab Emirates,5.1,SP Patil,T Panyangara,4,{},{}
1st innings,United Arab Emirates,5.2,SP Patil,T Panyangara,1,{},{}
1st innings,United Arab Emirates,5.3,Khurram Khan,T Panyangara,1,{},{}
1st innings,United Arab Emirates,5.4,SP Patil,T Panyangara,4,{},{}
