inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,0.2,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,0.3,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,0.4,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,0.5,DR Smith,B Kumar,1,{},{}
1st innings,West Indies,0.6,CH Gayle,B Kumar,0,{},{}
1st innings,West Indies,1.1,DR Smith,Mohammed Shami,0,{},{}
1st innings,West Indies,1.2,DR Smith,Mohammed Shami,1,{'wides': 1},{}
1st innings,West Indies,1.3,DR Smith,Mohammed Shami,1,{'wides': 1},{}
1st innings,West Indies,1.4,DR Smith,Mohammed Shami,0,{},{}
1st innings,West Indies,1.5,DR Smith,Mohammed Shami,0,{},{}
1st innings,West Indies,1.6,DR Smith,Mohammed Shami,1,{},{}
1st innings,West Indies,1.7,CH Gayle,Mohammed Shami,0,{},{}
1st innings,West Indies,1.8,CH Gayle,Mohammed Shami,0,{},{}
1st innings,West Indies,2.1,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,2.2,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,2.3,DR Smith,B Kumar,1,{'wides': 1},{}
1st innings,West Indies,2.4,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,2.5,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,2.6,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,2.7,DR Smith,B Kumar,0,{},{}
1st innings,West Indies,3.1,CH Gayle,Mohammed Shami,1,{'wides': 1},{}
1st innings,West Indies,3.2,CH Gayle,Mohammed Shami,0,{},{}
1st innings,West Indies,3.3,CH Gayle,Mohammed Shami,0,{},{}
1st innings,West Indies,3.4,CH Gayle,Mohammed Shami,6,{},{}
1st innings,West Indies,3.5,CH Gayle,Mohammed Shami,0,{},{}
1st innings,West Indies,3.6,CH Gayle,Mohammed Shami,4,{},{}
