inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,Q de Kock,KD Mills,1,{},{}
1st innings,South Africa,0.2,HM Amla,KD Mills,0,{},{}
1st innings,South Africa,0.3,HM Amla,KD Mills,1,{},{}
1st innings,South Africa,0.4,Q de Kock,KD Mills,0,{},{}
1st innings,South Africa,0.5,Q de Kock,KD Mills,0,{},{}
1st innings,South Africa,0.6,Q de Kock,KD Mills,1,{},{}
1st innings,South Africa,1.1,Q de Kock,MJ McClenaghan,1,{},{}
1st innings,South Africa,1.2,HM Amla,MJ McClenaghan,2,{},{}
1st innings,South Africa,1.3,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,1.4,HM Amla,MJ McClenaghan,4,{},{}
1st innings,South Africa,1.5,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,1.6,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,2.1,Q de Kock,KD Mills,1,{},{}
1st innings,South Africa,2.2,HM Amla,KD Mills,2,{},{}
1st innings,South Africa,2.3,HM Amla,KD Mills,2,{},{}
1st innings,South Africa,2.4,HM Amla,KD Mills,1,{},{}
1st innings,South Africa,2.5,Q de Kock,KD Mills,0,{},{}
1st innings,South Africa,2.6,Q de Kock,KD Mills,0,{},"{'fielders': ['L Ronchi'], 'kind': 'caught', 'player_out': 'Q de Kock'}"
1st innings,South Africa,3.1,HM Amla,MJ McClenaghan,2,{},{}
1st innings,South Africa,3.2,HM Amla,MJ McClenaghan,1,{},{}
1st innings,South Africa,3.3,F du Plessis,MJ McClenaghan,0,{},{}
1st innings,South Africa,3.4,F du Plessis,MJ McClenaghan,3,{},{}
1st innings,South Africa,3.5,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,3.6,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,4.1,F du Plessis,TG Southee,0,{},{}
1st innings,South Africa,4.2,F du Plessis,TG Southee,0,{},{}
1st innings,South Africa,4.3,F du Plessis,TG Southee,2,{},{}
1st innings,South Africa,4.4,F du Plessis,TG Southee,4,{},{}
1st innings,South Africa,4.5,F du Plessis,TG Southee,4,{},{}
1st innings,South Africa,4.6,F du Plessis,TG Southee,0,{},"{'fielders': ['NL McCullum'], 'kind': 'caught', 'player_out': 'F du Plessis'}"
1st innings,South Africa,5.1,HM Amla,MJ McClenaghan,2,{},{}
1st innings,South Africa,5.2,HM Amla,MJ McClenaghan,1,{},{}
1st innings,South Africa,5.3,AB de Villiers,MJ McClenaghan,0,{},{}
1st innings,South Africa,5.4,AB de Villiers,MJ McClenaghan,0,{},{}
1st innings,South Africa,5.5,AB de Villiers,MJ McClenaghan,4,{},{}
1st innings,South Africa,5.6,AB de Villiers,MJ McClenaghan,0,{},{}
1st innings,South Africa,6.1,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,6.2,AB de Villiers,NL McCullum,1,{},{}
1st innings,South Africa,6.3,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,6.4,AB de Villiers,NL McCullum,0,{},"{'kind': 'bowled', 'player_out': 'AB de Villiers'}"
1st innings,South Africa,6.5,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,6.6,HM Amla,NL McCullum,0,{},{}
1st innings,South Africa,7.1,JP Duminy,TG Southee,0,{},{}
1st innings,South Africa,7.2,JP Duminy,TG Southee,1,{},{}
1st innings,South Africa,7.3,HM Amla,TG Southee,2,{},{}
1st innings,South Africa,7.4,HM Amla,TG Southee,1,{},{}
1st innings,South Africa,7.5,JP Duminy,TG Southee,1,{},{}
1st innings,South Africa,7.6,HM Amla,TG Southee,1,{},{}
1st innings,South Africa,8.1,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,8.2,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,8.3,HM Amla,NL McCullum,0,{},{}
1st innings,South Africa,8.4,HM Amla,NL McCullum,4,{},{}
1st innings,South Africa,8.5,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,8.6,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,9.1,JP Duminy,CJ Anderson,0,{},{}
1st innings,South Africa,9.2,JP Duminy,CJ Anderson,1,{},{}
1st innings,South Africa,9.3,HM Amla,CJ Anderson,1,{},{}
1st innings,South Africa,9.4,JP Duminy,CJ Anderson,1,{},{}
1st innings,South Africa,9.5,HM Amla,CJ Anderson,0,{},{}
1st innings,South Africa,9.6,HM Amla,CJ Anderson,1,{},{}
1st innings,South Africa,10.1,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,10.2,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,10.3,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,10.4,JP Duminy,NL McCullum,2,{},{}
1st innings,South Africa,10.5,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,10.6,HM Amla,NL McCullum,0,{},{}
1st innings,South Africa,11.1,JP Duminy,MJ McClenaghan,0,{},{}
1st innings,South Africa,11.2,JP Duminy,MJ McClenaghan,0,{},{}
1st innings,South Africa,11.3,JP Duminy,MJ McClenaghan,1,{'wides': 1},{}
1st innings,South Africa,11.4,JP Duminy,MJ McClenaghan,2,{},{}
1st innings,South Africa,11.5,JP Duminy,MJ McClenaghan,6,{},{}
1st innings,South Africa,11.6,JP Duminy,MJ McClenaghan,1,{},{}
1st innings,South Africa,11.7,HM Amla,MJ McClenaghan,0,{},{}
1st innings,South Africa,12.1,JP Duminy,NL McCullum,1,{},{}
1st innings,South Africa,12.2,HM Amla,NL McCullum,1,{},{}
1st innings,South Africa,12.3,JP Duminy,NL McCullum,1,{},{}
