inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Tamim Iqbal,B Kumar,0,{},{}
1st innings,Bangladesh,0.2,Tamim Iqbal,B Kumar,4,{},{}
1st innings,Bangladesh,0.3,Tamim Iqbal,B Kumar,1,{},{}
1st innings,Bangladesh,0.4,Anamul Haque,B Kumar,4,{},{}
1st innings,Bangladesh,0.5,Anamul Haque,B Kumar,0,{},{}
1st innings,Bangladesh,0.6,Anamul Haque,B Kumar,4,{},{}
1st innings,Bangladesh,1.1,Tamim Iqbal,R Ashwin,0,{},{}
1st innings,Bangladesh,1.2,Tamim Iqbal,R Ashwin,0,{},{}
1st innings,Bangladesh,1.3,Tamim Iqbal,R Ashwin,1,{},{}
1st innings,Bangladesh,1.4,Anamul Haque,R Ashwin,1,{},{}
1st innings,Bangladesh,1.5,Tamim Iqbal,R Ashwin,0,{},{}
1st innings,Bangladesh,1.6,Tamim Iqbal,R Ashwin,0,{},{}
1st innings,Bangladesh,2.1,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,2.2,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,2.3,Anamul Haque,Mohammed Shami,4,{},{}
1st innings,Bangladesh,2.4,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,2.5,Anamul Haque,Mohammed Shami,1,{'wides': 1},{}
1st innings,Bangladesh,2.6,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,2.7,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,3.1,Tamim Iqbal,R Ashwin,0,{},{}
1st innings,Bangladesh,3.2,Tamim Iqbal,R Ashwin,0,{},"{'fielders': ['SK Raina'], 'kind': 'caught', 'player_out': 'Tamim Iqbal'}"
1st innings,Bangladesh,3.3,Shamsur Rahman,R Ashwin,0,{},"{'fielders': ['RG Sharma'], 'kind': 'caught', 'player_out': 'Shamsur Rahman'}"
1st innings,Bangladesh,3.4,Shakib Al Hasan,R Ashwin,1,{},{}
1st innings,Bangladesh,3.5,Anamul Haque,R Ashwin,0,{},{}
1st innings,Bangladesh,3.6,Anamul Haque,R Ashwin,0,{},{}
1st innings,Bangladesh,4.1,Shakib Al Hasan,B Kumar,0,{},"{'kind': 'bowled', 'player_out': 'Shakib Al Hasan'}"
1st innings,Bangladesh,4.2,Mushfiqur Rahim,B Kumar,0,{},{}
1st innings,Bangladesh,4.3,Mushfiqur Rahim,B Kumar,0,{},{}
1st innings,Bangladesh,4.4,Mushfiqur Rahim,B Kumar,1,{},{}
1st innings,Bangladesh,4.5,Anamul Haque,B Kumar,0,{},{}
1st innings,Bangladesh,4.6,Anamul Haque,B Kumar,0,{},{}
1st innings,Bangladesh,5.1,Mushfiqur Rahim,R Ashwin,0,{},{}
1st innings,Bangladesh,5.2,Mushfiqur Rahim,R Ashwin,1,{},{}
1st innings,Bangladesh,5.3,Anamul Haque,R Ashwin,4,{},{}
1st innings,Bangladesh,5.4,Anamul Haque,R Ashwin,0,{},{}
1st innings,Bangladesh,5.5,Anamul Haque,R Ashwin,0,{},{}
1st innings,Bangladesh,5.6,Anamul Haque,R Ashwin,0,{},{}
1st innings,Bangladesh,6.1,Mushfiqur Rahim,RA Jadeja,0,{},{}
1st innings,Bangladesh,6.2,Mushfiqur Rahim,RA Jadeja,1,{},{}
1st innings,Bangladesh,6.3,Anamul Haque,RA Jadeja,1,{},{}
1st innings,Bangladesh,6.4,Mushfiqur Rahim,RA Jadeja,1,{},{}
1st innings,Bangladesh,6.5,Anamul Haque,RA Jadeja,4,{},{}
1st innings,Bangladesh,6.6,Anamul Haque,RA Jadeja,1,{},{}
1st innings,Bangladesh,7.1,Anamul Haque,SK Raina,0,{},{}
1st innings,Bangladesh,7.2,Anamul Haque,SK Raina,1,{},{}
1st innings,Bangladesh,7.3,Mushfiqur Rahim,SK Raina,4,{},{}
1st innings,Bangladesh,7.4,Mushfiqur Rahim,SK Raina,1,{},{}
1st innings,Bangladesh,7.5,Anamul Haque,SK Raina,1,{},{}
1st innings,Bangladesh,7.6,Mushfiqur Rahim,SK Raina,1,{},{}
1st innings,Bangladesh,8.1,Mushfiqur Rahim,RA Jadeja,0,{},{}
1st innings,Bangladesh,8.2,Mushfiqur Rahim,RA Jadeja,4,{},{}
1st innings,Bangladesh,8.3,Mushfiqur Rahim,RA Jadeja,4,{},{}
1st innings,Bangladesh,8.4,Mushfiqur Rahim,RA Jadeja,0,{},{}
1st innings,Bangladesh,8.5,Mushfiqur Rahim,RA Jadeja,0,{},{}
1st innings,Bangladesh,8.6,Mushfiqur Rahim,RA Jadeja,0,{},{}
1st innings,Bangladesh,9.1,Anamul Haque,A Mishra,1,{},{}
1st innings,Bangladesh,9.2,Mushfiqur Rahim,A Mishra,1,{},{}
1st innings,Bangladesh,9.3,Anamul Haque,A Mishra,1,{},{}
1st innings,Bangladesh,9.4,Mushfiqur Rahim,A Mishra,1,{},{}
1st innings,Bangladesh,9.5,Anamul Haque,A Mishra,0,{},{}
1st innings,Bangladesh,9.6,Anamul Haque,A Mishra,1,{},{}
1st innings,Bangladesh,10.1,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,10.2,Anamul Haque,Mohammed Shami,0,{},{}
1st innings,Bangladesh,10.3,Anamul Haque,Mohammed Shami,6,{},{}
