inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,0.2,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,0.3,SJ Myburgh,KD Mills,4,{},{}
1st innings,Netherlands,0.4,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,0.5,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,0.6,SJ Myburgh,KD Mills,1,{},{}
1st innings,Netherlands,1.1,SJ Myburgh,TA Boult,1,{},{}
1st innings,Netherlands,1.2,MR Swart,TA Boult,0,{},{}
1st innings,Netherlands,1.3,MR Swart,TA Boult,0,{},{}
1st innings,Netherlands,1.4,MR Swart,TA Boult,4,{},{}
1st innings,Netherlands,1.5,MR Swart,TA Boult,0,{},{}
1st innings,Netherlands,1.6,MR Swart,TA Boult,1,{},{}
1st innings,Netherlands,2.1,MR Swart,KD Mills,1,{},{}
1st innings,Netherlands,2.2,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,2.3,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,2.4,SJ Myburgh,KD Mills,0,{},{}
1st innings,Netherlands,2.5,SJ Myburgh,KD Mills,1,{},{}
1st innings,Netherlands,2.6,MR Swart,KD Mills,1,{},{}
1st innings,Netherlands,3.1,MR Swart,TA Boult,1,{},{}
1st innings,Netherlands,3.2,SJ Myburgh,TA Boult,2,{},{}
1st innings,Netherlands,3.3,SJ Myburgh,TA Boult,0,{},{}
1st innings,Netherlands,3.4,SJ Myburgh,TA Boult,4,{'byes': 4},{}
1st innings,Netherlands,3.5,SJ Myburgh,TA Boult,0,{},{}
1st innings,Netherlands,3.6,SJ Myburgh,TA Boult,1,{},{}
1st innings,Netherlands,4.1,SJ Myburgh,CJ Anderson,0,{},{}
1st innings,Netherlands,4.2,SJ Myburgh,CJ Anderson,0,{},{}
1st innings,Netherlands,4.3,SJ Myburgh,CJ Anderson,0,{},{}
1st innings,Netherlands,4.4,SJ Myburgh,CJ Anderson,0,{},{}
1st innings,Netherlands,4.5,SJ Myburgh,CJ Anderson,0,{},{}
1st innings,Netherlands,4.6,SJ Myburgh,CJ Anderson,1,{'wides': 1},{}
1st innings,Netherlands,4.7,SJ Myburgh,CJ Anderson,6,{},{}
1st innings,Netherlands,5.1,MR Swart,TA Boult,0,{},{}
1st innings,Netherlands,5.2,MR Swart,TA Boult,4,{},{}
1st innings,Netherlands,5.3,MR Swart,TA Boult,0,{},{}
1st innings,Netherlands,5.4,MR Swart,TA Boult,1,{},{}
1st innings,Netherlands,5.5,SJ Myburgh,TA Boult,0,{},"{'fielders': ['MJ Guptill'], 'kind': 'caught', 'player_out': 'SJ Myburgh'}"
1st innings,Netherlands,5.6,MR Swart,TA Boult,2,{'noballs': 1},{}
1st innings,Netherlands,5.7,W Barresi,TA Boult,1,{},{}
1st innings,Netherlands,6.1,W Barresi,NL McCullum,0,{},{}
1st innings,Netherlands,6.2,W Barresi,NL McCullum,1,{},{}
1st innings,Netherlands,6.3,MR Swart,NL McCullum,1,{},{}
1st innings,Netherlands,6.4,W Barresi,NL McCullum,0,{},{}
1st innings,Netherlands,6.5,W Barresi,NL McCullum,0,{},{}
1st innings,Netherlands,6.6,W Barresi,NL McCullum,1,{},{}
1st innings,Netherlands,7.1,W Barresi,MJ McClenaghan,1,{},{}
1st innings,Netherlands,7.2,MR Swart,MJ McClenaghan,0,{},{}
1st innings,Netherlands,7.3,MR Swart,MJ McClenaghan,1,{},{}
1st innings,Netherlands,7.4,W Barresi,MJ McClenaghan,0,{},"{'fielders': ['L Ronchi'], 'kind': 'caught', 'player_out': 'W Barresi'}"
1st innings,Netherlands,7.5,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,7.6,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,8.1,MR Swart,NL McCullum,1,{},{}
1st innings,Netherlands,8.2,PW Borren,NL McCullum,1,{},{}
1st innings,Netherlands,8.3,MR Swart,NL McCullum,4,{'byes': 4},{}
1st innings,Netherlands,8.4,MR Swart,NL McCullum,0,{},{}
1st innings,Netherlands,8.5,MR Swart,NL McCullum,1,{},{}
1st innings,Netherlands,8.6,PW Borren,NL McCullum,1,{},{}
1st innings,Netherlands,9.1,PW Borren,MJ McClenaghan,1,{'wides': 1},{}
1st innings,Netherlands,9.2,PW Borren,MJ McClenaghan,4,{},{}
1st innings,Netherlands,9.3,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,9.4,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,9.5,PW Borren,MJ McClenaghan,1,{},{}
1st innings,Netherlands,9.6,MR Swart,MJ McClenaghan,2,{},{}
1st innings,Netherlands,9.7,MR Swart,MJ McClenaghan,4,{},{}
1st innings,Netherlands,10.1,PW Borren,NL McCullum,0,{},{}
1st innings,Netherlands,10.2,PW Borren,NL McCullum,4,{},{}
1st innings,Netherlands,10.3,PW Borren,NL McCullum,1,{},{}
1st innings,Netherlands,10.4,MR Swart,NL McCullum,0,{},{}
1st innings,Netherlands,10.5,MR Swart,NL McCullum,1,{},{}
1st innings,Netherlands,10.6,PW Borren,NL McCullum,1,{},{}
1st innings,Netherlands,11.1,PW Borren,CJ Anderson,4,{},{}
1st innings,Netherlands,11.2,PW Borren,CJ Anderson,4,{},{}
1st innings,Netherlands,11.3,PW Borren,CJ Anderson,2,{},{}
1st innings,Netherlands,11.4,PW Borren,CJ Anderson,1,{},{}
1st innings,Netherlands,11.5,MR Swart,CJ Anderson,1,{},{}
1st innings,Netherlands,11.6,PW Borren,CJ Anderson,0,{},{}
1st innings,Netherlands,12.1,MR Swart,NL McCullum,0,{},"{'fielders': ['L Ronchi'], 'kind': 'stumped', 'player_out': 'MR Swart'}"
1st innings,Netherlands,12.2,TLW Cooper,NL McCullum,1,{},{}
1st innings,Netherlands,12.3,PW Borren,NL McCullum,1,{},{}
1st innings,Netherlands,12.4,TLW Cooper,NL McCullum,0,{},{}
1st innings,Netherlands,12.5,TLW Cooper,NL McCullum,0,{},{}
1st innings,Netherlands,12.6,TLW Cooper,NL McCullum,4,{},{}
1st innings,Netherlands,13.1,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,13.2,PW Borren,MJ McClenaghan,1,{},{}
1st innings,Netherlands,13.3,TLW Cooper,MJ McClenaghan,1,{},{}
1st innings,Netherlands,13.4,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,13.5,PW Borren,MJ McClenaghan,1,{'legbyes': 1},{}
1st innings,Netherlands,13.6,TLW Cooper,MJ McClenaghan,1,{},{}
1st innings,Netherlands,14.1,TLW Cooper,KS Williamson,1,{},{}
1st innings,Netherlands,14.2,PW Borren,KS Williamson,6,{},{}
1st innings,Netherlands,14.3,PW Borren,KS Williamson,2,{},{}
1st innings,Netherlands,14.4,PW Borren,KS Williamson,4,{},{}
1st innings,Netherlands,14.5,PW Borren,KS Williamson,0,{},{}
1st innings,Netherlands,14.6,PW Borren,KS Williamson,4,{},{}
1st innings,Netherlands,15.1,TLW Cooper,MJ McClenaghan,1,{},{}
1st innings,Netherlands,15.2,PW Borren,MJ McClenaghan,1,{'legbyes': 1},{}
1st innings,Netherlands,15.3,TLW Cooper,MJ McClenaghan,4,{},{}
1st innings,Netherlands,15.4,TLW Cooper,MJ McClenaghan,6,{},{}
1st innings,Netherlands,15.5,TLW Cooper,MJ McClenaghan,1,{},{}
1st innings,Netherlands,15.6,PW Borren,MJ McClenaghan,0,{},{}
1st innings,Netherlands,16.1,TLW Cooper,JDS Neesham,1,{},{}
1st innings,Netherlands,16.2,PW Borren,JDS Neesham,1,{},{}
1st innings,Netherlands,16.3,TLW Cooper,JDS Neesham,4,{},{}
1st innings,Netherlands,16.4,TLW Cooper,JDS Neesham,1,{},{}
1st innings,Netherlands,16.5,PW Borren,JDS Neesham,0,{},{}
1st innings,Netherlands,16.6,PW Borren,JDS Neesham,1,{},{}
1st innings,Netherlands,17.1,PW Borren,KD Mills,4,{},{}
1st innings,Netherlands,17.2,PW Borren,KD Mills,1,{},{}
1st innings,Netherlands,17.3,TLW Cooper,KD Mills,6,{},{}
1st innings,Netherlands,17.4,TLW Cooper,KD Mills,0,{},{}
1st innings,Netherlands,17.5,TLW Cooper,KD Mills,1,{},{}
1st innings,Netherlands,17.6,PW Borren,KD Mills,0,{},"{'fielders': ['KS Williamson'], 'kind': 'caught', 'player_out': 'PW Borren'}"
1st innings,Netherlands,18.1,TLW Cooper,JDS Neesham,1,{},{}
1st innings,Netherlands,18.2,BN Cooper,JDS Neesham,0,{},{}
1st innings,Netherlands,18.3,BN Cooper,JDS Neesham,0,{},{}
1st innings,Netherlands,18.4,BN Cooper,JDS Neesham,0,{},{}
1st innings,Netherlands,18.5,BN Cooper,JDS Neesham,0,{},{}
1st innings,Netherlands,18.6,BN Cooper,JDS Neesham,0,{},{}
1st innings,Netherlands,19.1,TLW Cooper,TA Boult,1,{},{}
1st innings,Netherlands,19.2,BN Cooper,TA Boult,1,{},{}
1st innings,Netherlands,19.3,TLW Cooper,TA Boult,4,{},{}
1st innings,Netherlands,19.4,TLW Cooper,TA Boult,2,{'legbyes': 2},{}
1st innings,Netherlands,19.5,TLW Cooper,TA Boult,0,{},{}
1st innings,Netherlands,19.6,TLW Cooper,TA Boult,1,{},{}
2nd innings,New Zealand,0.1,MJ Guptill,MR Swart,0,{},{}
2nd innings,New Zealand,0.2,MJ Guptill,MR Swart,1,{'wides': 1},{}
2nd innings,New Zealand,0.3,MJ Guptill,MR Swart,0,{},{}
2nd innings,New Zealand,0.4,MJ Guptill,MR Swart,4,{},{}
2nd innings,New Zealand,0.5,MJ Guptill,MR Swart,0,{},{}
2nd innings,New Zealand,0.6,MJ Guptill,MR Swart,1,{},{}
2nd innings,New Zealand,0.7,KS Williamson,MR Swart,0,{},{}
2nd innings,New Zealand,1.1,MJ Guptill,T van der Gugten,0,{},{}
2nd innings,New Zealand,1.2,MJ Guptill,T van der Gugten,0,{},{}
2nd innings,New Zealand,1.3,MJ Guptill,T van der Gugten,0,{},{}
2nd innings,New Zealand,1.4,MJ Guptill,T van der Gugten,2,{},{}
2nd innings,New Zealand,1.5,MJ Guptill,T van der Gugten,1,{},{}
2nd innings,New Zealand,1.6,KS Williamson,T van der Gugten,0,{},{}
2nd innings,New Zealand,2.1,MJ Guptill,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,2.2,MJ Guptill,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,2.3,MJ Guptill,Mudassar Bukhari,1,{},{}
2nd innings,New Zealand,2.4,KS Williamson,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,2.5,KS Williamson,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,2.6,KS Williamson,Mudassar Bukhari,4,{},{}
2nd innings,New Zealand,3.1,MJ Guptill,T van der Gugten,0,{},{}
2nd innings,New Zealand,3.2,MJ Guptill,T van der Gugten,0,{},"{'fielders': ['W Barresi'], 'kind': 'caught', 'player_out': 'MJ Guptill'}"
2nd innings,New Zealand,3.3,BB McCullum,T van der Gugten,0,{},{}
2nd innings,New Zealand,3.4,BB McCullum,T van der Gugten,1,{},{}
2nd innings,New Zealand,3.5,KS Williamson,T van der Gugten,1,{},{}
2nd innings,New Zealand,3.6,BB McCullum,T van der Gugten,4,{},{}
2nd innings,New Zealand,4.1,KS Williamson,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,4.2,KS Williamson,Mudassar Bukhari,0,{},{}
2nd innings,New Zealand,4.3,KS Williamson,Mudassar Bukhari,1,{'legbyes': 1},{}
2nd innings,New Zealand,4.4,BB McCullum,Mudassar Bukhari,1,{},{}
2nd innings,New Zealand,4.5,KS Williamson,Mudassar Bukhari,4,{},{}
2nd innings,New Zealand,4.6,KS Williamson,Mudassar Bukhari,4,{},{}
2nd innings,New Zealand,5.1,BB McCullum,Ahsan Malik,0,{},{}
2nd innings,New Zealand,5.2,BB McCullum,Ahsan Malik,1,{},{}
2nd innings,New Zealand,5.3,KS Williamson,Ahsan Malik,4,{},{}
2nd innings,New Zealand,5.4,KS Williamson,Ahsan Malik,2,{},{}
2nd innings,New Zealand,5.5,KS Williamson,Ahsan Malik,1,{},{}
2nd innings,New Zealand,5.6,BB McCullum,Ahsan Malik,4,{},{}
2nd innings,New Zealand,6.1,KS Williamson,PW Borren,0,{},{}
2nd innings,New Zealand,6.2,KS Williamson,PW Borren,1,{},{}
2nd innings,New Zealand,6.3,BB McCullum,PW Borren,1,{},{}
2nd innings,New Zealand,6.4,KS Williamson,PW Borren,1,{},{}
2nd innings,New Zealand,6.5,BB McCullum,PW Borren,0,{},{}
2nd innings,New Zealand,6.6,BB McCullum,PW Borren,1,{},{}
2nd innings,New Zealand,7.1,BB McCullum,PM Seelaar,1,{},{}
2nd innings,New Zealand,7.2,KS Williamson,PM Seelaar,4,{},{}
2nd innings,New Zealand,7.3,KS Williamson,PM Seelaar,0,{},{}
2nd innings,New Zealand,7.4,KS Williamson,PM Seelaar,1,{},{}
2nd innings,New Zealand,7.5,BB McCullum,PM Seelaar,1,{},{}
2nd innings,New Zealand,7.6,KS Williamson,PM Seelaar,2,{},{}
2nd innings,New Zealand,8.1,BB McCullum,LV van Beek,0,{},{}
2nd innings,New Zealand,8.2,BB McCullum,LV van Beek,1,{},{}
2nd innings,New Zealand,8.3,KS Williamson,LV van Beek,0,{},"{'fielders': ['W Barresi'], 'kind': 'caught', 'player_out': 'KS Williamson'}"
2nd innings,New Zealand,8.4,LRPL Taylor,LV van Beek,1,{},{}
2nd innings,New Zealand,8.5,BB McCullum,LV van Beek,1,{},{}
2nd innings,New Zealand,8.6,LRPL Taylor,LV van Beek,1,{},{}
2nd innings,New Zealand,9.1,LRPL Taylor,PW Borren,1,{},{}
2nd innings,New Zealand,9.2,BB McCullum,PW Borren,1,{},{}
2nd innings,New Zealand,9.3,LRPL Taylor,PW Borren,1,{},{}
2nd innings,New Zealand,9.4,BB McCullum,PW Borren,1,{},{}
2nd innings,New Zealand,9.5,LRPL Taylor,PW Borren,1,{},{}
2nd innings,New Zealand,9.6,BB McCullum,PW Borren,1,{},{}
2nd innings,New Zealand,10.1,BB McCullum,LV van Beek,1,{},{}
2nd innings,New Zealand,10.2,LRPL Taylor,LV van Beek,1,{},{}
2nd innings,New Zealand,10.3,BB McCullum,LV van Beek,1,{},{}
2nd innings,New Zealand,10.4,LRPL Taylor,LV van Beek,4,{},{}
2nd innings,New Zealand,10.5,LRPL Taylor,LV van Beek,1,{},{}
2nd innings,New Zealand,10.6,BB McCullum,LV van Beek,2,{},{}
2nd innings,New Zealand,11.1,LRPL Taylor,PM Seelaar,1,{},{}
2nd innings,New Zealand,11.2,BB McCullum,PM Seelaar,2,{},{}
2nd innings,New Zealand,11.3,BB McCullum,PM Seelaar,0,{},{}
2nd innings,New Zealand,11.4,BB McCullum,PM Seelaar,4,{},{}
2nd innings,New Zealand,11.5,BB McCullum,PM Seelaar,0,{},{}
2nd innings,New Zealand,11.6,BB McCullum,PM Seelaar,0,{},{}
2nd innings,New Zealand,12.1,LRPL Taylor,T van der Gugten,6,{},{}
2nd innings,New Zealand,12.2,LRPL Taylor,T van der Gugten,0,{},"{'fielders': ['W Barresi'], 'kind': 'caught', 'player_out': 'LRPL Taylor'}"
2nd innings,New Zealand,12.3,BB McCullum,T van der Gugten,0,{},{}
2nd innings,New Zealand,12.4,BB McCullum,T van der Gugten,2,{},{}
2nd innings,New Zealand,12.5,BB McCullum,T van der Gugten,0,{},{}
2nd innings,New Zealand,12.6,BB McCullum,T van der Gugten,1,{},{}
2nd innings,New Zealand,13.1,BB McCullum,Ahsan Malik,1,{},{}
2nd innings,New Zealand,13.2,CJ Anderson,Ahsan Malik,0,{},{}
2nd innings,New Zealand,13.3,CJ Anderson,Ahsan Malik,0,{},{}
2nd innings,New Zealand,13.4,CJ Anderson,Ahsan Malik,2,{},{}
2nd innings,New Zealand,13.5,CJ Anderson,Ahsan Malik,1,{},{}
2nd innings,New Zealand,13.6,BB McCullum,Ahsan Malik,1,{},{}
2nd innings,New Zealand,14.1,BB McCullum,Mudassar Bukhari,1,{'legbyes': 1},{}
2nd innings,New Zealand,14.2,CJ Anderson,Mudassar Bukhari,1,{},{}
2nd innings,New Zealand,14.3,BB McCullum,Mudassar Bukhari,6,{},{}
2nd innings,New Zealand,14.4,BB McCullum,Mudassar Bukhari,2,{},{}
2nd innings,New Zealand,14.5,BB McCullum,Mudassar Bukhari,0,{},{}
