inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Ahmed Shehzad,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,0.2,Ahmed Shehzad,Mashrafe Mortaza,1,{},{}
1st innings,Pakistan,0.3,Kamran Akmal,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,0.4,Kamran Akmal,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,0.5,Kamran Akmal,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,0.6,Kamran Akmal,Mashrafe Mortaza,4,{},{}
1st innings,Pakistan,1.1,Ahmed Shehzad,Al-Amin Hossain,1,{},{}
1st innings,Pakistan,1.2,Kamran Akmal,Al-Amin Hossain,1,{},{}
1st innings,Pakistan,1.3,Ahmed Shehzad,Al-Amin Hossain,4,{},{}
1st innings,Pakistan,1.4,Ahmed Shehzad,Al-Amin Hossain,0,{},{}
1st innings,Pakistan,1.5,Ahmed Shehzad,Al-Amin Hossain,4,{},{}
1st innings,Pakistan,1.6,Ahmed Shehzad,Al-Amin Hossain,1,{},{}
1st innings,Pakistan,2.1,Ahmed Shehzad,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,2.2,Ahmed Shehzad,Mashrafe Mortaza,4,{},{}
1st innings,Pakistan,2.3,Ahmed Shehzad,Mashrafe Mortaza,4,{},{}
1st innings,Pakistan,2.4,Ahmed Shehzad,Mashrafe Mortaza,4,{},{}
1st innings,Pakistan,2.5,Ahmed Shehzad,Mashrafe Mortaza,0,{},{}
1st innings,Pakistan,2.6,Ahmed Shehzad,Mashrafe Mortaza,6,{},{}
1st innings,Pakistan,3.1,Kamran Akmal,Shakib Al Hasan,0,{},{}
1st innings,Pakistan,3.2,Kamran Akmal,Shakib Al Hasan,4,{},{}
1st innings,Pakistan,3.3,Kamran Akmal,Shakib Al Hasan,3,{'byes': 3},{}
1st innings,Pakistan,3.4,Ahmed Shehzad,Shakib Al Hasan,1,{},{}
1st innings,Pakistan,3.5,Kamran Akmal,Shakib Al Hasan,0,{},{}
1st innings,Pakistan,3.6,Kamran Akmal,Shakib Al Hasan,0,{},{}
1st innings,Pakistan,4.1,Ahmed Shehzad,Abdur Razzak,1,{},{}
1st innings,Pakistan,4.2,Kamran Akmal,Abdur Razzak,0,{},{}
1st innings,Pakistan,4.3,Kamran Akmal,Abdur Razzak,0,{},"{'fielders': ['Ziaur Rahman'], 'kind': 'caught', 'player_out': 'Kamran Akmal'}"
1st innings,Pakistan,4.4,Mohammad Hafeez,Abdur Razzak,0,{},{}
1st innings,Pakistan,4.5,Mohammad Hafeez,Abdur Razzak,1,{},{}
1st innings,Pakistan,4.6,Ahmed Shehzad,Abdur Razzak,1,{'wides': 1},{}
1st innings,Pakistan,4.7,Ahmed Shehzad,Abdur Razzak,1,{},{}
1st innings,Pakistan,5.1,Ahmed Shehzad,Shakib Al Hasan,1,{},{}
1st innings,Pakistan,5.2,Mohammad Hafeez,Shakib Al Hasan,0,{},{}
1st innings,Pakistan,5.3,Mohammad Hafeez,Shakib Al Hasan,0,{},{}
1st innings,Pakistan,5.4,Mohammad Hafeez,Shakib Al Hasan,1,{},{}
1st innings,Pakistan,5.5,Ahmed Shehzad,Shakib Al Hasan,1,{},{}
1st innings,Pakistan,5.6,Mohammad Hafeez,Shakib Al Hasan,1,{},{}
