inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,MR Swart,MM Ali,1,{},{}
1st innings,Netherlands,0.2,SJ Myburgh,MM Ali,4,{},{}
1st innings,Netherlands,0.3,SJ Myburgh,MM Ali,4,{},{}
1st innings,Netherlands,0.4,SJ Myburgh,MM Ali,0,{},{}
1st innings,Netherlands,0.5,SJ Myburgh,MM Ali,4,{},{}
1st innings,Netherlands,0.6,SJ Myburgh,MM Ali,0,{},{}
1st innings,Netherlands,1.1,MR Swart,TT Bresnan,0,{},{}
1st innings,Netherlands,1.2,MR Swart,TT Bresnan,0,{},{}
1st innings,Netherlands,1.3,MR Swart,TT Bresnan,0,{},{}
1st innings,Netherlands,1.4,MR Swart,TT Bresnan,4,{},{}
1st innings,Netherlands,1.5,MR Swart,TT Bresnan,1,{},{}
1st innings,Netherlands,1.6,SJ Myburgh,TT Bresnan,0,{},{}
1st innings,Netherlands,2.1,MR Swart,CJ Jordan,1,{'wides': 1},{}
1st innings,Netherlands,2.2,MR Swart,CJ Jordan,0,{},{}
1st innings,Netherlands,2.3,MR Swart,CJ Jordan,4,{},{}
1st innings,Netherlands,2.4,MR Swart,CJ Jordan,0,{},{}
1st innings,Netherlands,2.5,MR Swart,CJ Jordan,1,{},{}
1st innings,Netherlands,2.6,SJ Myburgh,CJ Jordan,4,{},{}
1st innings,Netherlands,2.7,SJ Myburgh,CJ Jordan,4,{'legbyes': 4},{}
1st innings,Netherlands,3.1,MR Swart,SCJ Broad,0,{},{}
1st innings,Netherlands,3.2,MR Swart,SCJ Broad,2,{},{}
1st innings,Netherlands,3.3,MR Swart,SCJ Broad,0,{},{}
1st innings,Netherlands,3.4,MR Swart,SCJ Broad,0,{},{}
1st innings,Netherlands,3.5,MR Swart,SCJ Broad,0,{},"{'fielders': ['SD Parry'], 'kind': 'caught', 'player_out': 'MR Swart'}"
1st innings,Netherlands,3.6,W Barresi,SCJ Broad,0,{},{}
1st innings,Netherlands,4.1,SJ Myburgh,JC Tredwell,1,{},{}
1st innings,Netherlands,4.2,W Barresi,JC Tredwell,1,{},{}
1st innings,Netherlands,4.3,SJ Myburgh,JC Tredwell,3,{'byes': 3},{}
1st innings,Netherlands,4.4,W Barresi,JC Tredwell,4,{},{}
1st innings,Netherlands,4.5,W Barresi,JC Tredwell,0,{},{}
1st innings,Netherlands,4.6,W Barresi,JC Tredwell,0,{},{}
1st innings,Netherlands,5.1,SJ Myburgh,SCJ Broad,0,{},{}
1st innings,Netherlands,5.2,SJ Myburgh,SCJ Broad,0,{},{}
1st innings,Netherlands,5.3,SJ Myburgh,SCJ Broad,4,{},{}
1st innings,Netherlands,5.4,SJ Myburgh,SCJ Broad,0,{},{}
1st innings,Netherlands,5.5,SJ Myburgh,SCJ Broad,0,{},{}
1st innings,Netherlands,5.6,SJ Myburgh,SCJ Broad,0,{},{}
1st innings,Netherlands,6.1,W Barresi,JC Tredwell,1,{},{}
