inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Tamim Iqbal,MA Starc,1,{},{}
1st innings,Bangladesh,0.2,Anamul Haque,MA Starc,0,{},{}
1st innings,Bangladesh,0.3,Anamul Haque,MA Starc,0,{},{}
1st innings,Bangladesh,0.4,Anamul Haque,MA Starc,0,{},{}
1st innings,Bangladesh,0.5,Anamul Haque,MA Starc,0,{},{}
1st innings,Bangladesh,0.6,Anamul Haque,MA Starc,0,{},{}
1st innings,Bangladesh,1.1,Tamim Iqbal,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,1.2,Tamim Iqbal,NM Coulter-Nile,1,{'wides': 1},{}
1st innings,Bangladesh,1.3,Tamim Iqbal,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,1.4,Tamim Iqbal,NM Coulter-Nile,1,{'wides': 1},{}
1st innings,Bangladesh,1.5,Tamim Iqbal,NM Coulter-Nile,1,{},{}
1st innings,Bangladesh,1.6,Anamul Haque,NM Coulter-Nile,0,{},"{'fielders': ['SR Watson'], 'kind': 'caught', 'player_out': 'Anamul Haque'}"
1st innings,Bangladesh,1.7,Shakib Al Hasan,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,1.8,Shakib Al Hasan,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,2.1,Tamim Iqbal,MA Starc,1,{'wides': 1},{}
1st innings,Bangladesh,2.2,Tamim Iqbal,MA Starc,0,{},{}
1st innings,Bangladesh,2.3,Tamim Iqbal,MA Starc,0,{},{}
1st innings,Bangladesh,2.4,Tamim Iqbal,MA Starc,0,{},{}
1st innings,Bangladesh,2.5,Tamim Iqbal,MA Starc,0,{},{}
1st innings,Bangladesh,2.6,Tamim Iqbal,MA Starc,3,{},{}
1st innings,Bangladesh,2.7,Shakib Al Hasan,MA Starc,4,{},{}
1st innings,Bangladesh,3.1,Tamim Iqbal,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,3.2,Tamim Iqbal,NM Coulter-Nile,0,{},"{'fielders': ['DE Bollinger'], 'kind': 'caught', 'player_out': 'Tamim Iqbal'}"
1st innings,Bangladesh,3.3,Mushfiqur Rahim,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,3.4,Mushfiqur Rahim,NM Coulter-Nile,1,{},{}
1st innings,Bangladesh,3.5,Shakib Al Hasan,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,3.6,Shakib Al Hasan,NM Coulter-Nile,0,{},{}
1st innings,Bangladesh,4.1,Mushfiqur Rahim,DE Bollinger,0,{},{}
1st innings,Bangladesh,4.2,Mushfiqur Rahim,DE Bollinger,0,{},{}
1st innings,Bangladesh,4.3,Mushfiqur Rahim,DE Bollinger,1,{},{}
1st innings,Bangladesh,4.4,Shakib Al Hasan,DE Bollinger,6,{},{}
1st innings,Bangladesh,4.5,Shakib Al Hasan,DE Bollinger,0,{},{}
1st innings,Bangladesh,4.6,Shakib Al Hasan,DE Bollinger,1,{},{}
1st innings,Bangladesh,5.1,Shakib Al Hasan,SR Watson,0,{},{}
1st innings,Bangladesh,5.2,Shakib Al Hasan,SR Watson,0,{},{}
1st innings,Bangladesh,5.3,Shakib Al Hasan,SR Watson,0,{},{}
1st innings,Bangladesh,5.4,Shakib Al Hasan,SR Watson,4,{'legbyes': 4},{}
1st innings,Bangladesh,5.5,Shakib Al Hasan,SR Watson,6,{},{}
1st innings,Bangladesh,5.6,Shakib Al Hasan,SR Watson,1,{},{}
1st innings,Bangladesh,6.1,Shakib Al Hasan,GJ Maxwell,4,{},{}
1st innings,Bangladesh,6.2,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,6.3,Mushfiqur Rahim,GJ Maxwell,4,{},{}
1st innings,Bangladesh,6.4,Mushfiqur Rahim,GJ Maxwell,1,{},{}
1st innings,Bangladesh,6.5,Shakib Al Hasan,GJ Maxwell,0,{},{}
1st innings,Bangladesh,6.6,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,7.1,Shakib Al Hasan,DE Bollinger,1,{},{}
1st innings,Bangladesh,7.2,Mushfiqur Rahim,DE Bollinger,1,{},{}
1st innings,Bangladesh,7.3,Shakib Al Hasan,DE Bollinger,1,{},{}
1st innings,Bangladesh,7.4,Mushfiqur Rahim,DE Bollinger,1,{},{}
1st innings,Bangladesh,7.5,Shakib Al Hasan,DE Bollinger,4,{},{}
1st innings,Bangladesh,7.6,Shakib Al Hasan,DE Bollinger,0,{},{}
1st innings,Bangladesh,8.1,Mushfiqur Rahim,SR Watson,1,{},{}
1st innings,Bangladesh,8.2,Shakib Al Hasan,SR Watson,1,{},{}
1st innings,Bangladesh,8.3,Mushfiqur Rahim,SR Watson,0,{},{}
1st innings,Bangladesh,8.4,Mushfiqur Rahim,SR Watson,1,{'byes': 1},{}
1st innings,Bangladesh,8.5,Shakib Al Hasan,SR Watson,0,{},{}
1st innings,Bangladesh,8.6,Shakib Al Hasan,SR Watson,1,{},{}
1st innings,Bangladesh,9.1,Shakib Al Hasan,NM Coulter-Nile,1,{},{}
1st innings,Bangladesh,9.2,Mushfiqur Rahim,NM Coulter-Nile,1,{},{}
1st innings,Bangladesh,9.3,Shakib Al Hasan,NM Coulter-Nile,2,{},{}
1st innings,Bangladesh,9.4,Shakib Al Hasan,NM Coulter-Nile,4,{},{}
1st innings,Bangladesh,9.5,Shakib Al Hasan,NM Coulter-Nile,1,{},{}
1st innings,Bangladesh,9.6,Mushfiqur Rahim,NM Coulter-Nile,4,{},{}
1st innings,Bangladesh,10.1,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,10.2,Mushfiqur Rahim,GJ Maxwell,1,{},{}
1st innings,Bangladesh,10.3,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,10.4,Mushfiqur Rahim,GJ Maxwell,6,{},{}
1st innings,Bangladesh,10.5,Mushfiqur Rahim,GJ Maxwell,1,{},{}
1st innings,Bangladesh,10.6,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,11.1,Shakib Al Hasan,DE Bollinger,2,{},{}
1st innings,Bangladesh,11.2,Shakib Al Hasan,DE Bollinger,1,{},{}
1st innings,Bangladesh,11.3,Mushfiqur Rahim,DE Bollinger,1,{},{}
1st innings,Bangladesh,11.4,Shakib Al Hasan,DE Bollinger,1,{},{}
1st innings,Bangladesh,11.5,Mushfiqur Rahim,DE Bollinger,4,{},{}
1st innings,Bangladesh,11.6,Mushfiqur Rahim,DE Bollinger,0,{},{}
1st innings,Bangladesh,12.1,Shakib Al Hasan,DT Christian,1,{},{}
1st innings,Bangladesh,12.2,Mushfiqur Rahim,DT Christian,1,{},{}
1st innings,Bangladesh,12.3,Shakib Al Hasan,DT Christian,1,{},{}
1st innings,Bangladesh,12.4,Mushfiqur Rahim,DT Christian,0,{},{}
1st innings,Bangladesh,12.5,Mushfiqur Rahim,DT Christian,2,{},{}
1st innings,Bangladesh,12.6,Mushfiqur Rahim,DT Christian,4,{},{}
1st innings,Bangladesh,13.1,Shakib Al Hasan,GJ Maxwell,1,{'byes': 1},{}
1st innings,Bangladesh,13.2,Mushfiqur Rahim,GJ Maxwell,0,{},{}
1st innings,Bangladesh,13.3,Mushfiqur Rahim,GJ Maxwell,1,{},{}
1st innings,Bangladesh,13.4,Shakib Al Hasan,GJ Maxwell,0,{},{}
1st innings,Bangladesh,13.5,Shakib Al Hasan,GJ Maxwell,1,{},{}
1st innings,Bangladesh,13.6,Mushfiqur Rahim,GJ Maxwell,2,{'noballs': 1},{}
1st innings,Bangladesh,13.7,Shakib Al Hasan,GJ Maxwell,6,{},{}
1st innings,Bangladesh,14.1,Mushfiqur Rahim,DT Christian,1,{},{}
1st innings,Bangladesh,14.2,Shakib Al Hasan,DT Christian,1,{},{}
1st innings,Bangladesh,14.3,Mushfiqur Rahim,DT Christian,0,{},{}
1st innings,Bangladesh,14.4,Mushfiqur Rahim,DT Christian,1,{},{}
1st innings,Bangladesh,14.5,Shakib Al Hasan,DT Christian,1,{},{}
1st innings,Bangladesh,14.6,Mushfiqur Rahim,DT Christian,4,{},{}
1st innings,Bangladesh,15.1,Shakib Al Hasan,MA Starc,1,{},{}
1st innings,Bangladesh,15.2,Mushfiqur Rahim,MA Starc,1,{'wides': 1},{}
1st innings,Bangladesh,15.3,Mushfiqur Rahim,MA Starc,1,{},{}
1st innings,Bangladesh,15.4,Shakib Al Hasan,MA Starc,1,{},{}
1st innings,Bangladesh,15.5,Mushfiqur Rahim,MA Starc,2,{},{}
1st innings,Bangladesh,15.6,Mushfiqur Rahim,MA Starc,1,{},{}
1st innings,Bangladesh,15.7,Shakib Al Hasan,MA Starc,0,{},{}
1st innings,Bangladesh,16.1,Mushfiqur Rahim,SR Watson,1,{'wides': 1},{}
1st innings,Bangladesh,16.2,Mushfiqur Rahim,SR Watson,0,{},{}
1st innings,Bangladesh,16.3,Mushfiqur Rahim,SR Watson,0,{},"{'fielders': ['GJ Maxwell'], 'kind': 'caught', 'player_out': 'Mushfiqur Rahim'}"
1st innings,Bangladesh,16.4,Shakib Al Hasan,SR Watson,1,{'wides': 1},{}
1st innings,Bangladesh,16.5,Shakib Al Hasan,SR Watson,1,{},{}
1st innings,Bangladesh,16.6,Mahmudullah,SR Watson,1,{},{}
1st innings,Bangladesh,16.7,Shakib Al Hasan,SR Watson,0,{},{}
1st innings,Bangladesh,16.8,Shakib Al Hasan,SR Watson,1,{'wides': 1},{}
1st innings,Bangladesh,16.9,Shakib Al Hasan,SR Watson,1,{},{}
