inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,0.2,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,0.3,DR Smith,Mohammad Hafeez,4,{},{}
1st innings,West Indies,0.4,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,0.5,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,0.6,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,1.1,CH Gayle,Sohail Tanvir,1,{'wides': 1},{}
1st innings,West Indies,1.2,CH Gayle,Sohail Tanvir,4,{},{}
1st innings,West Indies,1.3,CH Gayle,Sohail Tanvir,0,{},{}
1st innings,West Indies,1.4,CH Gayle,Sohail Tanvir,1,{},{}
1st innings,West Indies,1.5,DR Smith,Sohail Tanvir,0,{},{}
1st innings,West Indies,1.6,DR Smith,Sohail Tanvir,0,{},{}
1st innings,West Indies,1.7,DR Smith,Sohail Tanvir,0,{},{}
1st innings,West Indies,2.1,CH Gayle,Mohammad Hafeez,0,{},"{'fielders': ['Kamran Akmal'], 'kind': 'stumped', 'player_out': 'CH Gayle'}"
1st innings,West Indies,2.2,LMP Simmons,Mohammad Hafeez,0,{},{}
1st innings,West Indies,2.3,LMP Simmons,Mohammad Hafeez,4,{},{}
1st innings,West Indies,2.4,LMP Simmons,Mohammad Hafeez,3,{},{}
1st innings,West Indies,2.5,DR Smith,Mohammad Hafeez,4,{},{}
1st innings,West Indies,2.6,DR Smith,Mohammad Hafeez,0,{},{}
1st innings,West Indies,3.1,LMP Simmons,Sohail Tanvir,0,{},{}
1st innings,West Indies,3.2,LMP Simmons,Sohail Tanvir,0,{},{}
1st innings,West Indies,3.3,LMP Simmons,Sohail Tanvir,1,{},{}
1st innings,West Indies,3.4,DR Smith,Sohail Tanvir,0,{},{}
1st innings,West Indies,3.5,DR Smith,Sohail Tanvir,0,{},"{'fielders': ['Kamran Akmal'], 'kind': 'caught', 'player_out': 'DR Smith'}"
1st innings,West Indies,3.6,MN Samuels,Sohail Tanvir,0,{},{}
1st innings,West Indies,4.1,LMP Simmons,Zulfiqar Babar,0,{},{}
1st innings,West Indies,4.2,LMP Simmons,Zulfiqar Babar,0,{},{}
1st innings,West Indies,4.3,LMP Simmons,Zulfiqar Babar,6,{},{}
1st innings,West Indies,4.4,LMP Simmons,Zulfiqar Babar,4,{},{}
1st innings,West Indies,4.5,LMP Simmons,Zulfiqar Babar,0,{},{}
1st innings,West Indies,4.6,LMP Simmons,Zulfiqar Babar,0,{},{}
1st innings,West Indies,5.1,MN Samuels,Sohail Tanvir,0,{},{}
1st innings,West Indies,5.2,MN Samuels,Sohail Tanvir,1,{},{}
1st innings,West Indies,5.3,LMP Simmons,Sohail Tanvir,1,{},{}
1st innings,West Indies,5.4,MN Samuels,Sohail Tanvir,4,{},{}
1st innings,West Indies,5.5,MN Samuels,Sohail Tanvir,1,{'legbyes': 1},{}
1st innings,West Indies,5.6,LMP Simmons,Sohail Tanvir,0,{},{}
1st innings,West Indies,6.1,MN Samuels,Shahid Afridi,0,{},{}
1st innings,West Indies,6.2,MN Samuels,Shahid Afridi,1,{},{}
1st innings,West Indies,6.3,LMP Simmons,Shahid Afridi,0,{},{}
1st innings,West Indies,6.4,LMP Simmons,Shahid Afridi,0,{},{}
1st innings,West Indies,6.5,LMP Simmons,Shahid Afridi,1,{},{}
1st innings,West Indies,6.6,MN Samuels,Shahid Afridi,2,{},{}
1st innings,West Indies,7.1,LMP Simmons,Umar Gul,1,{},{}
1st innings,West Indies,7.2,MN Samuels,Umar Gul,1,{},{}
1st innings,West Indies,7.3,LMP Simmons,Umar Gul,0,{},{}
1st innings,West Indies,7.4,LMP Simmons,Umar Gul,0,{},{}
1st innings,West Indies,7.5,LMP Simmons,Umar Gul,6,{},{}
1st innings,West Indies,7.6,LMP Simmons,Umar Gul,0,{},{}
1st innings,West Indies,8.1,MN Samuels,Shahid Afridi,0,{},{}
1st innings,West Indies,8.2,MN Samuels,Shahid Afridi,1,{},{}
1st innings,West Indies,8.3,LMP Simmons,Shahid Afridi,2,{},{}
1st innings,West Indies,8.4,LMP Simmons,Shahid Afridi,1,{},{}
1st innings,West Indies,8.5,MN Samuels,Shahid Afridi,2,{},{}
1st innings,West Indies,8.6,MN Samuels,Shahid Afridi,1,{},{}
