inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,Q de Kock,B Kumar,2,{},{}
1st innings,South Africa,0.2,Q de Kock,B Kumar,1,{'wides': 1},{}
1st innings,South Africa,0.3,Q de Kock,B Kumar,2,{'legbyes': 2},{}
1st innings,South Africa,0.4,Q de Kock,B Kumar,4,{},{}
1st innings,South Africa,0.5,Q de Kock,B Kumar,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'caught', 'player_out': 'Q de Kock'}"
1st innings,South Africa,0.6,F du Plessis,B Kumar,0,{},{}
1st innings,South Africa,0.7,F du Plessis,B Kumar,1,{},{}
1st innings,South Africa,1.1,F du Plessis,MM Sharma,2,{},{}
1st innings,South Africa,1.2,F du Plessis,MM Sharma,1,{},{}
1st innings,South Africa,1.3,HM Amla,MM Sharma,0,{},{}
1st innings,South Africa,1.4,HM Amla,MM Sharma,0,{},{}
1st innings,South Africa,1.5,HM Amla,MM Sharma,0,{},{}
1st innings,South Africa,1.6,HM Amla,MM Sharma,0,{},{}
1st innings,South Africa,2.1,F du Plessis,B Kumar,1,{},{}
1st innings,South Africa,2.2,HM Amla,B Kumar,1,{},{}
1st innings,South Africa,2.3,F du Plessis,B Kumar,0,{},{}
1st innings,South Africa,2.4,F du Plessis,B Kumar,0,{},{}
1st innings,South Africa,2.5,F du Plessis,B Kumar,1,{},{}
1st innings,South Africa,2.6,HM Amla,B Kumar,1,{},{}
1st innings,South Africa,3.1,HM Amla,MM Sharma,4,{},{}
1st innings,South Africa,3.2,HM Amla,MM Sharma,2,{},{}
1st innings,South Africa,3.3,HM Amla,MM Sharma,4,{},{}
1st innings,South Africa,3.4,HM Amla,MM Sharma,1,{},{}
1st innings,South Africa,3.5,F du Plessis,MM Sharma,4,{},{}
1st innings,South Africa,3.6,F du Plessis,MM Sharma,2,{},{}
1st innings,South Africa,4.1,HM Amla,B Kumar,4,{},{}
1st innings,South Africa,4.2,HM Amla,B Kumar,0,{},{}
1st innings,South Africa,4.3,HM Amla,B Kumar,0,{},{}
1st innings,South Africa,4.4,HM Amla,B Kumar,4,{},{}
1st innings,South Africa,4.5,HM Amla,B Kumar,1,{},{}
1st innings,South Africa,4.6,F du Plessis,B Kumar,0,{},{}
1st innings,South Africa,5.1,HM Amla,R Ashwin,1,{'wides': 1},{}
1st innings,South Africa,5.2,HM Amla,R Ashwin,0,{},"{'kind': 'bowled', 'player_out': 'HM Amla'}"
1st innings,South Africa,5.3,JP Duminy,R Ashwin,0,{},{}
1st innings,South Africa,5.4,JP Duminy,R Ashwin,0,{},{}
1st innings,South Africa,5.5,JP Duminy,R Ashwin,0,{},{}
1st innings,South Africa,5.6,JP Duminy,R Ashwin,0,{},{}
1st innings,South Africa,5.7,JP Duminy,R Ashwin,0,{},{}
1st innings,South Africa,6.1,F du Plessis,RA Jadeja,1,{},{}
1st innings,South Africa,6.2,JP Duminy,RA Jadeja,1,{},{}
1st innings,South Africa,6.3,F du Plessis,RA Jadeja,1,{},{}
1st innings,South Africa,6.4,JP Duminy,RA Jadeja,0,{},{}
1st innings,South Africa,6.5,JP Duminy,RA Jadeja,0,{},{}
1st innings,South Africa,6.6,JP Duminy,RA Jadeja,0,{},{}
1st innings,South Africa,7.1,F du Plessis,SK Raina,1,{'wides': 1},{}
1st innings,South Africa,7.2,F du Plessis,SK Raina,1,{},{}
1st innings,South Africa,7.3,JP Duminy,SK Raina,2,{},{}
1st innings,South Africa,7.4,JP Duminy,SK Raina,1,{},{}
1st innings,South Africa,7.5,F du Plessis,SK Raina,0,{},{}
1st innings,South Africa,7.6,F du Plessis,SK Raina,0,{},{}
1st innings,South Africa,7.7,F du Plessis,SK Raina,1,{},{}
1st innings,South Africa,8.1,F du Plessis,RA Jadeja,1,{},{}
1st innings,South Africa,8.2,JP Duminy,RA Jadeja,1,{},{}
1st innings,South Africa,8.3,F du Plessis,RA Jadeja,1,{},{}
1st innings,South Africa,8.4,JP Duminy,RA Jadeja,1,{},{}
1st innings,South Africa,8.5,F du Plessis,RA Jadeja,1,{},{}
1st innings,South Africa,8.6,JP Duminy,RA Jadeja,0,{},{}
1st innings,South Africa,9.1,F du Plessis,SK Raina,0,{},{}
1st innings,South Africa,9.2,F du Plessis,SK Raina,4,{},{}
1st innings,South Africa,9.3,F du Plessis,SK Raina,1,{},{}
1st innings,South Africa,9.4,JP Duminy,SK Raina,1,{},{}
1st innings,South Africa,9.5,F du Plessis,SK Raina,1,{},{}
1st innings,South Africa,9.6,JP Duminy,SK Raina,1,{},{}
1st innings,South Africa,10.1,JP Duminy,A Mishra,1,{},{}
1st innings,South Africa,10.2,F du Plessis,A Mishra,0,{},{}
1st innings,South Africa,10.3,F du Plessis,A Mishra,1,{'noballs': 1},{}
1st innings,South Africa,10.4,F du Plessis,A Mishra,4,{},{}
1st innings,South Africa,10.5,F du Plessis,A Mishra,0,{},{}
1st innings,South Africa,10.6,F du Plessis,A Mishra,1,{},{}
1st innings,South Africa,10.7,JP Duminy,A Mishra,1,{},{}
1st innings,South Africa,11.1,JP Duminy,SK Raina,1,{'byes': 1},{}
1st innings,South Africa,11.2,F du Plessis,SK Raina,2,{},{}
1st innings,South Africa,11.3,F du Plessis,SK Raina,4,{},{}
