inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,KMDN Kulasekara,1,{},{}
1st innings,India,0.2,AM Rahane,KMDN Kulasekara,0,{},{}
1st innings,India,0.3,AM Rahane,KMDN Kulasekara,0,{},{}
1st innings,India,0.4,AM Rahane,KMDN Kulasekara,2,{},{}
1st innings,India,0.5,AM Rahane,KMDN Kulasekara,0,{},{}
1st innings,India,0.6,AM Rahane,KMDN Kulasekara,1,{},{}
1st innings,India,1.1,AM Rahane,AD Mathews,0,{},{}
1st innings,India,1.2,AM Rahane,AD Mathews,0,{},{}
1st innings,India,1.3,AM Rahane,AD Mathews,0,{},"{'kind': 'bowled', 'player_out': 'AM Rahane'}"
1st innings,India,1.4,V Kohli,AD Mathews,0,{},{}
1st innings,India,1.5,V Kohli,AD Mathews,0,{},{}
1st innings,India,1.6,V Kohli,AD Mathews,1,{},{}
1st innings,India,2.1,V Kohli,KMDN Kulasekara,4,{},{}
1st innings,India,2.2,V Kohli,KMDN Kulasekara,0,{},{}
1st innings,India,2.3,V Kohli,KMDN Kulasekara,0,{},{}
1st innings,India,2.4,V Kohli,KMDN Kulasekara,0,{},{}
1st innings,India,2.5,V Kohli,KMDN Kulasekara,1,{},{}
1st innings,India,2.6,RG Sharma,KMDN Kulasekara,1,{},{}
1st innings,India,3.1,RG Sharma,AD Mathews,1,{},{}
1st innings,India,3.2,V Kohli,AD Mathews,1,{},{}
1st innings,India,3.3,RG Sharma,AD Mathews,0,{},{}
1st innings,India,3.4,RG Sharma,AD Mathews,1,{},{}
1st innings,India,3.5,V Kohli,AD Mathews,1,{},{}
1st innings,India,3.6,RG Sharma,AD Mathews,0,{},{}
1st innings,India,4.1,V Kohli,SMSM Senanayake,1,{},{}
1st innings,India,4.2,RG Sharma,SMSM Senanayake,4,{},{}
1st innings,India,4.3,RG Sharma,SMSM Senanayake,3,{},{}
1st innings,India,4.4,V Kohli,SMSM Senanayake,0,{},{}
1st innings,India,4.5,V Kohli,SMSM Senanayake,0,{},{}
1st innings,India,4.6,V Kohli,SMSM Senanayake,0,{},{}
1st innings,India,5.1,RG Sharma,SL Malinga,1,{},{}
1st innings,India,5.2,V Kohli,SL Malinga,1,{},{}
1st innings,India,5.3,RG Sharma,SL Malinga,1,{},{}
1st innings,India,5.4,V Kohli,SL Malinga,1,{},{}
1st innings,India,5.5,RG Sharma,SL Malinga,0,{},{}
1st innings,India,5.6,RG Sharma,SL Malinga,4,{},{}
1st innings,India,6.1,V Kohli,HMRKB Herath,1,{},{}
1st innings,India,6.2,RG Sharma,HMRKB Herath,0,{},{}
1st innings,India,6.3,RG Sharma,HMRKB Herath,1,{},{}
1st innings,India,6.4,V Kohli,HMRKB Herath,1,{},{}
1st innings,India,6.5,RG Sharma,HMRKB Herath,1,{},{}
1st innings,India,6.6,V Kohli,HMRKB Herath,6,{},{}
1st innings,India,7.1,RG Sharma,AD Mathews,1,{},{}
1st innings,India,7.2,V Kohli,AD Mathews,0,{},{}
1st innings,India,7.3,V Kohli,AD Mathews,1,{},{}
1st innings,India,7.4,RG Sharma,AD Mathews,2,{},{}
1st innings,India,7.5,RG Sharma,AD Mathews,1,{},{}
1st innings,India,7.6,V Kohli,AD Mathews,1,{},{}
1st innings,India,8.1,V Kohli,HMRKB Herath,1,{},{}
1st innings,India,8.2,RG Sharma,HMRKB Herath,0,{},{}
1st innings,India,8.3,RG Sharma,HMRKB Herath,1,{'legbyes': 1},{}
1st innings,India,8.4,V Kohli,HMRKB Herath,0,{},{}
1st innings,India,8.5,V Kohli,HMRKB Herath,0,{},{}
1st innings,India,8.6,V Kohli,HMRKB Herath,1,{},{}
1st innings,India,9.1,V Kohli,AD Mathews,1,{},{}
1st innings,India,9.2,RG Sharma,AD Mathews,1,{},{}
1st innings,India,9.3,V Kohli,AD Mathews,1,{},{}
1st innings,India,9.4,RG Sharma,AD Mathews,4,{},{}
1st innings,India,9.5,RG Sharma,AD Mathews,1,{},{}
1st innings,India,9.6,V Kohli,AD Mathews,6,{},{}
1st innings,India,10.1,RG Sharma,HMRKB Herath,0,{},{}
1st innings,India,10.2,RG Sharma,HMRKB Herath,0,{},{}
1st innings,India,10.3,RG Sharma,HMRKB Herath,0,{},"{'fielders': ['SMSM Senanayake'], 'kind': 'caught', 'player_out': 'RG Sharma'}"
