inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,0.2,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,0.3,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,0.4,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,0.5,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,0.6,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,1.1,PR Stirling,Bilal Khan,4,{},{}
1st innings,Ireland,1.2,PR Stirling,Bilal Khan,1,{},{}
1st innings,Ireland,1.3,WTS Porterfield,Bilal Khan,3,{},{}
1st innings,Ireland,1.4,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,1.5,PR Stirling,Bilal Khan,4,{},{}
1st innings,Ireland,1.6,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,2.1,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,2.2,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,2.3,WTS Porterfield,AV Lalcheta,1,{},{}
1st innings,Ireland,2.4,PR Stirling,AV Lalcheta,4,{},{}
1st innings,Ireland,2.5,PR Stirling,AV Lalcheta,1,{},{}
1st innings,Ireland,2.6,WTS Porterfield,AV Lalcheta,0,{},{}
1st innings,Ireland,3.1,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,3.2,PR Stirling,Bilal Khan,4,{},{}
1st innings,Ireland,3.3,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,3.4,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,3.5,PR Stirling,Bilal Khan,0,{},{}
1st innings,Ireland,3.6,PR Stirling,Bilal Khan,1,{},{}
1st innings,Ireland,4.1,PR Stirling,AV Lalcheta,0,{},{}
1st innings,Ireland,4.2,PR Stirling,AV Lalcheta,0,{},{}
1st innings,Ireland,4.3,PR Stirling,AV Lalcheta,4,{},{}
