inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Hong Kong,0.1,JJ Atkinson,MRJ Watt,0,{},{}
1st innings,Hong Kong,0.2,JJ Atkinson,MRJ Watt,0,{},{}
1st innings,Hong Kong,0.3,JJ Atkinson,MRJ Watt,1,{},{}
1st innings,Hong Kong,0.4,RJ Campbell,MRJ Watt,0,{},{}
1st innings,Hong Kong,0.5,RJ Campbell,MRJ Watt,0,{},{}
1st innings,Hong Kong,0.6,RJ Campbell,MRJ Watt,0,{},{}
1st innings,Hong Kong,1.1,JJ Atkinson,JH Davey,0,{},{}
1st innings,Hong Kong,1.2,JJ Atkinson,JH Davey,0,{},{}
1st innings,Hong Kong,1.3,JJ Atkinson,JH Davey,0,{},{}
1st innings,Hong Kong,1.4,JJ Atkinson,JH Davey,4,{},{}
1st innings,Hong Kong,1.5,JJ Atkinson,JH Davey,4,{},{}
1st innings,Hong Kong,1.6,JJ Atkinson,JH Davey,0,{},{}
1st innings,Hong Kong,2.1,RJ Campbell,GT Main,0,{},"{'fielders': ['JH Davey'], 'kind': 'caught', 'player_out': 'RJ Campbell'}"
1st innings,Hong Kong,2.2,Babar Hayat,GT Main,4,{},{}
1st innings,Hong Kong,2.3,Babar Hayat,GT Main,1,{'wides': 1},{}
1st innings,Hong Kong,2.4,Babar Hayat,GT Main,0,{},{}
1st innings,Hong Kong,2.5,Babar Hayat,GT Main,4,{},{}
1st innings,Hong Kong,2.6,Babar Hayat,GT Main,4,{},{}
1st innings,Hong Kong,2.7,Babar Hayat,GT Main,0,{},{}
1st innings,Hong Kong,3.1,JJ Atkinson,RML Taylor,1,{},{}
1st innings,Hong Kong,3.2,Babar Hayat,RML Taylor,0,{},{}
1st innings,Hong Kong,3.3,Babar Hayat,RML Taylor,1,{},{}
1st innings,Hong Kong,3.4,JJ Atkinson,RML Taylor,0,{},{}
1st innings,Hong Kong,3.5,JJ Atkinson,RML Taylor,0,{},{}
1st innings,Hong Kong,3.6,JJ Atkinson,RML Taylor,1,{},{}
1st innings,Hong Kong,4.1,JJ Atkinson,MRJ Watt,0,{},{}
1st innings,Hong Kong,4.2,JJ Atkinson,MRJ Watt,1,{},{}
1st innings,Hong Kong,4.3,Babar Hayat,MRJ Watt,1,{},{}
1st innings,Hong Kong,4.4,JJ Atkinson,MRJ Watt,1,{'legbyes': 1},{}
1st innings,Hong Kong,4.5,Babar Hayat,MRJ Watt,1,{},{}
1st innings,Hong Kong,4.6,JJ Atkinson,MRJ Watt,1,{},{}
1st innings,Hong Kong,5.1,JJ Atkinson,JH Davey,0,{},{}
1st innings,Hong Kong,5.2,JJ Atkinson,JH Davey,1,{'wides': 1},{}
1st innings,Hong Kong,5.3,JJ Atkinson,JH Davey,0,{},"{'kind': 'caught and bowled', 'player_out': 'JJ Atkinson'}"
1st innings,Hong Kong,5.4,MS Chapman,JH Davey,0,{},{}
1st innings,Hong Kong,5.5,MS Chapman,JH Davey,0,{},{}
1st innings,Hong Kong,5.6,MS Chapman,JH Davey,0,{},{}
