inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,0.2,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,0.3,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,0.4,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,0.5,Tamim Iqbal,Bilal Khan,1,{},{}
1st innings,Bangladesh,0.6,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,1.1,Tamim Iqbal,Amir Ali,1,{'wides': 1},{}
1st innings,Bangladesh,1.2,Tamim Iqbal,Amir Ali,2,{},{}
1st innings,Bangladesh,1.3,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,1.4,Soumya Sarkar,Amir Ali,1,{},{}
1st innings,Bangladesh,1.5,Tamim Iqbal,Amir Ali,4,{},{}
1st innings,Bangladesh,1.6,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,1.7,Soumya Sarkar,Amir Ali,1,{},{}
1st innings,Bangladesh,2.1,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,2.2,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,2.3,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,2.4,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,2.5,Soumya Sarkar,Bilal Khan,4,{},{}
1st innings,Bangladesh,2.6,Soumya Sarkar,Bilal Khan,0,{},{}
1st innings,Bangladesh,3.1,Tamim Iqbal,Amir Ali,0,{},{}
1st innings,Bangladesh,3.2,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,3.3,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,3.4,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,3.5,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,3.6,Soumya Sarkar,Amir Ali,2,{},{}
1st innings,Bangladesh,4.1,Tamim Iqbal,AV Lalcheta,0,{},{}
1st innings,Bangladesh,4.2,Tamim Iqbal,AV Lalcheta,4,{},{}
1st innings,Bangladesh,4.3,Tamim Iqbal,AV Lalcheta,1,{},{}
1st innings,Bangladesh,4.4,Soumya Sarkar,AV Lalcheta,0,{},{}
1st innings,Bangladesh,4.5,Soumya Sarkar,AV Lalcheta,0,{},{}
1st innings,Bangladesh,4.6,Soumya Sarkar,AV Lalcheta,0,{},{}
1st innings,Bangladesh,5.1,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,5.2,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,5.3,Soumya Sarkar,Amir Ali,4,{},{}
1st innings,Bangladesh,5.4,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,5.5,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,5.6,Soumya Sarkar,Amir Ali,0,{},{}
1st innings,Bangladesh,6.1,Tamim Iqbal,AV Lalcheta,2,{},{}
1st innings,Bangladesh,6.2,Tamim Iqbal,AV Lalcheta,4,{},{}
1st innings,Bangladesh,6.3,Tamim Iqbal,AV Lalcheta,6,{},{}
1st innings,Bangladesh,6.4,Tamim Iqbal,AV Lalcheta,1,{},{}
1st innings,Bangladesh,6.5,Soumya Sarkar,AV Lalcheta,0,{},"{'kind': 'bowled', 'player_out': 'Soumya Sarkar'}"
1st innings,Bangladesh,6.6,Sabbir Rahman,AV Lalcheta,1,{},{}
1st innings,Bangladesh,7.1,Sabbir Rahman,Amir Ali,1,{},{}
1st innings,Bangladesh,7.2,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,7.3,Sabbir Rahman,Amir Ali,4,{},{}
1st innings,Bangladesh,7.4,Sabbir Rahman,Amir Ali,1,{},{}
1st innings,Bangladesh,7.5,Tamim Iqbal,Amir Ali,1,{},{}
1st innings,Bangladesh,7.6,Sabbir Rahman,Amir Ali,1,{},{}
1st innings,Bangladesh,8.1,Sabbir Rahman,M Ansari,0,{},{}
1st innings,Bangladesh,8.2,Sabbir Rahman,M Ansari,1,{},{}
1st innings,Bangladesh,8.3,Tamim Iqbal,M Ansari,0,{},{}
1st innings,Bangladesh,8.4,Tamim Iqbal,M Ansari,1,{},{}
1st innings,Bangladesh,8.5,Sabbir Rahman,M Ansari,4,{},{}
1st innings,Bangladesh,8.6,Sabbir Rahman,M Ansari,1,{'legbyes': 1},{}
1st innings,Bangladesh,9.1,Sabbir Rahman,Mehran Khan,0,{},{}
1st innings,Bangladesh,9.2,Sabbir Rahman,Mehran Khan,1,{},{}
1st innings,Bangladesh,9.3,Tamim Iqbal,Mehran Khan,1,{},{}
1st innings,Bangladesh,9.4,Sabbir Rahman,Mehran Khan,4,{},{}
1st innings,Bangladesh,9.5,Sabbir Rahman,Mehran Khan,1,{},{}
1st innings,Bangladesh,9.6,Tamim Iqbal,Mehran Khan,4,{},{}
1st innings,Bangladesh,10.1,Sabbir Rahman,M Ansari,4,{},{}
1st innings,Bangladesh,10.2,Sabbir Rahman,M Ansari,1,{},{}
1st innings,Bangladesh,10.3,Tamim Iqbal,M Ansari,4,{},{}
1st innings,Bangladesh,10.4,Tamim Iqbal,M Ansari,0,{},{}
1st innings,Bangladesh,10.5,Tamim Iqbal,M Ansari,4,{},{}
1st innings,Bangladesh,10.6,Tamim Iqbal,M Ansari,1,{},{}
1st innings,Bangladesh,11.1,Tamim Iqbal,Khawar Ali,0,{},{}
1st innings,Bangladesh,11.2,Tamim Iqbal,Khawar Ali,0,{},{}
1st innings,Bangladesh,11.3,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,11.4,Sabbir Rahman,Khawar Ali,1,{},{}
1st innings,Bangladesh,11.5,Tamim Iqbal,Khawar Ali,0,{},{}
1st innings,Bangladesh,11.6,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,12.1,Tamim Iqbal,Aamir Kaleem,4,{},{}
1st innings,Bangladesh,12.2,Tamim Iqbal,Aamir Kaleem,6,{},{}
1st innings,Bangladesh,12.3,Tamim Iqbal,Aamir Kaleem,1,{},{}
1st innings,Bangladesh,12.4,Sabbir Rahman,Aamir Kaleem,2,{},{}
1st innings,Bangladesh,12.5,Sabbir Rahman,Aamir Kaleem,1,{},{}
1st innings,Bangladesh,12.6,Tamim Iqbal,Aamir Kaleem,1,{},{}
1st innings,Bangladesh,13.1,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,13.2,Sabbir Rahman,Khawar Ali,6,{},{}
1st innings,Bangladesh,13.3,Sabbir Rahman,Khawar Ali,1,{},{}
1st innings,Bangladesh,13.4,Tamim Iqbal,Khawar Ali,0,{},{}
1st innings,Bangladesh,13.5,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,13.6,Sabbir Rahman,Khawar Ali,2,{},{}
1st innings,Bangladesh,14.1,Tamim Iqbal,AV Lalcheta,4,{},{}
1st innings,Bangladesh,14.2,Tamim Iqbal,AV Lalcheta,6,{},{}
1st innings,Bangladesh,14.3,Tamim Iqbal,AV Lalcheta,0,{},{}
1st innings,Bangladesh,14.4,Tamim Iqbal,AV Lalcheta,1,{},{}
1st innings,Bangladesh,14.5,Sabbir Rahman,AV Lalcheta,4,{},{}
1st innings,Bangladesh,14.6,Sabbir Rahman,AV Lalcheta,1,{},{}
1st innings,Bangladesh,15.1,Sabbir Rahman,Khawar Ali,1,{},{}
1st innings,Bangladesh,15.2,Tamim Iqbal,Khawar Ali,6,{},{}
1st innings,Bangladesh,15.3,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,15.4,Sabbir Rahman,Khawar Ali,1,{},{}
1st innings,Bangladesh,15.5,Tamim Iqbal,Khawar Ali,1,{},{}
1st innings,Bangladesh,15.6,Sabbir Rahman,Khawar Ali,0,{},"{'kind': 'bowled', 'player_out': 'Sabbir Rahman'}"
1st innings,Bangladesh,16.1,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,16.2,Tamim Iqbal,Bilal Khan,4,{},{}
1st innings,Bangladesh,16.3,Tamim Iqbal,Bilal Khan,1,{},{}
1st innings,Bangladesh,16.4,Shakib Al Hasan,Bilal Khan,0,{},{}
1st innings,Bangladesh,16.5,Shakib Al Hasan,Bilal Khan,0,{},{}
1st innings,Bangladesh,16.6,Shakib Al Hasan,Bilal Khan,0,{},{}
1st innings,Bangladesh,17.1,Tamim Iqbal,M Ansari,2,{},{}
1st innings,Bangladesh,17.2,Tamim Iqbal,M Ansari,0,{},{}
1st innings,Bangladesh,17.3,Tamim Iqbal,M Ansari,6,{},{}
1st innings,Bangladesh,17.4,Tamim Iqbal,M Ansari,2,{},{}
1st innings,Bangladesh,17.5,Tamim Iqbal,M Ansari,1,{},{}
1st innings,Bangladesh,17.6,Shakib Al Hasan,M Ansari,4,{},{}
1st innings,Bangladesh,18.1,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,18.2,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,18.3,Tamim Iqbal,Bilal Khan,0,{},{}
1st innings,Bangladesh,18.4,Tamim Iqbal,Bilal Khan,4,{},{}
1st innings,Bangladesh,18.5,Tamim Iqbal,Bilal Khan,1,{},{}
1st innings,Bangladesh,18.6,Shakib Al Hasan,Bilal Khan,1,{},{}
1st innings,Bangladesh,19.1,Shakib Al Hasan,M Ansari,4,{},{}
1st innings,Bangladesh,19.2,Shakib Al Hasan,M Ansari,6,{},{}
1st innings,Bangladesh,19.3,Shakib Al Hasan,M Ansari,1,{'wides': 1},{}
1st innings,Bangladesh,19.4,Shakib Al Hasan,M Ansari,1,{'wides': 1},{}
1st innings,Bangladesh,19.5,Shakib Al Hasan,M Ansari,1,{},{}
1st innings,Bangladesh,19.6,Tamim Iqbal,M Ansari,0,{},{}
1st innings,Bangladesh,19.7,Tamim Iqbal,M Ansari,1,{},{}
1st innings,Bangladesh,19.8,Shakib Al Hasan,M Ansari,1,{},{}
2nd innings,Oman,0.1,Zeeshan Maqsood,Taskin Ahmed,0,{},{}
2nd innings,Oman,0.2,Zeeshan Maqsood,Taskin Ahmed,1,{'wides': 1},{}
2nd innings,Oman,0.3,Zeeshan Maqsood,Taskin Ahmed,0,{},"{'fielders': ['Mahmudullah'], 'kind': 'caught', 'player_out': 'Zeeshan Maqsood'}"
2nd innings,Oman,0.4,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,0.5,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,0.6,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,0.7,Khawar Ali,Taskin Ahmed,1,{'legbyes': 1},{}
2nd innings,Oman,1.1,Khawar Ali,Al-Amin Hossain,0,{},{}
2nd innings,Oman,1.2,Khawar Ali,Al-Amin Hossain,0,{},{}
2nd innings,Oman,1.3,Khawar Ali,Al-Amin Hossain,1,{},{}
2nd innings,Oman,1.4,Jatinder Singh,Al-Amin Hossain,0,{},{}
2nd innings,Oman,1.5,Jatinder Singh,Al-Amin Hossain,0,{},{}
2nd innings,Oman,1.6,Jatinder Singh,Al-Amin Hossain,4,{},{}
2nd innings,Oman,2.1,Khawar Ali,Taskin Ahmed,6,{},{}
2nd innings,Oman,2.2,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,2.3,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,2.4,Khawar Ali,Taskin Ahmed,0,{},{}
2nd innings,Oman,2.5,Khawar Ali,Taskin Ahmed,1,{},{}
2nd innings,Oman,2.6,Jatinder Singh,Taskin Ahmed,0,{},{}
2nd innings,Oman,3.1,Khawar Ali,Al-Amin Hossain,0,{},{}
2nd innings,Oman,3.2,Khawar Ali,Al-Amin Hossain,0,{},"{'fielders': ['Mashrafe Mortaza'], 'kind': 'caught', 'player_out': 'Khawar Ali'}"
2nd innings,Oman,3.3,Jatinder Singh,Al-Amin Hossain,1,{},{}
2nd innings,Oman,3.4,Adnan Ilyas,Al-Amin Hossain,0,{},{}
2nd innings,Oman,3.5,Adnan Ilyas,Al-Amin Hossain,4,{},{}
2nd innings,Oman,3.6,Adnan Ilyas,Al-Amin Hossain,0,{},{}
2nd innings,Oman,4.1,Jatinder Singh,Abu Hider,0,{},{}
2nd innings,Oman,4.2,Jatinder Singh,Abu Hider,4,{},{}
2nd innings,Oman,4.3,Jatinder Singh,Abu Hider,0,{},{}
2nd innings,Oman,4.4,Jatinder Singh,Abu Hider,1,{},{}
2nd innings,Oman,4.5,Adnan Ilyas,Abu Hider,4,{},{}
2nd innings,Oman,4.6,Adnan Ilyas,Abu Hider,0,{},{}
2nd innings,Oman,5.1,Jatinder Singh,Shakib Al Hasan,1,{},{}
2nd innings,Oman,5.2,Adnan Ilyas,Shakib Al Hasan,0,{},{}
