inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,SJ Myburgh,TJ Murtagh,0,{},{}
1st innings,Netherlands,0.2,SJ Myburgh,TJ Murtagh,0,{},{}
1st innings,Netherlands,0.3,SJ Myburgh,TJ Murtagh,0,{},{}
1st innings,Netherlands,0.4,SJ Myburgh,TJ Murtagh,4,{},{}
1st innings,Netherlands,0.5,SJ Myburgh,TJ Murtagh,4,{},{}
1st innings,Netherlands,0.6,SJ Myburgh,TJ Murtagh,1,{},{}
1st innings,Netherlands,1.1,SJ Myburgh,GH Dockrell,1,{'legbyes': 1},{}
1st innings,Netherlands,1.2,TLW Cooper,GH Dockrell,0,{},{}
1st innings,Netherlands,1.3,TLW Cooper,GH Dockrell,0,{},"{'fielders': ['WB Rankin'], 'kind': 'caught', 'player_out': 'TLW Cooper'}"
1st innings,Netherlands,1.4,RE van der Merwe,GH Dockrell,2,{},{}
1st innings,Netherlands,1.5,RE van der Merwe,GH Dockrell,0,{},"{'fielders': ['TJ Murtagh'], 'kind': 'caught', 'player_out': 'RE van der Merwe'}"
1st innings,Netherlands,1.6,W Barresi,GH Dockrell,1,{},{}
1st innings,Netherlands,2.1,W Barresi,AR McBrine,1,{},{}
1st innings,Netherlands,2.2,SJ Myburgh,AR McBrine,2,{},{}
1st innings,Netherlands,2.3,SJ Myburgh,AR McBrine,1,{},{}
1st innings,Netherlands,2.4,W Barresi,AR McBrine,6,{},{}
1st innings,Netherlands,2.5,W Barresi,AR McBrine,2,{'wides': 2},{}
1st innings,Netherlands,2.6,SJ Myburgh,AR McBrine,4,{},{}
1st innings,Netherlands,2.7,SJ Myburgh,AR McBrine,4,{'byes': 4},{}
1st innings,Netherlands,3.1,W Barresi,GH Dockrell,0,{},{}
1st innings,Netherlands,3.2,W Barresi,GH Dockrell,0,{},"{'fielders': [""NJ O'Brien""], 'kind': 'stumped', 'player_out': 'W Barresi'}"
1st innings,Netherlands,3.3,PW Borren,GH Dockrell,4,{},{}
1st innings,Netherlands,3.4,PW Borren,GH Dockrell,0,{},{}
1st innings,Netherlands,3.5,PW Borren,GH Dockrell,0,{},{}
1st innings,Netherlands,3.6,PW Borren,GH Dockrell,1,{'legbyes': 1},{}
1st innings,Netherlands,4.1,PW Borren,KJ O'Brien,4,{},{}
1st innings,Netherlands,4.2,PW Borren,KJ O'Brien,1,{},{}
1st innings,Netherlands,4.3,SJ Myburgh,KJ O'Brien,2,{},{}
1st innings,Netherlands,4.4,SJ Myburgh,KJ O'Brien,1,{},{}
1st innings,Netherlands,4.5,PW Borren,KJ O'Brien,0,{},{}
1st innings,Netherlands,4.6,PW Borren,KJ O'Brien,4,{},{}
1st innings,Netherlands,5.1,SJ Myburgh,WB Rankin,4,{},{}
1st innings,Netherlands,5.2,SJ Myburgh,WB Rankin,0,{},{}
1st innings,Netherlands,5.3,SJ Myburgh,WB Rankin,4,{},{}
1st innings,Netherlands,5.4,SJ Myburgh,WB Rankin,0,{},{}
1st innings,Netherlands,5.5,SJ Myburgh,WB Rankin,0,{},"{'fielders': [""NJ O'Brien"", 'WB Rankin'], 'kind': 'run out', 'player_out': 'SJ Myburgh'}"
1st innings,Netherlands,5.6,PW Borren,WB Rankin,1,{},"{'fielders': ['GC Wilson', ""NJ O'Brien""], 'kind': 'run out', 'player_out': 'PW Borren'}"
2nd innings,Ireland,0.1,WTS Porterfield,Ahsan Malik,4,{},{}
2nd innings,Ireland,0.2,WTS Porterfield,Ahsan Malik,0,{},{}
2nd innings,Ireland,0.3,WTS Porterfield,Ahsan Malik,4,{'byes': 4},{}
2nd innings,Ireland,0.4,WTS Porterfield,Ahsan Malik,0,{},{}
2nd innings,Ireland,0.5,WTS Porterfield,Ahsan Malik,1,{},{}
2nd innings,Ireland,0.6,PR Stirling,Ahsan Malik,1,{'legbyes': 1},{}
2nd innings,Ireland,1.1,PR Stirling,T van der Gugten,6,{},{}
2nd innings,Ireland,1.2,PR Stirling,T van der Gugten,3,{},{}
2nd innings,Ireland,1.3,WTS Porterfield,T van der Gugten,0,{},"{'fielders': ['BN Cooper'], 'kind': 'caught', 'player_out': 'WTS Porterfield'}"
2nd innings,Ireland,1.4,PR Stirling,T van der Gugten,0,{},{}
2nd innings,Ireland,1.5,PR Stirling,T van der Gugten,1,{'legbyes': 1},{}
2nd innings,Ireland,1.6,KJ O'Brien,T van der Gugten,2,{'wides': 2},{}
2nd innings,Ireland,1.7,PR Stirling,T van der Gugten,6,{},{}
2nd innings,Ireland,2.1,KJ O'Brien,PA van Meekeren,0,{},{}
2nd innings,Ireland,2.2,KJ O'Brien,PA van Meekeren,0,{},"{'fielders': ['PM Seelaar'], 'kind': 'caught', 'player_out': ""KJ O'Brien""}"
2nd innings,Ireland,2.3,PR Stirling,PA van Meekeren,0,{},"{'fielders': ['RE van der Merwe'], 'kind': 'caught', 'player_out': 'PR Stirling'}"
2nd innings,Ireland,2.4,GC Wilson,PA van Meekeren,0,{},{}
2nd innings,Ireland,2.5,GC Wilson,PA van Meekeren,0,{},{}
2nd innings,Ireland,2.6,GC Wilson,PA van Meekeren,4,{},{}
2nd innings,Ireland,3.1,NJ O'Brien,RE van der Merwe,1,{},{}
2nd innings,Ireland,3.2,GC Wilson,RE van der Merwe,0,{},"{'fielders': ['T van der Gugten'], 'kind': 'caught', 'player_out': 'GC Wilson'}"
2nd innings,Ireland,3.3,AD Poynter,RE van der Merwe,0,{},"{'fielders': ['BN Cooper'], 'kind': 'caught', 'player_out': 'AD Poynter'}"
2nd innings,Ireland,3.4,NJ O'Brien,RE van der Merwe,0,{},{}
2nd innings,Ireland,3.5,NJ O'Brien,RE van der Merwe,1,{},{}
2nd innings,Ireland,3.6,MC Sorensen,RE van der Merwe,1,{},{}
2nd innings,Ireland,4.1,MC Sorensen,Mudassar Bukhari,1,{},{}
2nd innings,Ireland,4.2,NJ O'Brien,Mudassar Bukhari,0,{},{}
2nd innings,Ireland,4.3,NJ O'Brien,Mudassar Bukhari,1,{},{}
2nd innings,Ireland,4.4,MC Sorensen,Mudassar Bukhari,2,{},{}
2nd innings,Ireland,4.5,MC Sorensen,Mudassar Bukhari,1,{},{}
2nd innings,Ireland,4.6,NJ O'Brien,Mudassar Bukhari,0,{},{}
2nd innings,Ireland,5.1,MC Sorensen,PA van Meekeren,2,{},{}
2nd innings,Ireland,5.2,MC Sorensen,PA van Meekeren,2,{},{}
