inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,R Ashwin,6,{},{}
1st innings,New Zealand,0.2,MJ Guptill,R Ashwin,0,{},"{'kind': 'lbw', 'player_out': 'MJ Guptill'}"
1st innings,New Zealand,0.3,C Munro,R Ashwin,0,{},{}
1st innings,New Zealand,0.4,C Munro,R Ashwin,6,{},{}
1st innings,New Zealand,0.5,C Munro,R Ashwin,1,{},{}
1st innings,New Zealand,0.6,KS Williamson,R Ashwin,0,{},{}
1st innings,New Zealand,1.1,C Munro,A Nehra,0,{},{}
1st innings,New Zealand,1.2,C Munro,A Nehra,0,{},{}
1st innings,New Zealand,1.3,C Munro,A Nehra,0,{},"{'fielders': ['HH Pandya'], 'kind': 'caught', 'player_out': 'C Munro'}"
1st innings,New Zealand,1.4,CJ Anderson,A Nehra,0,{},{}
1st innings,New Zealand,1.5,CJ Anderson,A Nehra,1,{'legbyes': 1},{}
1st innings,New Zealand,1.6,KS Williamson,A Nehra,0,{},{}
1st innings,New Zealand,2.1,CJ Anderson,R Ashwin,0,{},{}
1st innings,New Zealand,2.2,CJ Anderson,R Ashwin,0,{},{}
1st innings,New Zealand,2.3,CJ Anderson,R Ashwin,1,{},{}
1st innings,New Zealand,2.4,KS Williamson,R Ashwin,0,{},{}
1st innings,New Zealand,2.5,KS Williamson,R Ashwin,1,{},{}
1st innings,New Zealand,2.6,CJ Anderson,R Ashwin,1,{},{}
1st innings,New Zealand,3.1,CJ Anderson,A Nehra,0,{},{}
1st innings,New Zealand,3.2,CJ Anderson,A Nehra,0,{},{}
1st innings,New Zealand,3.3,CJ Anderson,A Nehra,0,{},{}
1st innings,New Zealand,3.4,CJ Anderson,A Nehra,1,{},{}
1st innings,New Zealand,3.5,KS Williamson,A Nehra,0,{},{}
1st innings,New Zealand,3.6,KS Williamson,A Nehra,4,{},{}
1st innings,New Zealand,4.1,CJ Anderson,R Ashwin,0,{},{}
1st innings,New Zealand,4.2,CJ Anderson,R Ashwin,4,{},{}
1st innings,New Zealand,4.3,CJ Anderson,R Ashwin,1,{},{}
1st innings,New Zealand,4.4,KS Williamson,R Ashwin,0,{},{}
1st innings,New Zealand,4.5,KS Williamson,R Ashwin,1,{},{}
1st innings,New Zealand,4.6,CJ Anderson,R Ashwin,4,{},{}
1st innings,New Zealand,5.1,KS Williamson,JJ Bumrah,0,{},{}
1st innings,New Zealand,5.2,KS Williamson,JJ Bumrah,0,{},{}
1st innings,New Zealand,5.3,KS Williamson,JJ Bumrah,0,{},{}
1st innings,New Zealand,5.4,KS Williamson,JJ Bumrah,0,{},{}
1st innings,New Zealand,5.5,KS Williamson,JJ Bumrah,1,{},{}
1st innings,New Zealand,5.6,CJ Anderson,JJ Bumrah,0,{},{}
1st innings,New Zealand,6.1,KS Williamson,SK Raina,0,{},{}
1st innings,New Zealand,6.2,KS Williamson,SK Raina,1,{},{}
1st innings,New Zealand,6.3,CJ Anderson,SK Raina,0,{},{}
1st innings,New Zealand,6.4,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,6.5,KS Williamson,SK Raina,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'stumped', 'player_out': 'KS Williamson'}"
1st innings,New Zealand,6.6,LRPL Taylor,SK Raina,0,{},{}
1st innings,New Zealand,7.1,CJ Anderson,JJ Bumrah,4,{},{}
1st innings,New Zealand,7.2,CJ Anderson,JJ Bumrah,1,{},{}
1st innings,New Zealand,7.3,LRPL Taylor,JJ Bumrah,0,{},{}
1st innings,New Zealand,7.4,LRPL Taylor,JJ Bumrah,0,{},{}
1st innings,New Zealand,7.5,LRPL Taylor,JJ Bumrah,1,{},{}
1st innings,New Zealand,7.6,CJ Anderson,JJ Bumrah,1,{},{}
1st innings,New Zealand,8.1,CJ Anderson,SK Raina,2,{},{}
1st innings,New Zealand,8.2,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,8.3,LRPL Taylor,SK Raina,1,{},{}
1st innings,New Zealand,8.4,CJ Anderson,SK Raina,2,{},{}
1st innings,New Zealand,8.5,CJ Anderson,SK Raina,0,{},{}
1st innings,New Zealand,8.6,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,9.1,CJ Anderson,R Ashwin,1,{},{}
1st innings,New Zealand,9.2,LRPL Taylor,R Ashwin,0,{},{}
1st innings,New Zealand,9.3,LRPL Taylor,R Ashwin,0,{},{}
1st innings,New Zealand,9.4,LRPL Taylor,R Ashwin,4,{},{}
1st innings,New Zealand,9.5,LRPL Taylor,R Ashwin,1,{},{}
1st innings,New Zealand,9.6,CJ Anderson,R Ashwin,0,{},{}
1st innings,New Zealand,10.1,LRPL Taylor,RA Jadeja,0,{},{}
1st innings,New Zealand,10.2,LRPL Taylor,RA Jadeja,1,{},{}
1st innings,New Zealand,10.3,CJ Anderson,RA Jadeja,1,{},{}
1st innings,New Zealand,10.4,LRPL Taylor,RA Jadeja,1,{},{}
1st innings,New Zealand,10.5,CJ Anderson,RA Jadeja,1,{},{}
1st innings,New Zealand,10.6,LRPL Taylor,RA Jadeja,0,{},{}
1st innings,New Zealand,11.1,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,11.2,LRPL Taylor,SK Raina,1,{},{}
1st innings,New Zealand,11.3,CJ Anderson,SK Raina,0,{},"{'fielders': ['SK Raina'], 'kind': 'run out', 'player_out': 'LRPL Taylor'}"
1st innings,New Zealand,11.4,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,11.5,MJ Santner,SK Raina,1,{},{}
1st innings,New Zealand,11.6,CJ Anderson,SK Raina,0,{},{}
1st innings,New Zealand,12.1,MJ Santner,RA Jadeja,4,{'byes': 4},{}
1st innings,New Zealand,12.2,MJ Santner,RA Jadeja,1,{'legbyes': 1},{}
1st innings,New Zealand,12.3,CJ Anderson,RA Jadeja,1,{'wides': 1},{}
1st innings,New Zealand,12.4,CJ Anderson,RA Jadeja,2,{'wides': 2},{}
1st innings,New Zealand,12.5,MJ Santner,RA Jadeja,0,{},{}
1st innings,New Zealand,12.6,MJ Santner,RA Jadeja,1,{'legbyes': 1},{}
1st innings,New Zealand,12.7,CJ Anderson,RA Jadeja,0,{},{}
1st innings,New Zealand,12.8,CJ Anderson,RA Jadeja,1,{'wides': 1},{}
1st innings,New Zealand,12.9,CJ Anderson,RA Jadeja,2,{},{}
1st innings,New Zealand,13.1,MJ Santner,SK Raina,0,{},{}
1st innings,New Zealand,13.2,MJ Santner,SK Raina,1,{},{}
1st innings,New Zealand,13.3,CJ Anderson,SK Raina,1,{},{}
1st innings,New Zealand,13.4,MJ Santner,SK Raina,1,{},{}
1st innings,New Zealand,13.5,CJ Anderson,SK Raina,0,{},{}
1st innings,New Zealand,13.6,CJ Anderson,SK Raina,0,{},{}
1st innings,New Zealand,14.1,MJ Santner,HH Pandya,0,{},{}
1st innings,New Zealand,14.2,MJ Santner,HH Pandya,1,{'wides': 1},{}
1st innings,New Zealand,14.3,MJ Santner,HH Pandya,4,{},{}
1st innings,New Zealand,14.4,MJ Santner,HH Pandya,1,{},{}
1st innings,New Zealand,14.5,CJ Anderson,HH Pandya,1,{},{}
1st innings,New Zealand,14.6,MJ Santner,HH Pandya,2,{},{}
1st innings,New Zealand,14.7,MJ Santner,HH Pandya,1,{},{}
1st innings,New Zealand,15.1,MJ Santner,JJ Bumrah,1,{},{}
1st innings,New Zealand,15.2,CJ Anderson,JJ Bumrah,0,{},{}
1st innings,New Zealand,15.3,CJ Anderson,JJ Bumrah,0,{},{}
1st innings,New Zealand,15.4,CJ Anderson,JJ Bumrah,0,{},"{'kind': 'bowled', 'player_out': 'CJ Anderson'}"
1st innings,New Zealand,15.5,GD Elliott,JJ Bumrah,0,{},{}
1st innings,New Zealand,15.6,GD Elliott,JJ Bumrah,1,{},{}
1st innings,New Zealand,16.1,GD Elliott,RA Jadeja,1,{},{}
1st innings,New Zealand,16.2,MJ Santner,RA Jadeja,2,{},{}
1st innings,New Zealand,16.3,MJ Santner,RA Jadeja,1,{'wides': 1},{}
1st innings,New Zealand,16.4,MJ Santner,RA Jadeja,4,{},{}
1st innings,New Zealand,16.5,MJ Santner,RA Jadeja,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'caught', 'player_out': 'MJ Santner'}"
1st innings,New Zealand,16.6,L Ronchi,RA Jadeja,0,{},{}
1st innings,New Zealand,16.7,L Ronchi,RA Jadeja,0,{},{}
1st innings,New Zealand,17.1,GD Elliott,JJ Bumrah,0,{},{}
1st innings,New Zealand,17.2,GD Elliott,JJ Bumrah,2,{},{}
1st innings,New Zealand,17.3,GD Elliott,JJ Bumrah,1,{},{}
1st innings,New Zealand,17.4,L Ronchi,JJ Bumrah,1,{},{}
1st innings,New Zealand,17.5,GD Elliott,JJ Bumrah,0,{},{}
1st innings,New Zealand,17.6,GD Elliott,JJ Bumrah,1,{},{}
1st innings,New Zealand,18.1,GD Elliott,RA Jadeja,0,{},{}
1st innings,New Zealand,18.2,GD Elliott,RA Jadeja,1,{},{}
1st innings,New Zealand,18.3,L Ronchi,RA Jadeja,4,{},{}
1st innings,New Zealand,18.4,L Ronchi,RA Jadeja,1,{},{}
1st innings,New Zealand,18.5,GD Elliott,RA Jadeja,1,{},{}
1st innings,New Zealand,18.6,L Ronchi,RA Jadeja,1,{},{}
1st innings,New Zealand,19.1,L Ronchi,A Nehra,1,{},{}
1st innings,New Zealand,19.2,GD Elliott,A Nehra,1,{},{}
1st innings,New Zealand,19.3,L Ronchi,A Nehra,1,{},"{'fielders': ['S Dhawan', 'A Nehra'], 'kind': 'run out', 'player_out': 'GD Elliott'}"
1st innings,New Zealand,19.4,L Ronchi,A Nehra,4,{},{}
1st innings,New Zealand,19.5,L Ronchi,A Nehra,6,{},{}
1st innings,New Zealand,19.6,L Ronchi,A Nehra,2,{},{}
2nd innings,India,0.1,RG Sharma,NL McCullum,1,{},{}
2nd innings,India,0.2,S Dhawan,NL McCullum,0,{},{}
2nd innings,India,0.3,S Dhawan,NL McCullum,1,{},{}
2nd innings,India,0.4,RG Sharma,NL McCullum,3,{},{}
2nd innings,India,0.5,S Dhawan,NL McCullum,0,{},"{'kind': 'lbw', 'player_out': 'S Dhawan'}"
2nd innings,India,0.6,V Kohli,NL McCullum,1,{},{}
2nd innings,India,1.1,V Kohli,CJ Anderson,2,{},{}
2nd innings,India,1.2,V Kohli,CJ Anderson,1,{},{}
2nd innings,India,1.3,RG Sharma,CJ Anderson,0,{},{}
2nd innings,India,1.4,RG Sharma,CJ Anderson,0,{},{}
2nd innings,India,1.5,RG Sharma,CJ Anderson,1,{},{}
2nd innings,India,1.6,V Kohli,CJ Anderson,0,{},{}
2nd innings,India,2.1,RG Sharma,MJ Santner,0,{},{}
2nd innings,India,2.2,RG Sharma,MJ Santner,0,{},"{'fielders': ['L Ronchi'], 'kind': 'stumped', 'player_out': 'RG Sharma'}"
2nd innings,India,2.3,SK Raina,MJ Santner,1,{},{}
2nd innings,India,2.4,V Kohli,MJ Santner,1,{},{}
2nd innings,India,2.5,SK Raina,MJ Santner,0,{},"{'fielders': ['MJ Guptill'], 'kind': 'caught', 'player_out': 'SK Raina'}"
2nd innings,India,2.6,Yuvraj Singh,MJ Santner,0,{},{}
2nd innings,India,3.1,V Kohli,CJ Anderson,0,{},{}
2nd innings,India,3.2,V Kohli,CJ Anderson,4,{},{}
2nd innings,India,3.3,V Kohli,CJ Anderson,0,{},{}
2nd innings,India,3.4,V Kohli,CJ Anderson,4,{},{}
2nd innings,India,3.5,V Kohli,CJ Anderson,1,{},{}
2nd innings,India,3.6,Yuvraj Singh,CJ Anderson,0,{},{}
2nd innings,India,4.1,V Kohli,NL McCullum,0,{},{}
2nd innings,India,4.2,V Kohli,NL McCullum,1,{},{}
2nd innings,India,4.3,Yuvraj Singh,NL McCullum,0,{},{}
2nd innings,India,4.4,Yuvraj Singh,NL McCullum,4,{},{}
2nd innings,India,4.5,Yuvraj Singh,NL McCullum,0,{},"{'kind': 'caught and bowled', 'player_out': 'Yuvraj Singh'}"
2nd innings,India,4.6,MS Dhoni,NL McCullum,0,{},{}
2nd innings,India,5.1,V Kohli,GD Elliott,0,{},{}
2nd innings,India,5.2,V Kohli,GD Elliott,0,{},{}
2nd innings,India,5.3,V Kohli,GD Elliott,1,{},{}
2nd innings,India,5.4,MS Dhoni,GD Elliott,0,{},{}
2nd innings,India,5.5,MS Dhoni,GD Elliott,1,{},{}
2nd innings,India,5.6,V Kohli,GD Elliott,1,{},{}
2nd innings,India,6.1,V Kohli,AF Milne,1,{'noballs': 1},{}
2nd innings,India,6.2,V Kohli,AF Milne,0,{},{}
2nd innings,India,6.3,V Kohli,AF Milne,0,{},{}
2nd innings,India,6.4,V Kohli,AF Milne,0,{},{}
2nd innings,India,6.5,V Kohli,AF Milne,1,{},{}
2nd innings,India,6.6,MS Dhoni,AF Milne,1,{},{}
2nd innings,India,6.7,V Kohli,AF Milne,1,{},{}
2nd innings,India,7.1,V Kohli,GD Elliott,1,{'wides': 1},{}
2nd innings,India,7.2,V Kohli,GD Elliott,1,{},{}
2nd innings,India,7.3,MS Dhoni,GD Elliott,1,{},{}
2nd innings,India,7.4,V Kohli,GD Elliott,0,{},{}
2nd innings,India,7.5,V Kohli,GD Elliott,2,{},{}
2nd innings,India,7.6,V Kohli,GD Elliott,1,{},{}
2nd innings,India,7.7,MS Dhoni,GD Elliott,0,{},{}
