inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,England,0.1,JJ Roy,JE Taylor,0,{},{}
1st innings,England,0.2,JJ Roy,JE Taylor,1,{},{}
1st innings,England,0.3,AD Hales,JE Taylor,0,{},{}
1st innings,England,0.4,AD Hales,JE Taylor,0,{},{}
1st innings,England,0.5,AD Hales,JE Taylor,0,{},{}
1st innings,England,0.6,AD Hales,JE Taylor,0,{},{}
1st innings,England,1.1,JJ Roy,S Badree,1,{},{}
1st innings,England,1.2,AD Hales,S Badree,1,{},{}
1st innings,England,1.3,JJ Roy,S Badree,1,{'wides': 1},{}
1st innings,England,1.4,JJ Roy,S Badree,0,{},{}
1st innings,England,1.5,JJ Roy,S Badree,0,{},{}
1st innings,England,1.6,JJ Roy,S Badree,0,{},{}
1st innings,England,1.7,JJ Roy,S Badree,1,{},{}
1st innings,England,2.1,JJ Roy,JE Taylor,4,{},{}
1st innings,England,2.2,JJ Roy,JE Taylor,2,{},{}
1st innings,England,2.3,JJ Roy,JE Taylor,1,{'wides': 1},{}
1st innings,England,2.4,JJ Roy,JE Taylor,0,{},{}
1st innings,England,2.5,JJ Roy,JE Taylor,2,{},{}
1st innings,England,2.6,JJ Roy,JE Taylor,5,{'wides': 5},{}
1st innings,England,2.7,JJ Roy,JE Taylor,0,{},{}
1st innings,England,2.8,JJ Roy,JE Taylor,4,{},{}
1st innings,England,3.1,AD Hales,S Badree,0,{},{}
1st innings,England,3.2,AD Hales,S Badree,4,{},{}
1st innings,England,3.3,AD Hales,S Badree,4,{},{}
1st innings,England,3.4,AD Hales,S Badree,4,{},{}
1st innings,England,3.5,AD Hales,S Badree,0,{},{}
1st innings,England,3.6,AD Hales,S Badree,1,{},{}
1st innings,England,4.1,AD Hales,AD Russell,1,{},{}
1st innings,England,4.2,JJ Roy,AD Russell,0,{},{}
1st innings,England,4.3,JJ Roy,AD Russell,0,{},"{'fielders': ['S Badree'], 'kind': 'caught', 'player_out': 'JJ Roy'}"
1st innings,England,4.4,JE Root,AD Russell,0,{},{}
1st innings,England,4.5,JE Root,AD Russell,4,{},{}
1st innings,England,4.6,JE Root,AD Russell,1,{'wides': 1},{}
1st innings,England,4.7,JE Root,AD Russell,0,{},{}
1st innings,England,5.1,AD Hales,DJ Bravo,3,{},{}
1st innings,England,5.2,JE Root,DJ Bravo,1,{},{}
1st innings,England,5.3,AD Hales,DJ Bravo,0,{},{}
1st innings,England,5.4,AD Hales,DJ Bravo,1,{},{}
1st innings,England,5.5,JE Root,DJ Bravo,1,{'wides': 1},{}
1st innings,England,5.6,JE Root,DJ Bravo,1,{},{}
1st innings,England,5.7,AD Hales,DJ Bravo,0,{},{}
1st innings,England,6.1,JE Root,AD Russell,0,{},{}
1st innings,England,6.2,JE Root,AD Russell,0,{},{}
1st innings,England,6.3,JE Root,AD Russell,2,{},{}
1st innings,England,6.4,JE Root,AD Russell,0,{},{}
1st innings,England,6.5,JE Root,AD Russell,6,{},{}
1st innings,England,6.6,JE Root,AD Russell,1,{},{}
1st innings,England,7.1,JE Root,SJ Benn,1,{},{}
1st innings,England,7.2,AD Hales,SJ Benn,1,{},{}
1st innings,England,7.3,JE Root,SJ Benn,1,{},{}
1st innings,England,7.4,AD Hales,SJ Benn,0,{},{}
1st innings,England,7.5,AD Hales,SJ Benn,1,{},{}
1st innings,England,7.6,JE Root,SJ Benn,1,{},{}
1st innings,England,8.1,JE Root,CR Brathwaite,1,{},{}
1st innings,England,8.2,AD Hales,CR Brathwaite,0,{},{}
1st innings,England,8.3,AD Hales,CR Brathwaite,1,{},{}
1st innings,England,8.4,JE Root,CR Brathwaite,4,{},{}
1st innings,England,8.5,JE Root,CR Brathwaite,1,{},{}
1st innings,England,8.6,AD Hales,CR Brathwaite,4,{},{}
1st innings,England,9.1,JE Root,S Badree,1,{},{}
1st innings,England,9.2,AD Hales,S Badree,1,{'legbyes': 1},{}
1st innings,England,9.3,JE Root,S Badree,2,{},{}
1st innings,England,9.4,JE Root,S Badree,1,{},{}
1st innings,England,9.5,AD Hales,S Badree,1,{},{}
1st innings,England,9.6,JE Root,S Badree,1,{},{}
1st innings,England,10.1,JE Root,JE Taylor,1,{'wides': 1},{}
1st innings,England,10.2,JE Root,JE Taylor,6,{},{}
1st innings,England,10.3,JE Root,JE Taylor,0,{},{}
1st innings,England,10.4,JE Root,JE Taylor,2,{},{}
1st innings,England,10.5,JE Root,JE Taylor,1,{},{}
1st innings,England,10.6,AD Hales,JE Taylor,1,{},{}
1st innings,England,10.7,JE Root,JE Taylor,0,{},{}
1st innings,England,11.1,AD Hales,SJ Benn,0,{},"{'kind': 'bowled', 'player_out': 'AD Hales'}"
1st innings,England,11.2,JC Buttler,SJ Benn,0,{},{}
1st innings,England,11.3,JC Buttler,SJ Benn,1,{},{}
1st innings,England,11.4,JE Root,SJ Benn,1,{},{}
1st innings,England,11.5,JC Buttler,SJ Benn,1,{},{}
1st innings,England,11.6,JE Root,SJ Benn,1,{},{}
1st innings,England,12.1,JE Root,DJ Bravo,0,{},{}
1st innings,England,12.2,JE Root,DJ Bravo,4,{},{}
1st innings,England,12.3,JE Root,DJ Bravo,1,{},{}
1st innings,England,12.4,JC Buttler,DJ Bravo,1,{'byes': 1},{}
1st innings,England,12.5,JE Root,DJ Bravo,1,{},{}
1st innings,England,12.6,JC Buttler,DJ Bravo,0,{},{}
1st innings,England,13.1,JE Root,S Badree,1,{},{}
1st innings,England,13.2,JC Buttler,S Badree,1,{},{}
1st innings,England,13.3,JE Root,S Badree,1,{},{}
1st innings,England,13.4,JC Buttler,S Badree,6,{},{}
1st innings,England,13.5,JC Buttler,S Badree,2,{},{}
1st innings,England,13.6,JC Buttler,S Badree,0,{},{}
1st innings,England,14.1,JE Root,AD Russell,0,{},{}
1st innings,England,14.2,JE Root,AD Russell,0,{},"{'fielders': ['JE Taylor'], 'kind': 'caught', 'player_out': 'JE Root'}"
1st innings,England,14.3,EJG Morgan,AD Russell,1,{},{}
1st innings,England,14.4,JC Buttler,AD Russell,1,{},{}
1st innings,England,14.5,EJG Morgan,AD Russell,6,{},{}
1st innings,England,14.6,EJG Morgan,AD Russell,1,{},{}
1st innings,England,15.1,EJG Morgan,CR Brathwaite,1,{},{}
1st innings,England,15.2,JC Buttler,CR Brathwaite,1,{},{}
1st innings,England,15.3,EJG Morgan,CR Brathwaite,1,{},{}
1st innings,England,15.4,JC Buttler,CR Brathwaite,1,{},{}
1st innings,England,15.5,EJG Morgan,CR Brathwaite,1,{},{}
1st innings,England,15.6,JC Buttler,CR Brathwaite,0,{},{}
1st innings,England,16.1,EJG Morgan,SJ Benn,1,{},{}
1st innings,England,16.2,JC Buttler,SJ Benn,6,{},{}
1st innings,England,16.3,JC Buttler,SJ Benn,0,{},{}
1st innings,England,16.4,JC Buttler,SJ Benn,1,{},{}
1st innings,England,16.5,EJG Morgan,SJ Benn,2,{},{}
1st innings,England,16.6,EJG Morgan,SJ Benn,4,{},{}
1st innings,England,17.1,JC Buttler,DJ Bravo,1,{},{}
1st innings,England,17.2,EJG Morgan,DJ Bravo,1,{},{}
1st innings,England,17.3,JC Buttler,DJ Bravo,6,{},{}
1st innings,England,17.4,JC Buttler,DJ Bravo,2,{},{}
1st innings,England,17.5,JC Buttler,DJ Bravo,0,{},"{'fielders': ['CR Brathwaite'], 'kind': 'caught', 'player_out': 'JC Buttler'}"
1st innings,England,17.6,EJG Morgan,DJ Bravo,0,{},{}
1st innings,England,18.1,BA Stokes,AD Russell,4,{},{}
1st innings,England,18.2,BA Stokes,AD Russell,0,{},{}
1st innings,England,18.3,BA Stokes,AD Russell,6,{},{}
1st innings,England,18.4,BA Stokes,AD Russell,1,{},{}
1st innings,England,18.5,EJG Morgan,AD Russell,1,{},{}
1st innings,England,18.6,BA Stokes,AD Russell,0,{},{}
1st innings,England,19.1,EJG Morgan,DJ Bravo,6,{},{}
1st innings,England,19.2,EJG Morgan,DJ Bravo,1,{},{}
1st innings,England,19.3,BA Stokes,DJ Bravo,4,{},{}
1st innings,England,19.4,BA Stokes,DJ Bravo,0,{},"{'kind': 'lbw', 'player_out': 'BA Stokes'}"
1st innings,England,19.5,MM Ali,DJ Bravo,6,{},{}
1st innings,England,19.6,MM Ali,DJ Bravo,1,{},"{'fielders': ['JO Holder (sub)', 'D Ramdin'], 'kind': 'run out', 'player_out': 'MM Ali'}"
2nd innings,West Indies,0.1,J Charles,DJ Willey,1,{'wides': 1},{}
2nd innings,West Indies,0.2,J Charles,DJ Willey,1,{'wides': 1},{}
2nd innings,West Indies,0.3,J Charles,DJ Willey,0,{},{}
2nd innings,West Indies,0.4,J Charles,DJ Willey,0,{},"{'fielders': ['MM Ali'], 'kind': 'caught', 'player_out': 'J Charles'}"
2nd innings,West Indies,0.5,MN Samuels,DJ Willey,0,{},{}
2nd innings,West Indies,0.6,MN Samuels,DJ Willey,0,{},{}
