inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Sharjeel Khan,A Nehra,1,{},{}
1st innings,Pakistan,0.2,Ahmed Shehzad,A Nehra,1,{},{}
1st innings,Pakistan,0.3,Sharjeel Khan,A Nehra,0,{},{}
1st innings,Pakistan,0.4,Sharjeel Khan,A Nehra,1,{},{}
1st innings,Pakistan,0.5,Ahmed Shehzad,A Nehra,0,{},{}
1st innings,Pakistan,0.6,Ahmed Shehzad,A Nehra,0,{},{}
1st innings,Pakistan,1.1,Sharjeel Khan,R Ashwin,0,{},{}
1st innings,Pakistan,1.2,Sharjeel Khan,R Ashwin,0,{},{}
1st innings,Pakistan,1.3,Sharjeel Khan,R Ashwin,0,{},{}
1st innings,Pakistan,1.4,Sharjeel Khan,R Ashwin,0,{},{}
1st innings,Pakistan,1.5,Sharjeel Khan,R Ashwin,1,{},{}
1st innings,Pakistan,1.6,Ahmed Shehzad,R Ashwin,1,{'byes': 1},{}
1st innings,Pakistan,2.1,Ahmed Shehzad,A Nehra,1,{},{}
1st innings,Pakistan,2.2,Sharjeel Khan,A Nehra,1,{},{}
1st innings,Pakistan,2.3,Ahmed Shehzad,A Nehra,0,{},{}
1st innings,Pakistan,2.4,Ahmed Shehzad,A Nehra,0,{},{}
1st innings,Pakistan,2.5,Ahmed Shehzad,A Nehra,1,{},{}
1st innings,Pakistan,2.6,Sharjeel Khan,A Nehra,4,{},{}
1st innings,Pakistan,3.1,Ahmed Shehzad,R Ashwin,1,{},{}
1st innings,Pakistan,3.2,Sharjeel Khan,R Ashwin,0,{},{}
1st innings,Pakistan,3.3,Sharjeel Khan,R Ashwin,1,{},{}
1st innings,Pakistan,3.4,Ahmed Shehzad,R Ashwin,4,{},{}
1st innings,Pakistan,3.5,Ahmed Shehzad,R Ashwin,0,{},{}
1st innings,Pakistan,3.6,Ahmed Shehzad,R Ashwin,1,{},{}
1st innings,Pakistan,4.1,Ahmed Shehzad,JJ Bumrah,1,{},{}
1st innings,Pakistan,4.2,Sharjeel Khan,JJ Bumrah,0,{},{}
