inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,Mashrafe Mortaza,1,{},{}
1st innings,India,0.2,S Dhawan,Mashrafe Mortaza,1,{},{}
1st innings,India,0.3,RG Sharma,Mashrafe Mortaza,1,{'wides': 1},{}
1st innings,India,0.4,RG Sharma,Mashrafe Mortaza,0,{},{}
1st innings,India,0.5,RG Sharma,Mashrafe Mortaza,1,{},{}
1st innings,India,0.6,S Dhawan,Mashrafe Mortaza,1,{},{}
1st innings,India,0.7,RG Sharma,Mashrafe Mortaza,0,{},{}
1st innings,India,1.1,S Dhawan,Shuvagata Hom,0,{},{}
1st innings,India,1.2,S Dhawan,Shuvagata Hom,0,{},{}
1st innings,India,1.3,S Dhawan,Shuvagata Hom,0,{},{}
1st innings,India,1.4,S Dhawan,Shuvagata Hom,4,{},{}
1st innings,India,1.5,S Dhawan,Shuvagata Hom,0,{},{}
1st innings,India,1.6,S Dhawan,Shuvagata Hom,0,{},{}
1st innings,India,2.1,RG Sharma,Al-Amin Hossain,4,{},{}
1st innings,India,2.2,RG Sharma,Al-Amin Hossain,1,{},{}
1st innings,India,2.3,S Dhawan,Al-Amin Hossain,1,{},{}
1st innings,India,2.4,RG Sharma,Al-Amin Hossain,1,{},{}
1st innings,India,2.5,S Dhawan,Al-Amin Hossain,1,{},{}
1st innings,India,2.6,RG Sharma,Al-Amin Hossain,0,{},{}
1st innings,India,3.1,S Dhawan,Mustafizur Rahman,0,{},{}
1st innings,India,3.2,S Dhawan,Mustafizur Rahman,0,{},{}
1st innings,India,3.3,S Dhawan,Mustafizur Rahman,1,{},{}
1st innings,India,3.4,RG Sharma,Mustafizur Rahman,1,{},{}
1st innings,India,3.5,S Dhawan,Mustafizur Rahman,0,{},{}
1st innings,India,3.6,S Dhawan,Mustafizur Rahman,4,{},{}
1st innings,India,4.1,RG Sharma,Shakib Al Hasan,0,{},{}
1st innings,India,4.2,RG Sharma,Shakib Al Hasan,1,{},{}
1st innings,India,4.3,S Dhawan,Shakib Al Hasan,1,{},{}
1st innings,India,4.4,RG Sharma,Shakib Al Hasan,0,{},{}
1st innings,India,4.5,RG Sharma,Shakib Al Hasan,1,{},{}
1st innings,India,4.6,S Dhawan,Shakib Al Hasan,1,{},{}
1st innings,India,5.1,S Dhawan,Mustafizur Rahman,1,{},{}
