inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Australia,0.1,UT Khawaja,Mohammad Amir,0,{},{}
1st innings,Australia,0.2,UT Khawaja,Mohammad Amir,0,{},{}
1st innings,Australia,0.3,UT Khawaja,Mohammad Amir,0,{},{}
1st innings,Australia,0.4,UT Khawaja,Mohammad Amir,4,{},{}
1st innings,Australia,0.5,UT Khawaja,Mohammad Amir,1,{},{}
1st innings,Australia,0.6,AJ Finch,Mohammad Amir,0,{},{}
1st innings,Australia,1.1,UT Khawaja,Mohammad Sami,4,{},{}
1st innings,Australia,1.2,UT Khawaja,Mohammad Sami,0,{},{}
1st innings,Australia,1.3,UT Khawaja,Mohammad Sami,1,{'wides': 1},{}
1st innings,Australia,1.4,UT Khawaja,Mohammad Sami,0,{},{}
1st innings,Australia,1.5,UT Khawaja,Mohammad Sami,1,{},{}
1st innings,Australia,1.6,AJ Finch,Mohammad Sami,1,{},{}
1st innings,Australia,1.7,UT Khawaja,Mohammad Sami,4,{},{}
1st innings,Australia,2.1,AJ Finch,Mohammad Amir,1,{},{}
1st innings,Australia,2.2,UT Khawaja,Mohammad Amir,0,{},{}
1st innings,Australia,2.3,UT Khawaja,Mohammad Amir,1,{},{}
1st innings,Australia,2.4,AJ Finch,Mohammad Amir,0,{},{}
1st innings,Australia,2.5,AJ Finch,Mohammad Amir,3,{},{}
1st innings,Australia,2.6,UT Khawaja,Mohammad Amir,0,{},{}
1st innings,Australia,3.1,AJ Finch,Wahab Riaz,1,{},{}
1st innings,Australia,3.2,UT Khawaja,Wahab Riaz,6,{},{}
1st innings,Australia,3.3,UT Khawaja,Wahab Riaz,0,{},{}
1st innings,Australia,3.4,UT Khawaja,Wahab Riaz,0,{},"{'kind': 'bowled', 'player_out': 'UT Khawaja'}"
1st innings,Australia,3.5,DA Warner,Wahab Riaz,0,{},{}
1st innings,Australia,3.6,DA Warner,Wahab Riaz,4,{},{}
1st innings,Australia,4.1,AJ Finch,Mohammad Sami,4,{},{}
1st innings,Australia,4.2,AJ Finch,Mohammad Sami,0,{},{}
1st innings,Australia,4.3,AJ Finch,Mohammad Sami,1,{},{}
1st innings,Australia,4.4,DA Warner,Mohammad Sami,4,{},{}
1st innings,Australia,4.5,DA Warner,Mohammad Sami,0,{},{}
1st innings,Australia,4.6,DA Warner,Mohammad Sami,1,{},{}
