inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,HM Amla,S Badree,1,{},{}
1st innings,South Africa,0.2,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,0.3,Q de Kock,S Badree,0,{},"{'fielders': ['AD Russell', 'D Ramdin'], 'kind': 'run out', 'player_out': 'HM Amla'}"
1st innings,South Africa,0.4,F du Plessis,S Badree,1,{},{}
1st innings,South Africa,0.5,Q de Kock,S Badree,2,{},{}
1st innings,South Africa,0.6,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,1.1,F du Plessis,AD Russell,0,{},{}
1st innings,South Africa,1.2,F du Plessis,AD Russell,0,{},{}
1st innings,South Africa,1.3,F du Plessis,AD Russell,0,{},{}
1st innings,South Africa,1.4,F du Plessis,AD Russell,6,{},{}
1st innings,South Africa,1.5,F du Plessis,AD Russell,2,{},{}
1st innings,South Africa,1.6,F du Plessis,AD Russell,1,{'wides': 1},{}
1st innings,South Africa,1.7,F du Plessis,AD Russell,0,{},"{'fielders': ['SJ Benn'], 'kind': 'caught', 'player_out': 'F du Plessis'}"
1st innings,South Africa,2.1,Q de Kock,CH Gayle,2,{},{}
1st innings,South Africa,2.2,Q de Kock,CH Gayle,0,{},{}
1st innings,South Africa,2.3,Q de Kock,CH Gayle,4,{},{}
1st innings,South Africa,2.4,Q de Kock,CH Gayle,1,{},{}
1st innings,South Africa,2.5,RR Rossouw,CH Gayle,0,{},{}
1st innings,South Africa,2.6,RR Rossouw,CH Gayle,0,{},"{'fielders': ['AD Russell'], 'kind': 'caught', 'player_out': 'RR Rossouw'}"
1st innings,South Africa,3.1,Q de Kock,AD Russell,0,{},{}
1st innings,South Africa,3.2,Q de Kock,AD Russell,0,{},{}
1st innings,South Africa,3.3,Q de Kock,AD Russell,2,{},{}
1st innings,South Africa,3.4,Q de Kock,AD Russell,1,{},{}
1st innings,South Africa,3.5,AB de Villiers,AD Russell,1,{'wides': 1},{}
1st innings,South Africa,3.6,AB de Villiers,AD Russell,4,{},{}
1st innings,South Africa,3.7,AB de Villiers,AD Russell,0,{},{}
1st innings,South Africa,4.1,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,4.2,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,4.3,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,4.4,Q de Kock,S Badree,6,{},{}
1st innings,South Africa,4.5,Q de Kock,S Badree,0,{},{}
1st innings,South Africa,4.6,Q de Kock,S Badree,2,{},{}
1st innings,South Africa,5.1,AB de Villiers,CR Brathwaite,0,{},{}
1st innings,South Africa,5.2,AB de Villiers,CR Brathwaite,0,{},{}
1st innings,South Africa,5.3,AB de Villiers,CR Brathwaite,0,{},{}
1st innings,South Africa,5.4,AB de Villiers,CR Brathwaite,1,{},{}
1st innings,South Africa,5.5,Q de Kock,CR Brathwaite,1,{},{}
1st innings,South Africa,5.6,AB de Villiers,CR Brathwaite,1,{},{}
1st innings,South Africa,6.1,AB de Villiers,SJ Benn,0,{},{}
1st innings,South Africa,6.2,AB de Villiers,SJ Benn,2,{},{}
1st innings,South Africa,6.3,AB de Villiers,SJ Benn,1,{},{}
1st innings,South Africa,6.4,Q de Kock,SJ Benn,0,{},{}
1st innings,South Africa,6.5,Q de Kock,SJ Benn,0,{},{}
1st innings,South Africa,6.6,Q de Kock,SJ Benn,2,{},{}
1st innings,South Africa,7.1,AB de Villiers,DJ Bravo,1,{},{}
1st innings,South Africa,7.2,Q de Kock,DJ Bravo,0,{},{}
1st innings,South Africa,7.3,Q de Kock,DJ Bravo,1,{},{}
1st innings,South Africa,7.4,AB de Villiers,DJ Bravo,0,{},"{'kind': 'bowled', 'player_out': 'AB de Villiers'}"
1st innings,South Africa,7.5,DA Miller,DJ Bravo,0,{},{}
1st innings,South Africa,7.6,DA Miller,DJ Bravo,1,{},{}
1st innings,South Africa,8.1,DA Miller,CH Gayle,0,{},{}
1st innings,South Africa,8.2,DA Miller,CH Gayle,0,{},"{'kind': 'bowled', 'player_out': 'DA Miller'}"
1st innings,South Africa,8.3,D Wiese,CH Gayle,1,{},{}
1st innings,South Africa,8.4,Q de Kock,CH Gayle,1,{},{}
1st innings,South Africa,8.5,D Wiese,CH Gayle,0,{},{}
1st innings,South Africa,8.6,D Wiese,CH Gayle,1,{},{}
1st innings,South Africa,9.1,D Wiese,DJ Bravo,0,{},{}
1st innings,South Africa,9.2,D Wiese,DJ Bravo,1,{},{}
1st innings,South Africa,9.3,Q de Kock,DJ Bravo,0,{},{}
1st innings,South Africa,9.4,Q de Kock,DJ Bravo,0,{},{}
1st innings,South Africa,9.5,Q de Kock,DJ Bravo,2,{},{}
1st innings,South Africa,9.6,Q de Kock,DJ Bravo,4,{},{}
1st innings,South Africa,10.1,D Wiese,SJ Benn,0,{},{}
1st innings,South Africa,10.2,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,10.3,Q de Kock,SJ Benn,1,{},{}
1st innings,South Africa,10.4,D Wiese,SJ Benn,4,{'byes': 4},{}
1st innings,South Africa,10.5,D Wiese,SJ Benn,2,{},{}
1st innings,South Africa,10.6,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,11.1,D Wiese,CR Brathwaite,2,{},{}
1st innings,South Africa,11.2,D Wiese,CR Brathwaite,2,{},{}
1st innings,South Africa,11.3,D Wiese,CR Brathwaite,1,{},{}
1st innings,South Africa,11.4,Q de Kock,CR Brathwaite,1,{},{}
1st innings,South Africa,11.5,D Wiese,CR Brathwaite,1,{},{}
1st innings,South Africa,11.6,Q de Kock,CR Brathwaite,1,{},{}
1st innings,South Africa,12.1,Q de Kock,SJ Benn,0,{},{}
1st innings,South Africa,12.2,Q de Kock,SJ Benn,1,{},{}
1st innings,South Africa,12.3,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,12.4,Q de Kock,SJ Benn,1,{},{}
1st innings,South Africa,12.5,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,12.6,Q de Kock,SJ Benn,0,{},{}
1st innings,South Africa,13.1,D Wiese,CH Gayle,4,{},{}
1st innings,South Africa,13.2,D Wiese,CH Gayle,0,{},{}
1st innings,South Africa,13.3,D Wiese,CH Gayle,1,{},{}
1st innings,South Africa,13.4,Q de Kock,CH Gayle,0,{},{}
1st innings,South Africa,13.5,Q de Kock,CH Gayle,2,{},{}
1st innings,South Africa,13.6,Q de Kock,CH Gayle,0,{},{}
1st innings,South Africa,14.1,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,14.2,Q de Kock,SJ Benn,2,{},{}
1st innings,South Africa,14.3,Q de Kock,SJ Benn,0,{},{}
1st innings,South Africa,14.4,Q de Kock,SJ Benn,1,{},{}
1st innings,South Africa,14.5,D Wiese,SJ Benn,1,{},{}
1st innings,South Africa,14.6,Q de Kock,SJ Benn,1,{},{}
1st innings,South Africa,15.1,Q de Kock,AD Russell,4,{},{}
1st innings,South Africa,15.2,Q de Kock,AD Russell,1,{},{}
1st innings,South Africa,15.3,D Wiese,AD Russell,1,{},{}
1st innings,South Africa,15.4,Q de Kock,AD Russell,0,{},"{'kind': 'bowled', 'player_out': 'Q de Kock'}"
1st innings,South Africa,15.5,CH Morris,AD Russell,1,{},{}
1st innings,South Africa,15.6,D Wiese,AD Russell,0,{},{}
1st innings,South Africa,16.1,CH Morris,S Badree,0,{},{}
1st innings,South Africa,16.2,CH Morris,S Badree,4,{},{}
1st innings,South Africa,16.3,CH Morris,S Badree,4,{},{}
1st innings,South Africa,16.4,CH Morris,S Badree,0,{},{}
1st innings,South Africa,16.5,CH Morris,S Badree,1,{},{}
1st innings,South Africa,16.6,D Wiese,S Badree,1,{},{}
1st innings,South Africa,17.1,D Wiese,DJ Bravo,4,{},{}
1st innings,South Africa,17.2,D Wiese,DJ Bravo,0,{},"{'fielders': ['DJG Sammy'], 'kind': 'caught', 'player_out': 'D Wiese'}"
