inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,HM Nicholls,Mashrafe Mortaza,0,{},{}
1st innings,New Zealand,0.2,HM Nicholls,Mashrafe Mortaza,1,{},{}
1st innings,New Zealand,0.3,KS Williamson,Mashrafe Mortaza,0,{},{}
1st innings,New Zealand,0.4,KS Williamson,Mashrafe Mortaza,0,{},{}
1st innings,New Zealand,0.5,KS Williamson,Mashrafe Mortaza,4,{},{}
1st innings,New Zealand,0.6,KS Williamson,Mashrafe Mortaza,4,{},{}
1st innings,New Zealand,1.1,HM Nicholls,Shuvagata Hom,0,{},{}
1st innings,New Zealand,1.2,HM Nicholls,Shuvagata Hom,0,{},{}
1st innings,New Zealand,1.3,HM Nicholls,Shuvagata Hom,4,{},{}
1st innings,New Zealand,1.4,HM Nicholls,Shuvagata Hom,0,{},{}
1st innings,New Zealand,1.5,HM Nicholls,Shuvagata Hom,1,{},{}
1st innings,New Zealand,1.6,KS Williamson,Shuvagata Hom,1,{},{}
1st innings,New Zealand,2.1,KS Williamson,Shakib Al Hasan,4,{},{}
1st innings,New Zealand,2.2,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,2.3,KS Williamson,Shakib Al Hasan,2,{},{}
1st innings,New Zealand,2.4,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,2.5,KS Williamson,Shakib Al Hasan,2,{},{}
1st innings,New Zealand,2.6,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,3.1,HM Nicholls,Mustafizur Rahman,0,{},{}
1st innings,New Zealand,3.2,HM Nicholls,Mustafizur Rahman,0,{},{}
1st innings,New Zealand,3.3,HM Nicholls,Mustafizur Rahman,1,{},{}
1st innings,New Zealand,3.4,KS Williamson,Mustafizur Rahman,0,{},{}
1st innings,New Zealand,3.5,KS Williamson,Mustafizur Rahman,1,{},{}
1st innings,New Zealand,3.6,HM Nicholls,Mustafizur Rahman,0,{},"{'kind': 'bowled', 'player_out': 'HM Nicholls'}"
1st innings,New Zealand,4.1,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,4.2,KS Williamson,Shakib Al Hasan,4,{},{}
1st innings,New Zealand,4.3,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,4.4,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,4.5,KS Williamson,Shakib Al Hasan,6,{},{}
1st innings,New Zealand,4.6,KS Williamson,Shakib Al Hasan,0,{},{}
1st innings,New Zealand,5.1,C Munro,Al-Amin Hossain,0,{},{}
1st innings,New Zealand,5.2,C Munro,Al-Amin Hossain,0,{},{}
1st innings,New Zealand,5.3,C Munro,Al-Amin Hossain,0,{},{}
1st innings,New Zealand,5.4,C Munro,Al-Amin Hossain,1,{},{}
1st innings,New Zealand,5.5,KS Williamson,Al-Amin Hossain,1,{},{}
1st innings,New Zealand,5.6,C Munro,Al-Amin Hossain,2,{},{}
1st innings,New Zealand,6.1,KS Williamson,Shuvagata Hom,0,{},{}
1st innings,New Zealand,6.2,KS Williamson,Shuvagata Hom,1,{},{}
1st innings,New Zealand,6.3,C Munro,Shuvagata Hom,1,{},{}
1st innings,New Zealand,6.4,KS Williamson,Shuvagata Hom,1,{},{}
1st innings,New Zealand,6.5,C Munro,Shuvagata Hom,1,{},{}
1st innings,New Zealand,6.6,KS Williamson,Shuvagata Hom,1,{},{}
1st innings,New Zealand,7.1,KS Williamson,Mahmudullah,1,{},{}
1st innings,New Zealand,7.2,C Munro,Mahmudullah,1,{},{}
