inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Australia,0.1,UT Khawaja,A Nehra,4,{},{}
1st innings,Australia,0.2,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,0.3,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,0.4,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,0.5,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,0.6,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,1.1,AJ Finch,JJ Bumrah,1,{},{}
1st innings,Australia,1.2,UT Khawaja,JJ Bumrah,4,{},{}
1st innings,Australia,1.3,UT Khawaja,JJ Bumrah,4,{},{}
1st innings,Australia,1.4,UT Khawaja,JJ Bumrah,4,{},{}
1st innings,Australia,1.5,UT Khawaja,JJ Bumrah,0,{},{}
1st innings,Australia,1.6,UT Khawaja,JJ Bumrah,4,{},{}
1st innings,Australia,2.1,AJ Finch,A Nehra,0,{},{}
1st innings,Australia,2.2,AJ Finch,A Nehra,4,{},{}
1st innings,Australia,2.3,AJ Finch,A Nehra,1,{},{}
1st innings,Australia,2.4,UT Khawaja,A Nehra,4,{},{}
1st innings,Australia,2.5,UT Khawaja,A Nehra,0,{},{}
1st innings,Australia,2.6,UT Khawaja,A Nehra,1,{},{}
1st innings,Australia,3.1,UT Khawaja,R Ashwin,1,{},{}
1st innings,Australia,3.2,AJ Finch,R Ashwin,0,{},{}
1st innings,Australia,3.3,AJ Finch,R Ashwin,6,{},{}
1st innings,Australia,3.4,AJ Finch,R Ashwin,6,{},{}
1st innings,Australia,3.5,AJ Finch,R Ashwin,5,{'wides': 5},{}
1st innings,Australia,3.6,AJ Finch,R Ashwin,1,{'wides': 1},{}
1st innings,Australia,3.7,AJ Finch,R Ashwin,2,{},{}
1st innings,Australia,3.8,AJ Finch,R Ashwin,1,{},{}
1st innings,Australia,4.1,AJ Finch,A Nehra,1,{},{}
1st innings,Australia,4.2,UT Khawaja,A Nehra,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'caught', 'player_out': 'UT Khawaja'}"
1st innings,Australia,4.3,DA Warner,A Nehra,0,{},{}
1st innings,Australia,4.4,DA Warner,A Nehra,1,{},{}
1st innings,Australia,4.5,AJ Finch,A Nehra,0,{},{}
1st innings,Australia,4.6,AJ Finch,A Nehra,0,{},{}
1st innings,Australia,5.1,DA Warner,JJ Bumrah,1,{'legbyes': 1},{}
1st innings,Australia,5.2,AJ Finch,JJ Bumrah,0,{},{}
1st innings,Australia,5.3,AJ Finch,JJ Bumrah,0,{},{}
1st innings,Australia,5.4,AJ Finch,JJ Bumrah,1,{},{}
1st innings,Australia,5.5,DA Warner,JJ Bumrah,1,{},{}
1st innings,Australia,5.6,AJ Finch,JJ Bumrah,1,{},{}
1st innings,Australia,6.1,AJ Finch,RA Jadeja,1,{},{}
1st innings,Australia,6.2,DA Warner,RA Jadeja,2,{},{}
1st innings,Australia,6.3,DA Warner,RA Jadeja,0,{},{}
1st innings,Australia,6.4,DA Warner,RA Jadeja,1,{},{}
1st innings,Australia,6.5,AJ Finch,RA Jadeja,0,{},{}
1st innings,Australia,6.6,AJ Finch,RA Jadeja,1,{},{}
1st innings,Australia,7.1,AJ Finch,R Ashwin,1,{'wides': 1},{}
1st innings,Australia,7.2,AJ Finch,R Ashwin,1,{},{}
1st innings,Australia,7.3,DA Warner,R Ashwin,1,{},{}
1st innings,Australia,7.4,AJ Finch,R Ashwin,4,{},{}
1st innings,Australia,7.5,AJ Finch,R Ashwin,1,{},{}
1st innings,Australia,7.6,DA Warner,R Ashwin,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'stumped', 'player_out': 'DA Warner'}"
1st innings,Australia,7.7,SPD Smith,R Ashwin,1,{},{}
1st innings,Australia,8.1,SPD Smith,RA Jadeja,0,{},{}
1st innings,Australia,8.2,SPD Smith,RA Jadeja,0,{},{}
1st innings,Australia,8.3,SPD Smith,RA Jadeja,0,{},{}
1st innings,Australia,8.4,SPD Smith,RA Jadeja,1,{},{}
1st innings,Australia,8.5,AJ Finch,RA Jadeja,0,{},{}
1st innings,Australia,8.6,AJ Finch,RA Jadeja,0,{},{}
1st innings,Australia,9.1,SPD Smith,Yuvraj Singh,0,{},"{'fielders': ['MS Dhoni'], 'kind': 'caught', 'player_out': 'SPD Smith'}"
1st innings,Australia,9.2,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,9.3,AJ Finch,Yuvraj Singh,2,{'noballs': 1},{}
1st innings,Australia,9.4,GJ Maxwell,Yuvraj Singh,0,{},{}
1st innings,Australia,9.5,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,9.6,AJ Finch,Yuvraj Singh,1,{'wides': 1},{}
1st innings,Australia,9.7,AJ Finch,Yuvraj Singh,1,{},{}
1st innings,Australia,9.8,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,10.1,GJ Maxwell,HH Pandya,0,{},{}
1st innings,Australia,10.2,GJ Maxwell,HH Pandya,0,{},{}
1st innings,Australia,10.3,GJ Maxwell,HH Pandya,2,{},{}
1st innings,Australia,10.4,GJ Maxwell,HH Pandya,0,{},{}
1st innings,Australia,10.5,GJ Maxwell,HH Pandya,1,{},{}
1st innings,Australia,10.6,AJ Finch,HH Pandya,1,{},{}
1st innings,Australia,11.1,AJ Finch,Yuvraj Singh,1,{},{}
1st innings,Australia,11.2,GJ Maxwell,Yuvraj Singh,2,{},{}
1st innings,Australia,11.3,GJ Maxwell,Yuvraj Singh,2,{},{}
1st innings,Australia,11.4,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,11.5,AJ Finch,Yuvraj Singh,1,{},{}
1st innings,Australia,11.6,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,12.1,GJ Maxwell,HH Pandya,1,{},{}
1st innings,Australia,12.2,AJ Finch,HH Pandya,0,{},{}
1st innings,Australia,12.3,AJ Finch,HH Pandya,2,{},{}
1st innings,Australia,12.4,AJ Finch,HH Pandya,0,{},{}
1st innings,Australia,12.5,AJ Finch,HH Pandya,4,{},{}
1st innings,Australia,12.6,AJ Finch,HH Pandya,0,{},"{'fielders': ['S Dhawan'], 'kind': 'caught', 'player_out': 'AJ Finch'}"
1st innings,Australia,13.1,GJ Maxwell,Yuvraj Singh,1,{'wides': 1},{}
1st innings,Australia,13.2,GJ Maxwell,Yuvraj Singh,0,{},{}
1st innings,Australia,13.3,GJ Maxwell,Yuvraj Singh,2,{},{}
1st innings,Australia,13.4,GJ Maxwell,Yuvraj Singh,0,{},{}
1st innings,Australia,13.5,GJ Maxwell,Yuvraj Singh,0,{},{}
1st innings,Australia,13.6,GJ Maxwell,Yuvraj Singh,1,{},{}
1st innings,Australia,13.7,SR Watson,Yuvraj Singh,0,{},{}
1st innings,Australia,14.1,GJ Maxwell,HH Pandya,1,{},{}
1st innings,Australia,14.2,SR Watson,HH Pandya,1,{'wides': 1},{}
1st innings,Australia,14.3,SR Watson,HH Pandya,4,{},{}
1st innings,Australia,14.4,SR Watson,HH Pandya,1,{},{}
1st innings,Australia,14.5,GJ Maxwell,HH Pandya,1,{},{}
1st innings,Australia,14.6,SR Watson,HH Pandya,1,{},{}
1st innings,Australia,14.7,GJ Maxwell,HH Pandya,1,{},{}
1st innings,Australia,15.1,GJ Maxwell,RA Jadeja,1,{},{}
1st innings,Australia,15.2,SR Watson,RA Jadeja,1,{'legbyes': 1},{}
1st innings,Australia,15.3,GJ Maxwell,RA Jadeja,1,{},{}
1st innings,Australia,15.4,SR Watson,RA Jadeja,1,{'wides': 1},{}
1st innings,Australia,15.5,SR Watson,RA Jadeja,1,{},{}
1st innings,Australia,15.6,GJ Maxwell,RA Jadeja,4,{},{}
1st innings,Australia,15.7,GJ Maxwell,RA Jadeja,6,{},{}
1st innings,Australia,16.1,SR Watson,JJ Bumrah,1,{},{}
1st innings,Australia,16.2,GJ Maxwell,JJ Bumrah,0,{},{}
1st innings,Australia,16.3,GJ Maxwell,JJ Bumrah,0,{},"{'kind': 'bowled', 'player_out': 'GJ Maxwell'}"
1st innings,Australia,16.4,JP Faulkner,JJ Bumrah,1,{},{}
1st innings,Australia,16.5,SR Watson,JJ Bumrah,0,{},{}
1st innings,Australia,16.6,SR Watson,JJ Bumrah,1,{},{}
1st innings,Australia,17.1,SR Watson,A Nehra,1,{},{}
1st innings,Australia,17.2,JP Faulkner,A Nehra,1,{},{}
1st innings,Australia,17.3,SR Watson,A Nehra,1,{},{}
1st innings,Australia,17.4,JP Faulkner,A Nehra,0,{},{}
1st innings,Australia,17.5,JP Faulkner,A Nehra,0,{},{}
1st innings,Australia,17.6,JP Faulkner,A Nehra,1,{},{}
1st innings,Australia,18.1,JP Faulkner,JJ Bumrah,4,{},{}
1st innings,Australia,18.2,JP Faulkner,JJ Bumrah,1,{},{}
1st innings,Australia,18.3,SR Watson,JJ Bumrah,1,{},{}
1st innings,Australia,18.4,JP Faulkner,JJ Bumrah,1,{},{}
1st innings,Australia,18.5,SR Watson,JJ Bumrah,1,{},{}
1st innings,Australia,18.6,JP Faulkner,JJ Bumrah,1,{},{}
1st innings,Australia,19.1,JP Faulkner,HH Pandya,0,{},"{'fielders': ['V Kohli'], 'kind': 'caught', 'player_out': 'JP Faulkner'}"
1st innings,Australia,19.2,SR Watson,HH Pandya,0,{},{}
1st innings,Australia,19.3,SR Watson,HH Pandya,4,{},{}
1st innings,Australia,19.4,SR Watson,HH Pandya,1,{},{}
1st innings,Australia,19.5,PM Nevill,HH Pandya,4,{},{}
1st innings,Australia,19.6,PM Nevill,HH Pandya,6,{},{}
2nd innings,India,0.1,RG Sharma,JR Hazlewood,1,{},{}
2nd innings,India,0.2,S Dhawan,JR Hazlewood,4,{},{}
2nd innings,India,0.3,S Dhawan,JR Hazlewood,0,{},{}
2nd innings,India,0.4,S Dhawan,JR Hazlewood,1,{},{}
2nd innings,India,0.5,RG Sharma,JR Hazlewood,0,{},{}
2nd innings,India,0.6,RG Sharma,JR Hazlewood,1,{},{}
2nd innings,India,1.1,RG Sharma,NM Coulter-Nile,0,{},{}
2nd innings,India,1.2,RG Sharma,NM Coulter-Nile,0,{},{}
