inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,LD Chandimal,DW Steyn,0,{},{}
1st innings,Sri Lanka,0.2,LD Chandimal,DW Steyn,0,{},{}
1st innings,Sri Lanka,0.3,LD Chandimal,DW Steyn,0,{},{}
1st innings,Sri Lanka,0.4,LD Chandimal,DW Steyn,0,{},{}
1st innings,Sri Lanka,0.5,LD Chandimal,DW Steyn,4,{},{}
1st innings,Sri Lanka,0.6,LD Chandimal,DW Steyn,1,{},{}
1st innings,Sri Lanka,1.1,LD Chandimal,KJ Abbott,1,{'noballs': 1},{}
1st innings,Sri Lanka,1.2,LD Chandimal,KJ Abbott,1,{},{}
1st innings,Sri Lanka,1.3,TM Dilshan,KJ Abbott,1,{'legbyes': 1},{}
1st innings,Sri Lanka,1.4,LD Chandimal,KJ Abbott,0,{},{}
1st innings,Sri Lanka,1.5,LD Chandimal,KJ Abbott,2,{},{}
1st innings,Sri Lanka,1.6,LD Chandimal,KJ Abbott,0,{},{}
1st innings,Sri Lanka,1.7,LD Chandimal,KJ Abbott,4,{'byes': 4},{}
1st innings,Sri Lanka,2.1,TM Dilshan,DW Steyn,4,{},{}
1st innings,Sri Lanka,2.2,TM Dilshan,DW Steyn,1,{'legbyes': 1},{}
1st innings,Sri Lanka,2.3,LD Chandimal,DW Steyn,0,{},{}
1st innings,Sri Lanka,2.4,LD Chandimal,DW Steyn,6,{},{}
1st innings,Sri Lanka,2.5,LD Chandimal,DW Steyn,4,{},{}
1st innings,Sri Lanka,2.6,LD Chandimal,DW Steyn,1,{},{}
1st innings,Sri Lanka,3.1,LD Chandimal,KJ Abbott,1,{},{}
1st innings,Sri Lanka,3.2,TM Dilshan,KJ Abbott,0,{},{}
1st innings,Sri Lanka,3.3,TM Dilshan,KJ Abbott,1,{},{}
1st innings,Sri Lanka,3.4,LD Chandimal,KJ Abbott,1,{},{}
1st innings,Sri Lanka,3.5,TM Dilshan,KJ Abbott,1,{},{}
1st innings,Sri Lanka,3.6,LD Chandimal,KJ Abbott,0,{},{}
1st innings,Sri Lanka,4.1,TM Dilshan,AM Phangiso,4,{},{}
1st innings,Sri Lanka,4.2,TM Dilshan,AM Phangiso,6,{},{}
1st innings,Sri Lanka,4.3,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,4.4,TM Dilshan,AM Phangiso,1,{},{}
1st innings,Sri Lanka,4.5,LD Chandimal,AM Phangiso,0,{},"{'kind': 'bowled', 'player_out': 'LD Chandimal'}"
1st innings,Sri Lanka,4.6,HDRL Thirimanne,AM Phangiso,0,{},"{'kind': 'bowled', 'player_out': 'HDRL Thirimanne'}"
1st innings,Sri Lanka,5.1,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,5.2,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,5.3,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,5.4,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,5.5,TM Dilshan,Imran Tahir,1,{},{}
1st innings,Sri Lanka,5.6,TAM Siriwardana,Imran Tahir,1,{},{}
1st innings,Sri Lanka,6.1,TAM Siriwardana,AM Phangiso,1,{},{}
1st innings,Sri Lanka,6.2,TM Dilshan,AM Phangiso,1,{},{}
1st innings,Sri Lanka,6.3,TAM Siriwardana,AM Phangiso,1,{},{}
1st innings,Sri Lanka,6.4,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,6.5,TM Dilshan,AM Phangiso,4,{},{}
1st innings,Sri Lanka,6.6,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,7.1,TAM Siriwardana,D Wiese,4,{},{}
1st innings,Sri Lanka,7.2,TAM Siriwardana,D Wiese,1,{},{}
1st innings,Sri Lanka,7.3,TM Dilshan,D Wiese,0,{},{}
1st innings,Sri Lanka,7.4,TM Dilshan,D Wiese,1,{},{}
1st innings,Sri Lanka,7.5,TAM Siriwardana,D Wiese,1,{},{}
1st innings,Sri Lanka,7.6,TM Dilshan,D Wiese,1,{},{}
1st innings,Sri Lanka,8.1,TM Dilshan,Imran Tahir,1,{},{}
1st innings,Sri Lanka,8.2,TAM Siriwardana,Imran Tahir,2,{'noballs': 1},{}
1st innings,Sri Lanka,8.3,TM Dilshan,Imran Tahir,4,{},{}
1st innings,Sri Lanka,8.4,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,8.5,TM Dilshan,Imran Tahir,1,{},{}
1st innings,Sri Lanka,8.6,TAM Siriwardana,Imran Tahir,1,{},{}
1st innings,Sri Lanka,8.7,TM Dilshan,Imran Tahir,0,{},{}
1st innings,Sri Lanka,9.1,TAM Siriwardana,AM Phangiso,4,{},{}
1st innings,Sri Lanka,9.2,TAM Siriwardana,AM Phangiso,0,{},"{'fielders': ['F du Plessis', 'Q de Kock'], 'kind': 'run out', 'player_out': 'TAM Siriwardana'}"
1st innings,Sri Lanka,9.3,GSNFG Jayasuriya,AM Phangiso,1,{},{}
1st innings,Sri Lanka,9.4,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,9.5,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,9.6,TM Dilshan,AM Phangiso,1,{},{}
1st innings,Sri Lanka,10.1,TM Dilshan,F Behardien,1,{},{}
1st innings,Sri Lanka,10.2,GSNFG Jayasuriya,F Behardien,0,{},{}
1st innings,Sri Lanka,10.3,GSNFG Jayasuriya,F Behardien,0,{},"{'fielders': ['F du Plessis'], 'kind': 'caught', 'player_out': 'GSNFG Jayasuriya'}"
1st innings,Sri Lanka,10.4,CK Kapugedera,F Behardien,1,{},{}
1st innings,Sri Lanka,10.5,TM Dilshan,F Behardien,1,{},{}
1st innings,Sri Lanka,10.6,CK Kapugedera,F Behardien,0,{},{}
1st innings,Sri Lanka,11.1,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,11.2,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,11.3,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,11.4,TM Dilshan,AM Phangiso,1,{},{}
1st innings,Sri Lanka,11.5,CK Kapugedera,AM Phangiso,1,{},{}
1st innings,Sri Lanka,11.6,TM Dilshan,AM Phangiso,0,{},{}
1st innings,Sri Lanka,12.1,CK Kapugedera,F Behardien,1,{},{}
1st innings,Sri Lanka,12.2,TM Dilshan,F Behardien,1,{},{}
1st innings,Sri Lanka,12.3,CK Kapugedera,F Behardien,1,{},{}
1st innings,Sri Lanka,12.4,TM Dilshan,F Behardien,0,{},{}
1st innings,Sri Lanka,12.5,TM Dilshan,F Behardien,0,{},"{'kind': 'lbw', 'player_out': 'TM Dilshan'}"
1st innings,Sri Lanka,12.6,NLTC Perera,F Behardien,0,{},{}
1st innings,Sri Lanka,13.1,CK Kapugedera,Imran Tahir,0,{},{}
1st innings,Sri Lanka,13.2,CK Kapugedera,Imran Tahir,0,{},"{'kind': 'bowled', 'player_out': 'CK Kapugedera'}"
1st innings,Sri Lanka,13.3,MD Shanaka,Imran Tahir,1,{},{}
1st innings,Sri Lanka,13.4,NLTC Perera,Imran Tahir,0,{},{}
1st innings,Sri Lanka,13.5,NLTC Perera,Imran Tahir,2,{},{}
1st innings,Sri Lanka,13.6,NLTC Perera,Imran Tahir,1,{},{}
1st innings,Sri Lanka,14.1,NLTC Perera,DW Steyn,4,{},{}
1st innings,Sri Lanka,14.2,NLTC Perera,DW Steyn,1,{},{}
1st innings,Sri Lanka,14.3,MD Shanaka,DW Steyn,0,{},{}
1st innings,Sri Lanka,14.4,MD Shanaka,DW Steyn,0,{},{}
1st innings,Sri Lanka,14.5,MD Shanaka,DW Steyn,1,{'wides': 1},{}
1st innings,Sri Lanka,14.6,MD Shanaka,DW Steyn,1,{},{}
1st innings,Sri Lanka,14.7,NLTC Perera,DW Steyn,0,{},"{'fielders': ['F Behardien'], 'kind': 'caught', 'player_out': 'NLTC Perera'}"
1st innings,Sri Lanka,15.1,MD Shanaka,Imran Tahir,1,{},{}
1st innings,Sri Lanka,15.2,HMRKB Herath,Imran Tahir,0,{},{}
1st innings,Sri Lanka,15.3,HMRKB Herath,Imran Tahir,1,{},{}
1st innings,Sri Lanka,15.4,MD Shanaka,Imran Tahir,0,{},{}
1st innings,Sri Lanka,15.5,MD Shanaka,Imran Tahir,1,{},{}
1st innings,Sri Lanka,15.6,HMRKB Herath,Imran Tahir,0,{},{}
1st innings,Sri Lanka,16.1,MD Shanaka,F Behardien,0,{},{}
1st innings,Sri Lanka,16.2,MD Shanaka,F Behardien,6,{},{}
1st innings,Sri Lanka,16.3,MD Shanaka,F Behardien,1,{},{}
1st innings,Sri Lanka,16.4,HMRKB Herath,F Behardien,1,{},{}
1st innings,Sri Lanka,16.5,MD Shanaka,F Behardien,0,{},{}
1st innings,Sri Lanka,16.6,MD Shanaka,F Behardien,1,{},{}
1st innings,Sri Lanka,17.1,MD Shanaka,KJ Abbott,1,{},{}
1st innings,Sri Lanka,17.2,HMRKB Herath,KJ Abbott,0,{},"{'fielders': ['Q de Kock'], 'kind': 'caught', 'player_out': 'HMRKB Herath'}"
1st innings,Sri Lanka,17.3,JDF Vandersay,KJ Abbott,0,{},{}
1st innings,Sri Lanka,17.4,JDF Vandersay,KJ Abbott,1,{},{}
1st innings,Sri Lanka,17.5,MD Shanaka,KJ Abbott,1,{'wides': 1},{}
1st innings,Sri Lanka,17.6,MD Shanaka,KJ Abbott,1,{},{}
1st innings,Sri Lanka,17.7,JDF Vandersay,KJ Abbott,1,{},{}
1st innings,Sri Lanka,18.1,JDF Vandersay,DW Steyn,0,{},{}
1st innings,Sri Lanka,18.2,JDF Vandersay,DW Steyn,1,{},{}
1st innings,Sri Lanka,18.3,MD Shanaka,DW Steyn,4,{},{}
1st innings,Sri Lanka,18.4,MD Shanaka,DW Steyn,0,{},{}
1st innings,Sri Lanka,18.5,MD Shanaka,DW Steyn,1,{},{}
1st innings,Sri Lanka,18.6,JDF Vandersay,DW Steyn,0,{},{}
1st innings,Sri Lanka,19.1,MD Shanaka,KJ Abbott,1,{},{}
1st innings,Sri Lanka,19.2,JDF Vandersay,KJ Abbott,0,{},"{'kind': 'bowled', 'player_out': 'JDF Vandersay'}"
