inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,DJ Willey,4,{},{}
1st innings,New Zealand,0.2,MJ Guptill,DJ Willey,0,{},{}
1st innings,New Zealand,0.3,MJ Guptill,DJ Willey,1,{},{}
1st innings,New Zealand,0.4,KS Williamson,DJ Willey,1,{},{}
1st innings,New Zealand,0.5,MJ Guptill,DJ Willey,4,{},{}
1st innings,New Zealand,0.6,MJ Guptill,DJ Willey,1,{},{}
1st innings,New Zealand,1.1,MJ Guptill,CJ Jordan,0,{},{}
1st innings,New Zealand,1.2,MJ Guptill,CJ Jordan,0,{},{}
1st innings,New Zealand,1.3,MJ Guptill,CJ Jordan,0,{},{}
1st innings,New Zealand,1.4,MJ Guptill,CJ Jordan,1,{'wides': 1},{}
1st innings,New Zealand,1.5,MJ Guptill,CJ Jordan,0,{},{}
1st innings,New Zealand,1.6,MJ Guptill,CJ Jordan,4,{},{}
1st innings,New Zealand,1.7,MJ Guptill,CJ Jordan,1,{},{}
1st innings,New Zealand,2.1,MJ Guptill,DJ Willey,0,{},"{'fielders': ['JC Buttler'], 'kind': 'caught', 'player_out': 'MJ Guptill'}"
1st innings,New Zealand,2.2,C Munro,DJ Willey,1,{},{}
1st innings,New Zealand,2.3,KS Williamson,DJ Willey,1,{},{}
1st innings,New Zealand,2.4,C Munro,DJ Willey,0,{},{}
1st innings,New Zealand,2.5,C Munro,DJ Willey,4,{},{}
1st innings,New Zealand,2.6,C Munro,DJ Willey,0,{},{}
1st innings,New Zealand,3.1,KS Williamson,LE Plunkett,1,{},{}
1st innings,New Zealand,3.2,C Munro,LE Plunkett,1,{},{}
1st innings,New Zealand,3.3,KS Williamson,LE Plunkett,0,{},{}
1st innings,New Zealand,3.4,KS Williamson,LE Plunkett,4,{},{}
1st innings,New Zealand,3.5,KS Williamson,LE Plunkett,0,{},{}
1st innings,New Zealand,3.6,KS Williamson,LE Plunkett,2,{},{}
1st innings,New Zealand,4.1,C Munro,CJ Jordan,0,{},{}
1st innings,New Zealand,4.2,C Munro,CJ Jordan,1,{'legbyes': 1},{}
