inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,AD Russell,0,{},{}
1st innings,India,0.2,RG Sharma,AD Russell,0,{},{}
1st innings,India,0.3,RG Sharma,AD Russell,0,{},{}
1st innings,India,0.4,RG Sharma,AD Russell,1,{},{}
1st innings,India,0.5,AM Rahane,AD Russell,1,{},{}
1st innings,India,0.6,RG Sharma,AD Russell,0,{},{}
1st innings,India,1.1,AM Rahane,S Badree,1,{},{}
1st innings,India,1.2,RG Sharma,S Badree,1,{'legbyes': 1},{}
1st innings,India,1.3,AM Rahane,S Badree,0,{},{}
1st innings,India,1.4,AM Rahane,S Badree,0,{},{}
1st innings,India,1.5,AM Rahane,S Badree,1,{},{}
1st innings,India,1.6,RG Sharma,S Badree,1,{},{}
1st innings,India,2.1,RG Sharma,CR Brathwaite,6,{},{}
1st innings,India,2.2,RG Sharma,CR Brathwaite,0,{},{}
1st innings,India,2.3,RG Sharma,CR Brathwaite,1,{},{}
1st innings,India,2.4,AM Rahane,CR Brathwaite,1,{},{}
1st innings,India,2.5,RG Sharma,CR Brathwaite,0,{},{}
1st innings,India,2.6,RG Sharma,CR Brathwaite,1,{},{}
1st innings,India,3.1,RG Sharma,SJ Benn,2,{},{}
1st innings,India,3.2,RG Sharma,SJ Benn,0,{},{}
1st innings,India,3.3,RG Sharma,SJ Benn,0,{},{}
1st innings,India,3.4,RG Sharma,SJ Benn,4,{},{}
1st innings,India,3.5,RG Sharma,SJ Benn,4,{},{}
1st innings,India,3.6,RG Sharma,SJ Benn,1,{},{}
1st innings,India,4.1,RG Sharma,S Badree,1,{},{}
1st innings,India,4.2,AM Rahane,S Badree,0,{},{}
1st innings,India,4.3,AM Rahane,S Badree,4,{},{}
1st innings,India,4.4,AM Rahane,S Badree,2,{},{}
1st innings,India,4.5,AM Rahane,S Badree,1,{},{}
1st innings,India,4.6,RG Sharma,S Badree,1,{},{}
1st innings,India,5.1,RG Sharma,AD Russell,0,{},{}
1st innings,India,5.2,RG Sharma,AD Russell,7,{'noballs': 1},{}
1st innings,India,5.3,RG Sharma,AD Russell,6,{},{}
1st innings,India,5.4,RG Sharma,AD Russell,1,{},{}
1st innings,India,5.5,AM Rahane,AD Russell,1,{},{}
1st innings,India,5.6,RG Sharma,AD Russell,4,{},{}
1st innings,India,5.7,RG Sharma,AD Russell,1,{},{}
1st innings,India,6.1,RG Sharma,SJ Benn,0,{},{}
1st innings,India,6.2,RG Sharma,SJ Benn,1,{},{}
1st innings,India,6.3,AM Rahane,SJ Benn,1,{},{}
1st innings,India,6.4,RG Sharma,SJ Benn,1,{},{}
1st innings,India,6.5,AM Rahane,SJ Benn,2,{},{}
1st innings,India,6.6,AM Rahane,SJ Benn,2,{},{}
1st innings,India,7.1,RG Sharma,S Badree,0,{},{}
1st innings,India,7.2,RG Sharma,S Badree,0,{},"{'kind': 'lbw', 'player_out': 'RG Sharma'}"
