inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Papua New Guinea,0.1,TP Ura,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,0.2,TP Ura,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,0.3,TP Ura,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,0.4,TP Ura,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,0.5,TP Ura,Bilal Khan,0,{},"{'player_out': 'TP Ura', 'kind': 'bowled'}"
1st innings,Papua New Guinea,0.6,A Vala,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,1.1,L Siaka,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,1.2,L Siaka,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,1.3,L Siaka,Kaleemullah,0,{},"{'player_out': 'L Siaka', 'kind': 'bowled'}"
1st innings,Papua New Guinea,1.4,CJA Amini,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,1.5,CJA Amini,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,1.6,CJA Amini,Kaleemullah,1,{},{}
1st innings,Papua New Guinea,2.1,CJA Amini,Bilal Khan,1,{'legbyes': 1},{}
1st innings,Papua New Guinea,2.2,A Vala,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,2.3,A Vala,Bilal Khan,0,{},{}
1st innings,Papua New Guinea,2.4,A Vala,Bilal Khan,1,{},{}
1st innings,Papua New Guinea,2.5,CJA Amini,Bilal Khan,4,{},{}
1st innings,Papua New Guinea,2.6,CJA Amini,Bilal Khan,4,{},{}
1st innings,Papua New Guinea,3.1,A Vala,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,3.2,A Vala,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,3.3,A Vala,Kaleemullah,4,{},{}
1st innings,Papua New Guinea,3.4,A Vala,Kaleemullah,4,{},{}
1st innings,Papua New Guinea,3.5,A Vala,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,3.6,A Vala,Kaleemullah,0,{},{}
1st innings,Papua New Guinea,4.1,CJA Amini,Aqib Ilyas,4,{},{}
1st innings,Papua New Guinea,4.2,CJA Amini,Aqib Ilyas,1,{},{}
1st innings,Papua New Guinea,4.3,A Vala,Aqib Ilyas,0,{},{}
1st innings,Papua New Guinea,4.4,A Vala,Aqib Ilyas,2,{},{}
1st innings,Papua New Guinea,4.5,A Vala,Aqib Ilyas,0,{},{}
1st innings,Papua New Guinea,4.6,A Vala,Aqib Ilyas,0,{},{}
1st innings,Papua New Guinea,5.1,CJA Amini,Mohammad Nadeem,1,{'legbyes': 1},{}
1st innings,Papua New Guinea,5.2,A Vala,Mohammad Nadeem,2,{},{}
1st innings,Papua New Guinea,5.3,A Vala,Mohammad Nadeem,1,{},{}
1st innings,Papua New Guinea,5.4,CJA Amini,Mohammad Nadeem,6,{},{}
