inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,0.2,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,0.3,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,0.4,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,0.5,HG Munsey,Taskin Ahmed,4,{},{}
1st innings,Scotland,0.6,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,1.1,KJ Coetzer,Mustafizur Rahman,0,{},{}
1st innings,Scotland,1.2,KJ Coetzer,Mustafizur Rahman,0,{},{}
1st innings,Scotland,1.3,KJ Coetzer,Mustafizur Rahman,1,{'legbyes': 1},{}
1st innings,Scotland,1.4,HG Munsey,Mustafizur Rahman,0,{},{}
1st innings,Scotland,1.5,HG Munsey,Mustafizur Rahman,0,{},{}
1st innings,Scotland,1.6,HG Munsey,Mustafizur Rahman,0,{},{}
1st innings,Scotland,2.1,KJ Coetzer,Mohammad Saifuddin,0,{},{}
1st innings,Scotland,2.2,KJ Coetzer,Mohammad Saifuddin,0,{},{}
1st innings,Scotland,2.3,KJ Coetzer,Mohammad Saifuddin,0,{},{}
1st innings,Scotland,2.4,KJ Coetzer,Mohammad Saifuddin,0,{},"{'player_out': 'KJ Coetzer', 'kind': 'bowled'}"
1st innings,Scotland,2.5,MH Cross,Mohammad Saifuddin,1,{},{}
1st innings,Scotland,2.6,HG Munsey,Mohammad Saifuddin,1,{},{}
1st innings,Scotland,3.1,HG Munsey,Taskin Ahmed,0,{},{}
1st innings,Scotland,3.2,HG Munsey,Taskin Ahmed,7,{'noballs': 1},{}
1st innings,Scotland,3.3,HG Munsey,Taskin Ahmed,1,{},{}
1st innings,Scotland,3.4,MH Cross,Taskin Ahmed,0,{},{}
1st innings,Scotland,3.5,MH Cross,Taskin Ahmed,0,{},{}
1st innings,Scotland,3.6,MH Cross,Taskin Ahmed,0,{},{}
1st innings,Scotland,3.7,MH Cross,Taskin Ahmed,1,{},{}
1st innings,Scotland,4.1,MH Cross,Mohammad Saifuddin,0,{},{}
1st innings,Scotland,4.2,MH Cross,Mohammad Saifuddin,1,{'legbyes': 1},{}
1st innings,Scotland,4.3,HG Munsey,Mohammad Saifuddin,1,{'wides': 1},{}
1st innings,Scotland,4.4,HG Munsey,Mohammad Saifuddin,1,{},{}
1st innings,Scotland,4.5,MH Cross,Mohammad Saifuddin,1,{},{}
1st innings,Scotland,4.6,HG Munsey,Mohammad Saifuddin,2,{},{}
1st innings,Scotland,4.7,HG Munsey,Mohammad Saifuddin,4,{},{}
1st innings,Scotland,5.1,MH Cross,Mustafizur Rahman,0,{},{}
1st innings,Scotland,5.2,MH Cross,Mustafizur Rahman,4,{},{}
1st innings,Scotland,5.3,MH Cross,Mustafizur Rahman,0,{},{}
1st innings,Scotland,5.4,MH Cross,Mustafizur Rahman,1,{},{}
1st innings,Scotland,5.5,HG Munsey,Mustafizur Rahman,1,{'wides': 1},{}
1st innings,Scotland,5.6,HG Munsey,Mustafizur Rahman,6,{},{}
1st innings,Scotland,5.7,HG Munsey,Mustafizur Rahman,1,{},{}
1st innings,Scotland,6.1,HG Munsey,Shakib Al Hasan,1,{},{}
1st innings,Scotland,6.2,MH Cross,Shakib Al Hasan,2,{},{}
1st innings,Scotland,6.3,MH Cross,Shakib Al Hasan,0,{},{}
1st innings,Scotland,6.4,MH Cross,Shakib Al Hasan,1,{},{}
1st innings,Scotland,6.5,HG Munsey,Shakib Al Hasan,1,{},{}
1st innings,Scotland,6.6,MH Cross,Shakib Al Hasan,0,{},{}
1st innings,Scotland,7.1,HG Munsey,Mahedi Hasan,1,{},{}
1st innings,Scotland,7.2,MH Cross,Mahedi Hasan,0,{},"{'player_out': 'MH Cross', 'kind': 'lbw'}"
1st innings,Scotland,7.3,RD Berrington,Mahedi Hasan,1,{},{}
1st innings,Scotland,7.4,HG Munsey,Mahedi Hasan,0,{},{}
1st innings,Scotland,7.5,HG Munsey,Mahedi Hasan,0,{},"{'player_out': 'HG Munsey', 'kind': 'bowled'}"
1st innings,Scotland,7.6,CS MacLeod,Mahedi Hasan,1,{},{}
1st innings,Scotland,8.1,CS MacLeod,Shakib Al Hasan,0,{},{}
1st innings,Scotland,8.2,CS MacLeod,Shakib Al Hasan,1,{},{}
1st innings,Scotland,8.3,RD Berrington,Shakib Al Hasan,0,{},{}
1st innings,Scotland,8.4,RD Berrington,Shakib Al Hasan,0,{},{}
1st innings,Scotland,8.5,RD Berrington,Shakib Al Hasan,1,{},{}
1st innings,Scotland,8.6,CS MacLeod,Shakib Al Hasan,1,{},{}
1st innings,Scotland,9.1,CS MacLeod,Mahedi Hasan,0,{},{}
1st innings,Scotland,9.2,CS MacLeod,Mahedi Hasan,0,{},{}
1st innings,Scotland,9.3,CS MacLeod,Mahedi Hasan,0,{},{}
1st innings,Scotland,9.4,CS MacLeod,Mahedi Hasan,0,{},{}
1st innings,Scotland,9.5,CS MacLeod,Mahedi Hasan,0,{},{}
1st innings,Scotland,9.6,CS MacLeod,Mahedi Hasan,1,{},{}
1st innings,Scotland,10.1,CS MacLeod,Shakib Al Hasan,1,{},{}
1st innings,Scotland,10.2,RD Berrington,Shakib Al Hasan,0,{},"{'player_out': 'RD Berrington', 'fielders': ['Afif Hossain'], 'kind': 'caught'}"
