inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Namibia,0.1,SJ Baard,C Karunaratne,0,{},{}
1st innings,Namibia,0.2,SJ Baard,C Karunaratne,0,{},{}
1st innings,Namibia,0.3,SJ Baard,C Karunaratne,1,{'wides': 1},{}
1st innings,Namibia,0.4,SJ Baard,C Karunaratne,0,{},{}
1st innings,Namibia,0.5,SJ Baard,C Karunaratne,0,{},{}
1st innings,Namibia,0.6,SJ Baard,C Karunaratne,0,{},{}
1st innings,Namibia,0.7,SJ Baard,C Karunaratne,1,{},{}
1st innings,Namibia,1.1,SJ Baard,PVD Chameera,0,{},{}
1st innings,Namibia,1.2,SJ Baard,PVD Chameera,4,{},{}
1st innings,Namibia,1.3,SJ Baard,PVD Chameera,1,{},{}
1st innings,Namibia,1.4,ZE Green,PVD Chameera,1,{'wides': 1},{}
1st innings,Namibia,1.5,ZE Green,PVD Chameera,0,{},{}
1st innings,Namibia,1.6,ZE Green,PVD Chameera,1,{'legbyes': 1},{}
1st innings,Namibia,1.7,SJ Baard,PVD Chameera,1,{},{}
1st innings,Namibia,2.1,SJ Baard,M Theekshana,0,{},"{'player_out': 'SJ Baard', 'fielders': ['PWH de Silva'], 'kind': 'caught'}"
1st innings,Namibia,2.2,ZE Green,M Theekshana,2,{},{}
1st innings,Namibia,2.3,ZE Green,M Theekshana,1,{},{}
1st innings,Namibia,2.4,CG Williams,M Theekshana,0,{},{}
1st innings,Namibia,2.5,CG Williams,M Theekshana,0,{},{}
1st innings,Namibia,2.6,CG Williams,M Theekshana,1,{'wides': 1},{}
1st innings,Namibia,2.7,CG Williams,M Theekshana,0,{},{}
1st innings,Namibia,3.1,ZE Green,CBRLS Kumara,1,{},{}
1st innings,Namibia,3.2,CG Williams,CBRLS Kumara,0,{},{}
1st innings,Namibia,3.3,CG Williams,CBRLS Kumara,0,{},{}
1st innings,Namibia,3.4,CG Williams,CBRLS Kumara,1,{},{}
1st innings,Namibia,3.5,ZE Green,CBRLS Kumara,1,{},{}
1st innings,Namibia,3.6,CG Williams,CBRLS Kumara,0,{},{}
1st innings,Namibia,4.1,ZE Green,PVD Chameera,0,{},{}
1st innings,Namibia,4.2,ZE Green,PVD Chameera,0,{},{}
1st innings,Namibia,4.3,ZE Green,PVD Chameera,0,{},{}
1st innings,Namibia,4.4,ZE Green,PVD Chameera,2,{},{}
1st innings,Namibia,4.5,ZE Green,PVD Chameera,1,{},{}
1st innings,Namibia,4.6,CG Williams,PVD Chameera,1,{},{}
1st innings,Namibia,5.1,CG Williams,M Theekshana,6,{},{}
1st innings,Namibia,5.2,CG Williams,M Theekshana,1,{'wides': 1},{}
1st innings,Namibia,5.3,CG Williams,M Theekshana,1,{},{}
1st innings,Namibia,5.4,ZE Green,M Theekshana,0,{},{}
1st innings,Namibia,5.5,ZE Green,M Theekshana,0,{},"{'player_out': 'ZE Green', 'fielders': ['MD Shanaka'], 'kind': 'caught'}"
