inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,MP O'Dowd,BM Scholtz,0,{},{}
1st innings,Netherlands,0.2,MP O'Dowd,BM Scholtz,1,{},{}
1st innings,Netherlands,0.3,SJ Myburgh,BM Scholtz,0,{},{}
1st innings,Netherlands,0.4,SJ Myburgh,BM Scholtz,0,{},{}
1st innings,Netherlands,0.5,SJ Myburgh,BM Scholtz,2,{},{}
1st innings,Netherlands,0.6,SJ Myburgh,BM Scholtz,1,{},{}
1st innings,Netherlands,1.1,SJ Myburgh,D Wiese,4,{},{}
1st innings,Netherlands,1.2,SJ Myburgh,D Wiese,1,{},{}
1st innings,Netherlands,1.3,MP O'Dowd,D Wiese,0,{},{}
1st innings,Netherlands,1.4,MP O'Dowd,D Wiese,4,{},{}
1st innings,Netherlands,1.5,MP O'Dowd,D Wiese,1,{},{}
1st innings,Netherlands,1.6,SJ Myburgh,D Wiese,0,{},{}
1st innings,Netherlands,2.1,MP O'Dowd,R Trumpelmann,0,{},{}
1st innings,Netherlands,2.2,MP O'Dowd,R Trumpelmann,0,{},{}
1st innings,Netherlands,2.3,MP O'Dowd,R Trumpelmann,6,{},{}
1st innings,Netherlands,2.4,MP O'Dowd,R Trumpelmann,4,{},{}
1st innings,Netherlands,2.5,MP O'Dowd,R Trumpelmann,0,{},{}
1st innings,Netherlands,2.6,MP O'Dowd,R Trumpelmann,0,{},{}
1st innings,Netherlands,3.1,SJ Myburgh,JN Frylinck,0,{},{}
1st innings,Netherlands,3.2,SJ Myburgh,JN Frylinck,0,{},{}
1st innings,Netherlands,3.3,SJ Myburgh,JN Frylinck,0,{},{}
1st innings,Netherlands,3.4,SJ Myburgh,JN Frylinck,2,{},{}
1st innings,Netherlands,3.5,SJ Myburgh,JN Frylinck,1,{},{}
1st innings,Netherlands,3.6,MP O'Dowd,JN Frylinck,3,{},{}
1st innings,Netherlands,4.1,MP O'Dowd,JJ Smit,2,{},{}
1st innings,Netherlands,4.2,MP O'Dowd,JJ Smit,0,{},{}
1st innings,Netherlands,4.3,MP O'Dowd,JJ Smit,0,{},{}
1st innings,Netherlands,4.4,MP O'Dowd,JJ Smit,1,{},{}
1st innings,Netherlands,4.5,SJ Myburgh,JJ Smit,4,{},{}
1st innings,Netherlands,4.6,SJ Myburgh,JJ Smit,1,{'wides': 1},{}
1st innings,Netherlands,4.7,SJ Myburgh,JJ Smit,1,{},{}
1st innings,Netherlands,5.1,SJ Myburgh,JN Frylinck,1,{'wides': 1},{}
1st innings,Netherlands,5.2,SJ Myburgh,JN Frylinck,1,{},{}
1st innings,Netherlands,5.3,MP O'Dowd,JN Frylinck,0,{},{}
1st innings,Netherlands,5.4,MP O'Dowd,JN Frylinck,1,{},{}
1st innings,Netherlands,5.5,SJ Myburgh,JN Frylinck,0,{},"{'player_out': 'SJ Myburgh', 'fielders': ['SJ Baard'], 'kind': 'caught'}"
