inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,PR Stirling,1,{},{}
1st innings,Sri Lanka,0.2,MDKJ Perera,PR Stirling,0,{},"{'player_out': 'MDKJ Perera', 'fielders': ['GJ Delany'], 'kind': 'caught'}"
1st innings,Sri Lanka,0.3,LD Chandimal,PR Stirling,1,{},{}
1st innings,Sri Lanka,0.4,P Nissanka,PR Stirling,1,{},{}
1st innings,Sri Lanka,0.5,LD Chandimal,PR Stirling,0,{},{}
1st innings,Sri Lanka,0.6,LD Chandimal,PR Stirling,1,{},{}
1st innings,Sri Lanka,1.1,LD Chandimal,J Little,0,{},{}
1st innings,Sri Lanka,1.2,LD Chandimal,J Little,4,{},{}
1st innings,Sri Lanka,1.3,LD Chandimal,J Little,0,{},"{'player_out': 'LD Chandimal', 'kind': 'bowled'}"
1st innings,Sri Lanka,1.4,WIA Fernando,J Little,0,{},"{'player_out': 'WIA Fernando', 'kind': 'bowled'}"
1st innings,Sri Lanka,1.5,PWH de Silva,J Little,0,{},{}
1st innings,Sri Lanka,1.6,PWH de Silva,J Little,1,{'wides': 1},{}
1st innings,Sri Lanka,1.7,PWH de Silva,J Little,0,{},{}
1st innings,Sri Lanka,2.1,P Nissanka,CA Young,0,{},{}
1st innings,Sri Lanka,2.2,P Nissanka,CA Young,0,{},{}
1st innings,Sri Lanka,2.3,P Nissanka,CA Young,0,{},{}
1st innings,Sri Lanka,2.4,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,2.5,PWH de Silva,CA Young,0,{},{}
1st innings,Sri Lanka,2.6,PWH de Silva,CA Young,1,{},{}
1st innings,Sri Lanka,3.1,PWH de Silva,J Little,0,{},{}
1st innings,Sri Lanka,3.2,PWH de Silva,J Little,0,{},{}
1st innings,Sri Lanka,3.3,PWH de Silva,J Little,1,{},{}
1st innings,Sri Lanka,3.4,P Nissanka,J Little,1,{'legbyes': 1},{}
1st innings,Sri Lanka,3.5,PWH de Silva,J Little,4,{},{}
1st innings,Sri Lanka,3.6,PWH de Silva,J Little,0,{},{}
1st innings,Sri Lanka,4.1,P Nissanka,MR Adair,4,{},{}
1st innings,Sri Lanka,4.2,P Nissanka,MR Adair,4,{},{}
1st innings,Sri Lanka,4.3,P Nissanka,MR Adair,0,{},{}
1st innings,Sri Lanka,4.4,P Nissanka,MR Adair,1,{},{}
1st innings,Sri Lanka,4.5,PWH de Silva,MR Adair,4,{},{}
1st innings,Sri Lanka,4.6,PWH de Silva,MR Adair,0,{},{}
1st innings,Sri Lanka,5.1,P Nissanka,Simi Singh,1,{},{}
1st innings,Sri Lanka,5.2,PWH de Silva,Simi Singh,0,{},{}
1st innings,Sri Lanka,5.3,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,5.4,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,5.5,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,5.6,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,6.1,P Nissanka,C Campher,2,{},{}
1st innings,Sri Lanka,6.2,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,6.3,PWH de Silva,C Campher,1,{},{}
1st innings,Sri Lanka,6.4,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,6.5,PWH de Silva,C Campher,1,{},{}
1st innings,Sri Lanka,6.6,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,7.1,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,7.2,PWH de Silva,CA Young,0,{},{}
1st innings,Sri Lanka,7.3,PWH de Silva,CA Young,1,{},{}
1st innings,Sri Lanka,7.4,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,7.5,PWH de Silva,CA Young,2,{},{}
1st innings,Sri Lanka,7.6,PWH de Silva,CA Young,6,{},{}
1st innings,Sri Lanka,8.1,P Nissanka,C Campher,1,{'legbyes': 1},{}
1st innings,Sri Lanka,8.2,PWH de Silva,C Campher,0,{},{}
1st innings,Sri Lanka,8.3,PWH de Silva,C Campher,0,{},{}
1st innings,Sri Lanka,8.4,PWH de Silva,C Campher,0,{},{}
1st innings,Sri Lanka,8.5,PWH de Silva,C Campher,1,{},{}
1st innings,Sri Lanka,8.6,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,9.1,P Nissanka,Simi Singh,1,{},{}
1st innings,Sri Lanka,9.2,PWH de Silva,Simi Singh,1,{},{}
1st innings,Sri Lanka,9.3,P Nissanka,Simi Singh,4,{},{}
1st innings,Sri Lanka,9.4,P Nissanka,Simi Singh,1,{},{}
1st innings,Sri Lanka,9.5,PWH de Silva,Simi Singh,1,{},{}
1st innings,Sri Lanka,9.6,P Nissanka,Simi Singh,2,{},{}
1st innings,Sri Lanka,10.1,PWH de Silva,MR Adair,0,{},{}
1st innings,Sri Lanka,10.2,PWH de Silva,MR Adair,0,{},{}
1st innings,Sri Lanka,10.3,PWH de Silva,MR Adair,0,{},{}
1st innings,Sri Lanka,10.4,PWH de Silva,MR Adair,1,{},{}
1st innings,Sri Lanka,10.5,P Nissanka,MR Adair,1,{},{}
1st innings,Sri Lanka,10.6,PWH de Silva,MR Adair,0,{},{}
1st innings,Sri Lanka,11.1,P Nissanka,C Campher,0,{},{}
1st innings,Sri Lanka,11.2,P Nissanka,C Campher,6,{},{}
1st innings,Sri Lanka,11.3,P Nissanka,C Campher,2,{},{}
1st innings,Sri Lanka,11.4,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,11.5,PWH de Silva,C Campher,4,{},{}
1st innings,Sri Lanka,11.6,PWH de Silva,C Campher,2,{},{}
1st innings,Sri Lanka,12.1,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,12.2,PWH de Silva,CA Young,1,{},{}
1st innings,Sri Lanka,12.3,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,12.4,PWH de Silva,CA Young,1,{},{}
1st innings,Sri Lanka,12.5,P Nissanka,CA Young,1,{'legbyes': 1},{}
1st innings,Sri Lanka,12.6,PWH de Silva,CA Young,2,{},{}
1st innings,Sri Lanka,13.1,P Nissanka,Simi Singh,2,{},{}
1st innings,Sri Lanka,13.2,P Nissanka,Simi Singh,1,{},{}
1st innings,Sri Lanka,13.3,PWH de Silva,Simi Singh,2,{},{}
1st innings,Sri Lanka,13.4,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,13.5,PWH de Silva,Simi Singh,4,{},{}
1st innings,Sri Lanka,13.6,PWH de Silva,Simi Singh,1,{},{}
1st innings,Sri Lanka,14.1,PWH de Silva,C Campher,2,{},{}
1st innings,Sri Lanka,14.2,PWH de Silva,C Campher,4,{},{}
1st innings,Sri Lanka,14.3,PWH de Silva,C Campher,1,{},{}
1st innings,Sri Lanka,14.4,P Nissanka,C Campher,4,{},{}
1st innings,Sri Lanka,14.5,P Nissanka,C Campher,1,{},{}
1st innings,Sri Lanka,14.6,PWH de Silva,C Campher,2,{},{}
1st innings,Sri Lanka,15.1,P Nissanka,MR Adair,1,{},{}
1st innings,Sri Lanka,15.2,PWH de Silva,MR Adair,0,{},"{'player_out': 'PWH de Silva', 'fielders': ['CA Young'], 'kind': 'caught'}"
1st innings,Sri Lanka,15.3,PBB Rajapaksa,MR Adair,1,{},{}
1st innings,Sri Lanka,15.4,P Nissanka,MR Adair,4,{},{}
1st innings,Sri Lanka,15.5,P Nissanka,MR Adair,0,{},{}
1st innings,Sri Lanka,15.6,P Nissanka,MR Adair,1,{'legbyes': 1},{}
1st innings,Sri Lanka,16.1,P Nissanka,J Little,1,{'wides': 1},{}
1st innings,Sri Lanka,16.2,P Nissanka,J Little,4,{},{}
1st innings,Sri Lanka,16.3,P Nissanka,J Little,1,{},{}
1st innings,Sri Lanka,16.4,PBB Rajapaksa,J Little,0,{},{}
1st innings,Sri Lanka,16.5,PBB Rajapaksa,J Little,0,{},"{'player_out': 'PBB Rajapaksa', 'fielders': ['HT Tector'], 'kind': 'caught'}"
1st innings,Sri Lanka,16.6,P Nissanka,J Little,1,{'legbyes': 1},{}
1st innings,Sri Lanka,16.7,MD Shanaka,J Little,1,{},{}
1st innings,Sri Lanka,17.1,MD Shanaka,CA Young,0,{},{}
1st innings,Sri Lanka,17.2,MD Shanaka,CA Young,1,{},{}
1st innings,Sri Lanka,17.3,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,17.4,MD Shanaka,CA Young,1,{},{}
1st innings,Sri Lanka,17.5,P Nissanka,CA Young,1,{},{}
1st innings,Sri Lanka,17.6,MD Shanaka,CA Young,1,{},{}
1st innings,Sri Lanka,18.1,MD Shanaka,J Little,4,{},{}
1st innings,Sri Lanka,18.2,MD Shanaka,J Little,1,{},{}
1st innings,Sri Lanka,18.3,P Nissanka,J Little,1,{'byes': 1},{}
1st innings,Sri Lanka,18.4,MD Shanaka,J Little,1,{},{}
1st innings,Sri Lanka,18.5,P Nissanka,J Little,0,{},"{'player_out': 'P Nissanka', 'fielders': ['NA Rock'], 'kind': 'caught'}"
1st innings,Sri Lanka,18.6,C Karunaratne,J Little,0,{},{}
1st innings,Sri Lanka,19.1,MD Shanaka,MR Adair,1,{},{}
1st innings,Sri Lanka,19.2,C Karunaratne,MR Adair,2,{},{}
1st innings,Sri Lanka,19.3,C Karunaratne,MR Adair,0,{},"{'player_out': 'C Karunaratne', 'kind': 'bowled'}"
1st innings,Sri Lanka,19.4,PVD Chameera,MR Adair,1,{},{}
1st innings,Sri Lanka,19.5,MD Shanaka,MR Adair,6,{},{}
1st innings,Sri Lanka,19.6,MD Shanaka,MR Adair,4,{},{}
2nd innings,Ireland,0.1,PR Stirling,C Karunaratne,1,{},{}
2nd innings,Ireland,0.2,KJ O'Brien,C Karunaratne,4,{},{}
2nd innings,Ireland,0.3,KJ O'Brien,C Karunaratne,1,{},{}
2nd innings,Ireland,0.4,PR Stirling,C Karunaratne,0,{},{}
2nd innings,Ireland,0.5,PR Stirling,C Karunaratne,1,{},{}
2nd innings,Ireland,0.6,KJ O'Brien,C Karunaratne,1,{'wides': 1},{}
2nd innings,Ireland,0.7,KJ O'Brien,C Karunaratne,0,{},"{'player_out': ""KJ O'Brien"", 'fielders': ['M Theekshana'], 'kind': 'caught'}"
2nd innings,Ireland,1.1,A Balbirnie,PVD Chameera,0,{},{}
2nd innings,Ireland,1.2,A Balbirnie,PVD Chameera,0,{},{}
2nd innings,Ireland,1.3,A Balbirnie,PVD Chameera,1,{},{}
2nd innings,Ireland,1.4,PR Stirling,PVD Chameera,1,{},{}
2nd innings,Ireland,1.5,A Balbirnie,PVD Chameera,0,{},{}
2nd innings,Ireland,1.6,A Balbirnie,PVD Chameera,4,{},{}
2nd innings,Ireland,2.1,PR Stirling,M Theekshana,0,{},{}
2nd innings,Ireland,2.2,PR Stirling,M Theekshana,4,{},{}
2nd innings,Ireland,2.3,PR Stirling,M Theekshana,0,{},"{'player_out': 'PR Stirling', 'fielders': ['CBRLS Kumara'], 'kind': 'caught'}"
2nd innings,Ireland,2.4,GJ Delany,M Theekshana,0,{},{}
2nd innings,Ireland,2.5,GJ Delany,M Theekshana,0,{},{}
2nd innings,Ireland,2.6,GJ Delany,M Theekshana,2,{},{}
2nd innings,Ireland,3.1,A Balbirnie,CBRLS Kumara,0,{},{}
2nd innings,Ireland,3.2,A Balbirnie,CBRLS Kumara,0,{},{}
2nd innings,Ireland,3.3,A Balbirnie,CBRLS Kumara,4,{'byes': 4},{}
2nd innings,Ireland,3.4,A Balbirnie,CBRLS Kumara,0,{},{}
2nd innings,Ireland,3.5,A Balbirnie,CBRLS Kumara,6,{},{}
2nd innings,Ireland,3.6,A Balbirnie,CBRLS Kumara,1,{},{}
2nd innings,Ireland,4.1,A Balbirnie,PWH de Silva,1,{},{}
2nd innings,Ireland,4.2,GJ Delany,PWH de Silva,0,{},"{'player_out': 'GJ Delany', 'kind': 'bowled'}"
2nd innings,Ireland,4.3,C Campher,PWH de Silva,0,{},{}
2nd innings,Ireland,4.4,C Campher,PWH de Silva,0,{},{}
2nd innings,Ireland,4.5,C Campher,PWH de Silva,0,{},{}
2nd innings,Ireland,4.6,C Campher,PWH de Silva,1,{},{}
2nd innings,Ireland,5.1,C Campher,PVD Chameera,0,{},{}
2nd innings,Ireland,5.2,C Campher,PVD Chameera,4,{},{}
2nd innings,Ireland,5.3,C Campher,PVD Chameera,0,{},{}
2nd innings,Ireland,5.4,C Campher,PVD Chameera,4,{},{}
2nd innings,Ireland,5.5,C Campher,PVD Chameera,0,{},{}
2nd innings,Ireland,5.6,C Campher,PVD Chameera,0,{},{}
2nd innings,Ireland,6.1,A Balbirnie,PWH de Silva,0,{},{}
2nd innings,Ireland,6.2,A Balbirnie,PWH de Silva,0,{},{}
2nd innings,Ireland,6.3,A Balbirnie,PWH de Silva,1,{},{}
2nd innings,Ireland,6.4,C Campher,PWH de Silva,0,{},{}
2nd innings,Ireland,6.5,C Campher,PWH de Silva,1,{},{}
2nd innings,Ireland,6.6,A Balbirnie,PWH de Silva,0,{},{}
2nd innings,Ireland,7.1,C Campher,C Karunaratne,1,{'legbyes': 1},{}
2nd innings,Ireland,7.2,A Balbirnie,C Karunaratne,0,{},{}
2nd innings,Ireland,7.3,A Balbirnie,C Karunaratne,6,{},{}
