inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Mohammad Naim,KV Morea,0,{},{}
1st innings,Bangladesh,0.2,Mohammad Naim,KV Morea,0,{},"{'player_out': 'Mohammad Naim', 'fielders': ['S Bau'], 'kind': 'caught'}"
1st innings,Bangladesh,0.3,Liton Das,KV Morea,1,{},{}
1st innings,Bangladesh,0.4,Shakib Al Hasan,KV Morea,1,{},{}
1st innings,Bangladesh,0.5,Liton Das,KV Morea,1,{},{}
1st innings,Bangladesh,0.6,Shakib Al Hasan,KV Morea,0,{},{}
1st innings,Bangladesh,1.1,Liton Das,D Ravu,0,{},{}
1st innings,Bangladesh,1.2,Liton Das,D Ravu,1,{},{}
1st innings,Bangladesh,1.3,Shakib Al Hasan,D Ravu,1,{},{}
1st innings,Bangladesh,1.4,Liton Das,D Ravu,1,{},{}
1st innings,Bangladesh,1.5,Shakib Al Hasan,D Ravu,0,{},{}
1st innings,Bangladesh,1.6,Shakib Al Hasan,D Ravu,0,{},{}
1st innings,Bangladesh,2.1,Liton Das,CA Soper,1,{},{}
1st innings,Bangladesh,2.2,Shakib Al Hasan,CA Soper,0,{},{}
1st innings,Bangladesh,2.3,Shakib Al Hasan,CA Soper,1,{},{}
1st innings,Bangladesh,2.4,Liton Das,CA Soper,0,{},{}
1st innings,Bangladesh,2.5,Liton Das,CA Soper,6,{},{}
1st innings,Bangladesh,2.6,Liton Das,CA Soper,1,{},{}
1st innings,Bangladesh,3.1,Liton Das,D Ravu,1,{},{}
1st innings,Bangladesh,3.2,Shakib Al Hasan,D Ravu,6,{},{}
1st innings,Bangladesh,3.3,Shakib Al Hasan,D Ravu,1,{},{}
1st innings,Bangladesh,3.4,Liton Das,D Ravu,1,{'wides': 1},{}
1st innings,Bangladesh,3.5,Liton Das,D Ravu,4,{},{}
1st innings,Bangladesh,3.6,Liton Das,D Ravu,1,{},{}
1st innings,Bangladesh,3.7,Shakib Al Hasan,D Ravu,1,{'wides': 1},{}
1st innings,Bangladesh,3.8,Shakib Al Hasan,D Ravu,1,{},{}
1st innings,Bangladesh,4.1,Shakib Al Hasan,KV Morea,1,{},{}
1st innings,Bangladesh,4.2,Liton Das,KV Morea,1,{},{}
1st innings,Bangladesh,4.3,Shakib Al Hasan,KV Morea,1,{},{}
1st innings,Bangladesh,4.4,Liton Das,KV Morea,0,{},{}
1st innings,Bangladesh,4.5,Liton Das,KV Morea,1,{'wides': 1},{}
1st innings,Bangladesh,4.6,Liton Das,KV Morea,1,{},{}
1st innings,Bangladesh,4.7,Shakib Al Hasan,KV Morea,1,{},{}
1st innings,Bangladesh,5.1,Shakib Al Hasan,S Bau,1,{},{}
1st innings,Bangladesh,5.2,Liton Das,S Bau,2,{},{}
1st innings,Bangladesh,5.3,Liton Das,S Bau,0,{},{}
1st innings,Bangladesh,5.4,Liton Das,S Bau,2,{},{}
1st innings,Bangladesh,5.5,Liton Das,S Bau,2,{},{}
1st innings,Bangladesh,5.6,Liton Das,S Bau,1,{},{}
1st innings,Bangladesh,6.1,Liton Das,CA Soper,1,{},{}
1st innings,Bangladesh,6.2,Shakib Al Hasan,CA Soper,0,{},{}
1st innings,Bangladesh,6.3,Shakib Al Hasan,CA Soper,2,{},{}
1st innings,Bangladesh,6.4,Shakib Al Hasan,CA Soper,0,{},{}
1st innings,Bangladesh,6.5,Shakib Al Hasan,CA Soper,1,{},{}
1st innings,Bangladesh,6.6,Liton Das,CA Soper,1,{},{}
1st innings,Bangladesh,7.1,Liton Das,A Vala,0,{},"{'player_out': 'Liton Das', 'fielders': ['S Bau'], 'kind': 'caught'}"
1st innings,Bangladesh,7.2,Shakib Al Hasan,A Vala,1,{},{}
1st innings,Bangladesh,7.3,Mushfiqur Rahim,A Vala,0,{},{}
1st innings,Bangladesh,7.4,Mushfiqur Rahim,A Vala,1,{},{}
1st innings,Bangladesh,7.5,Shakib Al Hasan,A Vala,1,{},{}
1st innings,Bangladesh,7.6,Mushfiqur Rahim,A Vala,1,{},{}
1st innings,Bangladesh,8.1,Mushfiqur Rahim,CJA Amini,1,{},{}
1st innings,Bangladesh,8.2,Shakib Al Hasan,CJA Amini,0,{},{}
1st innings,Bangladesh,8.3,Shakib Al Hasan,CJA Amini,1,{},{}
1st innings,Bangladesh,8.4,Mushfiqur Rahim,CJA Amini,0,{},{}
1st innings,Bangladesh,8.5,Mushfiqur Rahim,CJA Amini,1,{},{}
1st innings,Bangladesh,8.6,Shakib Al Hasan,CJA Amini,1,{},{}
1st innings,Bangladesh,9.1,Shakib Al Hasan,A Vala,6,{},{}
1st innings,Bangladesh,9.2,Shakib Al Hasan,A Vala,1,{},{}
1st innings,Bangladesh,9.3,Mushfiqur Rahim,A Vala,1,{},{}
1st innings,Bangladesh,9.4,Shakib Al Hasan,A Vala,2,{},{}
1st innings,Bangladesh,9.5,Shakib Al Hasan,A Vala,2,{},{}
1st innings,Bangladesh,9.6,Shakib Al Hasan,A Vala,1,{},{}
1st innings,Bangladesh,10.1,Shakib Al Hasan,SK Atai,1,{},{}
1st innings,Bangladesh,10.2,Mushfiqur Rahim,SK Atai,0,{},"{'player_out': 'Mushfiqur Rahim', 'fielders': ['H Hiri'], 'kind': 'caught'}"
1st innings,Bangladesh,10.3,Mahmudullah,SK Atai,2,{},{}
1st innings,Bangladesh,10.4,Mahmudullah,SK Atai,1,{},{}
1st innings,Bangladesh,10.5,Shakib Al Hasan,SK Atai,1,{},{}
1st innings,Bangladesh,10.6,Mahmudullah,SK Atai,1,{},{}
1st innings,Bangladesh,11.1,Mahmudullah,S Bau,6,{},{}
1st innings,Bangladesh,11.2,Mahmudullah,S Bau,1,{},{}
1st innings,Bangladesh,11.3,Shakib Al Hasan,S Bau,1,{'wides': 1},{}
1st innings,Bangladesh,11.4,Shakib Al Hasan,S Bau,1,{},{}
1st innings,Bangladesh,11.5,Mahmudullah,S Bau,1,{},{}
1st innings,Bangladesh,11.6,Shakib Al Hasan,S Bau,1,{},{}
1st innings,Bangladesh,11.7,Mahmudullah,S Bau,1,{},{}
