inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Oman,0.1,Aqib Ilyas,BTJ Wheal,1,{},{}
1st innings,Oman,0.2,Jatinder Singh,BTJ Wheal,0,{},"{'player_out': 'Jatinder Singh', 'fielders': ['MH Cross', 'MRJ Watt'], 'kind': 'run out'}"
1st innings,Oman,0.3,KH Prajapati,BTJ Wheal,1,{'legbyes': 1},{}
1st innings,Oman,0.4,Aqib Ilyas,BTJ Wheal,0,{},{}
1st innings,Oman,0.5,Aqib Ilyas,BTJ Wheal,6,{},{}
1st innings,Oman,0.6,Aqib Ilyas,BTJ Wheal,0,{},{}
1st innings,Oman,1.1,KH Prajapati,JH Davey,0,{},{}
1st innings,Oman,1.2,KH Prajapati,JH Davey,2,{},{}
1st innings,Oman,1.3,KH Prajapati,JH Davey,0,{},{}
1st innings,Oman,1.4,KH Prajapati,JH Davey,1,{},{}
1st innings,Oman,1.5,Aqib Ilyas,JH Davey,0,{},{}
1st innings,Oman,1.6,Aqib Ilyas,JH Davey,1,{},{}
1st innings,Oman,2.1,Aqib Ilyas,SM Sharif,0,{},{}
1st innings,Oman,2.2,Aqib Ilyas,SM Sharif,1,{},{}
1st innings,Oman,2.3,KH Prajapati,SM Sharif,0,{},{}
1st innings,Oman,2.4,KH Prajapati,SM Sharif,0,{},{}
1st innings,Oman,2.5,KH Prajapati,SM Sharif,0,{},"{'player_out': 'KH Prajapati', 'fielders': ['HG Munsey'], 'kind': 'caught'}"
1st innings,Oman,2.6,Mohammad Nadeem,SM Sharif,1,{},{}
1st innings,Oman,3.1,Mohammad Nadeem,BTJ Wheal,1,{},{}
1st innings,Oman,3.2,Aqib Ilyas,BTJ Wheal,2,{},{}
1st innings,Oman,3.3,Aqib Ilyas,BTJ Wheal,0,{},{}
1st innings,Oman,3.4,Aqib Ilyas,BTJ Wheal,0,{},{}
1st innings,Oman,3.5,Aqib Ilyas,BTJ Wheal,0,{},{}
1st innings,Oman,3.6,Aqib Ilyas,BTJ Wheal,1,{},{}
1st innings,Oman,4.1,Aqib Ilyas,JH Davey,4,{},{}
1st innings,Oman,4.2,Aqib Ilyas,JH Davey,1,{'legbyes': 1},{}
1st innings,Oman,4.3,Mohammad Nadeem,JH Davey,1,{},{}
1st innings,Oman,4.4,Aqib Ilyas,JH Davey,6,{},{}
1st innings,Oman,4.5,Aqib Ilyas,JH Davey,0,{},{}
1st innings,Oman,4.6,Aqib Ilyas,JH Davey,1,{},{}
