inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,PR Stirling,R Trumpelmann,1,{},{}
1st innings,Ireland,0.2,KJ O'Brien,R Trumpelmann,0,{},{}
1st innings,Ireland,0.3,KJ O'Brien,R Trumpelmann,0,{},{}
1st innings,Ireland,0.4,KJ O'Brien,R Trumpelmann,1,{},{}
1st innings,Ireland,0.5,PR Stirling,R Trumpelmann,0,{},{}
1st innings,Ireland,0.6,PR Stirling,R Trumpelmann,1,{'wides': 1},{}
1st innings,Ireland,0.7,PR Stirling,R Trumpelmann,0,{},{}
1st innings,Ireland,1.1,KJ O'Brien,D Wiese,0,{},{}
1st innings,Ireland,1.2,KJ O'Brien,D Wiese,1,{},{}
1st innings,Ireland,1.3,PR Stirling,D Wiese,0,{},{}
1st innings,Ireland,1.4,PR Stirling,D Wiese,4,{},{}
1st innings,Ireland,1.5,PR Stirling,D Wiese,1,{},{}
1st innings,Ireland,1.6,KJ O'Brien,D Wiese,0,{},{}
1st innings,Ireland,2.1,PR Stirling,JJ Smit,0,{},{}
1st innings,Ireland,2.2,PR Stirling,JJ Smit,6,{},{}
1st innings,Ireland,2.3,PR Stirling,JJ Smit,1,{},{}
1st innings,Ireland,2.4,KJ O'Brien,JJ Smit,0,{},{}
1st innings,Ireland,2.5,KJ O'Brien,JJ Smit,2,{},{}
1st innings,Ireland,2.6,KJ O'Brien,JJ Smit,2,{},{}
1st innings,Ireland,3.1,PR Stirling,BM Scholtz,4,{},{}
1st innings,Ireland,3.2,PR Stirling,BM Scholtz,4,{},{}
1st innings,Ireland,3.3,PR Stirling,BM Scholtz,1,{},{}
1st innings,Ireland,3.4,KJ O'Brien,BM Scholtz,1,{},{}
1st innings,Ireland,3.5,PR Stirling,BM Scholtz,0,{},{}
1st innings,Ireland,3.6,PR Stirling,BM Scholtz,4,{},{}
1st innings,Ireland,4.1,KJ O'Brien,R Trumpelmann,1,{},{}
1st innings,Ireland,4.2,PR Stirling,R Trumpelmann,0,{},{}
1st innings,Ireland,4.3,PR Stirling,R Trumpelmann,2,{},{}
1st innings,Ireland,4.4,PR Stirling,R Trumpelmann,4,{},{}
1st innings,Ireland,4.5,PR Stirling,R Trumpelmann,1,{},{}
1st innings,Ireland,4.6,KJ O'Brien,R Trumpelmann,1,{},{}
1st innings,Ireland,5.1,KJ O'Brien,JN Frylinck,4,{},{}
1st innings,Ireland,5.2,KJ O'Brien,JN Frylinck,1,{},{}
1st innings,Ireland,5.3,PR Stirling,JN Frylinck,1,{},{}
1st innings,Ireland,5.4,KJ O'Brien,JN Frylinck,4,{},{}
1st innings,Ireland,5.5,KJ O'Brien,JN Frylinck,1,{},{}
1st innings,Ireland,5.6,PR Stirling,JN Frylinck,1,{},{}
1st innings,Ireland,6.1,PR Stirling,JJ Smit,1,{},{}
1st innings,Ireland,6.2,KJ O'Brien,JJ Smit,1,{},{}
1st innings,Ireland,6.3,PR Stirling,JJ Smit,1,{},{}
1st innings,Ireland,6.4,KJ O'Brien,JJ Smit,1,{},{}
1st innings,Ireland,6.5,PR Stirling,JJ Smit,1,{},{}
1st innings,Ireland,6.6,KJ O'Brien,JJ Smit,1,{},{}
1st innings,Ireland,7.1,KJ O'Brien,BM Scholtz,1,{},{}
1st innings,Ireland,7.2,PR Stirling,BM Scholtz,0,{},"{'player_out': 'PR Stirling', 'fielders': ['JN Loftie-Eaton'], 'kind': 'caught'}"
1st innings,Ireland,7.3,KJ O'Brien,BM Scholtz,1,{},{}
1st innings,Ireland,7.4,A Balbirnie,BM Scholtz,1,{},{}
1st innings,Ireland,7.5,KJ O'Brien,BM Scholtz,1,{},{}
1st innings,Ireland,7.6,A Balbirnie,BM Scholtz,1,{},{}
1st innings,Ireland,8.1,A Balbirnie,JN Frylinck,0,{},{}
1st innings,Ireland,8.2,A Balbirnie,JN Frylinck,1,{},{}
1st innings,Ireland,8.3,KJ O'Brien,JN Frylinck,0,{},{}
1st innings,Ireland,8.4,KJ O'Brien,JN Frylinck,0,{},"{'player_out': ""KJ O'Brien"", 'fielders': ['M van Lingen'], 'kind': 'caught'}"
1st innings,Ireland,8.5,A Balbirnie,JN Frylinck,0,{},{}
1st innings,Ireland,8.6,A Balbirnie,JN Frylinck,1,{},{}
1st innings,Ireland,9.1,A Balbirnie,HN Ya France,1,{},{}
1st innings,Ireland,9.2,GJ Delany,HN Ya France,0,{},{}
1st innings,Ireland,9.3,GJ Delany,HN Ya France,1,{'legbyes': 1},{}
1st innings,Ireland,9.4,A Balbirnie,HN Ya France,0,{},{}
1st innings,Ireland,9.5,A Balbirnie,HN Ya France,1,{'wides': 1},{}
1st innings,Ireland,9.6,A Balbirnie,HN Ya France,0,{},{}
1st innings,Ireland,9.7,A Balbirnie,HN Ya France,0,{},{}
1st innings,Ireland,10.1,GJ Delany,JN Frylinck,0,{},{}
1st innings,Ireland,10.2,GJ Delany,JN Frylinck,0,{},{}
1st innings,Ireland,10.3,GJ Delany,JN Frylinck,1,{'wides': 1},{}
1st innings,Ireland,10.4,GJ Delany,JN Frylinck,0,{},{}
1st innings,Ireland,10.5,GJ Delany,JN Frylinck,1,{},{}
1st innings,Ireland,10.6,A Balbirnie,JN Frylinck,1,{},{}
1st innings,Ireland,10.7,GJ Delany,JN Frylinck,1,{},{}
1st innings,Ireland,11.1,GJ Delany,HN Ya France,1,{},{}
1st innings,Ireland,11.2,A Balbirnie,HN Ya France,4,{},{}
1st innings,Ireland,11.3,A Balbirnie,HN Ya France,1,{},{}
