inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,SJ Myburgh,C Karunaratne,1,{'byes': 1},{}
1st innings,Netherlands,0.2,MP O'Dowd,C Karunaratne,2,{},{}
1st innings,Netherlands,0.3,MP O'Dowd,C Karunaratne,0,{},{}
1st innings,Netherlands,0.4,MP O'Dowd,C Karunaratne,0,{},"{'player_out': ""MP O'Dowd"", 'fielders': ['MD Shanaka'], 'kind': 'run out'}"
1st innings,Netherlands,0.5,BN Cooper,C Karunaratne,1,{'wides': 1},{}
1st innings,Netherlands,0.6,SJ Myburgh,C Karunaratne,4,{},{}
1st innings,Netherlands,0.7,SJ Myburgh,C Karunaratne,0,{},{}
1st innings,Netherlands,1.1,BN Cooper,PVD Chameera,0,{},{}
1st innings,Netherlands,1.2,BN Cooper,PVD Chameera,0,{},{}
1st innings,Netherlands,1.3,BN Cooper,PVD Chameera,0,{},{}
1st innings,Netherlands,1.4,BN Cooper,PVD Chameera,4,{},{}
1st innings,Netherlands,1.5,BN Cooper,PVD Chameera,4,{},{}
1st innings,Netherlands,1.6,BN Cooper,PVD Chameera,1,{'legbyes': 1},{}
1st innings,Netherlands,2.1,BN Cooper,M Theekshana,1,{},{}
1st innings,Netherlands,2.2,SJ Myburgh,M Theekshana,1,{},{}
1st innings,Netherlands,2.3,BN Cooper,M Theekshana,0,{},"{'player_out': 'BN Cooper', 'kind': 'bowled'}"
1st innings,Netherlands,2.4,CN Ackermann,M Theekshana,1,{},{}
1st innings,Netherlands,2.5,SJ Myburgh,M Theekshana,0,{},"{'player_out': 'SJ Myburgh', 'kind': 'bowled'}"
1st innings,Netherlands,2.6,BFW de Leede,M Theekshana,0,{},{}
1st innings,Netherlands,3.1,CN Ackermann,CBRLS Kumara,0,{},{}
1st innings,Netherlands,3.2,CN Ackermann,CBRLS Kumara,0,{},{}
1st innings,Netherlands,3.3,CN Ackermann,CBRLS Kumara,0,{},{}
1st innings,Netherlands,3.4,CN Ackermann,CBRLS Kumara,0,{},{}
1st innings,Netherlands,3.5,CN Ackermann,CBRLS Kumara,6,{},{}
1st innings,Netherlands,3.6,CN Ackermann,CBRLS Kumara,0,{},{}
1st innings,Netherlands,4.1,BFW de Leede,PWH de Silva,1,{'legbyes': 1},{}
1st innings,Netherlands,4.2,CN Ackermann,PWH de Silva,4,{},{}
1st innings,Netherlands,4.3,CN Ackermann,PWH de Silva,0,{},"{'player_out': 'CN Ackermann', 'kind': 'lbw'}"
1st innings,Netherlands,4.4,SA Edwards,PWH de Silva,0,{},{}
1st innings,Netherlands,4.5,SA Edwards,PWH de Silva,1,{},{}
1st innings,Netherlands,4.6,BFW de Leede,PWH de Silva,0,{},"{'player_out': 'BFW de Leede', 'kind': 'lbw'}"
1st innings,Netherlands,5.1,SA Edwards,PVD Chameera,4,{},{}
1st innings,Netherlands,5.2,SA Edwards,PVD Chameera,1,{},{}
1st innings,Netherlands,5.3,RE van der Merwe,PVD Chameera,0,{},{}
1st innings,Netherlands,5.4,RE van der Merwe,PVD Chameera,0,{},{}
1st innings,Netherlands,5.5,RE van der Merwe,PVD Chameera,0,{},"{'player_out': 'RE van der Merwe', 'fielders': ['MDKJ Perera'], 'kind': 'caught'}"
1st innings,Netherlands,5.6,PM Seelaar,PVD Chameera,0,{},{}
1st innings,Netherlands,6.1,SA Edwards,PWH de Silva,0,{},{}
1st innings,Netherlands,6.2,SA Edwards,PWH de Silva,1,{},{}
1st innings,Netherlands,6.3,PM Seelaar,PWH de Silva,2,{},{}
1st innings,Netherlands,6.4,PM Seelaar,PWH de Silva,0,{},{}
1st innings,Netherlands,6.5,PM Seelaar,PWH de Silva,0,{},{}
1st innings,Netherlands,6.6,PM Seelaar,PWH de Silva,0,{},"{'player_out': 'PM Seelaar', 'kind': 'lbw'}"
1st innings,Netherlands,7.1,SA Edwards,CBRLS Kumara,0,{},{}
1st innings,Netherlands,7.2,SA Edwards,CBRLS Kumara,1,{'legbyes': 1},{}
1st innings,Netherlands,7.3,FJ Klaassen,CBRLS Kumara,0,{},{}
1st innings,Netherlands,7.4,FJ Klaassen,CBRLS Kumara,0,{},{}
1st innings,Netherlands,7.5,FJ Klaassen,CBRLS Kumara,1,{},{}
1st innings,Netherlands,7.6,SA Edwards,CBRLS Kumara,1,{'legbyes': 1},{}
1st innings,Netherlands,8.1,SA Edwards,PWH de Silva,0,{},{}
1st innings,Netherlands,8.2,SA Edwards,PWH de Silva,0,{},{}
1st innings,Netherlands,8.3,SA Edwards,PWH de Silva,1,{},{}
1st innings,Netherlands,8.4,FJ Klaassen,PWH de Silva,0,{},{}
1st innings,Netherlands,8.5,FJ Klaassen,PWH de Silva,0,{},{}
1st innings,Netherlands,8.6,FJ Klaassen,PWH de Silva,0,{},{}
1st innings,Netherlands,9.1,SA Edwards,CBRLS Kumara,0,{},"{'player_out': 'SA Edwards', 'kind': 'lbw'}"
1st innings,Netherlands,9.2,BD Glover,CBRLS Kumara,0,{},{}
1st innings,Netherlands,9.3,BD Glover,CBRLS Kumara,0,{},"{'player_out': 'BD Glover', 'fielders': ['MDKJ Perera'], 'kind': 'caught'}"
1st innings,Netherlands,9.4,PA van Meekeren,CBRLS Kumara,0,{},{}
1st innings,Netherlands,9.5,PA van Meekeren,CBRLS Kumara,0,{},{}
1st innings,Netherlands,9.6,PA van Meekeren,CBRLS Kumara,0,{},"{'player_out': 'PA van Meekeren', 'kind': 'lbw'}"
2nd innings,Sri Lanka,0.1,P Nissanka,FJ Klaassen,1,{'legbyes': 1},{}
2nd innings,Sri Lanka,0.2,MDKJ Perera,FJ Klaassen,4,{},{}
2nd innings,Sri Lanka,0.3,MDKJ Perera,FJ Klaassen,1,{},{}
2nd innings,Sri Lanka,0.4,P Nissanka,FJ Klaassen,0,{},{}
