inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,T Bavuma,MA Starc,2,{},{}
1st innings,South Africa,0.2,T Bavuma,MA Starc,0,{},{}
1st innings,South Africa,0.3,T Bavuma,MA Starc,4,{},{}
1st innings,South Africa,0.4,T Bavuma,MA Starc,4,{},{}
1st innings,South Africa,0.5,T Bavuma,MA Starc,1,{},{}
1st innings,South Africa,0.6,Q de Kock,MA Starc,0,{},{}
1st innings,South Africa,1.1,T Bavuma,GJ Maxwell,1,{},{}
1st innings,South Africa,1.2,Q de Kock,GJ Maxwell,1,{},{}
1st innings,South Africa,1.3,T Bavuma,GJ Maxwell,0,{},"{'player_out': 'T Bavuma', 'kind': 'bowled'}"
1st innings,South Africa,1.4,HE van der Dussen,GJ Maxwell,1,{},{}
1st innings,South Africa,1.5,Q de Kock,GJ Maxwell,1,{},{}
1st innings,South Africa,1.6,HE van der Dussen,GJ Maxwell,1,{},{}
1st innings,South Africa,2.1,HE van der Dussen,JR Hazlewood,0,{},"{'player_out': 'HE van der Dussen', 'fielders': ['MS Wade'], 'kind': 'caught'}"
1st innings,South Africa,2.2,AK Markram,JR Hazlewood,1,{},{}
1st innings,South Africa,2.3,Q de Kock,JR Hazlewood,0,{},{}
1st innings,South Africa,2.4,Q de Kock,JR Hazlewood,0,{},{}
1st innings,South Africa,2.5,Q de Kock,JR Hazlewood,0,{},{}
1st innings,South Africa,2.6,Q de Kock,JR Hazlewood,0,{},{}
1st innings,South Africa,3.1,AK Markram,GJ Maxwell,0,{},{}
1st innings,South Africa,3.2,AK Markram,GJ Maxwell,1,{},{}
1st innings,South Africa,3.3,Q de Kock,GJ Maxwell,0,{},{}
1st innings,South Africa,3.4,Q de Kock,GJ Maxwell,4,{},{}
1st innings,South Africa,3.5,Q de Kock,GJ Maxwell,0,{},{}
1st innings,South Africa,3.6,Q de Kock,GJ Maxwell,1,{},{}
1st innings,South Africa,4.1,Q de Kock,JR Hazlewood,0,{},"{'player_out': 'Q de Kock', 'kind': 'bowled'}"
1st innings,South Africa,4.2,H Klaasen,JR Hazlewood,0,{},{}
1st innings,South Africa,4.3,H Klaasen,JR Hazlewood,0,{},{}
1st innings,South Africa,4.4,H Klaasen,JR Hazlewood,0,{},{}
1st innings,South Africa,4.5,H Klaasen,JR Hazlewood,0,{},{}
1st innings,South Africa,4.6,H Klaasen,JR Hazlewood,0,{},{}
1st innings,South Africa,5.1,AK Markram,PJ Cummins,0,{},{}
1st innings,South Africa,5.2,AK Markram,PJ Cummins,0,{},{}
1st innings,South Africa,5.3,AK Markram,PJ Cummins,0,{},{}
1st innings,South Africa,5.4,AK Markram,PJ Cummins,4,{},{}
1st innings,South Africa,5.5,AK Markram,PJ Cummins,1,{},{}
1st innings,South Africa,5.6,H Klaasen,PJ Cummins,1,{},{}
1st innings,South Africa,6.1,H Klaasen,A Zampa,1,{'legbyes': 1},{}
1st innings,South Africa,6.2,AK Markram,A Zampa,1,{},{}
1st innings,South Africa,6.3,H Klaasen,A Zampa,3,{},{}
1st innings,South Africa,6.4,AK Markram,A Zampa,1,{},{}
1st innings,South Africa,6.5,H Klaasen,A Zampa,4,{},{}
1st innings,South Africa,6.6,H Klaasen,A Zampa,0,{},{}
1st innings,South Africa,7.1,AK Markram,PJ Cummins,1,{},{}
1st innings,South Africa,7.2,H Klaasen,PJ Cummins,4,{},{}
1st innings,South Africa,7.3,H Klaasen,PJ Cummins,1,{},{}
1st innings,South Africa,7.4,AK Markram,PJ Cummins,0,{},{}
1st innings,South Africa,7.5,AK Markram,PJ Cummins,1,{},{}
1st innings,South Africa,7.6,H Klaasen,PJ Cummins,0,{},"{'player_out': 'H Klaasen', 'fielders': ['SPD Smith'], 'kind': 'caught'}"
1st innings,South Africa,8.1,AK Markram,MA Starc,0,{},{}
1st innings,South Africa,8.2,AK Markram,MA Starc,2,{},{}
1st innings,South Africa,8.3,AK Markram,MA Starc,4,{},{}
1st innings,South Africa,8.4,AK Markram,MA Starc,1,{},{}
1st innings,South Africa,8.5,DA Miller,MA Starc,1,{},{}
