inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,LMP Simmons,MM Ali,0,{},{}
1st innings,West Indies,0.2,LMP Simmons,MM Ali,0,{},{}
1st innings,West Indies,0.3,LMP Simmons,MM Ali,1,{},{}
1st innings,West Indies,0.4,E Lewis,MM Ali,0,{},{}
1st innings,West Indies,0.5,E Lewis,MM Ali,0,{},{}
1st innings,West Indies,0.6,E Lewis,MM Ali,6,{},{}
1st innings,West Indies,1.1,LMP Simmons,CR Woakes,1,{},{}
1st innings,West Indies,1.2,E Lewis,CR Woakes,0,{},{}
1st innings,West Indies,1.3,E Lewis,CR Woakes,0,{},"{'player_out': 'E Lewis', 'fielders': ['MM Ali'], 'kind': 'caught'}"
1st innings,West Indies,1.4,LMP Simmons,CR Woakes,1,{},{}
1st innings,West Indies,1.5,CH Gayle,CR Woakes,0,{},{}
1st innings,West Indies,1.6,CH Gayle,CR Woakes,0,{},{}
1st innings,West Indies,2.1,LMP Simmons,MM Ali,0,{},{}
1st innings,West Indies,2.2,LMP Simmons,MM Ali,0,{},"{'player_out': 'LMP Simmons', 'fielders': ['LS Livingstone'], 'kind': 'caught'}"
1st innings,West Indies,2.3,SO Hetmyer,MM Ali,0,{},{}
1st innings,West Indies,2.4,SO Hetmyer,MM Ali,0,{},{}
1st innings,West Indies,2.5,SO Hetmyer,MM Ali,0,{},{}
1st innings,West Indies,2.6,SO Hetmyer,MM Ali,0,{},{}
1st innings,West Indies,3.1,CH Gayle,CR Woakes,4,{},{}
1st innings,West Indies,3.2,CH Gayle,CR Woakes,4,{},{}
1st innings,West Indies,3.3,CH Gayle,CR Woakes,0,{},{}
1st innings,West Indies,3.4,CH Gayle,CR Woakes,0,{},{}
1st innings,West Indies,3.5,CH Gayle,CR Woakes,1,{},{}
1st innings,West Indies,3.6,SO Hetmyer,CR Woakes,1,{},{}
1st innings,West Indies,4.1,SO Hetmyer,MM Ali,4,{},{}
1st innings,West Indies,4.2,SO Hetmyer,MM Ali,4,{},{}
1st innings,West Indies,4.3,SO Hetmyer,MM Ali,0,{},{}
1st innings,West Indies,4.4,SO Hetmyer,MM Ali,0,{},"{'player_out': 'SO Hetmyer', 'fielders': ['EJG Morgan'], 'kind': 'caught'}"
1st innings,West Indies,4.5,DJ Bravo,MM Ali,0,{},{}
1st innings,West Indies,4.6,DJ Bravo,MM Ali,0,{},{}
1st innings,West Indies,5.1,CH Gayle,TS Mills,0,{},{}
1st innings,West Indies,5.2,CH Gayle,TS Mills,0,{},{}
1st innings,West Indies,5.3,CH Gayle,TS Mills,0,{},{}
1st innings,West Indies,5.4,CH Gayle,TS Mills,0,{},{}
1st innings,West Indies,5.5,CH Gayle,TS Mills,4,{},{}
1st innings,West Indies,5.6,CH Gayle,TS Mills,0,{},"{'player_out': 'CH Gayle', 'fielders': ['DJ Malan'], 'kind': 'caught'}"
1st innings,West Indies,6.1,N Pooran,MM Ali,0,{},{}
1st innings,West Indies,6.2,N Pooran,MM Ali,0,{},{}
1st innings,West Indies,6.3,N Pooran,MM Ali,0,{},{}
1st innings,West Indies,6.4,N Pooran,MM Ali,1,{},{}
1st innings,West Indies,6.5,DJ Bravo,MM Ali,1,{},{}
1st innings,West Indies,6.6,N Pooran,MM Ali,0,{},{}
1st innings,West Indies,7.1,DJ Bravo,CJ Jordan,4,{},{}
1st innings,West Indies,7.2,DJ Bravo,CJ Jordan,0,{},"{'player_out': 'DJ Bravo', 'fielders': ['JM Bairstow'], 'kind': 'caught'}"
1st innings,West Indies,7.3,KA Pollard,CJ Jordan,0,{},{}
1st innings,West Indies,7.4,KA Pollard,CJ Jordan,0,{},{}
1st innings,West Indies,7.5,KA Pollard,CJ Jordan,0,{},{}
1st innings,West Indies,7.6,KA Pollard,CJ Jordan,1,{},{}
1st innings,West Indies,8.1,KA Pollard,TS Mills,1,{'wides': 1},{}
1st innings,West Indies,8.2,KA Pollard,TS Mills,1,{},{}
1st innings,West Indies,8.3,N Pooran,TS Mills,1,{'wides': 1},{}
1st innings,West Indies,8.4,N Pooran,TS Mills,0,{},{}
1st innings,West Indies,8.5,N Pooran,TS Mills,0,{},{}
1st innings,West Indies,8.6,N Pooran,TS Mills,0,{},{}
1st innings,West Indies,8.7,N Pooran,TS Mills,1,{'wides': 1},{}
1st innings,West Indies,8.8,N Pooran,TS Mills,0,{},"{'player_out': 'N Pooran', 'fielders': ['JC Buttler'], 'kind': 'caught'}"
1st innings,West Indies,8.9,AD Russell,TS Mills,0,{},{}
1st innings,West Indies,9.1,KA Pollard,CJ Jordan,2,{},{}
1st innings,West Indies,9.2,KA Pollard,CJ Jordan,0,{},{}
1st innings,West Indies,9.3,KA Pollard,CJ Jordan,0,{},{}
