inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Mohammad Naim,C Karunaratne,0,{},{}
1st innings,Bangladesh,0.2,Mohammad Naim,C Karunaratne,0,{},{}
1st innings,Bangladesh,0.3,Mohammad Naim,C Karunaratne,1,{},{}
1st innings,Bangladesh,0.4,Liton Das,C Karunaratne,0,{},{}
1st innings,Bangladesh,0.5,Liton Das,C Karunaratne,1,{},{}
1st innings,Bangladesh,0.6,Mohammad Naim,C Karunaratne,0,{},{}
1st innings,Bangladesh,1.1,Liton Das,B Fernando,0,{},{}
1st innings,Bangladesh,1.2,Liton Das,B Fernando,0,{},{}
1st innings,Bangladesh,1.3,Liton Das,B Fernando,0,{},{}
1st innings,Bangladesh,1.4,Liton Das,B Fernando,4,{},{}
1st innings,Bangladesh,1.5,Liton Das,B Fernando,1,{},{}
1st innings,Bangladesh,1.6,Mohammad Naim,B Fernando,2,{},{}
1st innings,Bangladesh,2.1,Liton Das,PVD Chameera,1,{},{}
1st innings,Bangladesh,2.2,Mohammad Naim,PVD Chameera,1,{},{}
1st innings,Bangladesh,2.3,Liton Das,PVD Chameera,1,{},{}
1st innings,Bangladesh,2.4,Mohammad Naim,PVD Chameera,0,{},{}
1st innings,Bangladesh,2.5,Mohammad Naim,PVD Chameera,1,{'noballs': 1},{}
1st innings,Bangladesh,2.6,Mohammad Naim,PVD Chameera,3,{'noballs': 1},{}
1st innings,Bangladesh,2.7,Mohammad Naim,PVD Chameera,4,{},{}
1st innings,Bangladesh,2.8,Mohammad Naim,PVD Chameera,1,{},{}
1st innings,Bangladesh,3.1,Mohammad Naim,CBRLS Kumara,3,{},{}
1st innings,Bangladesh,3.2,Liton Das,CBRLS Kumara,0,{},{}
1st innings,Bangladesh,3.3,Liton Das,CBRLS Kumara,1,{},{}
1st innings,Bangladesh,3.4,Mohammad Naim,CBRLS Kumara,0,{},{}
1st innings,Bangladesh,3.5,Mohammad Naim,CBRLS Kumara,4,{},{}
1st innings,Bangladesh,3.6,Mohammad Naim,CBRLS Kumara,0,{},{}
1st innings,Bangladesh,4.1,Liton Das,PVD Chameera,1,{},{}
1st innings,Bangladesh,4.2,Mohammad Naim,PVD Chameera,2,{},{}
1st innings,Bangladesh,4.3,Mohammad Naim,PVD Chameera,1,{},{}
1st innings,Bangladesh,4.4,Liton Das,PVD Chameera,4,{},{}
