inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,0.2,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,0.3,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,0.4,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,0.5,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,0.6,MJ Guptill,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,1.1,DJ Mitchell,Imad Wasim,0,{},{}
1st innings,New Zealand,1.2,DJ Mitchell,Imad Wasim,1,{},{}
1st innings,New Zealand,1.3,MJ Guptill,Imad Wasim,0,{},{}
1st innings,New Zealand,1.4,MJ Guptill,Imad Wasim,1,{},{}
1st innings,New Zealand,1.5,DJ Mitchell,Imad Wasim,1,{},{}
1st innings,New Zealand,1.6,MJ Guptill,Imad Wasim,4,{},{}
1st innings,New Zealand,2.1,DJ Mitchell,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,2.2,DJ Mitchell,Shaheen Shah Afridi,2,{},{}
1st innings,New Zealand,2.3,DJ Mitchell,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,2.4,MJ Guptill,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,2.5,DJ Mitchell,Shaheen Shah Afridi,4,{},{}
1st innings,New Zealand,2.6,DJ Mitchell,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,3.1,MJ Guptill,Imad Wasim,0,{},{}
1st innings,New Zealand,3.2,MJ Guptill,Imad Wasim,0,{},{}
1st innings,New Zealand,3.3,MJ Guptill,Imad Wasim,0,{},{}
1st innings,New Zealand,3.4,MJ Guptill,Imad Wasim,1,{},{}
1st innings,New Zealand,3.5,DJ Mitchell,Imad Wasim,1,{},{}
1st innings,New Zealand,3.6,MJ Guptill,Imad Wasim,4,{},{}
1st innings,New Zealand,4.1,DJ Mitchell,Hasan Ali,6,{},{}
1st innings,New Zealand,4.2,DJ Mitchell,Hasan Ali,1,{},{}
1st innings,New Zealand,4.3,MJ Guptill,Hasan Ali,1,{},{}
1st innings,New Zealand,4.4,DJ Mitchell,Hasan Ali,0,{},{}
1st innings,New Zealand,4.5,DJ Mitchell,Hasan Ali,1,{},{}
1st innings,New Zealand,4.6,MJ Guptill,Hasan Ali,5,{'noballs': 1},{}
1st innings,New Zealand,4.7,MJ Guptill,Hasan Ali,1,{},{}
1st innings,New Zealand,5.1,MJ Guptill,Haris Rauf,0,{},{}
1st innings,New Zealand,5.2,MJ Guptill,Haris Rauf,0,{},"{'player_out': 'MJ Guptill', 'kind': 'bowled'}"
1st innings,New Zealand,5.3,KS Williamson,Haris Rauf,1,{},{}
1st innings,New Zealand,5.4,DJ Mitchell,Haris Rauf,1,{},{}
1st innings,New Zealand,5.5,KS Williamson,Haris Rauf,0,{},{}
1st innings,New Zealand,5.6,KS Williamson,Haris Rauf,4,{},{}
1st innings,New Zealand,6.1,DJ Mitchell,Imad Wasim,1,{},{}
1st innings,New Zealand,6.2,KS Williamson,Imad Wasim,1,{},{}
1st innings,New Zealand,6.3,DJ Mitchell,Imad Wasim,0,{},{}
1st innings,New Zealand,6.4,DJ Mitchell,Imad Wasim,1,{},{}
1st innings,New Zealand,6.5,KS Williamson,Imad Wasim,0,{},{}
1st innings,New Zealand,6.6,KS Williamson,Imad Wasim,0,{},{}
1st innings,New Zealand,7.1,DJ Mitchell,Shadab Khan,1,{'legbyes': 1},{}
1st innings,New Zealand,7.2,KS Williamson,Shadab Khan,0,{},{}
1st innings,New Zealand,7.3,KS Williamson,Shadab Khan,0,{},{}
1st innings,New Zealand,7.4,KS Williamson,Shadab Khan,2,{},{}
1st innings,New Zealand,7.5,KS Williamson,Shadab Khan,0,{},{}
1st innings,New Zealand,7.6,KS Williamson,Shadab Khan,0,{},{}
1st innings,New Zealand,8.1,DJ Mitchell,Imad Wasim,6,{},{}
1st innings,New Zealand,8.2,DJ Mitchell,Imad Wasim,0,{},"{'player_out': 'DJ Mitchell', 'fielders': ['Fakhar Zaman'], 'kind': 'caught'}"
1st innings,New Zealand,8.3,KS Williamson,Imad Wasim,0,{},{}
1st innings,New Zealand,8.4,KS Williamson,Imad Wasim,1,{},{}
1st innings,New Zealand,8.5,JDS Neesham,Imad Wasim,1,{},{}
1st innings,New Zealand,8.6,KS Williamson,Imad Wasim,0,{},{}
1st innings,New Zealand,9.1,JDS Neesham,Mohammad Hafeez,0,{},"{'player_out': 'JDS Neesham', 'fielders': ['Fakhar Zaman'], 'kind': 'caught'}"
1st innings,New Zealand,9.2,KS Williamson,Mohammad Hafeez,2,{},{}
1st innings,New Zealand,9.3,KS Williamson,Mohammad Hafeez,0,{},{}
1st innings,New Zealand,9.4,KS Williamson,Mohammad Hafeez,1,{},{}
1st innings,New Zealand,9.5,DP Conway,Mohammad Hafeez,1,{},{}
1st innings,New Zealand,9.6,KS Williamson,Mohammad Hafeez,0,{},{}
1st innings,New Zealand,10.1,DP Conway,Shadab Khan,0,{},{}
1st innings,New Zealand,10.2,DP Conway,Shadab Khan,1,{},{}
1st innings,New Zealand,10.3,KS Williamson,Shadab Khan,0,{},{}
1st innings,New Zealand,10.4,KS Williamson,Shadab Khan,1,{},{}
1st innings,New Zealand,10.5,DP Conway,Shadab Khan,0,{},{}
1st innings,New Zealand,10.6,DP Conway,Shadab Khan,1,{'legbyes': 1},{}
1st innings,New Zealand,11.1,DP Conway,Mohammad Hafeez,0,{},{}
1st innings,New Zealand,11.2,DP Conway,Mohammad Hafeez,1,{},{}
1st innings,New Zealand,11.3,KS Williamson,Mohammad Hafeez,0,{},{}
1st innings,New Zealand,11.4,KS Williamson,Mohammad Hafeez,4,{},{}
1st innings,New Zealand,11.5,KS Williamson,Mohammad Hafeez,6,{},{}
1st innings,New Zealand,11.6,KS Williamson,Mohammad Hafeez,1,{},{}
1st innings,New Zealand,12.1,KS Williamson,Shadab Khan,1,{},{}
1st innings,New Zealand,12.2,DP Conway,Shadab Khan,0,{},{}
1st innings,New Zealand,12.3,DP Conway,Shadab Khan,2,{},{}
1st innings,New Zealand,12.4,DP Conway,Shadab Khan,4,{},{}
1st innings,New Zealand,12.5,DP Conway,Shadab Khan,4,{},{}
1st innings,New Zealand,12.6,DP Conway,Shadab Khan,4,{},{}
1st innings,New Zealand,13.1,KS Williamson,Hasan Ali,0,{},"{'player_out': 'KS Williamson', 'fielders': ['Hasan Ali'], 'kind': 'run out'}"
1st innings,New Zealand,13.2,GD Phillips,Hasan Ali,0,{},{}
1st innings,New Zealand,13.3,GD Phillips,Hasan Ali,0,{},{}
1st innings,New Zealand,13.4,GD Phillips,Hasan Ali,1,{},{}
1st innings,New Zealand,13.5,DP Conway,Hasan Ali,2,"{'legbyes': 1, 'noballs': 1}",{}
1st innings,New Zealand,13.6,GD Phillips,Hasan Ali,1,{},{}
1st innings,New Zealand,13.7,DP Conway,Hasan Ali,1,{},{}
1st innings,New Zealand,14.1,DP Conway,Haris Rauf,1,{},{}
1st innings,New Zealand,14.2,GD Phillips,Haris Rauf,1,{},{}
1st innings,New Zealand,14.3,DP Conway,Haris Rauf,1,{},{}
1st innings,New Zealand,14.4,GD Phillips,Haris Rauf,1,{},{}
1st innings,New Zealand,14.5,DP Conway,Haris Rauf,1,{},{}
1st innings,New Zealand,14.6,GD Phillips,Haris Rauf,0,{},{}
1st innings,New Zealand,15.1,DP Conway,Hasan Ali,1,{},{}
1st innings,New Zealand,15.2,GD Phillips,Hasan Ali,1,{},{}
1st innings,New Zealand,15.3,DP Conway,Hasan Ali,1,{},{}
1st innings,New Zealand,15.4,GD Phillips,Hasan Ali,1,{},{}
1st innings,New Zealand,15.5,DP Conway,Hasan Ali,1,{},{}
1st innings,New Zealand,15.6,GD Phillips,Hasan Ali,2,{},{}
1st innings,New Zealand,16.1,DP Conway,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,16.2,GD Phillips,Shaheen Shah Afridi,1,{'legbyes': 1},{}
1st innings,New Zealand,16.3,DP Conway,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,16.4,GD Phillips,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,16.5,DP Conway,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,16.6,GD Phillips,Shaheen Shah Afridi,4,{},{}
1st innings,New Zealand,17.1,DP Conway,Haris Rauf,0,{},"{'player_out': 'DP Conway', 'fielders': ['Babar Azam'], 'kind': 'caught'}"
1st innings,New Zealand,17.2,GD Phillips,Haris Rauf,0,{},{}
1st innings,New Zealand,17.3,GD Phillips,Haris Rauf,0,{},"{'player_out': 'GD Phillips', 'fielders': ['Hasan Ali'], 'kind': 'caught'}"
1st innings,New Zealand,17.4,TL Seifert,Haris Rauf,2,{},{}
1st innings,New Zealand,17.5,TL Seifert,Haris Rauf,0,{},{}
1st innings,New Zealand,17.6,TL Seifert,Haris Rauf,1,{},{}
1st innings,New Zealand,18.1,TL Seifert,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,18.2,TL Seifert,Shaheen Shah Afridi,0,{},{}
1st innings,New Zealand,18.3,TL Seifert,Shaheen Shah Afridi,1,{},{}
1st innings,New Zealand,18.4,MJ Santner,Shaheen Shah Afridi,1,{'legbyes': 1},{}
1st innings,New Zealand,18.5,TL Seifert,Shaheen Shah Afridi,4,{},{}
1st innings,New Zealand,18.6,TL Seifert,Shaheen Shah Afridi,0,{},"{'player_out': 'TL Seifert', 'fielders': ['Mohammad Hafeez'], 'kind': 'caught'}"
1st innings,New Zealand,19.1,IS Sodhi,Haris Rauf,1,{},{}
1st innings,New Zealand,19.2,MJ Santner,Haris Rauf,2,{},{}
1st innings,New Zealand,19.3,MJ Santner,Haris Rauf,1,{'byes': 1},{}
1st innings,New Zealand,19.4,IS Sodhi,Haris Rauf,1,{},{}
1st innings,New Zealand,19.5,MJ Santner,Haris Rauf,4,{},{}
