inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,LMP Simmons,AK Markram,1,{},{}
1st innings,West Indies,0.2,E Lewis,AK Markram,1,{'wides': 1},{}
1st innings,West Indies,0.3,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,0.4,E Lewis,AK Markram,1,{},{}
1st innings,West Indies,0.5,LMP Simmons,AK Markram,0,{},{}
1st innings,West Indies,0.6,LMP Simmons,AK Markram,0,{},{}
1st innings,West Indies,0.7,LMP Simmons,AK Markram,1,{},{}
1st innings,West Indies,1.1,LMP Simmons,K Rabada,0,{},{}
1st innings,West Indies,1.2,LMP Simmons,K Rabada,0,{},{}
1st innings,West Indies,1.3,LMP Simmons,K Rabada,0,{},{}
1st innings,West Indies,1.4,LMP Simmons,K Rabada,1,{},{}
1st innings,West Indies,1.5,E Lewis,K Rabada,1,{'legbyes': 1},{}
1st innings,West Indies,1.6,LMP Simmons,K Rabada,0,{},{}
1st innings,West Indies,2.1,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,2.2,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,2.3,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,2.4,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,2.5,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,2.6,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,3.1,LMP Simmons,K Rabada,0,{},{}
1st innings,West Indies,3.2,LMP Simmons,K Rabada,1,{},{}
1st innings,West Indies,3.3,E Lewis,K Rabada,0,{},{}
1st innings,West Indies,3.4,E Lewis,K Rabada,4,{},{}
1st innings,West Indies,3.5,E Lewis,K Rabada,6,{},{}
1st innings,West Indies,3.6,E Lewis,K Rabada,1,{},{}
1st innings,West Indies,4.1,E Lewis,AK Markram,2,{},{}
1st innings,West Indies,4.2,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,4.3,E Lewis,AK Markram,0,{},{}
1st innings,West Indies,4.4,E Lewis,AK Markram,6,{},{}
1st innings,West Indies,4.5,E Lewis,AK Markram,6,{},{}
1st innings,West Indies,4.6,E Lewis,AK Markram,4,{},{}
1st innings,West Indies,5.1,LMP Simmons,A Nortje,1,{'legbyes': 1},{}
1st innings,West Indies,5.2,E Lewis,A Nortje,0,{},{}
1st innings,West Indies,5.3,E Lewis,A Nortje,4,{},{}
1st innings,West Indies,5.4,E Lewis,A Nortje,1,{},{}
1st innings,West Indies,5.5,LMP Simmons,A Nortje,0,{},{}
1st innings,West Indies,5.6,LMP Simmons,A Nortje,1,{},{}
1st innings,West Indies,6.1,LMP Simmons,KA Maharaj,1,{},{}
1st innings,West Indies,6.2,E Lewis,KA Maharaj,1,{},{}
1st innings,West Indies,6.3,LMP Simmons,KA Maharaj,0,{},{}
1st innings,West Indies,6.4,LMP Simmons,KA Maharaj,1,{},{}
1st innings,West Indies,6.5,E Lewis,KA Maharaj,0,{},{}
1st innings,West Indies,6.6,E Lewis,KA Maharaj,0,{},{}
1st innings,West Indies,7.1,LMP Simmons,A Nortje,0,{},{}
1st innings,West Indies,7.2,LMP Simmons,A Nortje,0,{},{}
1st innings,West Indies,7.3,LMP Simmons,A Nortje,0,{},{}
1st innings,West Indies,7.4,LMP Simmons,A Nortje,1,{},{}
1st innings,West Indies,7.5,E Lewis,A Nortje,0,{},{}
1st innings,West Indies,7.6,E Lewis,A Nortje,0,{},{}
1st innings,West Indies,8.1,LMP Simmons,KA Maharaj,0,{},{}
1st innings,West Indies,8.2,LMP Simmons,KA Maharaj,1,{},{}
1st innings,West Indies,8.3,E Lewis,KA Maharaj,1,{},{}
1st innings,West Indies,8.4,LMP Simmons,KA Maharaj,1,{},{}
1st innings,West Indies,8.5,E Lewis,KA Maharaj,6,{},{}
1st innings,West Indies,8.6,E Lewis,KA Maharaj,0,{},{}
1st innings,West Indies,9.1,LMP Simmons,T Shamsi,1,{},{}
1st innings,West Indies,9.2,E Lewis,T Shamsi,1,{},{}
1st innings,West Indies,9.3,LMP Simmons,T Shamsi,0,{},{}
1st innings,West Indies,9.4,LMP Simmons,T Shamsi,1,{},{}
1st innings,West Indies,9.5,E Lewis,T Shamsi,6,{},{}
1st innings,West Indies,9.6,E Lewis,T Shamsi,0,{},{}
1st innings,West Indies,10.1,LMP Simmons,KA Maharaj,1,{},{}
1st innings,West Indies,10.2,E Lewis,KA Maharaj,6,{},{}
1st innings,West Indies,10.3,E Lewis,KA Maharaj,1,{'wides': 1},{}
1st innings,West Indies,10.4,E Lewis,KA Maharaj,0,{},"{'player_out': 'E Lewis', 'fielders': ['K Rabada'], 'kind': 'caught'}"
1st innings,West Indies,10.5,N Pooran,KA Maharaj,1,{},{}
1st innings,West Indies,10.6,LMP Simmons,KA Maharaj,0,{},{}
1st innings,West Indies,10.7,LMP Simmons,KA Maharaj,0,{},{}
1st innings,West Indies,11.1,N Pooran,T Shamsi,4,{},{}
1st innings,West Indies,11.2,N Pooran,T Shamsi,4,{},{}
1st innings,West Indies,11.3,N Pooran,T Shamsi,1,{},{}
