inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Liton Das,MM Ali,0,{},{}
1st innings,Bangladesh,0.2,Liton Das,MM Ali,0,{},{}
1st innings,Bangladesh,0.3,Liton Das,MM Ali,1,{},{}
1st innings,Bangladesh,0.4,Mohammad Naim,MM Ali,1,{},{}
1st innings,Bangladesh,0.5,Liton Das,MM Ali,4,{},{}
1st innings,Bangladesh,0.6,Liton Das,MM Ali,4,{},{}
1st innings,Bangladesh,1.1,Mohammad Naim,CR Woakes,0,{},{}
1st innings,Bangladesh,1.2,Mohammad Naim,CR Woakes,0,{},{}
1st innings,Bangladesh,1.3,Mohammad Naim,CR Woakes,2,{},{}
1st innings,Bangladesh,1.4,Mohammad Naim,CR Woakes,1,{},{}
1st innings,Bangladesh,1.5,Liton Das,CR Woakes,0,{},{}
1st innings,Bangladesh,1.6,Liton Das,CR Woakes,0,{},{}
1st innings,Bangladesh,2.1,Mohammad Naim,MM Ali,1,{},{}
1st innings,Bangladesh,2.2,Liton Das,MM Ali,0,{},"{'player_out': 'Liton Das', 'fielders': ['LS Livingstone'], 'kind': 'caught'}"
1st innings,Bangladesh,2.3,Mohammad Naim,MM Ali,0,{},"{'player_out': 'Mohammad Naim', 'fielders': ['CR Woakes'], 'kind': 'caught'}"
1st innings,Bangladesh,2.4,Mushfiqur Rahim,MM Ali,0,{},{}
1st innings,Bangladesh,2.5,Mushfiqur Rahim,MM Ali,0,{},{}
1st innings,Bangladesh,2.6,Mushfiqur Rahim,MM Ali,1,{},{}
1st innings,Bangladesh,3.1,Mushfiqur Rahim,CR Woakes,0,{},{}
1st innings,Bangladesh,3.2,Mushfiqur Rahim,CR Woakes,1,{},{}
1st innings,Bangladesh,3.3,Shakib Al Hasan,CR Woakes,0,{},{}
1st innings,Bangladesh,3.4,Shakib Al Hasan,CR Woakes,1,{},{}
1st innings,Bangladesh,3.5,Mushfiqur Rahim,CR Woakes,0,{},{}
1st innings,Bangladesh,3.6,Mushfiqur Rahim,CR Woakes,1,{},{}
1st innings,Bangladesh,4.1,Mushfiqur Rahim,MM Ali,1,{},{}
1st innings,Bangladesh,4.2,Shakib Al Hasan,MM Ali,0,{},{}
1st innings,Bangladesh,4.3,Shakib Al Hasan,MM Ali,0,{},{}
1st innings,Bangladesh,4.4,Shakib Al Hasan,MM Ali,1,{},{}
1st innings,Bangladesh,4.5,Mushfiqur Rahim,MM Ali,0,{},{}
1st innings,Bangladesh,4.6,Mushfiqur Rahim,MM Ali,4,{},{}
1st innings,Bangladesh,5.1,Shakib Al Hasan,CR Woakes,2,{},{}
1st innings,Bangladesh,5.2,Shakib Al Hasan,CR Woakes,0,{},"{'player_out': 'Shakib Al Hasan', 'fielders': ['AU Rashid'], 'kind': 'caught'}"
1st innings,Bangladesh,5.3,Mushfiqur Rahim,CR Woakes,0,{},{}
