inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,R Trumpelmann,0,{},"{'player_out': 'HG Munsey', 'kind': 'bowled'}"
1st innings,Scotland,0.2,CS MacLeod,R Trumpelmann,1,{'wides': 1},{}
1st innings,Scotland,0.3,CS MacLeod,R Trumpelmann,0,{},{}
1st innings,Scotland,0.4,CS MacLeod,R Trumpelmann,1,{'wides': 1},{}
1st innings,Scotland,0.5,CS MacLeod,R Trumpelmann,0,{},"{'player_out': 'CS MacLeod', 'fielders': ['ZE Green'], 'kind': 'caught'}"
1st innings,Scotland,0.6,RD Berrington,R Trumpelmann,0,{},"{'player_out': 'RD Berrington', 'kind': 'lbw'}"
1st innings,Scotland,0.7,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,0.8,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,1.1,MH Cross,JN Frylinck,0,{},{}
1st innings,Scotland,1.2,MH Cross,JN Frylinck,1,{},{}
1st innings,Scotland,1.3,CD Wallace,JN Frylinck,0,{},{}
1st innings,Scotland,1.4,CD Wallace,JN Frylinck,1,{},{}
1st innings,Scotland,1.5,MH Cross,JN Frylinck,0,{},{}
1st innings,Scotland,1.6,MH Cross,JN Frylinck,0,{},{}
1st innings,Scotland,2.1,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,2.2,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,2.3,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,2.4,CD Wallace,R Trumpelmann,0,{},{}
1st innings,Scotland,2.5,CD Wallace,R Trumpelmann,1,{},{}
1st innings,Scotland,2.6,MH Cross,R Trumpelmann,1,{'legbyes': 1},{}
1st innings,Scotland,3.1,MH Cross,JJ Smit,0,{},{}
1st innings,Scotland,3.2,MH Cross,JJ Smit,1,{},{}
1st innings,Scotland,3.3,CD Wallace,JJ Smit,1,{},{}
1st innings,Scotland,3.4,MH Cross,JJ Smit,0,{},{}
1st innings,Scotland,3.5,MH Cross,JJ Smit,0,{},{}
1st innings,Scotland,3.6,MH Cross,JJ Smit,0,{},{}
1st innings,Scotland,4.1,CD Wallace,R Trumpelmann,1,{},{}
1st innings,Scotland,4.2,MH Cross,R Trumpelmann,0,{},{}
1st innings,Scotland,4.3,MH Cross,R Trumpelmann,0,{},{}
1st innings,Scotland,4.4,MH Cross,R Trumpelmann,0,{},{}
