inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,CH Gayle,Mahedi Hasan,1,{'wides': 1},{}
1st innings,West Indies,0.2,CH Gayle,Mahedi Hasan,0,{},{}
1st innings,West Indies,0.3,CH Gayle,Mahedi Hasan,0,{},{}
1st innings,West Indies,0.4,CH Gayle,Mahedi Hasan,1,{},{}
1st innings,West Indies,0.5,E Lewis,Mahedi Hasan,0,{},{}
1st innings,West Indies,0.6,E Lewis,Mahedi Hasan,1,{},{}
1st innings,West Indies,0.7,CH Gayle,Mahedi Hasan,1,{},{}
1st innings,West Indies,1.1,CH Gayle,Taskin Ahmed,0,{},{}
1st innings,West Indies,1.2,CH Gayle,Taskin Ahmed,1,{},{}
1st innings,West Indies,1.3,E Lewis,Taskin Ahmed,0,{},{}
1st innings,West Indies,1.4,E Lewis,Taskin Ahmed,0,{},{}
1st innings,West Indies,1.5,E Lewis,Taskin Ahmed,0,{},{}
1st innings,West Indies,1.6,E Lewis,Taskin Ahmed,4,{},{}
1st innings,West Indies,2.1,CH Gayle,Mustafizur Rahman,0,{},{}
1st innings,West Indies,2.2,CH Gayle,Mustafizur Rahman,1,{},{}
1st innings,West Indies,2.3,E Lewis,Mustafizur Rahman,1,{},{}
1st innings,West Indies,2.4,CH Gayle,Mustafizur Rahman,1,{'legbyes': 1},{}
1st innings,West Indies,2.5,E Lewis,Mustafizur Rahman,0,{},{}
1st innings,West Indies,2.6,E Lewis,Mustafizur Rahman,0,{},"{'player_out': 'E Lewis', 'fielders': ['Mushfiqur Rahim'], 'kind': 'caught'}"
1st innings,West Indies,3.1,RL Chase,Taskin Ahmed,2,{},{}
1st innings,West Indies,3.2,RL Chase,Taskin Ahmed,2,{},{}
1st innings,West Indies,3.3,RL Chase,Taskin Ahmed,0,{},{}
1st innings,West Indies,3.4,RL Chase,Taskin Ahmed,0,{},{}
1st innings,West Indies,3.5,RL Chase,Taskin Ahmed,0,{},{}
