inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Australia,0.1,DA Warner,AU Rashid,1,{},{}
1st innings,Australia,0.2,AJ Finch,AU Rashid,0,{},{}
1st innings,Australia,0.3,AJ Finch,AU Rashid,0,{},{}
1st innings,Australia,0.4,AJ Finch,AU Rashid,0,{},{}
1st innings,Australia,0.5,AJ Finch,AU Rashid,4,{},{}
1st innings,Australia,0.6,AJ Finch,AU Rashid,1,{},{}
1st innings,Australia,1.1,AJ Finch,CR Woakes,1,{},{}
1st innings,Australia,1.2,DA Warner,CR Woakes,0,{},"{'player_out': 'DA Warner', 'fielders': ['JC Buttler'], 'kind': 'caught'}"
1st innings,Australia,1.3,SPD Smith,CR Woakes,0,{},{}
1st innings,Australia,1.4,SPD Smith,CR Woakes,0,{},{}
1st innings,Australia,1.5,SPD Smith,CR Woakes,0,{},{}
1st innings,Australia,1.6,SPD Smith,CR Woakes,1,{},{}
1st innings,Australia,2.1,SPD Smith,CJ Jordan,0,{},"{'player_out': 'SPD Smith', 'fielders': ['CR Woakes'], 'kind': 'caught'}"
1st innings,Australia,2.2,GJ Maxwell,CJ Jordan,0,{},{}
1st innings,Australia,2.3,GJ Maxwell,CJ Jordan,1,{},{}
1st innings,Australia,2.4,AJ Finch,CJ Jordan,1,{},{}
1st innings,Australia,2.5,GJ Maxwell,CJ Jordan,0,{},{}
1st innings,Australia,2.6,GJ Maxwell,CJ Jordan,1,{},{}
1st innings,Australia,3.1,GJ Maxwell,CR Woakes,2,{},{}
1st innings,Australia,3.2,GJ Maxwell,CR Woakes,0,{},{}
1st innings,Australia,3.3,GJ Maxwell,CR Woakes,0,{},{}
1st innings,Australia,3.4,GJ Maxwell,CR Woakes,2,{},{}
1st innings,Australia,3.5,GJ Maxwell,CR Woakes,0,{},"{'player_out': 'GJ Maxwell', 'kind': 'lbw'}"
1st innings,Australia,3.6,MP Stoinis,CR Woakes,0,{},{}
1st innings,Australia,4.1,AJ Finch,CJ Jordan,0,{},{}
1st innings,Australia,4.2,AJ Finch,CJ Jordan,2,{},{}
1st innings,Australia,4.3,AJ Finch,CJ Jordan,0,{},{}
1st innings,Australia,4.4,AJ Finch,CJ Jordan,0,{},{}
1st innings,Australia,4.5,AJ Finch,CJ Jordan,0,{},{}
1st innings,Australia,4.6,AJ Finch,CJ Jordan,2,{},{}
1st innings,Australia,5.1,MP Stoinis,CR Woakes,0,{},{}
1st innings,Australia,5.2,MP Stoinis,CR Woakes,1,{'wides': 1},{}
1st innings,Australia,5.3,MP Stoinis,CR Woakes,1,{'legbyes': 1},{}
1st innings,Australia,5.4,AJ Finch,CR Woakes,0,{},{}
1st innings,Australia,5.5,AJ Finch,CR Woakes,0,{},{}
1st innings,Australia,5.6,AJ Finch,CR Woakes,0,{},{}
1st innings,Australia,5.7,AJ Finch,CR Woakes,0,{},{}
1st innings,Australia,6.1,MP Stoinis,AU Rashid,0,{},"{'player_out': 'MP Stoinis', 'kind': 'lbw'}"
1st innings,Australia,6.2,MS Wade,AU Rashid,0,{},{}
1st innings,Australia,6.3,MS Wade,AU Rashid,1,{},{}
1st innings,Australia,6.4,AJ Finch,AU Rashid,1,{},{}
1st innings,Australia,6.5,MS Wade,AU Rashid,4,{},{}
1st innings,Australia,6.6,MS Wade,AU Rashid,0,{},{}
1st innings,Australia,7.1,AJ Finch,LS Livingstone,1,{},{}
1st innings,Australia,7.2,MS Wade,LS Livingstone,1,{},{}
1st innings,Australia,7.3,AJ Finch,LS Livingstone,2,{},{}
1st innings,Australia,7.4,AJ Finch,LS Livingstone,0,{},{}
1st innings,Australia,7.5,AJ Finch,LS Livingstone,1,{},{}
1st innings,Australia,7.6,MS Wade,LS Livingstone,0,{},{}
1st innings,Australia,8.1,AJ Finch,AU Rashid,1,{},{}
1st innings,Australia,8.2,MS Wade,AU Rashid,0,{},{}
1st innings,Australia,8.3,MS Wade,AU Rashid,2,{},{}
1st innings,Australia,8.4,MS Wade,AU Rashid,1,{},{}
1st innings,Australia,8.5,AJ Finch,AU Rashid,0,{},{}
1st innings,Australia,8.6,AJ Finch,AU Rashid,1,{},{}
1st innings,Australia,9.1,AJ Finch,LS Livingstone,0,{},{}
1st innings,Australia,9.2,AJ Finch,LS Livingstone,1,{},{}
1st innings,Australia,9.3,MS Wade,LS Livingstone,1,{},{}
1st innings,Australia,9.4,AJ Finch,LS Livingstone,0,{},{}
1st innings,Australia,9.5,AJ Finch,LS Livingstone,1,{},{}
1st innings,Australia,9.6,MS Wade,LS Livingstone,1,{},{}
1st innings,Australia,10.1,MS Wade,TS Mills,1,{},{}
1st innings,Australia,10.2,AJ Finch,TS Mills,1,{},{}
1st innings,Australia,10.3,MS Wade,TS Mills,0,{},{}
1st innings,Australia,10.4,MS Wade,TS Mills,4,{},{}
1st innings,Australia,10.5,MS Wade,TS Mills,1,{},{}
1st innings,Australia,10.6,AJ Finch,TS Mills,1,{'wides': 1},{}
1st innings,Australia,10.7,AJ Finch,TS Mills,0,{},{}
1st innings,Australia,11.1,MS Wade,LS Livingstone,1,{},{}
1st innings,Australia,11.2,AJ Finch,LS Livingstone,1,{},{}
1st innings,Australia,11.3,MS Wade,LS Livingstone,0,{},{}
