inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,KL Rahul,TA Boult,0,{},{}
1st innings,India,0.2,KL Rahul,TA Boult,1,{},{}
1st innings,India,0.3,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,0.4,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,0.5,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,0.6,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,1.1,KL Rahul,TG Southee,0,{},{}
1st innings,India,1.2,KL Rahul,TG Southee,0,{},{}
1st innings,India,1.3,KL Rahul,TG Southee,0,{},{}
1st innings,India,1.4,KL Rahul,TG Southee,4,{},{}
1st innings,India,1.5,KL Rahul,TG Southee,0,{},{}
1st innings,India,1.6,KL Rahul,TG Southee,1,{},{}
1st innings,India,2.1,KL Rahul,TA Boult,1,{},{}
1st innings,India,2.2,Ishan Kishan,TA Boult,4,{},{}
1st innings,India,2.3,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,2.4,Ishan Kishan,TA Boult,0,{},{}
1st innings,India,2.5,Ishan Kishan,TA Boult,0,{},"{'player_out': 'Ishan Kishan', 'fielders': ['DJ Mitchell'], 'kind': 'caught'}"
1st innings,India,2.6,RG Sharma,TA Boult,1,{},{}
1st innings,India,3.1,RG Sharma,MJ Santner,0,{},{}
1st innings,India,3.2,RG Sharma,MJ Santner,1,{},{}
1st innings,India,3.3,KL Rahul,MJ Santner,1,{},{}
1st innings,India,3.4,RG Sharma,MJ Santner,0,{},{}
1st innings,India,3.5,RG Sharma,MJ Santner,0,{},{}
1st innings,India,3.6,RG Sharma,MJ Santner,0,{},{}
1st innings,India,4.1,KL Rahul,AF Milne,4,{},{}
1st innings,India,4.2,KL Rahul,AF Milne,1,{},{}
1st innings,India,4.3,RG Sharma,AF Milne,0,{},{}
1st innings,India,4.4,RG Sharma,AF Milne,0,{},{}
1st innings,India,4.5,RG Sharma,AF Milne,4,{},{}
1st innings,India,4.6,RG Sharma,AF Milne,6,{},{}
1st innings,India,5.1,KL Rahul,TG Southee,4,{},{}
1st innings,India,5.2,KL Rahul,TG Southee,0,{},{}
1st innings,India,5.3,KL Rahul,TG Southee,1,{},{}
1st innings,India,5.4,RG Sharma,TG Southee,1,{},{}
1st innings,India,5.5,KL Rahul,TG Southee,0,{},"{'player_out': 'KL Rahul', 'fielders': ['DJ Mitchell'], 'kind': 'caught'}"
1st innings,India,5.6,V Kohli,TG Southee,0,{},{}
1st innings,India,6.1,RG Sharma,MJ Santner,1,{},{}
1st innings,India,6.2,V Kohli,MJ Santner,0,{},{}
1st innings,India,6.3,V Kohli,MJ Santner,0,{},{}
1st innings,India,6.4,V Kohli,MJ Santner,0,{},{}
1st innings,India,6.5,V Kohli,MJ Santner,0,{},{}
1st innings,India,6.6,V Kohli,MJ Santner,1,{},{}
1st innings,India,7.1,V Kohli,IS Sodhi,2,{},{}
1st innings,India,7.2,V Kohli,IS Sodhi,1,{},{}
1st innings,India,7.3,RG Sharma,IS Sodhi,0,{},{}
1st innings,India,7.4,RG Sharma,IS Sodhi,0,{},"{'player_out': 'RG Sharma', 'fielders': ['MJ Guptill'], 'kind': 'caught'}"
1st innings,India,7.5,RR Pant,IS Sodhi,0,{},{}
1st innings,India,7.6,RR Pant,IS Sodhi,1,{},{}
1st innings,India,8.1,RR Pant,AF Milne,0,{},{}
1st innings,India,8.2,RR Pant,AF Milne,0,{},{}
1st innings,India,8.3,RR Pant,AF Milne,1,{},{}
1st innings,India,8.4,V Kohli,AF Milne,0,{},{}
1st innings,India,8.5,V Kohli,AF Milne,0,{},{}
1st innings,India,8.6,V Kohli,AF Milne,1,{},{}
1st innings,India,9.1,V Kohli,MJ Santner,0,{},{}
1st innings,India,9.2,V Kohli,MJ Santner,0,{},{}
1st innings,India,9.3,V Kohli,MJ Santner,1,{},{}
1st innings,India,9.4,RR Pant,MJ Santner,1,{},{}
1st innings,India,9.5,V Kohli,MJ Santner,2,{},{}
1st innings,India,9.6,V Kohli,MJ Santner,1,{},{}
1st innings,India,10.1,V Kohli,IS Sodhi,0,{},"{'player_out': 'V Kohli', 'fielders': ['TA Boult'], 'kind': 'caught'}"
1st innings,India,10.2,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,10.3,RR Pant,IS Sodhi,0,{},{}
1st innings,India,10.4,RR Pant,IS Sodhi,1,{},{}
1st innings,India,10.5,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,10.6,RR Pant,IS Sodhi,1,{},{}
1st innings,India,11.1,RR Pant,MJ Santner,1,{},{}
1st innings,India,11.2,HH Pandya,MJ Santner,2,{},{}
1st innings,India,11.3,HH Pandya,MJ Santner,0,{},{}
1st innings,India,11.4,HH Pandya,MJ Santner,1,{},{}
1st innings,India,11.5,RR Pant,MJ Santner,1,{},{}
1st innings,India,11.6,HH Pandya,MJ Santner,1,{},{}
1st innings,India,12.1,HH Pandya,TG Southee,0,{},{}
1st innings,India,12.2,HH Pandya,TG Southee,1,{},{}
1st innings,India,12.3,RR Pant,TG Southee,1,{},{}
1st innings,India,12.4,HH Pandya,TG Southee,0,{},{}
1st innings,India,12.5,HH Pandya,TG Southee,1,{},{}
1st innings,India,12.6,RR Pant,TG Southee,1,{},{}
1st innings,India,13.1,RR Pant,IS Sodhi,1,{},{}
1st innings,India,13.2,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,13.3,RR Pant,IS Sodhi,0,{},{}
1st innings,India,13.4,RR Pant,IS Sodhi,1,{},{}
1st innings,India,13.5,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,13.6,RR Pant,IS Sodhi,1,{'legbyes': 1},{}
1st innings,India,14.1,RR Pant,AF Milne,1,{},{}
1st innings,India,14.2,HH Pandya,AF Milne,1,{},{}
1st innings,India,14.3,RR Pant,AF Milne,1,{'wides': 1},{}
1st innings,India,14.4,RR Pant,AF Milne,0,{},"{'player_out': 'RR Pant', 'kind': 'bowled'}"
1st innings,India,14.5,RA Jadeja,AF Milne,1,{'legbyes': 1},{}
1st innings,India,14.6,HH Pandya,AF Milne,2,{},{}
1st innings,India,14.7,HH Pandya,AF Milne,0,{},{}
1st innings,India,15.1,RA Jadeja,IS Sodhi,1,{},{}
1st innings,India,15.2,HH Pandya,IS Sodhi,1,{'wides': 1},{}
1st innings,India,15.3,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,15.4,RA Jadeja,IS Sodhi,0,{},{}
1st innings,India,15.5,RA Jadeja,IS Sodhi,0,{},{}
1st innings,India,15.6,RA Jadeja,IS Sodhi,1,{},{}
1st innings,India,15.7,HH Pandya,IS Sodhi,1,{},{}
1st innings,India,16.1,HH Pandya,TA Boult,1,{},{}
1st innings,India,16.2,RA Jadeja,TA Boult,0,{},{}
1st innings,India,16.3,RA Jadeja,TA Boult,1,{},{}
1st innings,India,16.4,HH Pandya,TA Boult,1,{},{}
1st innings,India,16.5,RA Jadeja,TA Boult,1,{},{}
1st innings,India,16.6,HH Pandya,TA Boult,4,{},{}
1st innings,India,17.1,RA Jadeja,AF Milne,1,{},{}
1st innings,India,17.2,HH Pandya,AF Milne,0,{},{}
1st innings,India,17.3,HH Pandya,AF Milne,1,{},{}
1st innings,India,17.4,RA Jadeja,AF Milne,1,{},{}
1st innings,India,17.5,HH Pandya,AF Milne,1,{},{}
1st innings,India,17.6,RA Jadeja,AF Milne,4,{},{}
1st innings,India,18.1,HH Pandya,TA Boult,0,{},"{'player_out': 'HH Pandya', 'fielders': ['MJ Guptill'], 'kind': 'caught'}"
1st innings,India,18.2,SN Thakur,TA Boult,0,{},{}
1st innings,India,18.3,SN Thakur,TA Boult,0,{},{}
1st innings,India,18.4,SN Thakur,TA Boult,0,{},"{'player_out': 'SN Thakur', 'fielders': ['MJ Guptill'], 'kind': 'caught'}"
1st innings,India,18.5,RA Jadeja,TA Boult,4,{},{}
1st innings,India,18.6,RA Jadeja,TA Boult,1,{},{}
1st innings,India,19.1,RA Jadeja,TG Southee,2,{},{}
1st innings,India,19.2,RA Jadeja,TG Southee,0,{},{}
1st innings,India,19.3,RA Jadeja,TG Southee,6,{},{}
1st innings,India,19.4,RA Jadeja,TG Southee,0,{},{}
1st innings,India,19.5,RA Jadeja,TG Southee,2,{},{}
1st innings,India,19.6,RA Jadeja,TG Southee,1,{},{}
2nd innings,New Zealand,0.1,MJ Guptill,CV Varun,2,{},{}
2nd innings,New Zealand,0.2,MJ Guptill,CV Varun,0,{},{}
2nd innings,New Zealand,0.3,MJ Guptill,CV Varun,1,{},{}
2nd innings,New Zealand,0.4,DJ Mitchell,CV Varun,1,{'legbyes': 1},{}
2nd innings,New Zealand,0.5,MJ Guptill,CV Varun,1,{},{}
2nd innings,New Zealand,0.6,DJ Mitchell,CV Varun,0,{},{}
2nd innings,New Zealand,1.1,MJ Guptill,JJ Bumrah,0,{},{}
2nd innings,New Zealand,1.2,MJ Guptill,JJ Bumrah,0,{},{}
2nd innings,New Zealand,1.3,MJ Guptill,JJ Bumrah,0,{},{}
2nd innings,New Zealand,1.4,MJ Guptill,JJ Bumrah,1,{},{}
2nd innings,New Zealand,1.5,DJ Mitchell,JJ Bumrah,0,{},{}
2nd innings,New Zealand,1.6,DJ Mitchell,JJ Bumrah,0,{},{}
2nd innings,New Zealand,2.1,MJ Guptill,CV Varun,0,{},{}
2nd innings,New Zealand,2.2,MJ Guptill,CV Varun,4,{},{}
