inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,England,0.1,JJ Roy,PVD Chameera,2,{},{}
1st innings,England,0.2,JJ Roy,PVD Chameera,0,{},{}
1st innings,England,0.3,JJ Roy,PVD Chameera,4,{},{}
1st innings,England,0.4,JJ Roy,PVD Chameera,1,{},{}
1st innings,England,0.5,JC Buttler,PVD Chameera,3,{},{}
1st innings,England,0.6,JJ Roy,PVD Chameera,2,{},{}
1st innings,England,1.1,JC Buttler,PWH de Silva,1,{},{}
1st innings,England,1.2,JJ Roy,PWH de Silva,0,{},"{'player_out': 'JJ Roy', 'kind': 'bowled'}"
1st innings,England,1.3,DJ Malan,PWH de Silva,0,{},{}
1st innings,England,1.4,DJ Malan,PWH de Silva,1,{},{}
1st innings,England,1.5,JC Buttler,PWH de Silva,0,{},{}
1st innings,England,1.6,JC Buttler,PWH de Silva,1,{},{}
1st innings,England,2.1,JC Buttler,CBRLS Kumara,4,{},{}
1st innings,England,2.2,JC Buttler,CBRLS Kumara,0,{},{}
1st innings,England,2.3,JC Buttler,CBRLS Kumara,4,{},{}
1st innings,England,2.4,JC Buttler,CBRLS Kumara,0,{},{}
1st innings,England,2.5,JC Buttler,CBRLS Kumara,2,{},{}
1st innings,England,2.6,JC Buttler,CBRLS Kumara,0,{},{}
1st innings,England,3.1,DJ Malan,M Theekshana,1,{},{}
1st innings,England,3.2,JC Buttler,M Theekshana,0,{},{}
1st innings,England,3.3,JC Buttler,M Theekshana,0,{},{}
1st innings,England,3.4,JC Buttler,M Theekshana,0,{},{}
1st innings,England,3.5,JC Buttler,M Theekshana,1,{},{}
1st innings,England,3.6,DJ Malan,M Theekshana,1,{'wides': 1},{}
1st innings,England,3.7,DJ Malan,M Theekshana,1,{'wides': 1},{}
1st innings,England,3.8,DJ Malan,M Theekshana,0,{},{}
1st innings,England,4.1,JC Buttler,PVD Chameera,0,{},{}
1st innings,England,4.2,JC Buttler,PVD Chameera,1,{},{}
1st innings,England,4.3,DJ Malan,PVD Chameera,4,{},{}
1st innings,England,4.4,DJ Malan,PVD Chameera,0,{},{}
1st innings,England,4.5,DJ Malan,PVD Chameera,0,{},{}
1st innings,England,4.6,DJ Malan,PVD Chameera,0,{},"{'player_out': 'DJ Malan', 'kind': 'bowled'}"
1st innings,England,5.1,JC Buttler,PWH de Silva,1,{},{}
1st innings,England,5.2,JM Bairstow,PWH de Silva,0,{},"{'player_out': 'JM Bairstow', 'kind': 'lbw'}"
1st innings,England,5.3,EJG Morgan,PWH de Silva,0,{},{}
1st innings,England,5.4,EJG Morgan,PWH de Silva,1,{},{}
1st innings,England,5.5,JC Buttler,PWH de Silva,0,{},{}
1st innings,England,5.6,JC Buttler,PWH de Silva,0,{},{}
1st innings,England,6.1,EJG Morgan,CBRLS Kumara,0,{},{}
1st innings,England,6.2,EJG Morgan,CBRLS Kumara,0,{},{}
1st innings,England,6.3,EJG Morgan,CBRLS Kumara,0,{},{}
1st innings,England,6.4,EJG Morgan,CBRLS Kumara,0,{},{}
1st innings,England,6.5,EJG Morgan,CBRLS Kumara,1,{},{}
1st innings,England,6.6,JC Buttler,CBRLS Kumara,0,{},{}
1st innings,England,7.1,EJG Morgan,M Theekshana,1,{},{}
1st innings,England,7.2,JC Buttler,M Theekshana,1,{},{}
1st innings,England,7.3,EJG Morgan,M Theekshana,0,{},{}
1st innings,England,7.4,EJG Morgan,M Theekshana,1,{},{}
