inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Mohammad Naim,KA Maharaj,0,{},{}
1st innings,Bangladesh,0.2,Mohammad Naim,KA Maharaj,1,{},{}
1st innings,Bangladesh,0.3,Liton Das,KA Maharaj,0,{},{}
1st innings,Bangladesh,0.4,Liton Das,KA Maharaj,2,{},{}
1st innings,Bangladesh,0.5,Liton Das,KA Maharaj,0,{},{}
1st innings,Bangladesh,0.6,Liton Das,KA Maharaj,1,{},{}
1st innings,Bangladesh,1.1,Liton Das,K Rabada,0,{},{}
1st innings,Bangladesh,1.2,Liton Das,K Rabada,4,{},{}
1st innings,Bangladesh,1.3,Liton Das,K Rabada,1,{},{}
1st innings,Bangladesh,1.4,Mohammad Naim,K Rabada,0,{},{}
1st innings,Bangladesh,1.5,Mohammad Naim,K Rabada,0,{},{}
1st innings,Bangladesh,1.6,Mohammad Naim,K Rabada,0,{},{}
1st innings,Bangladesh,2.1,Liton Das,KA Maharaj,0,{},{}
1st innings,Bangladesh,2.2,Liton Das,KA Maharaj,1,{},{}
1st innings,Bangladesh,2.3,Mohammad Naim,KA Maharaj,1,{},{}
1st innings,Bangladesh,2.4,Liton Das,KA Maharaj,1,{},{}
1st innings,Bangladesh,2.5,Mohammad Naim,KA Maharaj,4,{},{}
1st innings,Bangladesh,2.6,Mohammad Naim,KA Maharaj,1,{},{}
1st innings,Bangladesh,3.1,Mohammad Naim,K Rabada,1,{},{}
1st innings,Bangladesh,3.2,Liton Das,K Rabada,1,{},{}
1st innings,Bangladesh,3.3,Mohammad Naim,K Rabada,1,{},{}
1st innings,Bangladesh,3.4,Liton Das,K Rabada,1,{},{}
1st innings,Bangladesh,3.5,Mohammad Naim,K Rabada,1,{'wides': 1},{}
1st innings,Bangladesh,3.6,Mohammad Naim,K Rabada,0,{},"{'player_out': 'Mohammad Naim', 'fielders': ['RR Hendricks'], 'kind': 'caught'}"
1st innings,Bangladesh,3.7,Soumya Sarkar,K Rabada,0,{},"{'player_out': 'Soumya Sarkar', 'kind': 'lbw'}"
1st innings,Bangladesh,4.1,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,4.2,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,4.3,Liton Das,A Nortje,2,{},{}
1st innings,Bangladesh,4.4,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,4.5,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,4.6,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,5.1,Mushfiqur Rahim,K Rabada,0,{},{}
1st innings,Bangladesh,5.2,Mushfiqur Rahim,K Rabada,0,{},{}
1st innings,Bangladesh,5.3,Mushfiqur Rahim,K Rabada,0,{},"{'player_out': 'Mushfiqur Rahim', 'fielders': ['RR Hendricks'], 'kind': 'caught'}"
1st innings,Bangladesh,5.4,Mahmudullah,K Rabada,2,{},{}
1st innings,Bangladesh,5.5,Mahmudullah,K Rabada,1,{'wides': 1},{}
1st innings,Bangladesh,5.6,Mahmudullah,K Rabada,1,{'wides': 1},{}
1st innings,Bangladesh,5.7,Mahmudullah,K Rabada,0,{},{}
1st innings,Bangladesh,5.8,Mahmudullah,K Rabada,0,{},{}
1st innings,Bangladesh,6.1,Liton Das,D Pretorius,0,{},{}
1st innings,Bangladesh,6.2,Liton Das,D Pretorius,1,{},{}
1st innings,Bangladesh,6.3,Mahmudullah,D Pretorius,1,{},{}
1st innings,Bangladesh,6.4,Liton Das,D Pretorius,1,{},{}
1st innings,Bangladesh,6.5,Mahmudullah,D Pretorius,0,{},{}
1st innings,Bangladesh,6.6,Mahmudullah,D Pretorius,0,{},{}
1st innings,Bangladesh,7.1,Liton Das,A Nortje,1,{},{}
1st innings,Bangladesh,7.2,Mahmudullah,A Nortje,0,{},{}
1st innings,Bangladesh,7.3,Mahmudullah,A Nortje,1,{'legbyes': 1},{}
1st innings,Bangladesh,7.4,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,7.5,Liton Das,A Nortje,1,{},{}
1st innings,Bangladesh,7.6,Mahmudullah,A Nortje,0,{},"{'player_out': 'Mahmudullah', 'fielders': ['AK Markram'], 'kind': 'caught'}"
1st innings,Bangladesh,8.1,Afif Hossain,D Pretorius,0,{},"{'player_out': 'Afif Hossain', 'kind': 'bowled'}"
1st innings,Bangladesh,8.2,Shamim Hossain,D Pretorius,0,{},{}
1st innings,Bangladesh,8.3,Shamim Hossain,D Pretorius,0,{},{}
1st innings,Bangladesh,8.4,Shamim Hossain,D Pretorius,1,{},{}
1st innings,Bangladesh,8.5,Liton Das,D Pretorius,0,{},{}
1st innings,Bangladesh,8.6,Liton Das,D Pretorius,1,{},{}
1st innings,Bangladesh,9.1,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,9.2,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,9.3,Liton Das,A Nortje,0,{},{}
1st innings,Bangladesh,9.4,Liton Das,A Nortje,1,{'wides': 1},{}
1st innings,Bangladesh,9.5,Liton Das,A Nortje,1,{},{}
1st innings,Bangladesh,9.6,Shamim Hossain,A Nortje,0,{},{}
1st innings,Bangladesh,9.7,Shamim Hossain,A Nortje,2,{},{}
1st innings,Bangladesh,10.1,Liton Das,KA Maharaj,0,{},{}
1st innings,Bangladesh,10.2,Liton Das,KA Maharaj,1,{},{}
1st innings,Bangladesh,10.3,Shamim Hossain,KA Maharaj,0,{},{}
1st innings,Bangladesh,10.4,Shamim Hossain,KA Maharaj,0,{},{}
1st innings,Bangladesh,10.5,Shamim Hossain,KA Maharaj,1,{},{}
1st innings,Bangladesh,10.6,Liton Das,KA Maharaj,1,{},{}
1st innings,Bangladesh,11.1,Liton Das,T Shamsi,2,{},{}
1st innings,Bangladesh,11.2,Liton Das,T Shamsi,0,{},{}
1st innings,Bangladesh,11.3,Liton Das,T Shamsi,0,{},"{'player_out': 'Liton Das', 'kind': 'lbw'}"
1st innings,Bangladesh,11.4,Mahedi Hasan,T Shamsi,1,{},{}
1st innings,Bangladesh,11.5,Shamim Hossain,T Shamsi,0,{},{}
1st innings,Bangladesh,11.6,Shamim Hossain,T Shamsi,0,{},{}
1st innings,Bangladesh,12.1,Mahedi Hasan,KA Maharaj,4,{},{}
1st innings,Bangladesh,12.2,Mahedi Hasan,KA Maharaj,2,{},{}
1st innings,Bangladesh,12.3,Mahedi Hasan,KA Maharaj,0,{},{}
1st innings,Bangladesh,12.4,Mahedi Hasan,KA Maharaj,1,{},{}
