inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,0.2,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,0.3,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,0.4,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,0.5,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,0.6,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,1.1,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,1.2,Babar Azam,D Wiese,3,{},{}
1st innings,Pakistan,1.3,Mohammad Rizwan,D Wiese,0,{},{}
1st innings,Pakistan,1.4,Mohammad Rizwan,D Wiese,1,{},{}
1st innings,Pakistan,1.5,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,1.6,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,2.1,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,2.2,Mohammad Rizwan,R Trumpelmann,0,{},{}
1st innings,Pakistan,2.3,Mohammad Rizwan,R Trumpelmann,1,{},{}
1st innings,Pakistan,2.4,Babar Azam,R Trumpelmann,0,{},{}
1st innings,Pakistan,2.5,Babar Azam,R Trumpelmann,0,{},{}
1st innings,Pakistan,2.6,Babar Azam,R Trumpelmann,1,{},{}
1st innings,Pakistan,3.1,Babar Azam,D Wiese,2,{},{}
1st innings,Pakistan,3.2,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,3.3,Babar Azam,D Wiese,4,{},{}
1st innings,Pakistan,3.4,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,3.5,Babar Azam,D Wiese,0,{},{}
1st innings,Pakistan,3.6,Babar Azam,D Wiese,1,{},{}
1st innings,Pakistan,4.1,Babar Azam,JJ Smit,4,{},{}
1st innings,Pakistan,4.2,Babar Azam,JJ Smit,0,{},{}
1st innings,Pakistan,4.3,Babar Azam,JJ Smit,1,{},{}
1st innings,Pakistan,4.4,Mohammad Rizwan,JJ Smit,0,{},{}
1st innings,Pakistan,4.5,Mohammad Rizwan,JJ Smit,4,{},{}
1st innings,Pakistan,4.6,Mohammad Rizwan,JJ Smit,1,{},{}
1st innings,Pakistan,5.1,Mohammad Rizwan,JN Frylinck,0,{},{}
1st innings,Pakistan,5.2,Mohammad Rizwan,JN Frylinck,0,{},{}
1st innings,Pakistan,5.3,Mohammad Rizwan,JN Frylinck,1,{},{}
1st innings,Pakistan,5.4,Babar Azam,JN Frylinck,4,{},{}
1st innings,Pakistan,5.5,Babar Azam,JN Frylinck,0,{},{}
1st innings,Pakistan,5.6,Babar Azam,JN Frylinck,1,{},{}
1st innings,Pakistan,6.1,Babar Azam,B Shikongo,1,{},{}
1st innings,Pakistan,6.2,Mohammad Rizwan,B Shikongo,0,{},{}
1st innings,Pakistan,6.3,Mohammad Rizwan,B Shikongo,1,{},{}
1st innings,Pakistan,6.4,Babar Azam,B Shikongo,2,{},{}
1st innings,Pakistan,6.5,Babar Azam,B Shikongo,1,{},{}
1st innings,Pakistan,6.6,Mohammad Rizwan,B Shikongo,2,{},{}
1st innings,Pakistan,7.1,Babar Azam,JN Frylinck,2,{},{}
1st innings,Pakistan,7.2,Babar Azam,JN Frylinck,1,{},{}
1st innings,Pakistan,7.3,Mohammad Rizwan,JN Frylinck,1,{},{}
1st innings,Pakistan,7.4,Babar Azam,JN Frylinck,2,{},{}
1st innings,Pakistan,7.5,Babar Azam,JN Frylinck,2,{},{}
1st innings,Pakistan,7.6,Babar Azam,JN Frylinck,1,{},{}
1st innings,Pakistan,8.1,Babar Azam,JJ Smit,1,{},{}
1st innings,Pakistan,8.2,Mohammad Rizwan,JJ Smit,1,{},{}
1st innings,Pakistan,8.3,Babar Azam,JJ Smit,1,{},{}
1st innings,Pakistan,8.4,Mohammad Rizwan,JJ Smit,1,{},{}
1st innings,Pakistan,8.5,Babar Azam,JJ Smit,0,{},{}
1st innings,Pakistan,8.6,Babar Azam,JJ Smit,1,{},{}
1st innings,Pakistan,9.1,Babar Azam,JN Loftie-Eaton,1,{},{}
1st innings,Pakistan,9.2,Mohammad Rizwan,JN Loftie-Eaton,1,{},{}
1st innings,Pakistan,9.3,Babar Azam,JN Loftie-Eaton,4,{},{}
