inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,BTJ Wheal,0,{},{}
1st innings,New Zealand,0.2,MJ Guptill,BTJ Wheal,0,{},{}
1st innings,New Zealand,0.3,MJ Guptill,BTJ Wheal,4,{},{}
1st innings,New Zealand,0.4,MJ Guptill,BTJ Wheal,1,{},{}
1st innings,New Zealand,0.5,DJ Mitchell,BTJ Wheal,5,{'wides': 5},{}
1st innings,New Zealand,0.6,DJ Mitchell,BTJ Wheal,2,{},{}
1st innings,New Zealand,0.7,DJ Mitchell,BTJ Wheal,1,{},{}
1st innings,New Zealand,1.1,DJ Mitchell,SM Sharif,0,{},{}
1st innings,New Zealand,1.2,DJ Mitchell,SM Sharif,1,{},{}
1st innings,New Zealand,1.3,MJ Guptill,SM Sharif,0,{},{}
1st innings,New Zealand,1.4,MJ Guptill,SM Sharif,0,{},{}
1st innings,New Zealand,1.5,MJ Guptill,SM Sharif,0,{},{}
1st innings,New Zealand,1.6,MJ Guptill,SM Sharif,0,{},{}
1st innings,New Zealand,2.1,DJ Mitchell,AC Evans,0,{},{}
1st innings,New Zealand,2.2,DJ Mitchell,AC Evans,1,{},{}
1st innings,New Zealand,2.3,MJ Guptill,AC Evans,4,{},{}
1st innings,New Zealand,2.4,MJ Guptill,AC Evans,4,{},{}
1st innings,New Zealand,2.5,MJ Guptill,AC Evans,0,{},{}
1st innings,New Zealand,2.6,MJ Guptill,AC Evans,0,{},{}
1st innings,New Zealand,3.1,DJ Mitchell,BTJ Wheal,1,{},{}
1st innings,New Zealand,3.2,MJ Guptill,BTJ Wheal,2,{},{}
1st innings,New Zealand,3.3,MJ Guptill,BTJ Wheal,1,{'legbyes': 1},{}
1st innings,New Zealand,3.4,DJ Mitchell,BTJ Wheal,1,{'wides': 1},{}
1st innings,New Zealand,3.5,DJ Mitchell,BTJ Wheal,4,{},{}
1st innings,New Zealand,3.6,DJ Mitchell,BTJ Wheal,2,{},{}
1st innings,New Zealand,3.7,DJ Mitchell,BTJ Wheal,1,{},{}
1st innings,New Zealand,4.1,DJ Mitchell,SM Sharif,0,{},"{'player_out': 'DJ Mitchell', 'kind': 'lbw'}"
1st innings,New Zealand,4.2,KS Williamson,SM Sharif,0,{},{}
1st innings,New Zealand,4.3,KS Williamson,SM Sharif,0,{},{}
1st innings,New Zealand,4.4,KS Williamson,SM Sharif,0,{},{}
1st innings,New Zealand,4.5,KS Williamson,SM Sharif,0,{},"{'player_out': 'KS Williamson', 'fielders': ['MH Cross'], 'kind': 'caught'}"
1st innings,New Zealand,4.6,DP Conway,SM Sharif,1,{'wides': 1},{}
1st innings,New Zealand,4.7,DP Conway,SM Sharif,0,{},{}
1st innings,New Zealand,5.1,MJ Guptill,AC Evans,2,{},{}
1st innings,New Zealand,5.2,MJ Guptill,AC Evans,1,{'wides': 1},{}
