inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,RL Chase,0,{},{}
1st innings,Sri Lanka,0.2,P Nissanka,RL Chase,1,{},{}
1st innings,Sri Lanka,0.3,MDKJ Perera,RL Chase,4,{},{}
1st innings,Sri Lanka,0.4,MDKJ Perera,RL Chase,0,{},{}
1st innings,Sri Lanka,0.5,MDKJ Perera,RL Chase,0,{},{}
1st innings,Sri Lanka,0.6,MDKJ Perera,RL Chase,1,{},{}
1st innings,Sri Lanka,1.1,MDKJ Perera,JO Holder,2,{},{}
1st innings,Sri Lanka,1.2,MDKJ Perera,JO Holder,0,{},{}
1st innings,Sri Lanka,1.3,MDKJ Perera,JO Holder,0,{},{}
1st innings,Sri Lanka,1.4,MDKJ Perera,JO Holder,2,{},{}
1st innings,Sri Lanka,1.5,MDKJ Perera,JO Holder,0,{},{}
1st innings,Sri Lanka,1.6,MDKJ Perera,JO Holder,4,{},{}
1st innings,Sri Lanka,2.1,P Nissanka,R Rampaul,1,{'wides': 1},{}
1st innings,Sri Lanka,2.2,P Nissanka,R Rampaul,1,{},{}
1st innings,Sri Lanka,2.3,MDKJ Perera,R Rampaul,0,{},{}
1st innings,Sri Lanka,2.4,MDKJ Perera,R Rampaul,2,{},{}
1st innings,Sri Lanka,2.5,MDKJ Perera,R Rampaul,2,{},{}
1st innings,Sri Lanka,2.6,MDKJ Perera,R Rampaul,1,{},{}
1st innings,Sri Lanka,2.7,P Nissanka,R Rampaul,0,{},{}
1st innings,Sri Lanka,3.1,MDKJ Perera,JO Holder,1,{},{}
1st innings,Sri Lanka,3.2,P Nissanka,JO Holder,1,{'wides': 1},{}
1st innings,Sri Lanka,3.3,P Nissanka,JO Holder,0,{},{}
1st innings,Sri Lanka,3.4,P Nissanka,JO Holder,1,{},{}
1st innings,Sri Lanka,3.5,MDKJ Perera,JO Holder,0,{},{}
1st innings,Sri Lanka,3.6,MDKJ Perera,JO Holder,1,{},{}
1st innings,Sri Lanka,3.7,P Nissanka,JO Holder,4,{},{}
1st innings,Sri Lanka,4.1,MDKJ Perera,R Rampaul,6,{},{}
1st innings,Sri Lanka,4.2,MDKJ Perera,R Rampaul,3,{},{}
1st innings,Sri Lanka,4.3,P Nissanka,R Rampaul,0,{},{}
1st innings,Sri Lanka,4.4,P Nissanka,R Rampaul,2,{},{}
1st innings,Sri Lanka,4.5,P Nissanka,R Rampaul,0,{},{}
1st innings,Sri Lanka,4.6,P Nissanka,R Rampaul,2,{},{}
1st innings,Sri Lanka,5.1,MDKJ Perera,AD Russell,0,{},{}
1st innings,Sri Lanka,5.2,MDKJ Perera,AD Russell,0,{},"{'player_out': 'MDKJ Perera', 'kind': 'caught and bowled'}"
1st innings,Sri Lanka,5.3,KIC Asalanka,AD Russell,0,{},{}
1st innings,Sri Lanka,5.4,KIC Asalanka,AD Russell,1,{},{}
1st innings,Sri Lanka,5.5,P Nissanka,AD Russell,1,{},{}
1st innings,Sri Lanka,5.6,KIC Asalanka,AD Russell,4,{},{}
1st innings,Sri Lanka,6.1,P Nissanka,AJ Hosein,1,{},{}
1st innings,Sri Lanka,6.2,KIC Asalanka,AJ Hosein,4,{},{}
1st innings,Sri Lanka,6.3,KIC Asalanka,AJ Hosein,2,{},{}
1st innings,Sri Lanka,6.4,KIC Asalanka,AJ Hosein,1,{},{}
1st innings,Sri Lanka,6.5,P Nissanka,AJ Hosein,4,{},{}
1st innings,Sri Lanka,6.6,P Nissanka,AJ Hosein,1,{},{}
1st innings,Sri Lanka,7.1,P Nissanka,AD Russell,2,{},{}
1st innings,Sri Lanka,7.2,P Nissanka,AD Russell,0,{},{}
1st innings,Sri Lanka,7.3,P Nissanka,AD Russell,0,{},{}
1st innings,Sri Lanka,7.4,P Nissanka,AD Russell,1,{},{}
1st innings,Sri Lanka,7.5,KIC Asalanka,AD Russell,2,{},{}
1st innings,Sri Lanka,7.6,KIC Asalanka,AD Russell,1,{},{}
1st innings,Sri Lanka,8.1,KIC Asalanka,DJ Bravo,0,{},{}
1st innings,Sri Lanka,8.2,KIC Asalanka,DJ Bravo,4,{},{}
1st innings,Sri Lanka,8.3,KIC Asalanka,DJ Bravo,1,{},{}
1st innings,Sri Lanka,8.4,P Nissanka,DJ Bravo,1,{'wides': 1},{}
1st innings,Sri Lanka,8.5,P Nissanka,DJ Bravo,2,{},{}
1st innings,Sri Lanka,8.6,P Nissanka,DJ Bravo,0,{},{}
1st innings,Sri Lanka,8.7,P Nissanka,DJ Bravo,2,{},{}
1st innings,Sri Lanka,9.1,KIC Asalanka,JO Holder,1,{},{}
1st innings,Sri Lanka,9.2,P Nissanka,JO Holder,0,{},{}
1st innings,Sri Lanka,9.3,P Nissanka,JO Holder,1,{},{}
1st innings,Sri Lanka,9.4,KIC Asalanka,JO Holder,2,{},{}
1st innings,Sri Lanka,9.5,KIC Asalanka,JO Holder,0,{},{}
1st innings,Sri Lanka,9.6,KIC Asalanka,JO Holder,1,{},{}
