inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,BM Scholtz,1,{},{}
1st innings,New Zealand,0.2,DJ Mitchell,BM Scholtz,1,{},{}
1st innings,New Zealand,0.3,MJ Guptill,BM Scholtz,0,{},{}
1st innings,New Zealand,0.4,MJ Guptill,BM Scholtz,6,{},{}
1st innings,New Zealand,0.5,MJ Guptill,BM Scholtz,0,{},{}
1st innings,New Zealand,0.6,MJ Guptill,BM Scholtz,1,{},{}
1st innings,New Zealand,1.1,MJ Guptill,R Trumpelmann,0,{},{}
1st innings,New Zealand,1.2,MJ Guptill,R Trumpelmann,0,{},{}
1st innings,New Zealand,1.3,MJ Guptill,R Trumpelmann,4,{},{}
1st innings,New Zealand,1.4,MJ Guptill,R Trumpelmann,0,{},{}
1st innings,New Zealand,1.5,MJ Guptill,R Trumpelmann,0,{},{}
1st innings,New Zealand,1.6,MJ Guptill,R Trumpelmann,0,{},{}
1st innings,New Zealand,2.1,DJ Mitchell,D Wiese,3,{},{}
1st innings,New Zealand,2.2,MJ Guptill,D Wiese,1,{},{}
1st innings,New Zealand,2.3,DJ Mitchell,D Wiese,1,{},{}
1st innings,New Zealand,2.4,MJ Guptill,D Wiese,1,{},{}
1st innings,New Zealand,2.5,DJ Mitchell,D Wiese,1,{},{}
1st innings,New Zealand,2.6,MJ Guptill,D Wiese,1,{},{}
1st innings,New Zealand,3.1,MJ Guptill,JJ Smit,0,{},{}
1st innings,New Zealand,3.2,MJ Guptill,JJ Smit,2,{},{}
1st innings,New Zealand,3.3,MJ Guptill,JJ Smit,1,{},{}
1st innings,New Zealand,3.4,DJ Mitchell,JJ Smit,4,{},{}
1st innings,New Zealand,3.5,DJ Mitchell,JJ Smit,0,{},{}
1st innings,New Zealand,3.6,DJ Mitchell,JJ Smit,2,{},{}
1st innings,New Zealand,4.1,MJ Guptill,D Wiese,0,{},"{'player_out': 'MJ Guptill', 'fielders': ['R Trumpelmann'], 'kind': 'caught'}"
1st innings,New Zealand,4.2,KS Williamson,D Wiese,0,{},{}
1st innings,New Zealand,4.3,KS Williamson,D Wiese,1,{},{}
1st innings,New Zealand,4.4,DJ Mitchell,D Wiese,1,{},{}
1st innings,New Zealand,4.5,KS Williamson,D Wiese,0,{},{}
1st innings,New Zealand,4.6,KS Williamson,D Wiese,4,{},{}
1st innings,New Zealand,5.1,DJ Mitchell,R Trumpelmann,0,{},{}
1st innings,New Zealand,5.2,DJ Mitchell,R Trumpelmann,0,{},{}
1st innings,New Zealand,5.3,DJ Mitchell,R Trumpelmann,1,{},{}
1st innings,New Zealand,5.4,KS Williamson,R Trumpelmann,1,{},{}
1st innings,New Zealand,5.5,DJ Mitchell,R Trumpelmann,4,{},{}
1st innings,New Zealand,5.6,DJ Mitchell,R Trumpelmann,1,{},{}
1st innings,New Zealand,6.1,DJ Mitchell,BM Scholtz,0,{},{}
1st innings,New Zealand,6.2,DJ Mitchell,BM Scholtz,0,{},"{'player_out': 'DJ Mitchell', 'fielders': ['M van Lingen'], 'kind': 'caught'}"
1st innings,New Zealand,6.3,KS Williamson,BM Scholtz,1,{},{}
1st innings,New Zealand,6.4,DP Conway,BM Scholtz,1,{},{}
1st innings,New Zealand,6.5,KS Williamson,BM Scholtz,1,{},{}
1st innings,New Zealand,6.6,DP Conway,BM Scholtz,0,{},{}
1st innings,New Zealand,7.1,KS Williamson,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,7.2,DP Conway,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,7.3,KS Williamson,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,7.4,DP Conway,JN Loftie-Eaton,2,{},{}
1st innings,New Zealand,7.5,DP Conway,JN Loftie-Eaton,4,{},{}
1st innings,New Zealand,7.6,DP Conway,JN Loftie-Eaton,0,{},{}
1st innings,New Zealand,8.1,KS Williamson,BM Scholtz,0,{},{}
1st innings,New Zealand,8.2,KS Williamson,BM Scholtz,1,{},{}
1st innings,New Zealand,8.3,DP Conway,BM Scholtz,1,{'legbyes': 1},{}
1st innings,New Zealand,8.4,KS Williamson,BM Scholtz,0,{},{}
1st innings,New Zealand,8.5,KS Williamson,BM Scholtz,1,{},{}
1st innings,New Zealand,8.6,DP Conway,BM Scholtz,1,{},{}
1st innings,New Zealand,9.1,DP Conway,MG Erasmus,1,{},{}
1st innings,New Zealand,9.2,KS Williamson,MG Erasmus,0,{},{}
1st innings,New Zealand,9.3,KS Williamson,MG Erasmus,1,{},{}
1st innings,New Zealand,9.4,DP Conway,MG Erasmus,1,{},{}
1st innings,New Zealand,9.5,KS Williamson,MG Erasmus,0,{},{}
1st innings,New Zealand,9.6,KS Williamson,MG Erasmus,0,{},{}
1st innings,New Zealand,10.1,DP Conway,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,10.2,KS Williamson,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,10.3,DP Conway,JN Loftie-Eaton,1,{},{}
1st innings,New Zealand,10.4,KS Williamson,JN Loftie-Eaton,2,{},{}
1st innings,New Zealand,10.5,KS Williamson,JN Loftie-Eaton,6,{},{}
1st innings,New Zealand,10.6,KS Williamson,JN Loftie-Eaton,4,{},{}
1st innings,New Zealand,11.1,DP Conway,K Birkenstock,0,{},{}
1st innings,New Zealand,11.2,DP Conway,K Birkenstock,1,{},{}
1st innings,New Zealand,11.3,KS Williamson,K Birkenstock,0,{},{}
1st innings,New Zealand,11.4,KS Williamson,K Birkenstock,1,{},{}
1st innings,New Zealand,11.5,DP Conway,K Birkenstock,1,{},{}
1st innings,New Zealand,11.6,KS Williamson,K Birkenstock,1,{},{}
1st innings,New Zealand,12.1,KS Williamson,MG Erasmus,0,{},"{'player_out': 'KS Williamson', 'kind': 'bowled'}"
1st innings,New Zealand,12.2,GD Phillips,MG Erasmus,0,{},{}
1st innings,New Zealand,12.3,GD Phillips,MG Erasmus,0,{},{}
1st innings,New Zealand,12.4,GD Phillips,MG Erasmus,0,{},{}
1st innings,New Zealand,12.5,GD Phillips,MG Erasmus,0,{},{}
1st innings,New Zealand,12.6,GD Phillips,MG Erasmus,1,{},{}
1st innings,New Zealand,13.1,GD Phillips,K Birkenstock,1,{},{}
1st innings,New Zealand,13.2,DP Conway,K Birkenstock,1,{},{}
1st innings,New Zealand,13.3,GD Phillips,K Birkenstock,1,{},{}
1st innings,New Zealand,13.4,DP Conway,K Birkenstock,0,{},{}
1st innings,New Zealand,13.5,DP Conway,K Birkenstock,1,{},{}
1st innings,New Zealand,13.6,GD Phillips,K Birkenstock,1,{},"{'player_out': 'DP Conway', 'fielders': ['MG Erasmus', 'K Birkenstock'], 'kind': 'run out'}"
1st innings,New Zealand,14.1,JDS Neesham,MG Erasmus,0,{},{}
1st innings,New Zealand,14.2,JDS Neesham,MG Erasmus,0,{},{}
1st innings,New Zealand,14.3,JDS Neesham,MG Erasmus,1,{},{}
1st innings,New Zealand,14.4,GD Phillips,MG Erasmus,1,{},{}
1st innings,New Zealand,14.5,JDS Neesham,MG Erasmus,0,{},{}
1st innings,New Zealand,14.6,JDS Neesham,MG Erasmus,1,{'wides': 1},{}
1st innings,New Zealand,14.7,JDS Neesham,MG Erasmus,1,{},{}
1st innings,New Zealand,15.1,JDS Neesham,D Wiese,1,{},{}
1st innings,New Zealand,15.2,GD Phillips,D Wiese,1,{},{}
1st innings,New Zealand,15.3,JDS Neesham,D Wiese,0,{},{}
1st innings,New Zealand,15.4,JDS Neesham,D Wiese,0,{},{}
1st innings,New Zealand,15.5,JDS Neesham,D Wiese,1,{},{}
1st innings,New Zealand,15.6,GD Phillips,D Wiese,2,{},{}
1st innings,New Zealand,16.1,JDS Neesham,MG Erasmus,1,{},{}
1st innings,New Zealand,16.2,GD Phillips,MG Erasmus,6,{},{}
1st innings,New Zealand,16.3,GD Phillips,MG Erasmus,1,{},{}
1st innings,New Zealand,16.4,JDS Neesham,MG Erasmus,2,{},{}
1st innings,New Zealand,16.5,JDS Neesham,MG Erasmus,2,{},{}
1st innings,New Zealand,16.6,JDS Neesham,MG Erasmus,2,{},{}
1st innings,New Zealand,17.1,GD Phillips,D Wiese,2,{},{}
1st innings,New Zealand,17.2,GD Phillips,D Wiese,2,{},{}
1st innings,New Zealand,17.3,GD Phillips,D Wiese,6,{},{}
1st innings,New Zealand,17.4,GD Phillips,D Wiese,1,{},{}
1st innings,New Zealand,17.5,JDS Neesham,D Wiese,6,{},{}
1st innings,New Zealand,17.6,JDS Neesham,D Wiese,4,{},{}
1st innings,New Zealand,18.1,GD Phillips,R Trumpelmann,4,{},{}
1st innings,New Zealand,18.2,GD Phillips,R Trumpelmann,6,{},{}
1st innings,New Zealand,18.3,GD Phillips,R Trumpelmann,1,{},{}
1st innings,New Zealand,18.4,JDS Neesham,R Trumpelmann,0,{},{}
1st innings,New Zealand,18.5,JDS Neesham,R Trumpelmann,2,{},{}
1st innings,New Zealand,18.6,JDS Neesham,R Trumpelmann,1,{},{}
1st innings,New Zealand,19.1,JDS Neesham,JJ Smit,0,{},{}
1st innings,New Zealand,19.2,JDS Neesham,JJ Smit,6,{},{}
1st innings,New Zealand,19.3,JDS Neesham,JJ Smit,2,{},{}
1st innings,New Zealand,19.4,JDS Neesham,JJ Smit,1,{'wides': 1},{}
1st innings,New Zealand,19.5,JDS Neesham,JJ Smit,1,{'wides': 1},{}
1st innings,New Zealand,19.6,JDS Neesham,JJ Smit,1,{},{}
1st innings,New Zealand,19.7,GD Phillips,JJ Smit,2,{},{}
1st innings,New Zealand,19.8,GD Phillips,JJ Smit,2,{'wides': 2},{}
1st innings,New Zealand,19.9,JDS Neesham,JJ Smit,1,{'wides': 1},{}
1st innings,New Zealand,19.1,JDS Neesham,JJ Smit,2,{},{}
2nd innings,Namibia,0.1,SJ Baard,TG Southee,0,{},{}
2nd innings,Namibia,0.2,SJ Baard,TG Southee,1,{},{}
2nd innings,Namibia,0.3,M van Lingen,TG Southee,0,{},{}
2nd innings,Namibia,0.4,M van Lingen,TG Southee,1,{},{}
2nd innings,Namibia,0.5,SJ Baard,TG Southee,0,{},{}
2nd innings,Namibia,0.6,SJ Baard,TG Southee,4,{},{}
2nd innings,Namibia,1.1,M van Lingen,TA Boult,1,{},{}
2nd innings,Namibia,1.2,SJ Baard,TA Boult,1,{'wides': 1},{}
2nd innings,Namibia,1.3,SJ Baard,TA Boult,0,{},{}
2nd innings,Namibia,1.4,SJ Baard,TA Boult,0,{},{}
2nd innings,Namibia,1.5,SJ Baard,TA Boult,1,{},{}
2nd innings,Namibia,1.6,M van Lingen,TA Boult,2,{},{}
2nd innings,Namibia,1.7,M van Lingen,TA Boult,0,{},{}
2nd innings,Namibia,2.1,SJ Baard,AF Milne,2,{},{}
2nd innings,Namibia,2.2,SJ Baard,AF Milne,1,{},{}
