inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,JJ Bumrah,0,{},{}
1st innings,Scotland,0.2,HG Munsey,JJ Bumrah,0,{},{}
1st innings,Scotland,0.3,HG Munsey,JJ Bumrah,1,{},{}
1st innings,Scotland,0.4,KJ Coetzer,JJ Bumrah,1,{'legbyes': 1},{}
1st innings,Scotland,0.5,HG Munsey,JJ Bumrah,0,{},{}
1st innings,Scotland,0.6,HG Munsey,JJ Bumrah,6,{},{}
1st innings,Scotland,1.1,KJ Coetzer,CV Varun,0,{},{}
1st innings,Scotland,1.2,KJ Coetzer,CV Varun,0,{},{}
1st innings,Scotland,1.3,KJ Coetzer,CV Varun,1,{},{}
1st innings,Scotland,1.4,HG Munsey,CV Varun,0,{},{}
1st innings,Scotland,1.5,HG Munsey,CV Varun,4,{},{}
1st innings,Scotland,1.6,HG Munsey,CV Varun,0,{},{}
1st innings,Scotland,2.1,KJ Coetzer,JJ Bumrah,0,{},{}
1st innings,Scotland,2.2,KJ Coetzer,JJ Bumrah,0,{},{}
1st innings,Scotland,2.3,KJ Coetzer,JJ Bumrah,0,{},"{'player_out': 'KJ Coetzer', 'kind': 'bowled'}"
1st innings,Scotland,2.4,MH Cross,JJ Bumrah,0,{},{}
1st innings,Scotland,2.5,MH Cross,JJ Bumrah,0,{},{}
1st innings,Scotland,2.6,MH Cross,JJ Bumrah,0,{},{}
1st innings,Scotland,3.1,HG Munsey,R Ashwin,0,{},{}
1st innings,Scotland,3.2,HG Munsey,R Ashwin,0,{},{}
1st innings,Scotland,3.3,HG Munsey,R Ashwin,0,{},{}
1st innings,Scotland,3.4,HG Munsey,R Ashwin,4,{},{}
1st innings,Scotland,3.5,HG Munsey,R Ashwin,4,{},{}
1st innings,Scotland,3.6,HG Munsey,R Ashwin,4,{},{}
1st innings,Scotland,4.1,MH Cross,CV Varun,0,{},{}
1st innings,Scotland,4.2,MH Cross,CV Varun,1,{},{}
1st innings,Scotland,4.3,HG Munsey,CV Varun,0,{},{}
1st innings,Scotland,4.4,HG Munsey,CV Varun,0,{},{}
1st innings,Scotland,4.5,HG Munsey,CV Varun,1,{},{}
1st innings,Scotland,4.6,MH Cross,CV Varun,0,{},{}
1st innings,Scotland,5.1,HG Munsey,Mohammed Shami,0,{},{}
1st innings,Scotland,5.2,HG Munsey,Mohammed Shami,0,{},"{'player_out': 'HG Munsey', 'fielders': ['HH Pandya'], 'kind': 'caught'}"
1st innings,Scotland,5.3,RD Berrington,Mohammed Shami,0,{},{}
