inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,RR Hendricks,MM Ali,0,{},{}
1st innings,South Africa,0.2,RR Hendricks,MM Ali,1,{},{}
1st innings,South Africa,0.3,Q de Kock,MM Ali,0,{},{}
1st innings,South Africa,0.4,Q de Kock,MM Ali,4,{},{}
1st innings,South Africa,0.5,Q de Kock,MM Ali,1,{},{}
1st innings,South Africa,0.6,RR Hendricks,MM Ali,0,{},{}
1st innings,South Africa,1.1,Q de Kock,CR Woakes,0,{},{}
1st innings,South Africa,1.2,Q de Kock,CR Woakes,1,{},{}
1st innings,South Africa,1.3,RR Hendricks,CR Woakes,1,{},{}
1st innings,South Africa,1.4,Q de Kock,CR Woakes,0,{},{}
1st innings,South Africa,1.5,Q de Kock,CR Woakes,1,{},{}
1st innings,South Africa,1.6,RR Hendricks,CR Woakes,0,{},{}
1st innings,South Africa,2.1,Q de Kock,MM Ali,4,{},{}
1st innings,South Africa,2.2,Q de Kock,MM Ali,2,{'wides': 2},{}
1st innings,South Africa,2.3,RR Hendricks,MM Ali,0,{},{}
1st innings,South Africa,2.4,RR Hendricks,MM Ali,0,{},{}
1st innings,South Africa,2.5,RR Hendricks,MM Ali,0,{},"{'player_out': 'RR Hendricks', 'kind': 'bowled'}"
1st innings,South Africa,2.6,HE van der Dussen,MM Ali,1,{},{}
1st innings,South Africa,2.7,Q de Kock,MM Ali,0,{},{}
1st innings,South Africa,3.1,HE van der Dussen,CR Woakes,4,{},{}
1st innings,South Africa,3.2,HE van der Dussen,CR Woakes,0,{},{}
1st innings,South Africa,3.3,HE van der Dussen,CR Woakes,0,{},{}
1st innings,South Africa,3.4,HE van der Dussen,CR Woakes,0,{},{}
1st innings,South Africa,3.5,HE van der Dussen,CR Woakes,0,{},{}
1st innings,South Africa,3.6,HE van der Dussen,CR Woakes,1,{},{}
1st innings,South Africa,4.1,HE van der Dussen,MM Ali,1,{},{}
1st innings,South Africa,4.2,Q de Kock,MM Ali,1,{},{}
1st innings,South Africa,4.3,HE van der Dussen,MM Ali,0,{},{}
1st innings,South Africa,4.4,HE van der Dussen,MM Ali,1,{},{}
1st innings,South Africa,4.5,Q de Kock,MM Ali,1,{},{}
1st innings,South Africa,4.6,HE van der Dussen,MM Ali,1,{},{}
