inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,CH Gayle,MA Starc,2,{},{}
1st innings,West Indies,0.2,CH Gayle,MA Starc,1,{},{}
1st innings,West Indies,0.3,E Lewis,MA Starc,1,{'legbyes': 1},{}
1st innings,West Indies,0.4,CH Gayle,MA Starc,0,{},{}
1st innings,West Indies,0.5,CH Gayle,MA Starc,0,{},{}
1st innings,West Indies,0.6,CH Gayle,MA Starc,0,{},{}
1st innings,West Indies,1.1,E Lewis,JR Hazlewood,4,{},{}
1st innings,West Indies,1.2,E Lewis,JR Hazlewood,4,{},{}
1st innings,West Indies,1.3,E Lewis,JR Hazlewood,4,{},{}
1st innings,West Indies,1.4,E Lewis,JR Hazlewood,1,{},{}
1st innings,West Indies,1.5,CH Gayle,JR Hazlewood,6,{},{}
1st innings,West Indies,1.6,CH Gayle,JR Hazlewood,1,{'legbyes': 1},{}
1st innings,West Indies,2.1,CH Gayle,PJ Cummins,6,{},{}
1st innings,West Indies,2.2,CH Gayle,PJ Cummins,0,{},"{'player_out': 'CH Gayle', 'kind': 'bowled'}"
1st innings,West Indies,2.3,N Pooran,PJ Cummins,0,{},{}
1st innings,West Indies,2.4,N Pooran,PJ Cummins,4,{},{}
1st innings,West Indies,2.5,N Pooran,PJ Cummins,1,{'legbyes': 1},{}
1st innings,West Indies,2.6,E Lewis,PJ Cummins,0,{},{}
1st innings,West Indies,3.1,N Pooran,JR Hazlewood,0,{},"{'player_out': 'N Pooran', 'fielders': ['MR Marsh'], 'kind': 'caught'}"
1st innings,West Indies,3.2,RL Chase,JR Hazlewood,0,{},{}
1st innings,West Indies,3.3,RL Chase,JR Hazlewood,0,{},"{'player_out': 'RL Chase', 'kind': 'bowled'}"
1st innings,West Indies,3.4,SO Hetmyer,JR Hazlewood,1,{},{}
1st innings,West Indies,3.5,E Lewis,JR Hazlewood,1,{},{}
1st innings,West Indies,3.6,SO Hetmyer,JR Hazlewood,0,{},{}
1st innings,West Indies,4.1,E Lewis,PJ Cummins,1,{},{}
1st innings,West Indies,4.2,SO Hetmyer,PJ Cummins,1,{},{}
1st innings,West Indies,4.3,E Lewis,PJ Cummins,0,{},{}
1st innings,West Indies,4.4,E Lewis,PJ Cummins,1,{},{}
1st innings,West Indies,4.5,SO Hetmyer,PJ Cummins,4,{},{}
1st innings,West Indies,4.6,SO Hetmyer,PJ Cummins,0,{},{}
1st innings,West Indies,5.1,E Lewis,GJ Maxwell,1,{},{}
1st innings,West Indies,5.2,SO Hetmyer,GJ Maxwell,0,{},{}
1st innings,West Indies,5.3,SO Hetmyer,GJ Maxwell,1,{},{}
1st innings,West Indies,5.4,E Lewis,GJ Maxwell,4,{},{}
1st innings,West Indies,5.5,E Lewis,GJ Maxwell,0,{},{}
1st innings,West Indies,5.6,E Lewis,GJ Maxwell,0,{},{}
1st innings,West Indies,6.1,SO Hetmyer,MR Marsh,1,{},{}
1st innings,West Indies,6.2,E Lewis,MR Marsh,0,{},{}
1st innings,West Indies,6.3,E Lewis,MR Marsh,0,{},{}
1st innings,West Indies,6.4,E Lewis,MR Marsh,1,{},{}
1st innings,West Indies,6.5,SO Hetmyer,MR Marsh,1,{},{}
1st innings,West Indies,6.6,E Lewis,MR Marsh,0,{},{}
1st innings,West Indies,7.1,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,7.2,E Lewis,A Zampa,1,{},{}
1st innings,West Indies,7.3,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,7.4,E Lewis,A Zampa,0,{},{}
1st innings,West Indies,7.5,E Lewis,A Zampa,1,{'legbyes': 1},{}
1st innings,West Indies,7.6,SO Hetmyer,A Zampa,0,{},{}
1st innings,West Indies,8.1,E Lewis,MR Marsh,1,{},{}
1st innings,West Indies,8.2,SO Hetmyer,MR Marsh,1,{},{}
1st innings,West Indies,8.3,E Lewis,MR Marsh,1,{},{}
1st innings,West Indies,8.4,SO Hetmyer,MR Marsh,4,{},{}
1st innings,West Indies,8.5,SO Hetmyer,MR Marsh,1,{},{}
1st innings,West Indies,8.6,E Lewis,MR Marsh,0,{},{}
1st innings,West Indies,9.1,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,9.2,E Lewis,A Zampa,4,{},{}
1st innings,West Indies,9.3,E Lewis,A Zampa,0,{},"{'player_out': 'E Lewis', 'fielders': ['SPD Smith'], 'kind': 'caught'}"
1st innings,West Indies,9.4,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,9.5,KA Pollard,A Zampa,1,{},{}
1st innings,West Indies,9.6,SO Hetmyer,A Zampa,1,{'wides': 1},{}
1st innings,West Indies,9.7,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,10.1,SO Hetmyer,MA Starc,0,{},{}
1st innings,West Indies,10.2,SO Hetmyer,MA Starc,1,{},{}
1st innings,West Indies,10.3,KA Pollard,MA Starc,2,{},{}
1st innings,West Indies,10.4,KA Pollard,MA Starc,0,{},{}
1st innings,West Indies,10.5,KA Pollard,MA Starc,1,{'wides': 1},{}
1st innings,West Indies,10.6,KA Pollard,MA Starc,1,{'legbyes': 1},{}
1st innings,West Indies,10.7,SO Hetmyer,MA Starc,2,{},{}
1st innings,West Indies,11.1,KA Pollard,A Zampa,0,{},{}
1st innings,West Indies,11.2,KA Pollard,A Zampa,1,{},{}
1st innings,West Indies,11.3,SO Hetmyer,A Zampa,0,{},{}
1st innings,West Indies,11.4,SO Hetmyer,A Zampa,0,{},{}
1st innings,West Indies,11.5,SO Hetmyer,A Zampa,1,{},{}
1st innings,West Indies,11.6,KA Pollard,A Zampa,4,{},{}
1st innings,West Indies,12.1,SO Hetmyer,JR Hazlewood,0,{},{}
1st innings,West Indies,12.2,SO Hetmyer,JR Hazlewood,2,{},{}
1st innings,West Indies,12.3,SO Hetmyer,JR Hazlewood,1,{},{}
1st innings,West Indies,12.4,KA Pollard,JR Hazlewood,1,{},{}
1st innings,West Indies,12.5,SO Hetmyer,JR Hazlewood,0,{},"{'player_out': 'SO Hetmyer', 'fielders': ['MS Wade'], 'kind': 'caught'}"
1st innings,West Indies,12.6,DJ Bravo,JR Hazlewood,1,{},{}
1st innings,West Indies,13.1,DJ Bravo,A Zampa,0,{},{}
1st innings,West Indies,13.2,DJ Bravo,A Zampa,1,{},{}
1st innings,West Indies,13.3,KA Pollard,A Zampa,0,{},{}
1st innings,West Indies,13.4,KA Pollard,A Zampa,1,{},{}
1st innings,West Indies,13.5,DJ Bravo,A Zampa,0,{},{}
1st innings,West Indies,13.6,DJ Bravo,A Zampa,0,{},{}
1st innings,West Indies,14.1,KA Pollard,MR Marsh,2,{},{}
1st innings,West Indies,14.2,KA Pollard,MR Marsh,0,{},{}
1st innings,West Indies,14.3,KA Pollard,MR Marsh,0,{},{}
1st innings,West Indies,14.4,KA Pollard,MR Marsh,2,{},{}
1st innings,West Indies,14.5,KA Pollard,MR Marsh,1,{},{}
1st innings,West Indies,14.6,DJ Bravo,MR Marsh,0,{},{}
1st innings,West Indies,15.1,KA Pollard,MA Starc,1,{},{}
1st innings,West Indies,15.2,DJ Bravo,MA Starc,1,{},{}
1st innings,West Indies,15.3,KA Pollard,MA Starc,1,{},{}
1st innings,West Indies,15.4,DJ Bravo,MA Starc,0,{},{}
1st innings,West Indies,15.5,DJ Bravo,MA Starc,6,{},{}
1st innings,West Indies,15.6,DJ Bravo,MA Starc,1,{},{}
1st innings,West Indies,16.1,DJ Bravo,PJ Cummins,1,{'legbyes': 1},{}
1st innings,West Indies,16.2,KA Pollard,PJ Cummins,2,{},{}
1st innings,West Indies,16.3,KA Pollard,PJ Cummins,4,{},{}
1st innings,West Indies,16.4,KA Pollard,PJ Cummins,0,{},{}
1st innings,West Indies,16.5,KA Pollard,PJ Cummins,6,{},{}
1st innings,West Indies,16.6,KA Pollard,PJ Cummins,1,{},{}
1st innings,West Indies,17.1,KA Pollard,JR Hazlewood,2,{},{}
1st innings,West Indies,17.2,KA Pollard,JR Hazlewood,1,{},{}
1st innings,West Indies,17.3,DJ Bravo,JR Hazlewood,0,{},"{'player_out': 'DJ Bravo', 'fielders': ['DA Warner'], 'kind': 'caught'}"
1st innings,West Indies,17.4,KA Pollard,JR Hazlewood,4,{},{}
1st innings,West Indies,17.5,KA Pollard,JR Hazlewood,1,{'wides': 1},{}
1st innings,West Indies,17.6,KA Pollard,JR Hazlewood,4,{},{}
1st innings,West Indies,17.7,KA Pollard,JR Hazlewood,1,{},{}
1st innings,West Indies,18.1,KA Pollard,PJ Cummins,1,{},{}
1st innings,West Indies,18.2,AD Russell,PJ Cummins,4,{},{}
1st innings,West Indies,18.3,AD Russell,PJ Cummins,0,{},{}
1st innings,West Indies,18.4,AD Russell,PJ Cummins,1,{},{}
1st innings,West Indies,18.5,KA Pollard,PJ Cummins,1,{},{}
1st innings,West Indies,18.6,AD Russell,PJ Cummins,0,{},{}
1st innings,West Indies,19.1,KA Pollard,MA Starc,0,{},{}
1st innings,West Indies,19.2,KA Pollard,MA Starc,0,{},"{'player_out': 'KA Pollard', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
1st innings,West Indies,19.3,AD Russell,MA Starc,1,{},{}
1st innings,West Indies,19.4,JO Holder,MA Starc,1,{},{}
1st innings,West Indies,19.5,AD Russell,MA Starc,6,{},{}
1st innings,West Indies,19.6,AD Russell,MA Starc,6,{},{}
2nd innings,Australia,0.1,DA Warner,AJ Hosein,0,{},{}
2nd innings,Australia,0.2,DA Warner,AJ Hosein,1,{},{}
2nd innings,Australia,0.3,AJ Finch,AJ Hosein,0,{},{}
2nd innings,Australia,0.4,AJ Finch,AJ Hosein,1,{},{}
2nd innings,Australia,0.5,DA Warner,AJ Hosein,2,{},{}
2nd innings,Australia,0.6,DA Warner,AJ Hosein,1,{},{}
2nd innings,Australia,1.1,DA Warner,RL Chase,0,{},{}
2nd innings,Australia,1.2,DA Warner,RL Chase,0,{},{}
2nd innings,Australia,1.3,DA Warner,RL Chase,4,{},{}
2nd innings,Australia,1.4,DA Warner,RL Chase,1,{},{}
2nd innings,Australia,1.5,AJ Finch,RL Chase,4,{},{}
2nd innings,Australia,1.6,AJ Finch,RL Chase,3,{'noballs': 1},{}
2nd innings,Australia,1.7,AJ Finch,RL Chase,1,{},{}
2nd innings,Australia,2.1,AJ Finch,JO Holder,0,{},{}
2nd innings,Australia,2.2,AJ Finch,JO Holder,0,{},{}
2nd innings,Australia,2.3,AJ Finch,JO Holder,1,{},{}
2nd innings,Australia,2.4,DA Warner,JO Holder,4,{},{}
2nd innings,Australia,2.5,DA Warner,JO Holder,4,{},{}
2nd innings,Australia,2.6,DA Warner,JO Holder,6,{},{}
2nd innings,Australia,3.1,AJ Finch,AJ Hosein,0,{},{}
2nd innings,Australia,3.2,AJ Finch,AJ Hosein,0,{},{}
2nd innings,Australia,3.3,AJ Finch,AJ Hosein,0,{},"{'player_out': 'AJ Finch', 'kind': 'bowled'}"
2nd innings,Australia,3.4,MR Marsh,AJ Hosein,1,{},{}
2nd innings,Australia,3.5,DA Warner,AJ Hosein,1,{},{}
2nd innings,Australia,3.6,MR Marsh,AJ Hosein,0,{},{}
2nd innings,Australia,4.1,DA Warner,DJ Bravo,4,{},{}
2nd innings,Australia,4.2,DA Warner,DJ Bravo,0,{},{}
2nd innings,Australia,4.3,DA Warner,DJ Bravo,0,{},{}
2nd innings,Australia,4.4,DA Warner,DJ Bravo,0,{},{}
2nd innings,Australia,4.5,DA Warner,DJ Bravo,1,{},{}
2nd innings,Australia,4.6,MR Marsh,DJ Bravo,1,{},{}
2nd innings,Australia,5.1,MR Marsh,AJ Hosein,1,{},{}
2nd innings,Australia,5.2,DA Warner,AJ Hosein,6,{},{}
2nd innings,Australia,5.3,DA Warner,AJ Hosein,0,{},{}
2nd innings,Australia,5.4,DA Warner,AJ Hosein,0,{},{}
2nd innings,Australia,5.5,DA Warner,AJ Hosein,4,{},{}
2nd innings,Australia,5.6,DA Warner,AJ Hosein,1,{},{}
