inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Mohammad Rizwan,Hamza Tahir,0,{},{}
1st innings,Pakistan,0.2,Mohammad Rizwan,Hamza Tahir,0,{},{}
1st innings,Pakistan,0.3,Mohammad Rizwan,Hamza Tahir,0,{},{}
1st innings,Pakistan,0.4,Mohammad Rizwan,Hamza Tahir,0,{},{}
1st innings,Pakistan,0.5,Mohammad Rizwan,Hamza Tahir,1,{},{}
1st innings,Pakistan,0.6,Babar Azam,Hamza Tahir,0,{},{}
1st innings,Pakistan,1.1,Mohammad Rizwan,BTJ Wheal,2,{},{}
1st innings,Pakistan,1.2,Mohammad Rizwan,BTJ Wheal,0,{},{}
1st innings,Pakistan,1.3,Mohammad Rizwan,BTJ Wheal,1,{},{}
1st innings,Pakistan,1.4,Babar Azam,BTJ Wheal,1,{},{}
1st innings,Pakistan,1.5,Mohammad Rizwan,BTJ Wheal,1,{},{}
1st innings,Pakistan,1.6,Babar Azam,BTJ Wheal,1,{},{}
1st innings,Pakistan,2.1,Babar Azam,SM Sharif,0,{},{}
1st innings,Pakistan,2.2,Babar Azam,SM Sharif,1,{},{}
1st innings,Pakistan,2.3,Mohammad Rizwan,SM Sharif,1,{},{}
1st innings,Pakistan,2.4,Babar Azam,SM Sharif,0,{},{}
1st innings,Pakistan,2.5,Babar Azam,SM Sharif,4,{},{}
1st innings,Pakistan,2.6,Babar Azam,SM Sharif,1,{},{}
1st innings,Pakistan,3.1,Babar Azam,MRJ Watt,1,{'wides': 1},{}
1st innings,Pakistan,3.2,Babar Azam,MRJ Watt,1,{'wides': 1},{}
1st innings,Pakistan,3.3,Babar Azam,MRJ Watt,0,{},{}
1st innings,Pakistan,3.4,Babar Azam,MRJ Watt,1,{'wides': 1},{}
1st innings,Pakistan,3.5,Babar Azam,MRJ Watt,0,{},{}
1st innings,Pakistan,3.6,Babar Azam,MRJ Watt,0,{},{}
1st innings,Pakistan,3.7,Babar Azam,MRJ Watt,0,{},{}
1st innings,Pakistan,3.8,Babar Azam,MRJ Watt,1,{},{}
1st innings,Pakistan,3.9,Mohammad Rizwan,MRJ Watt,0,{},{}
1st innings,Pakistan,4.1,Babar Azam,BTJ Wheal,2,{},{}
1st innings,Pakistan,4.2,Babar Azam,BTJ Wheal,4,{},{}
1st innings,Pakistan,4.3,Babar Azam,BTJ Wheal,1,{},{}
1st innings,Pakistan,4.4,Mohammad Rizwan,BTJ Wheal,6,{},{}
1st innings,Pakistan,4.5,Mohammad Rizwan,BTJ Wheal,0,{},{}
1st innings,Pakistan,4.6,Mohammad Rizwan,BTJ Wheal,1,{},{}
1st innings,Pakistan,5.1,Mohammad Rizwan,SM Sharif,0,{},{}
1st innings,Pakistan,5.2,Mohammad Rizwan,SM Sharif,1,{},{}
1st innings,Pakistan,5.3,Babar Azam,SM Sharif,1,{},{}
1st innings,Pakistan,5.4,Mohammad Rizwan,SM Sharif,0,{},{}
1st innings,Pakistan,5.5,Mohammad Rizwan,SM Sharif,1,{},{}
1st innings,Pakistan,5.6,Babar Azam,SM Sharif,0,{},{}
1st innings,Pakistan,6.1,Mohammad Rizwan,Hamza Tahir,0,{},"{'player_out': 'Mohammad Rizwan', 'fielders': ['MH Cross'], 'kind': 'caught'}"
1st innings,Pakistan,6.2,Fakhar Zaman,Hamza Tahir,0,{},{}
1st innings,Pakistan,6.3,Fakhar Zaman,Hamza Tahir,1,{},{}
1st innings,Pakistan,6.4,Babar Azam,Hamza Tahir,1,{},{}
1st innings,Pakistan,6.5,Fakhar Zaman,Hamza Tahir,0,{},{}
1st innings,Pakistan,6.6,Fakhar Zaman,Hamza Tahir,1,{},{}
1st innings,Pakistan,7.1,Fakhar Zaman,RD Berrington,1,{},{}
1st innings,Pakistan,7.2,Babar Azam,RD Berrington,2,{},{}
1st innings,Pakistan,7.3,Babar Azam,RD Berrington,1,{},{}
1st innings,Pakistan,7.4,Fakhar Zaman,RD Berrington,1,{},{}
1st innings,Pakistan,7.5,Babar Azam,RD Berrington,1,{'wides': 1},{}
1st innings,Pakistan,7.6,Babar Azam,RD Berrington,1,{},{}
1st innings,Pakistan,7.7,Fakhar Zaman,RD Berrington,0,{},{}
1st innings,Pakistan,8.1,Babar Azam,MRJ Watt,6,{},{}
1st innings,Pakistan,8.2,Babar Azam,MRJ Watt,2,{'legbyes': 2},{}
1st innings,Pakistan,8.3,Babar Azam,MRJ Watt,1,{},{}
1st innings,Pakistan,8.4,Fakhar Zaman,MRJ Watt,1,{},{}
1st innings,Pakistan,8.5,Babar Azam,MRJ Watt,1,{},{}
1st innings,Pakistan,8.6,Fakhar Zaman,MRJ Watt,1,{},{}
1st innings,Pakistan,9.1,Fakhar Zaman,CN Greaves,2,{},{}
1st innings,Pakistan,9.2,Fakhar Zaman,CN Greaves,0,{},{}
