inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Namibia,0.1,SJ Baard,Mohammed Shami,1,{},{}
1st innings,Namibia,0.2,M van Lingen,Mohammed Shami,1,{'wides': 1},{}
1st innings,Namibia,0.3,M van Lingen,Mohammed Shami,0,{},{}
1st innings,Namibia,0.4,M van Lingen,Mohammed Shami,1,{},{}
1st innings,Namibia,0.5,SJ Baard,Mohammed Shami,0,{},{}
1st innings,Namibia,0.6,SJ Baard,Mohammed Shami,1,{'legbyes': 1},{}
1st innings,Namibia,0.7,M van Lingen,Mohammed Shami,1,{},{}
1st innings,Namibia,1.1,M van Lingen,JJ Bumrah,1,{'legbyes': 1},{}
1st innings,Namibia,1.2,SJ Baard,JJ Bumrah,1,{},{}
1st innings,Namibia,1.3,M van Lingen,JJ Bumrah,4,{},{}
1st innings,Namibia,1.4,M van Lingen,JJ Bumrah,0,{},{}
1st innings,Namibia,1.5,M van Lingen,JJ Bumrah,0,{},{}
1st innings,Namibia,1.6,M van Lingen,JJ Bumrah,4,{},{}
1st innings,Namibia,2.1,SJ Baard,Mohammed Shami,1,{'wides': 1},{}
1st innings,Namibia,2.2,SJ Baard,Mohammed Shami,0,{},{}
1st innings,Namibia,2.3,SJ Baard,Mohammed Shami,6,{},{}
1st innings,Namibia,2.4,SJ Baard,Mohammed Shami,2,{},{}
1st innings,Namibia,2.5,SJ Baard,Mohammed Shami,1,{},{}
1st innings,Namibia,2.6,M van Lingen,Mohammed Shami,0,{},{}
1st innings,Namibia,2.7,M van Lingen,Mohammed Shami,0,{},{}
1st innings,Namibia,3.1,SJ Baard,R Ashwin,1,{},{}
1st innings,Namibia,3.2,M van Lingen,R Ashwin,0,{},{}
1st innings,Namibia,3.3,M van Lingen,R Ashwin,2,{},{}
1st innings,Namibia,3.4,M van Lingen,R Ashwin,1,{},{}
1st innings,Namibia,3.5,SJ Baard,R Ashwin,0,{},{}
1st innings,Namibia,3.6,SJ Baard,R Ashwin,2,{},{}
1st innings,Namibia,4.1,M van Lingen,JJ Bumrah,1,{},{}
1st innings,Namibia,4.2,SJ Baard,JJ Bumrah,0,{},{}
1st innings,Namibia,4.3,SJ Baard,JJ Bumrah,1,{},{}
