inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Mohammad Rizwan,MA Starc,1,{'byes': 1},{}
1st innings,Pakistan,0.2,Babar Azam,MA Starc,0,{},{}
1st innings,Pakistan,0.3,Babar Azam,MA Starc,0,{},{}
1st innings,Pakistan,0.4,Babar Azam,MA Starc,4,{},{}
1st innings,Pakistan,0.5,Babar Azam,MA Starc,1,{},{}
1st innings,Pakistan,0.6,Mohammad Rizwan,MA Starc,0,{},{}
1st innings,Pakistan,1.1,Babar Azam,JR Hazlewood,0,{},{}
1st innings,Pakistan,1.2,Babar Azam,JR Hazlewood,4,{},{}
1st innings,Pakistan,1.3,Babar Azam,JR Hazlewood,1,{},{}
1st innings,Pakistan,1.4,Mohammad Rizwan,JR Hazlewood,0,{},{}
1st innings,Pakistan,1.5,Mohammad Rizwan,JR Hazlewood,0,{},{}
1st innings,Pakistan,1.6,Mohammad Rizwan,JR Hazlewood,0,{},{}
1st innings,Pakistan,2.1,Babar Azam,GJ Maxwell,0,{},{}
1st innings,Pakistan,2.2,Babar Azam,GJ Maxwell,1,{},{}
1st innings,Pakistan,2.3,Mohammad Rizwan,GJ Maxwell,4,{},{}
1st innings,Pakistan,2.4,Mohammad Rizwan,GJ Maxwell,1,{},{}
1st innings,Pakistan,2.5,Babar Azam,GJ Maxwell,0,{},{}
1st innings,Pakistan,2.6,Babar Azam,GJ Maxwell,4,{},{}
1st innings,Pakistan,3.1,Mohammad Rizwan,PJ Cummins,1,{'wides': 1},{}
1st innings,Pakistan,3.2,Mohammad Rizwan,PJ Cummins,1,{},{}
1st innings,Pakistan,3.3,Babar Azam,PJ Cummins,4,{},{}
1st innings,Pakistan,3.4,Babar Azam,PJ Cummins,1,{},{}
1st innings,Pakistan,3.5,Mohammad Rizwan,PJ Cummins,1,{},{}
1st innings,Pakistan,3.6,Babar Azam,PJ Cummins,0,{},{}
1st innings,Pakistan,3.7,Babar Azam,PJ Cummins,0,{},{}
1st innings,Pakistan,4.1,Mohammad Rizwan,JR Hazlewood,6,{},{}
1st innings,Pakistan,4.2,Mohammad Rizwan,JR Hazlewood,1,{},{}
1st innings,Pakistan,4.3,Babar Azam,JR Hazlewood,1,{},{}
1st innings,Pakistan,4.4,Mohammad Rizwan,JR Hazlewood,0,{},{}
1st innings,Pakistan,4.5,Mohammad Rizwan,JR Hazlewood,1,{},{}
1st innings,Pakistan,4.6,Babar Azam,JR Hazlewood,0,{},{}
1st innings,Pakistan,5.1,Mohammad Rizwan,PJ Cummins,1,{},{}
1st innings,Pakistan,5.2,Babar Azam,PJ Cummins,3,{},{}
1st innings,Pakistan,5.3,Mohammad Rizwan,PJ Cummins,4,{},{}
1st innings,Pakistan,5.4,Mohammad Rizwan,PJ Cummins,0,{},{}
1st innings,Pakistan,5.5,Mohammad Rizwan,PJ Cummins,0,{},{}
1st innings,Pakistan,5.6,Mohammad Rizwan,PJ Cummins,1,{},{}
1st innings,Pakistan,6.1,Mohammad Rizwan,A Zampa,1,{},{}
1st innings,Pakistan,6.2,Babar Azam,A Zampa,1,{},{}
1st innings,Pakistan,6.3,Mohammad Rizwan,A Zampa,0,{},{}
1st innings,Pakistan,6.4,Mohammad Rizwan,A Zampa,1,{},{}
1st innings,Pakistan,6.5,Babar Azam,A Zampa,0,{},{}
1st innings,Pakistan,6.6,Babar Azam,A Zampa,1,{},{}
1st innings,Pakistan,7.1,Babar Azam,MR Marsh,2,{},{}
1st innings,Pakistan,7.2,Babar Azam,MR Marsh,4,{},{}
1st innings,Pakistan,7.3,Babar Azam,MR Marsh,0,{},{}
1st innings,Pakistan,7.4,Babar Azam,MR Marsh,2,{},{}
1st innings,Pakistan,7.5,Babar Azam,MR Marsh,1,{'wides': 1},{}
1st innings,Pakistan,7.6,Babar Azam,MR Marsh,1,{},{}
1st innings,Pakistan,7.7,Mohammad Rizwan,MR Marsh,1,{},{}
1st innings,Pakistan,8.1,Mohammad Rizwan,GJ Maxwell,1,{},{}
1st innings,Pakistan,8.2,Babar Azam,GJ Maxwell,1,{},{}
1st innings,Pakistan,8.3,Mohammad Rizwan,GJ Maxwell,1,{},{}
1st innings,Pakistan,8.4,Babar Azam,GJ Maxwell,1,{},{}
1st innings,Pakistan,8.5,Mohammad Rizwan,GJ Maxwell,1,{},{}
1st innings,Pakistan,8.6,Babar Azam,GJ Maxwell,1,{},{}
1st innings,Pakistan,9.1,Babar Azam,A Zampa,0,{},{}
1st innings,Pakistan,9.2,Babar Azam,A Zampa,1,{'wides': 1},{}
1st innings,Pakistan,9.3,Babar Azam,A Zampa,0,{},{}
1st innings,Pakistan,9.4,Babar Azam,A Zampa,1,{},{}
1st innings,Pakistan,9.5,Mohammad Rizwan,A Zampa,1,{},{}
1st innings,Pakistan,9.6,Babar Azam,A Zampa,0,{},{}
1st innings,Pakistan,9.7,Babar Azam,A Zampa,0,{},"{'player_out': 'Babar Azam', 'fielders': ['DA Warner'], 'kind': 'caught'}"
1st innings,Pakistan,10.1,Mohammad Rizwan,GJ Maxwell,0,{},{}
1st innings,Pakistan,10.2,Mohammad Rizwan,GJ Maxwell,1,{},{}
1st innings,Pakistan,10.3,Fakhar Zaman,GJ Maxwell,0,{},{}
1st innings,Pakistan,10.4,Fakhar Zaman,GJ Maxwell,1,{},{}
1st innings,Pakistan,10.5,Mohammad Rizwan,GJ Maxwell,0,{},{}
1st innings,Pakistan,10.6,Mohammad Rizwan,GJ Maxwell,2,{},{}
1st innings,Pakistan,11.1,Fakhar Zaman,A Zampa,1,{},{}
1st innings,Pakistan,11.2,Mohammad Rizwan,A Zampa,2,{},{}
1st innings,Pakistan,11.3,Mohammad Rizwan,A Zampa,6,{},{}
1st innings,Pakistan,11.4,Mohammad Rizwan,A Zampa,4,{'byes': 4},{}
1st innings,Pakistan,11.5,Mohammad Rizwan,A Zampa,0,{},{}
1st innings,Pakistan,11.6,Mohammad Rizwan,A Zampa,1,{},{}
1st innings,Pakistan,12.1,Mohammad Rizwan,MA Starc,1,{},{}
1st innings,Pakistan,12.2,Fakhar Zaman,MA Starc,0,{},{}
1st innings,Pakistan,12.3,Fakhar Zaman,MA Starc,1,{},{}
1st innings,Pakistan,12.4,Mohammad Rizwan,MA Starc,0,{},{}
1st innings,Pakistan,12.5,Mohammad Rizwan,MA Starc,1,{},{}
1st innings,Pakistan,12.6,Fakhar Zaman,MA Starc,0,{},{}
1st innings,Pakistan,13.1,Mohammad Rizwan,JR Hazlewood,1,{},{}
