inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,MJ Guptill,MA Starc,0,{},{}
1st innings,New Zealand,0.2,MJ Guptill,MA Starc,4,{},{}
1st innings,New Zealand,0.3,MJ Guptill,MA Starc,1,{},{}
1st innings,New Zealand,0.4,DJ Mitchell,MA Starc,0,{},{}
1st innings,New Zealand,0.5,DJ Mitchell,MA Starc,3,{},{}
1st innings,New Zealand,0.6,MJ Guptill,MA Starc,1,{},{}
1st innings,New Zealand,1.1,MJ Guptill,JR Hazlewood,0,{},{}
1st innings,New Zealand,1.2,MJ Guptill,JR Hazlewood,0,{},{}
1st innings,New Zealand,1.3,MJ Guptill,JR Hazlewood,0,{},{}
1st innings,New Zealand,1.4,MJ Guptill,JR Hazlewood,0,{},{}
1st innings,New Zealand,1.5,MJ Guptill,JR Hazlewood,4,{},{}
1st innings,New Zealand,1.6,MJ Guptill,JR Hazlewood,0,{},{}
1st innings,New Zealand,2.1,DJ Mitchell,GJ Maxwell,6,{},{}
1st innings,New Zealand,2.2,DJ Mitchell,GJ Maxwell,1,{},{}
1st innings,New Zealand,2.3,MJ Guptill,GJ Maxwell,0,{},{}
1st innings,New Zealand,2.4,MJ Guptill,GJ Maxwell,1,{},{}
1st innings,New Zealand,2.5,DJ Mitchell,GJ Maxwell,1,{},{}
1st innings,New Zealand,2.6,MJ Guptill,GJ Maxwell,1,{'legbyes': 1},{}
1st innings,New Zealand,3.1,MJ Guptill,JR Hazlewood,4,{},{}
1st innings,New Zealand,3.2,MJ Guptill,JR Hazlewood,1,{},{}
1st innings,New Zealand,3.3,DJ Mitchell,JR Hazlewood,0,{},{}
1st innings,New Zealand,3.4,DJ Mitchell,JR Hazlewood,0,{},{}
1st innings,New Zealand,3.5,DJ Mitchell,JR Hazlewood,0,{},"{'player_out': 'DJ Mitchell', 'fielders': ['MS Wade'], 'kind': 'caught'}"
1st innings,New Zealand,3.6,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,4.1,MJ Guptill,PJ Cummins,0,{},{}
1st innings,New Zealand,4.2,MJ Guptill,PJ Cummins,0,{},{}
1st innings,New Zealand,4.3,MJ Guptill,PJ Cummins,0,{},{}
1st innings,New Zealand,4.4,MJ Guptill,PJ Cummins,1,{},{}
1st innings,New Zealand,4.5,KS Williamson,PJ Cummins,1,{},{}
1st innings,New Zealand,4.6,MJ Guptill,PJ Cummins,0,{},{}
1st innings,New Zealand,5.1,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,5.2,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,5.3,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,5.4,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,5.5,KS Williamson,JR Hazlewood,0,{},{}
1st innings,New Zealand,5.6,KS Williamson,JR Hazlewood,2,{},{}
1st innings,New Zealand,6.1,MJ Guptill,GJ Maxwell,1,{},{}
1st innings,New Zealand,6.2,KS Williamson,GJ Maxwell,1,{},{}
1st innings,New Zealand,6.3,MJ Guptill,GJ Maxwell,0,{},{}
1st innings,New Zealand,6.4,MJ Guptill,GJ Maxwell,1,{},{}
1st innings,New Zealand,6.5,KS Williamson,GJ Maxwell,1,{},{}
1st innings,New Zealand,6.6,MJ Guptill,GJ Maxwell,1,{},{}
1st innings,New Zealand,7.1,MJ Guptill,A Zampa,1,{},{}
1st innings,New Zealand,7.2,KS Williamson,A Zampa,1,{},{}
