inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,United Arab Emirates,0.1,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,0.2,Chirag Suri,FJ Klaassen,1,{'wides': 1},{}
1st innings,United Arab Emirates,0.3,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,0.4,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,0.5,Chirag Suri,FJ Klaassen,1,{'wides': 1},{}
1st innings,United Arab Emirates,0.6,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,0.7,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,0.8,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,1.1,Waseem Muhammad,TJG Pringle,0,{},{}
1st innings,United Arab Emirates,1.2,Waseem Muhammad,TJG Pringle,1,{},{}
1st innings,United Arab Emirates,1.3,Chirag Suri,TJG Pringle,0,{},{}
1st innings,United Arab Emirates,1.4,Chirag Suri,TJG Pringle,0,{},{}
1st innings,United Arab Emirates,1.5,Chirag Suri,TJG Pringle,1,{},{}
1st innings,United Arab Emirates,1.6,Waseem Muhammad,TJG Pringle,0,{},{}
1st innings,United Arab Emirates,2.1,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,2.2,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,2.3,Chirag Suri,FJ Klaassen,1,{'legbyes': 1},{}
1st innings,United Arab Emirates,2.4,Waseem Muhammad,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,2.5,Waseem Muhammad,FJ Klaassen,1,{},{}
1st innings,United Arab Emirates,2.6,Chirag Suri,FJ Klaassen,0,{},{}
1st innings,United Arab Emirates,3.1,Waseem Muhammad,LV van Beek,0,{},{}
1st innings,United Arab Emirates,3.2,Waseem Muhammad,LV van Beek,0,{},{}
1st innings,United Arab Emirates,3.3,Waseem Muhammad,LV van Beek,0,{},{}
